#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0044429	mitochondrial part	69	854	1.18e-28	ENSMUSP00000002735,ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016401,ENSMUSP00000016571,ENSMUSP00000018743,ENSMUSP00000018821,ENSMUSP00000020440,ENSMUSP00000020851,ENSMUSP00000021522,ENSMUSP00000022419,ENSMUSP00000023040,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000024486,ENSMUSP00000026561,ENSMUSP00000027853,ENSMUSP00000029925,ENSMUSP00000030365,ENSMUSP00000030401,ENSMUSP00000032485,ENSMUSP00000032555,ENSMUSP00000032841,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000033717,ENSMUSP00000034146,ENSMUSP00000036710,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000041380,ENSMUSP00000042134,ENSMUSP00000043543,ENSMUSP00000044417,ENSMUSP00000044497,ENSMUSP00000046453,ENSMUSP00000050156,ENSMUSP00000050683,ENSMUSP00000051643,ENSMUSP00000053033,ENSMUSP00000054086,ENSMUSP00000059494,ENSMUSP00000062066,ENSMUSP00000065352,ENSMUSP00000068450,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000095970,ENSMUSP00000096193,ENSMUSP00000097860,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000103438,ENSMUSP00000105796,ENSMUSP00000108926,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000115512,ENSMUSP00000117583,ENSMUSP00000124523,ENSMUSP00000126298,ENSMUSP00000133815,ENSMUSP00000136313	AI462493,Abca8a,Atg4d,Atp5e,Atp5h,Cars2,Chchd4,Clpp,Coq7,Cox11,Cox17,Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Dnajc11,Foxo3,Glrx5,Hccs,Hspa1b,Lars2,Mief2,Minos1,Mlycd,Mpc2,Mrpl12,Mrpl15,Mrpl34,Mrpl37,Mrpl46,Mrpl51,Mrps12,Mrps23,Mrps7,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Slc25a17,Slc25a39,Slmo2,Smdt1,Timm13,Timm8a1,Timm9,Tmem11,Tomm40,Tomm5,Tomm6,Tsfm,Ucp1,Usmg5
GO:0098798	mitochondrial protein complex	42	255	1.24e-27	ENSMUSP00000014438,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000020440,ENSMUSP00000022419,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000024486,ENSMUSP00000026561,ENSMUSP00000030365,ENSMUSP00000030401,ENSMUSP00000032485,ENSMUSP00000032555,ENSMUSP00000032841,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000044417,ENSMUSP00000044497,ENSMUSP00000051643,ENSMUSP00000053033,ENSMUSP00000062066,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000103438,ENSMUSP00000105796,ENSMUSP00000108926,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000115512,ENSMUSP00000117583,ENSMUSP00000126298,ENSMUSP00000136313	AI462493,Atp5e,Atp5h,Cox7c,Cox8b,Dnajc11,Minos1,Mrpl12,Mrpl15,Mrpl34,Mrpl37,Mrpl46,Mrpl51,Mrps12,Mrps23,Mrps7,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Smdt1,Timm13,Timm9,Tomm40,Tomm5,Tomm6,Usmg5
GO:0005743	mitochondrial inner membrane	43	321	3.15e-25	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000018821,ENSMUSP00000020440,ENSMUSP00000020851,ENSMUSP00000022419,ENSMUSP00000023040,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000027853,ENSMUSP00000030401,ENSMUSP00000032555,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000033717,ENSMUSP00000034146,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000050156,ENSMUSP00000051643,ENSMUSP00000059494,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000096193,ENSMUSP00000097860,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000117583,ENSMUSP00000126298,ENSMUSP00000136313	AI462493,Abca8a,Atp5e,Atp5h,Coq7,Cox11,Cox6c,Cox7a1,Cox7c,Cox8b,Dnajc11,Hccs,Minos1,Mpc2,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Slc25a17,Slc25a39,Smdt1,Timm13,Timm8a1,Timm9,Tmem11,Tomm40,Ucp1,Usmg5
GO:0005739	mitochondrion	77	1312	2.07e-24	ENSMUSP00000002735,ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016401,ENSMUSP00000016571,ENSMUSP00000018743,ENSMUSP00000018821,ENSMUSP00000020372,ENSMUSP00000020440,ENSMUSP00000020851,ENSMUSP00000021522,ENSMUSP00000022419,ENSMUSP00000023040,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000024486,ENSMUSP00000026561,ENSMUSP00000027853,ENSMUSP00000029925,ENSMUSP00000030192,ENSMUSP00000030365,ENSMUSP00000030401,ENSMUSP00000032485,ENSMUSP00000032555,ENSMUSP00000032841,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000033717,ENSMUSP00000034146,ENSMUSP00000034187,ENSMUSP00000034497,ENSMUSP00000036710,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000041380,ENSMUSP00000042134,ENSMUSP00000043543,ENSMUSP00000044417,ENSMUSP00000044497,ENSMUSP00000046453,ENSMUSP00000050156,ENSMUSP00000050683,ENSMUSP00000051643,ENSMUSP00000053033,ENSMUSP00000054086,ENSMUSP00000059494,ENSMUSP00000062066,ENSMUSP00000065352,ENSMUSP00000068450,ENSMUSP00000074872,ENSMUSP00000075953,ENSMUSP00000084586,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000095970,ENSMUSP00000096193,ENSMUSP00000097860,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000103438,ENSMUSP00000105796,ENSMUSP00000108926,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000115512,ENSMUSP00000117583,ENSMUSP00000118348,ENSMUSP00000120966,ENSMUSP00000124523,ENSMUSP00000126298,ENSMUSP00000133815,ENSMUSP00000136313	AI462493,Abca8a,Atg4d,Atp5e,Atp5h,Bola3,Cars2,Chchd4,Clpp,Cmc2,Coq7,Cox11,Cox17,Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Dnajc11,Foxo3,Glrx5,Hccs,Hint2,Hspa1a,Hspa1b,Lars2,Mief2,Minos1,Mlycd,Mmp2,Mmp3,Mpc2,Mrpl12,Mrpl15,Mrpl34,Mrpl37,Mrpl46,Mrpl51,Mrps12,Mrps23,Mrps7,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Slc25a17,Slc25a39,Slmo2,Smdt1,Stard5,Timm13,Timm8a1,Timm9,Tmem11,Tomm40,Tomm5,Tomm6,Tsfm,Ucp1,Uqcr11,Usmg5
GO:0005740	mitochondrial envelope	52	590	3.46e-23	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016401,ENSMUSP00000016571,ENSMUSP00000018743,ENSMUSP00000018821,ENSMUSP00000020440,ENSMUSP00000020851,ENSMUSP00000022419,ENSMUSP00000023040,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000027853,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032555,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000033717,ENSMUSP00000034146,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000041380,ENSMUSP00000043543,ENSMUSP00000050156,ENSMUSP00000050683,ENSMUSP00000051643,ENSMUSP00000054086,ENSMUSP00000059494,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000096193,ENSMUSP00000097860,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000103438,ENSMUSP00000105796,ENSMUSP00000108926,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000117583,ENSMUSP00000124523,ENSMUSP00000126298,ENSMUSP00000136313	AI462493,Abca8a,Atp5e,Atp5h,Chchd4,Coq7,Cox11,Cox17,Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Dnajc11,Foxo3,Hccs,Mief2,Minos1,Mpc2,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Slc25a17,Slc25a39,Slmo2,Smdt1,Timm13,Timm8a1,Timm9,Tmem11,Tomm40,Tomm5,Tomm6,Ucp1,Usmg5
GO:0044455	mitochondrial membrane part	35	212	3.46e-23	ENSMUSP00000014438,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000020851,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000027853,ENSMUSP00000030401,ENSMUSP00000032555,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000051643,ENSMUSP00000059494,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000103438,ENSMUSP00000105796,ENSMUSP00000108926,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000117583,ENSMUSP00000126298,ENSMUSP00000136313	AI462493,Atp5e,Atp5h,Cox11,Cox7a1,Cox7c,Cox8b,Dnajc11,Minos1,Mpc2,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Smdt1,Timm9,Tmem11,Tomm40,Tomm5,Tomm6,Usmg5
GO:0005576	extracellular region	92	2044	4.15e-22	ENSMUSP00000000342,ENSMUSP00000000500,ENSMUSP00000000769,ENSMUSP00000002883,ENSMUSP00000004587,ENSMUSP00000005532,ENSMUSP00000005824,ENSMUSP00000015498,ENSMUSP00000015664,ENSMUSP00000016168,ENSMUSP00000017590,ENSMUSP00000017637,ENSMUSP00000020169,ENSMUSP00000020204,ENSMUSP00000022169,ENSMUSP00000022287,ENSMUSP00000022377,ENSMUSP00000022660,ENSMUSP00000023243,ENSMUSP00000023610,ENSMUSP00000023994,ENSMUSP00000024660,ENSMUSP00000024849,ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000025906,ENSMUSP00000026890,ENSMUSP00000028328,ENSMUSP00000028633,ENSMUSP00000028897,ENSMUSP00000029140,ENSMUSP00000029429,ENSMUSP00000029559,ENSMUSP00000029603,ENSMUSP00000029771,ENSMUSP00000030568,ENSMUSP00000030840,ENSMUSP00000031002,ENSMUSP00000031731,ENSMUSP00000032462,ENSMUSP00000032895,ENSMUSP00000033149,ENSMUSP00000033185,ENSMUSP00000033751,ENSMUSP00000034004,ENSMUSP00000034187,ENSMUSP00000034497,ENSMUSP00000034588,ENSMUSP00000035489,ENSMUSP00000037246,ENSMUSP00000037719,ENSMUSP00000040171,ENSMUSP00000040176,ENSMUSP00000040187,ENSMUSP00000044858,ENSMUSP00000045856,ENSMUSP00000048041,ENSMUSP00000048334,ENSMUSP00000054583,ENSMUSP00000055599,ENSMUSP00000057796,ENSMUSP00000062171,ENSMUSP00000063707,ENSMUSP00000066461,ENSMUSP00000066554,ENSMUSP00000070270,ENSMUSP00000070709,ENSMUSP00000071662,ENSMUSP00000078047,ENSMUSP00000085192,ENSMUSP00000088857,ENSMUSP00000090304,ENSMUSP00000099375,ENSMUSP00000100924,ENSMUSP00000102320,ENSMUSP00000102796,ENSMUSP00000104091,ENSMUSP00000105846,ENSMUSP00000105953,ENSMUSP00000106152,ENSMUSP00000107607,ENSMUSP00000107873,ENSMUSP00000113115,ENSMUSP00000117636,ENSMUSP00000119827,ENSMUSP00000125531,ENSMUSP00000125803,ENSMUSP00000127615,ENSMUSP00000128202,ENSMUSP00000128621,ENSMUSP00000131355,ENSMUSP00000133302	Adamts1,Adamts12,Adamts2,Adamtsl1,Angptl7,Apoa1,Apoa2,Apoc1,Apod,Apoe,C1qtnf1,C1qtnf3,C1ra,C1s1,C2,Ccbe1,Ccl11,Cd59a,Cfb,Cfh,Clec11a,Clec3b,Col12a1,Col14a1,Col3a1,Col8a2,Cp,Cpxm1,Cpxm2,Crtac1,Ctsk,Dcn,Egflam,Emilin2,Enpp3,Entpd2,Epha3,Esm1,Esrra,F3,Fabp3,Fbln1,Fbln2,Fbln7,Fbn1,Figf,Flrt2,Fmod,Fst,Gdf10,Glg1,Gpihbp1,Hexb,Hhip,Hpx,Igfbp4,Igsf10,Il6ra,Itga2b,Lama2,Lbp,Lgals4,Loxl2,Loxl4,Man2b2,Matn2,Mmp2,Mmp3,Nid1,Ntn4,Nucb2,Pcolce,Pcolce2,Pdgfb,Pdgfrl,Podn,Procr,Prss12,Sema3c,Serpinf1,Serping1,Sfrp4,Slit2,Smoc2,Spock2,Svep1,Tgfbi,Thsd7a,Timp4,Txndc16,Vwf,Wnt2b
GO:0031966	mitochondrial membrane	48	539	1.06e-21	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000018743,ENSMUSP00000018821,ENSMUSP00000020440,ENSMUSP00000020851,ENSMUSP00000022419,ENSMUSP00000023040,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000027853,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032555,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000033717,ENSMUSP00000034146,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000050156,ENSMUSP00000050683,ENSMUSP00000051643,ENSMUSP00000059494,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000096193,ENSMUSP00000097860,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000103438,ENSMUSP00000105796,ENSMUSP00000108926,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000117583,ENSMUSP00000126298,ENSMUSP00000136313	AI462493,Abca8a,Atp5e,Atp5h,Coq7,Cox11,Cox6c,Cox7a1,Cox7c,Cox8b,Dnajc11,Foxo3,Hccs,Mief2,Minos1,Mpc2,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Slc25a17,Slc25a39,Smdt1,Timm13,Timm8a1,Timm9,Tmem11,Tomm40,Tomm5,Tomm6,Ucp1,Usmg5
GO:0098800	inner mitochondrial membrane protein complex	28	131	2.52e-21	ENSMUSP00000014438,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000051643,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000117583,ENSMUSP00000126298,ENSMUSP00000136313	AI462493,Atp5e,Atp5h,Cox7c,Cox8b,Dnajc11,Minos1,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Smdt1,Timm9,Usmg5
GO:0070469	respirasome	24	87	1.75e-20	ENSMUSP00000014438,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000023085,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	AI462493,Cox7a1,Cox7c,Cox8b,Cycs,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Uqcr11
