#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0032981	mitochondrial respiratory chain complex I assembly	17	41	7.16e-15	ENSMUSP00000014438,ENSMUSP00000016571,ENSMUSP00000023851,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963	Ndufa1,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7
GO:0033108	mitochondrial respiratory chain complex assembly	19	74	3.95e-14	ENSMUSP00000014438,ENSMUSP00000016571,ENSMUSP00000023851,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000054086,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963	AI462493,Cox17,Ndufa1,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7
GO:0007005	mitochondrion organization	34	388	1.34e-13	ENSMUSP00000014438,ENSMUSP00000016571,ENSMUSP00000018743,ENSMUSP00000019833,ENSMUSP00000020440,ENSMUSP00000022419,ENSMUSP00000023851,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032555,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000041380,ENSMUSP00000043543,ENSMUSP00000050156,ENSMUSP00000051643,ENSMUSP00000054086,ENSMUSP00000059494,ENSMUSP00000065352,ENSMUSP00000068450,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000099758,ENSMUSP00000101003,ENSMUSP00000103438,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115512,ENSMUSP00000126298	AI462493,Atg4d,Chchd4,Coq7,Cox17,Dnajc11,Flcn,Fmc1,Mief2,Mrpl15,Ndufa1,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Timm13,Timm8a1,Timm9,Tmem11,Tomm40,Tomm5
GO:0055114	oxidation-reduction process	42	898	1.65e-08	ENSMUSP00000000260,ENSMUSP00000005824,ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000015484,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000021522,ENSMUSP00000022660,ENSMUSP00000023040,ENSMUSP00000023085,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000034469,ENSMUSP00000034588,ENSMUSP00000035065,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000041380,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000066092,ENSMUSP00000075953,ENSMUSP00000088857,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000095970,ENSMUSP00000096193,ENSMUSP00000096753,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000111081,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000125803,ENSMUSP00000136313	AI462493,Apoa1,Apoa2,Chchd4,Coq7,Cox6c,Cox7a1,Cox7c,Cox8b,Cp,Cybb,Cycs,Ech1,Egln1,Glrx5,Gmpr,Loxl2,Loxl4,Mlycd,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Nnt,Ptgs2,Slc25a17,Steap4,Uqcr11
GO:0022900	electron transport chain	15	120	4.00e-07	ENSMUSP00000014457,ENSMUSP00000015484,ENSMUSP00000020372,ENSMUSP00000021522,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000065352,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000096193,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	AI462493,Coq7,Cox6c,Cox7a1,Cox7c,Cox8b,Cybb,Cycs,Glrx5,Ndufa12,Ndufa5,Ndufa8,Ndufb6,Ndufc2,Uqcr11
GO:0009987	cellular process	227	12459	5.54e-07	ENSMUSP00000000260,ENSMUSP00000000342,ENSMUSP00000000500,ENSMUSP00000000769,ENSMUSP00000002280,ENSMUSP00000002735,ENSMUSP00000002805,ENSMUSP00000002883,ENSMUSP00000003843,ENSMUSP00000005532,ENSMUSP00000005620,ENSMUSP00000005824,ENSMUSP00000008297,ENSMUSP00000011315,ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000015484,ENSMUSP00000015498,ENSMUSP00000015664,ENSMUSP00000016168,ENSMUSP00000016396,ENSMUSP00000016488,ENSMUSP00000016571,ENSMUSP00000016672,ENSMUSP00000017590,ENSMUSP00000018743,ENSMUSP00000018748,ENSMUSP00000018821,ENSMUSP00000018905,ENSMUSP00000019268,ENSMUSP00000019608,ENSMUSP00000019833,ENSMUSP00000020106,ENSMUSP00000020118,ENSMUSP00000020169,ENSMUSP00000020204,ENSMUSP00000020329,ENSMUSP00000020372,ENSMUSP00000020440,ENSMUSP00000021114,ENSMUSP00000021207,ENSMUSP00000021522,ENSMUSP00000022120,ENSMUSP00000022169,ENSMUSP00000022287,ENSMUSP00000022377,ENSMUSP00000022419,ENSMUSP00000022610,ENSMUSP00000022660,ENSMUSP00000023040,ENSMUSP00000023086,ENSMUSP00000023289,ENSMUSP00000023610,ENSMUSP00000023851,ENSMUSP00000024486,ENSMUSP00000024660,ENSMUSP00000025288,ENSMUSP00000025523,ENSMUSP00000025906,ENSMUSP00000026129,ENSMUSP00000026539,ENSMUSP00000026561,ENSMUSP00000026896,ENSMUSP00000027020,ENSMUSP00000027581,ENSMUSP00000027853,ENSMUSP00000028328,ENSMUSP00000028633,ENSMUSP00000029140,ENSMUSP00000029429,ENSMUSP00000029559,ENSMUSP00000029603,ENSMUSP00000029771,ENSMUSP00000029925,ENSMUSP00000030192,ENSMUSP00000030365,ENSMUSP00000030385,ENSMUSP00000030401,ENSMUSP00000030568,ENSMUSP00000031002,ENSMUSP00000031670,ENSMUSP00000031731,ENSMUSP00000032233,ENSMUSP00000032462,ENSMUSP00000032485,ENSMUSP00000032555,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000032895,ENSMUSP00000033185,ENSMUSP00000033717,ENSMUSP00000033751,ENSMUSP00000034146,ENSMUSP00000034187,ENSMUSP00000034469,ENSMUSP00000034497,ENSMUSP00000034588,ENSMUSP00000034774,ENSMUSP00000034945,ENSMUSP00000035065,ENSMUSP00000035489,ENSMUSP00000035726,ENSMUSP00000035829,ENSMUSP00000036710,ENSMUSP00000037025,ENSMUSP00000037238,ENSMUSP00000037246,ENSMUSP00000037341,ENSMUSP00000037719,ENSMUSP00000038359,ENSMUSP00000038361,ENSMUSP00000038463,ENSMUSP00000039012,ENSMUSP00000039486,ENSMUSP00000040060,ENSMUSP00000040171,ENSMUSP00000040176,ENSMUSP00000040220,ENSMUSP00000041380,ENSMUSP00000042134,ENSMUSP00000042327,ENSMUSP00000043355,ENSMUSP00000043543,ENSMUSP00000043918,ENSMUSP00000044248,ENSMUSP00000044417,ENSMUSP00000044497,ENSMUSP00000044858,ENSMUSP00000045023,ENSMUSP00000046453,ENSMUSP00000047015,ENSMUSP00000047855,ENSMUSP00000047926,ENSMUSP00000048041,ENSMUSP00000048119,ENSMUSP00000048334,ENSMUSP00000050156,ENSMUSP00000050683,ENSMUSP00000051643,ENSMUSP00000051726,ENSMUSP00000051965,ENSMUSP00000053033,ENSMUSP00000053553,ENSMUSP00000054086,ENSMUSP00000054583,ENSMUSP00000055599,ENSMUSP00000057796,ENSMUSP00000059494,ENSMUSP00000060307,ENSMUSP00000062066,ENSMUSP00000062171,ENSMUSP00000062884,ENSMUSP00000063660,ENSMUSP00000065352,ENSMUSP00000066092,ENSMUSP00000066554,ENSMUSP00000068007,ENSMUSP00000068450,ENSMUSP00000069850,ENSMUSP00000070709,ENSMUSP00000070847,ENSMUSP00000071662,ENSMUSP00000074681,ENSMUSP00000075953,ENSMUSP00000076514,ENSMUSP00000076751,ENSMUSP00000077099,ENSMUSP00000078047,ENSMUSP00000078597,ENSMUSP00000081455,ENSMUSP00000084586,ENSMUSP00000085192,ENSMUSP00000087686,ENSMUSP00000088857,ENSMUSP00000090304,ENSMUSP00000090672,ENSMUSP00000091330,ENSMUSP00000091692,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000095970,ENSMUSP00000096193,ENSMUSP00000096753,ENSMUSP00000099375,ENSMUSP00000099606,ENSMUSP00000099755,ENSMUSP00000099758,ENSMUSP00000099796,ENSMUSP00000100924,ENSMUSP00000101003,ENSMUSP00000101197,ENSMUSP00000101472,ENSMUSP00000102147,ENSMUSP00000102320,ENSMUSP00000103438,ENSMUSP00000103795,ENSMUSP00000104067,ENSMUSP00000104091,ENSMUSP00000104136,ENSMUSP00000105129,ENSMUSP00000105796,ENSMUSP00000105846,ENSMUSP00000106152,ENSMUSP00000106851,ENSMUSP00000107873,ENSMUSP00000110748,ENSMUSP00000111081,ENSMUSP00000112320,ENSMUSP00000112988,ENSMUSP00000113115,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000115512,ENSMUSP00000118105,ENSMUSP00000118387,ENSMUSP00000119827,ENSMUSP00000124523,ENSMUSP00000126298,ENSMUSP00000127173,ENSMUSP00000127615,ENSMUSP00000128202,ENSMUSP00000128621,ENSMUSP00000128674,ENSMUSP00000133302,ENSMUSP00000133815,ENSMUSP00000136313	AI462493,Abhd17c,Abhd2,Acot12,Adamts1,Adamts12,Adamts2,Akap12,Apoa1,Apoa2,Apoc1,Apod,Apoe,Arid5b,Atg4d,Atp5e,Atp5h,Atrnl1,Bace2,Bmf,C1qtnf1,C1qtnf3,Cadm3,Cars2,Ccl11,Cd109,Cd248,Cd59a,Cdh11,Cebpb,Chchd4,Chkb,Churc1,Clpp,Clstn3,Col12a1,Col14a1,Col3a1,Coq7,Cox17,Cox6c,Cox7a1,Cox7c,Cox8b,Cp,Crtac1,Csf1r,Ctsk,Cttnbp2nl,Cybb,Cycs,Dcn,Dnajb1,Dnajc11,Dock10,Dusp6,Ech1,Egflam,Egfr,Egln1,Enpp3,Entpd2,Epha3,Ephb2,Esrra,Exoc4,F3,Fabp3,Fam101b,Fam96a,Fbln1,Fbln2,Fbn1,Ffar4,Figf,Flcn,Flrt2,Fmc1,Fmn1,Fmod,Folr2,Foxo3,Fst,Fuom,Galk1,Gdf10,Gdf6,Glrx5,Gmpr,Gng11,Gpr133,Gpr39,Gria4,Hccs,Hexb,Hhip,Hint2,Hoxa5,Hpx,Hspa1a,Hspa1b,Hunk,Igsf10,Il6ra,Itga11,Itga2b,Lama2,Lars2,Lbp,Loxl2,Lpar6,Man1a,Man2b2,Mapkapk2,Matn2,Mcee,Mgat5,Mief2,Mlycd,Mmp2,Mmp3,Mob2,Mpc2,Mpdu1,Mrpl12,Mrpl15,Mrpl34,Mrpl37,Mrpl51,Mrps12,Mrps23,Mrps7,Myh7b,Naa20,Naalad2,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Nfam1,Nid1,Nnt,Nrip1,Ntn4,Nucb2,Pcolce,Pcolce2,Pcyt2,Pde4a,Pdgfb,Pdgfra,Perm1,Plcxd3,Plxna4,Podn,Ppcs,Ppdpf,Ppif,Procr,Prss12,Ptger1,Ptgfrn,Ptgs2,Ptpn13,Rgl3,Rilp,Rmnd1,Rnf126,Rps19,Scara5,Scarf1,Scrn1,Sema3c,Serpinf1,Sfrp4,Slc1a5,Slc25a17,Slc25a39,Slc4a10,Slco4a1,Slfn8,Slit2,Smdt1,Smg9,Smoc2,Sox7,Spock2,Srpx,St8sia2,Steap4,Taf10,Tbx3,Tgfbi,Thsd7a,Timm13,Timm8a1,Timm9,Timp4,Tmem11,Tomm40,Tomm5,Tsfm,Tuba8,Txndc16,Ubac1,Ucp1,Unc45b,Uqcr11,Vipr2,Vwf,Wnt2b,Zfp521,Zfp568
GO:0043062	extracellular structure organization	18	214	2.07e-06	ENSMUSP00000005532,ENSMUSP00000005824,ENSMUSP00000022660,ENSMUSP00000024660,ENSMUSP00000034588,ENSMUSP00000035489,ENSMUSP00000037719,ENSMUSP00000040171,ENSMUSP00000048334,ENSMUSP00000054583,ENSMUSP00000055599,ENSMUSP00000062171,ENSMUSP00000085192,ENSMUSP00000104091,ENSMUSP00000105846,ENSMUSP00000113115,ENSMUSP00000127173,ENSMUSP00000133302	Adamts2,Apoa1,Apoa2,Apoc1,Apoe,Col14a1,Col3a1,Egflam,Fbln1,Fbln2,Flrt2,Fmod,Loxl2,Nid1,Pdgfra,Smoc2,Spock2,Tgfbi
GO:0030334	regulation of cell migration	33	805	3.13e-05	ENSMUSP00000000342,ENSMUSP00000000500,ENSMUSP00000000769,ENSMUSP00000016168,ENSMUSP00000020329,ENSMUSP00000023610,ENSMUSP00000024660,ENSMUSP00000025523,ENSMUSP00000029771,ENSMUSP00000030568,ENSMUSP00000033751,ENSMUSP00000034187,ENSMUSP00000034497,ENSMUSP00000035065,ENSMUSP00000037246,ENSMUSP00000038361,ENSMUSP00000054583,ENSMUSP00000061893,ENSMUSP00000062171,ENSMUSP00000066554,ENSMUSP00000068471,ENSMUSP00000077099,ENSMUSP00000085192,ENSMUSP00000090304,ENSMUSP00000099375,ENSMUSP00000099758,ENSMUSP00000100924,ENSMUSP00000102320,ENSMUSP00000117636,ENSMUSP00000119827,ENSMUSP00000127173,ENSMUSP00000127615,ENSMUSP00000133302	Abhd2,Abi3,Adamts1,Apod,Apoe,Ccbe1,Ccl11,Col3a1,Csf1r,Dcn,Dock10,Egfr,Epha3,F3,Fbln1,Figf,Flcn,Flrt2,Igsf10,Itga2b,Lama2,Lbp,Ldlrad4,Mmp2,Mmp3,Pdgfb,Pdgfra,Podn,Ptgs2,Sema3c,Serpinf1,Slit2,Smoc2
GO:0042775	mitochondrial ATP synthesis coupled electron transport	9	51	4.87e-05	ENSMUSP00000026561,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000065352,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	AI462493,Coq7,Cox7c,Cox8b,Cycs,Ndufa12,Ndufa8,Ndufb6,Ndufc2
GO:0010876	lipid localization	17	256	8.41e-05	ENSMUSP00000005824,ENSMUSP00000016168,ENSMUSP00000016401,ENSMUSP00000020948,ENSMUSP00000022169,ENSMUSP00000023040,ENSMUSP00000023243,ENSMUSP00000034588,ENSMUSP00000035458,ENSMUSP00000036338,ENSMUSP00000051726,ENSMUSP00000070709,ENSMUSP00000074872,ENSMUSP00000097860,ENSMUSP00000104091,ENSMUSP00000119827,ENSMUSP00000133302	Abca6,Abca8a,Abca8b,Abca9,Apoa1,Apoa2,Apoc1,Apod,Apoe,Fabp3,Gpihbp1,Hexb,Lbp,Nrip1,Slc25a17,Slmo2,Stard5
