#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0008137	NADH dehydrogenase (ubiquinone) activity	7	26	1.07e-06	ENSMUSP00000014438,ENSMUSP00000023851,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000136313	Ndufa12,Ndufa13,Ndufa2,Ndufa5,Ndufb7,Ndufc2,Ndufs7
GO:0016651	oxidoreductase activity, acting on NAD(P)H	9	82	1.53e-06	ENSMUSP00000000260,ENSMUSP00000014438,ENSMUSP00000023851,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000096753,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000136313	Gmpr,Ndufa12,Ndufa13,Ndufa2,Ndufa5,Ndufb7,Ndufc2,Ndufs7,Nnt
GO:0009055	electron transfer activity	8	65	2.94e-06	ENSMUSP00000014457,ENSMUSP00000020372,ENSMUSP00000021522,ENSMUSP00000026561,ENSMUSP00000096193,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Glrx5,Ndufa12,Uqcr11
GO:0003735	structural constituent of ribosome	10	153	1.32e-05	ENSMUSP00000024486,ENSMUSP00000030365,ENSMUSP00000032485,ENSMUSP00000032841,ENSMUSP00000044417,ENSMUSP00000044497,ENSMUSP00000053033,ENSMUSP00000062066,ENSMUSP00000104067,ENSMUSP00000115512	Mrpl12,Mrpl15,Mrpl34,Mrpl37,Mrpl46,Mrpl51,Mrps12,Mrps23,Mrps7,Rps19
GO:0016491	oxidoreductase activity	19	700	3.33e-05	ENSMUSP00000000260,ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000020372,ENSMUSP00000021522,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000034469,ENSMUSP00000037341,ENSMUSP00000041380,ENSMUSP00000096193,ENSMUSP00000096753,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	Chchd4,Coq7,Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Egln1,Glrx5,Gmpr,Ndufa12,Ndufa13,Ndufa2,Ndufa5,Ndufb7,Ndufc2,Ndufs7,Nnt,Uqcr11
GO:0005215	transporter activity	23	1067	8.93e-05	ENSMUSP00000005824,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016401,ENSMUSP00000018821,ENSMUSP00000020440,ENSMUSP00000023040,ENSMUSP00000023243,ENSMUSP00000026561,ENSMUSP00000032555,ENSMUSP00000033185,ENSMUSP00000034146,ENSMUSP00000034588,ENSMUSP00000045023,ENSMUSP00000050862,ENSMUSP00000070709,ENSMUSP00000074872,ENSMUSP00000096193,ENSMUSP00000102147,ENSMUSP00000104136,ENSMUSP00000115419,ENSMUSP00000126298,ENSMUSP00000133302	Apoa1,Apoa2,Apoe,Atp5e,Atp5h,Cox6c,Cox7a1,Cox7c,Cox8b,Fabp3,Gpihbp1,Hpx,Slc1a5,Slc25a17,Slc25a39,Slco4a1,Slmo2,Stard5,Timm13,Timm9,Tmem37,Tomm40,Ucp1
GO:0071813	lipoprotein particle binding	5	25	8.93e-05	ENSMUSP00000005824,ENSMUSP00000023243,ENSMUSP00000034588,ENSMUSP00000044248,ENSMUSP00000133302	Apoa1,Apoa2,Apoe,Gpihbp1,Scarf1
GO:0017127	cholesterol transporter activity	4	15	0.00029	ENSMUSP00000005824,ENSMUSP00000034588,ENSMUSP00000074872,ENSMUSP00000133302	Apoa1,Apoa2,Apoe,Stard5
GO:0060228	phosphatidylcholine-sterol O-acyltransferase activator activity	3	5	0.00055	ENSMUSP00000005824,ENSMUSP00000034588,ENSMUSP00000133302	Apoa1,Apoa2,Apoe
GO:0004129	cytochrome-c oxidase activity	4	22	0.00085	ENSMUSP00000014457,ENSMUSP00000026561,ENSMUSP00000096193,ENSMUSP00000115419	Cox6c,Cox7a1,Cox7c,Cox8b
