#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu05012	Parkinson's disease	26	138	4.94e-26	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000022419,ENSMUSP00000023085,ENSMUSP00000026561,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	Atp5e,Atp5h,Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Uqcr11
mmu00190	Oxidative phosphorylation	25	129	1.51e-25	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000020851,ENSMUSP00000023085,ENSMUSP00000026561,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000136313	Atp5e,Atp5h,Cox11,Cox6c,Cox7a1,Cox7c,Cox8b,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Uqcr11
mmu05016	Huntington's disease	27	187	8.52e-25	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000022419,ENSMUSP00000023085,ENSMUSP00000026561,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000034146,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	Atp5e,Atp5h,Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Ucp1,Uqcr11
mmu05010	Alzheimer's disease	26	167	1.01e-24	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000023085,ENSMUSP00000026561,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000133302,ENSMUSP00000136313	Apoe,Atp5e,Atp5h,Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Uqcr11
mmu04714	Thermogenesis	27	223	3.60e-23	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000020851,ENSMUSP00000023085,ENSMUSP00000026561,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000034146,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000136313	Atp5e,Atp5h,Cox11,Cox6c,Cox7a1,Cox7c,Cox8b,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ucp1,Uqcr11
mmu04932	Non-alcoholic fatty liver disease (NAFLD)	23	146	4.59e-22	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000023085,ENSMUSP00000026561,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Uqcr11
mmu04723	Retrograde endocannabinoid signaling	18	145	1.33e-15	ENSMUSP00000014438,ENSMUSP00000016571,ENSMUSP00000023085,ENSMUSP00000030401,ENSMUSP00000031670,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000136313	Gng11,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7
mmu01100	Metabolic pathways	33	1296	1.62e-09	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000020851,ENSMUSP00000021114,ENSMUSP00000023085,ENSMUSP00000023289,ENSMUSP00000026129,ENSMUSP00000026561,ENSMUSP00000030385,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000047855,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000095970,ENSMUSP00000096753,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	Atp5e,Atp5h,Chkb,Coq7,Cox11,Cox6c,Cox7c,Cox8b,Cycs,Galk1,Mcee,Mlycd,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Nnt,Pcyt2,Ppcs,Uqcr11
mmu04260	Cardiac muscle contraction	5	75	0.0030	ENSMUSP00000014457,ENSMUSP00000020372,ENSMUSP00000026561,ENSMUSP00000096193,ENSMUSP00000115419	Cox6c,Cox7a1,Cox7c,Cox8b,Uqcr11
mmu03010	Ribosome	6	128	0.0039	ENSMUSP00000044417,ENSMUSP00000044497,ENSMUSP00000053033,ENSMUSP00000062066,ENSMUSP00000104067,ENSMUSP00000115512	Mrpl12,Mrpl15,Mrpl34,Mrps12,Mrps7,Rps19
