#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu04510	Focal adhesion	12	195	7.13e-06	ENSMUSP00000001547,ENSMUSP00000020329,ENSMUSP00000033751,ENSMUSP00000034774,ENSMUSP00000084282,ENSMUSP00000090304,ENSMUSP00000096040,ENSMUSP00000102068,ENSMUSP00000107873,ENSMUSP00000124052,ENSMUSP00000127173,ENSMUSP00000139398	Col1a1,Col4a4,Col6a5,Col6a6,Egfr,Figf,Itga11,Itgb4,Lama2,Pdgfra,Reln,Vwf
mmu04512	ECM-receptor interaction	9	81	7.13e-06	ENSMUSP00000001547,ENSMUSP00000034774,ENSMUSP00000084282,ENSMUSP00000090304,ENSMUSP00000096040,ENSMUSP00000102068,ENSMUSP00000107873,ENSMUSP00000124052,ENSMUSP00000139398	Col1a1,Col4a4,Col6a5,Col6a6,Itga11,Itgb4,Lama2,Reln,Vwf
mmu04610	Complement and coagulation cascades	9	88	7.13e-06	ENSMUSP00000023994,ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000029140,ENSMUSP00000029771,ENSMUSP00000063707,ENSMUSP00000107607,ENSMUSP00000107873,ENSMUSP00000125531	C1ra,C1s1,C2,Cfb,Cfh,F3,Procr,Serping1,Vwf
mmu05205	Proteoglycans in cancer	11	199	4.27e-05	ENSMUSP00000001547,ENSMUSP00000020329,ENSMUSP00000021921,ENSMUSP00000029429,ENSMUSP00000034187,ENSMUSP00000044072,ENSMUSP00000049852,ENSMUSP00000064131,ENSMUSP00000100924,ENSMUSP00000126020,ENSMUSP00000130604	Col1a1,Dcn,Egfr,Fzd4,Gpc3,Hpse,Mmp2,Plce1,Ptch1,Tiam1,Wnt2b
mmu05150	Staphylococcus aureus infection	6	50	0.00018	ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000063707,ENSMUSP00000083587,ENSMUSP00000107607,ENSMUSP00000125531	C1ra,C1s1,C2,Cfb,Cfh,Icam1
mmu04151	PI3K-Akt signaling pathway	13	349	0.00020	ENSMUSP00000001547,ENSMUSP00000020329,ENSMUSP00000025523,ENSMUSP00000033751,ENSMUSP00000034774,ENSMUSP00000084282,ENSMUSP00000090304,ENSMUSP00000096040,ENSMUSP00000102068,ENSMUSP00000107873,ENSMUSP00000124052,ENSMUSP00000127173,ENSMUSP00000139398	Col1a1,Col4a4,Col6a5,Col6a6,Csf1r,Egfr,Figf,Itga11,Itgb4,Lama2,Pdgfra,Reln,Vwf
mmu04933	AGE-RAGE signaling pathway in diabetic complications	7	100	0.00056	ENSMUSP00000001547,ENSMUSP00000029771,ENSMUSP00000033751,ENSMUSP00000034187,ENSMUSP00000083587,ENSMUSP00000084282,ENSMUSP00000130604	Col1a1,Col4a4,F3,Figf,Icam1,Mmp2,Plce1
mmu05165	Human papillomavirus infection	12	335	0.00056	ENSMUSP00000001547,ENSMUSP00000020329,ENSMUSP00000029429,ENSMUSP00000034774,ENSMUSP00000049852,ENSMUSP00000084282,ENSMUSP00000090304,ENSMUSP00000096040,ENSMUSP00000102068,ENSMUSP00000107873,ENSMUSP00000124052,ENSMUSP00000139398	Col1a1,Col4a4,Col6a5,Col6a6,Egfr,Fzd4,Itga11,Itgb4,Lama2,Reln,Vwf,Wnt2b
mmu04340	Hedgehog signaling pathway	5	44	0.00081	ENSMUSP00000021921,ENSMUSP00000023370,ENSMUSP00000064555,ENSMUSP00000078047,ENSMUSP00000113977	Boc,Cdon,Gas1,Hhip,Ptch1
mmu04360	Axon guidance	8	174	0.0018	ENSMUSP00000020204,ENSMUSP00000021921,ENSMUSP00000023370,ENSMUSP00000038301,ENSMUSP00000066554,ENSMUSP00000101472,ENSMUSP00000110748,ENSMUSP00000127615	Boc,Epha3,Ephb2,Gdf7,Ntn4,Plxna4,Ptch1,Slit2
mmu04974	Protein digestion and absorption	6	90	0.0018	ENSMUSP00000001547,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000096040,ENSMUSP00000105846,ENSMUSP00000139398	Col12a1,Col14a1,Col1a1,Col4a4,Col6a5,Col6a6
mmu05133	Pertussis	5	74	0.0059	ENSMUSP00000023994,ENSMUSP00000025230,ENSMUSP00000034777,ENSMUSP00000063707,ENSMUSP00000125531	C1ra,C1s1,C2,Calml4,Serping1
mmu02010	ABC transporters	4	47	0.0093	ENSMUSP00000020948,ENSMUSP00000035458,ENSMUSP00000036338,ENSMUSP00000097860	Abca6,Abca8a,Abca8b,Abca9
mmu04024	cAMP signaling pathway	7	194	0.0140	ENSMUSP00000011315,ENSMUSP00000021921,ENSMUSP00000027020,ENSMUSP00000034777,ENSMUSP00000078047,ENSMUSP00000126020,ENSMUSP00000130604	Calml4,Gria4,Hhip,Plce1,Ptch1,Tiam1,Vipr2
mmu05200	Pathways in cancer	12	522	0.0140	ENSMUSP00000020329,ENSMUSP00000021921,ENSMUSP00000025523,ENSMUSP00000029429,ENSMUSP00000033751,ENSMUSP00000034187,ENSMUSP00000034777,ENSMUSP00000049852,ENSMUSP00000078047,ENSMUSP00000084282,ENSMUSP00000090304,ENSMUSP00000127173	Calml4,Col4a4,Csf1r,Egfr,Figf,Fzd4,Hhip,Lama2,Mmp2,Pdgfra,Ptch1,Wnt2b
mmu04015	Rap1 signaling pathway	7	207	0.0175	ENSMUSP00000020329,ENSMUSP00000025523,ENSMUSP00000033751,ENSMUSP00000034777,ENSMUSP00000126020,ENSMUSP00000127173,ENSMUSP00000130604	Calml4,Csf1r,Egfr,Figf,Pdgfra,Plce1,Tiam1
mmu05217	Basal cell carcinoma	4	63	0.0198	ENSMUSP00000021921,ENSMUSP00000029429,ENSMUSP00000049852,ENSMUSP00000078047	Fzd4,Hhip,Ptch1,Wnt2b
mmu04014	Ras signaling pathway	7	228	0.0263	ENSMUSP00000020329,ENSMUSP00000025523,ENSMUSP00000033751,ENSMUSP00000034777,ENSMUSP00000126020,ENSMUSP00000127173,ENSMUSP00000130604	Calml4,Csf1r,Egfr,Figf,Pdgfra,Plce1,Tiam1
mmu04926	Relaxin signaling pathway	5	130	0.0401	ENSMUSP00000001547,ENSMUSP00000020329,ENSMUSP00000033751,ENSMUSP00000034187,ENSMUSP00000084282	Col1a1,Col4a4,Egfr,Figf,Mmp2
