#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-1474244	Extracellular matrix organization	23	246	6.55e-15	ENSMUSP00000001547,ENSMUSP00000005532,ENSMUSP00000015498,ENSMUSP00000015664,ENSMUSP00000022660,ENSMUSP00000024849,ENSMUSP00000028633,ENSMUSP00000031731,ENSMUSP00000034187,ENSMUSP00000035802,ENSMUSP00000040171,ENSMUSP00000048334,ENSMUSP00000054583,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000083587,ENSMUSP00000084282,ENSMUSP00000090304,ENSMUSP00000096040,ENSMUSP00000100924,ENSMUSP00000102068,ENSMUSP00000105846,ENSMUSP00000125803	Adamts2,Col12a1,Col14a1,Col16a1,Col1a1,Col4a4,Col6a6,Col8a2,Ctsk,Dcn,Emilin2,Fbln1,Fbln2,Fbn1,Icam1,Itgb4,Lama2,Loxl2,Loxl4,Mmp2,Nid1,Pcolce,Pcolce2
MMU-1474290	Collagen formation	13	89	2.10e-10	ENSMUSP00000001547,ENSMUSP00000015498,ENSMUSP00000022660,ENSMUSP00000031731,ENSMUSP00000035802,ENSMUSP00000040171,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000096040,ENSMUSP00000102068,ENSMUSP00000105846,ENSMUSP00000125803	Adamts2,Col12a1,Col14a1,Col16a1,Col1a1,Col4a4,Col6a6,Col8a2,Itgb4,Loxl2,Loxl4,Pcolce,Pcolce2
MMU-1650814	Collagen biosynthesis and modifying enzymes	10	61	2.01e-08	ENSMUSP00000001547,ENSMUSP00000015498,ENSMUSP00000031731,ENSMUSP00000035802,ENSMUSP00000040171,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000096040,ENSMUSP00000105846	Adamts2,Col12a1,Col14a1,Col16a1,Col1a1,Col4a4,Col6a6,Col8a2,Pcolce,Pcolce2
MMU-2022090	Assembly of collagen fibrils and other multimeric structures	10	62	2.01e-08	ENSMUSP00000001547,ENSMUSP00000022660,ENSMUSP00000031731,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000096040,ENSMUSP00000102068,ENSMUSP00000105846,ENSMUSP00000125803	Col12a1,Col14a1,Col1a1,Col4a4,Col6a6,Col8a2,Itgb4,Loxl2,Loxl4,Pcolce
MMU-1474228	Degradation of the extracellular matrix	10	118	4.01e-06	ENSMUSP00000001547,ENSMUSP00000005532,ENSMUSP00000015664,ENSMUSP00000028633,ENSMUSP00000034187,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000096040,ENSMUSP00000100924	Col12a1,Col1a1,Col4a4,Col6a6,Col8a2,Ctsk,Dcn,Fbn1,Mmp2,Nid1
MMU-8948216	Collagen chain trimerization	7	40	4.01e-06	ENSMUSP00000001547,ENSMUSP00000035802,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000096040,ENSMUSP00000105846	Col12a1,Col14a1,Col16a1,Col1a1,Col4a4,Col6a6,Col8a2
MMU-2243919	Crosslinking of collagen fibrils	5	16	1.98e-05	ENSMUSP00000001547,ENSMUSP00000022660,ENSMUSP00000031731,ENSMUSP00000084282,ENSMUSP00000125803	Col1a1,Col4a4,Loxl2,Loxl4,Pcolce
MMU-1566948	Elastic fibre formation	6	37	3.50e-05	ENSMUSP00000022660,ENSMUSP00000024849,ENSMUSP00000028633,ENSMUSP00000048334,ENSMUSP00000054583,ENSMUSP00000125803	Emilin2,Fbln1,Fbln2,Fbn1,Loxl2,Loxl4
MMU-5632681	Ligand-receptor interactions	4	7	3.50e-05	ENSMUSP00000021921,ENSMUSP00000064555,ENSMUSP00000078047,ENSMUSP00000113977	Cdon,Gas1,Hhip,Ptch1
MMU-1442490	Collagen degradation	7	64	3.90e-05	ENSMUSP00000001547,ENSMUSP00000015664,ENSMUSP00000034187,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000096040	Col12a1,Col1a1,Col4a4,Col6a6,Col8a2,Ctsk,Mmp2
