#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0044429	mitochondrial part	12	854	2.95e-06	ENSMUSP00000023040,ENSMUSP00000029925,ENSMUSP00000030942,ENSMUSP00000033717,ENSMUSP00000041380,ENSMUSP00000042134,ENSMUSP00000044417,ENSMUSP00000046453,ENSMUSP00000050156,ENSMUSP00000077744,ENSMUSP00000103438,ENSMUSP00000115512	Cars2,Chchd4,Hccs,Mrpl12,Mrpl15,Mrpl20,Ndufaf4,Slc25a17,Timm8a1,Tomm5,Tsfm,Uqcrh
GO:0005740	mitochondrial envelope	7	590	0.0040	ENSMUSP00000023040,ENSMUSP00000029925,ENSMUSP00000033717,ENSMUSP00000041380,ENSMUSP00000050156,ENSMUSP00000077744,ENSMUSP00000103438	Chchd4,Hccs,Ndufaf4,Slc25a17,Timm8a1,Tomm5,Uqcrh
GO:0098798	mitochondrial protein complex	5	255	0.0040	ENSMUSP00000030942,ENSMUSP00000044417,ENSMUSP00000077744,ENSMUSP00000103438,ENSMUSP00000115512	Mrpl12,Mrpl15,Mrpl20,Tomm5,Uqcrh
GO:0005762	mitochondrial large ribosomal subunit	3	53	0.0043	ENSMUSP00000030942,ENSMUSP00000044417,ENSMUSP00000115512	Mrpl12,Mrpl15,Mrpl20
GO:0005759	mitochondrial matrix	5	327	0.0066	ENSMUSP00000030942,ENSMUSP00000042134,ENSMUSP00000044417,ENSMUSP00000046453,ENSMUSP00000115512	Cars2,Mrpl12,Mrpl15,Mrpl20,Tsfm
GO:0031966	mitochondrial membrane	6	539	0.0072	ENSMUSP00000023040,ENSMUSP00000029925,ENSMUSP00000033717,ENSMUSP00000050156,ENSMUSP00000077744,ENSMUSP00000103438	Hccs,Ndufaf4,Slc25a17,Timm8a1,Tomm5,Uqcrh
GO:0031967	organelle envelope	8	1015	0.0072	ENSMUSP00000023040,ENSMUSP00000029925,ENSMUSP00000033717,ENSMUSP00000041380,ENSMUSP00000050156,ENSMUSP00000077744,ENSMUSP00000103438,ENSMUSP00000133302	Apoe,Chchd4,Hccs,Ndufaf4,Slc25a17,Timm8a1,Tomm5,Uqcrh
GO:0034361	very-low-density lipoprotein particle	2	18	0.0078	ENSMUSP00000104091,ENSMUSP00000133302	Apoc1,Apoe
GO:0034364	high-density lipoprotein particle	2	24	0.0105	ENSMUSP00000104091,ENSMUSP00000133302	Apoc1,Apoe
GO:0005743	mitochondrial inner membrane	4	321	0.0207	ENSMUSP00000023040,ENSMUSP00000033717,ENSMUSP00000050156,ENSMUSP00000077744	Hccs,Slc25a17,Timm8a1,Uqcrh
GO:0005737	cytoplasm	26	9909	0.0369	ENSMUSP00000002805,ENSMUSP00000002881,ENSMUSP00000006478,ENSMUSP00000016672,ENSMUSP00000023040,ENSMUSP00000029925,ENSMUSP00000030848,ENSMUSP00000030942,ENSMUSP00000032462,ENSMUSP00000033717,ENSMUSP00000034623,ENSMUSP00000034808,ENSMUSP00000041380,ENSMUSP00000042134,ENSMUSP00000044417,ENSMUSP00000046453,ENSMUSP00000050156,ENSMUSP00000077744,ENSMUSP00000101197,ENSMUSP00000103438,ENSMUSP00000103795,ENSMUSP00000104091,ENSMUSP00000108649,ENSMUSP00000115512,ENSMUSP00000126173,ENSMUSP00000133302	Apoc1,Apoe,Cars2,Chchd4,Hccs,Mapkapk2,Mrpl12,Mrpl15,Mrpl20,Naa20,Ndufaf4,Nnmt,Nudt14,Perm1,Rbp7,Rnf128,Slc25a17,Timm8a1,Timp4,Tmem147,Tomm5,Trappc4,Tsfm,Ube2f,Unc45b,Uqcrh
