#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0044429	mitochondrial part	66	854	1.71e-47	ENSMUSP00000002735,ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016401,ENSMUSP00000016571,ENSMUSP00000018743,ENSMUSP00000018821,ENSMUSP00000020440,ENSMUSP00000020851,ENSMUSP00000021522,ENSMUSP00000022419,ENSMUSP00000023040,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000024486,ENSMUSP00000026561,ENSMUSP00000027853,ENSMUSP00000029925,ENSMUSP00000030365,ENSMUSP00000030401,ENSMUSP00000032485,ENSMUSP00000032555,ENSMUSP00000032841,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000033717,ENSMUSP00000034146,ENSMUSP00000036710,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000041380,ENSMUSP00000042134,ENSMUSP00000043543,ENSMUSP00000044417,ENSMUSP00000044497,ENSMUSP00000046453,ENSMUSP00000050156,ENSMUSP00000051643,ENSMUSP00000053033,ENSMUSP00000054086,ENSMUSP00000059494,ENSMUSP00000062066,ENSMUSP00000065352,ENSMUSP00000068450,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000095970,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000103438,ENSMUSP00000105796,ENSMUSP00000108926,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000115512,ENSMUSP00000117583,ENSMUSP00000124523,ENSMUSP00000126298,ENSMUSP00000136313	AI462493,Atg4d,Atp5e,Atp5h,Cars2,Chchd4,Clpp,Coq7,Cox11,Cox17,Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Dnajc11,Glrx5,Hccs,Lars2,Mief2,Minos1,Mlycd,Mpc2,Mrpl12,Mrpl15,Mrpl34,Mrpl37,Mrpl46,Mrpl51,Mrps12,Mrps23,Mrps7,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Slc25a17,Slc25a39,Slmo2,Smdt1,Timm13,Timm8a1,Timm9,Tmem11,Tomm40,Tomm5,Tomm6,Tsfm,Ucp1,Usmg5
GO:0005739	mitochondrion	71	1312	4.22e-42	ENSMUSP00000002735,ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016401,ENSMUSP00000016571,ENSMUSP00000018743,ENSMUSP00000018821,ENSMUSP00000020372,ENSMUSP00000020440,ENSMUSP00000020851,ENSMUSP00000021522,ENSMUSP00000022419,ENSMUSP00000023040,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000024486,ENSMUSP00000026561,ENSMUSP00000027853,ENSMUSP00000029925,ENSMUSP00000030192,ENSMUSP00000030365,ENSMUSP00000030401,ENSMUSP00000032485,ENSMUSP00000032555,ENSMUSP00000032841,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000033717,ENSMUSP00000034146,ENSMUSP00000036710,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000041380,ENSMUSP00000042134,ENSMUSP00000043543,ENSMUSP00000044417,ENSMUSP00000044497,ENSMUSP00000046453,ENSMUSP00000050156,ENSMUSP00000051643,ENSMUSP00000053033,ENSMUSP00000054086,ENSMUSP00000059494,ENSMUSP00000062066,ENSMUSP00000065352,ENSMUSP00000068450,ENSMUSP00000074872,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000095970,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000103438,ENSMUSP00000105796,ENSMUSP00000108926,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000115512,ENSMUSP00000117583,ENSMUSP00000118348,ENSMUSP00000120966,ENSMUSP00000124523,ENSMUSP00000126298,ENSMUSP00000136313	AI462493,Atg4d,Atp5e,Atp5h,Bola3,Cars2,Chchd4,Clpp,Cmc2,Coq7,Cox11,Cox17,Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Dnajc11,Glrx5,Hccs,Hint2,Lars2,Mief2,Minos1,Mlycd,Mpc2,Mrpl12,Mrpl15,Mrpl34,Mrpl37,Mrpl46,Mrpl51,Mrps12,Mrps23,Mrps7,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Slc25a17,Slc25a39,Slmo2,Smdt1,Stard5,Timm13,Timm8a1,Timm9,Tmem11,Tomm40,Tomm5,Tomm6,Tsfm,Ucp1,Uqcr11,Usmg5
GO:0098798	mitochondrial protein complex	42	255	3.15e-41	ENSMUSP00000014438,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000020440,ENSMUSP00000022419,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000024486,ENSMUSP00000026561,ENSMUSP00000030365,ENSMUSP00000030401,ENSMUSP00000032485,ENSMUSP00000032555,ENSMUSP00000032841,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000044417,ENSMUSP00000044497,ENSMUSP00000051643,ENSMUSP00000053033,ENSMUSP00000062066,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000103438,ENSMUSP00000105796,ENSMUSP00000108926,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000115512,ENSMUSP00000117583,ENSMUSP00000126298,ENSMUSP00000136313	AI462493,Atp5e,Atp5h,Cox7c,Cox8b,Dnajc11,Minos1,Mrpl12,Mrpl15,Mrpl34,Mrpl37,Mrpl46,Mrpl51,Mrps12,Mrps23,Mrps7,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Smdt1,Timm13,Timm9,Tomm40,Tomm5,Tomm6,Usmg5
GO:0005743	mitochondrial inner membrane	42	321	1.38e-37	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000018821,ENSMUSP00000020440,ENSMUSP00000020851,ENSMUSP00000022419,ENSMUSP00000023040,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000027853,ENSMUSP00000030401,ENSMUSP00000032555,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000033717,ENSMUSP00000034146,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000050156,ENSMUSP00000051643,ENSMUSP00000059494,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000117583,ENSMUSP00000126298,ENSMUSP00000136313	AI462493,Atp5e,Atp5h,Coq7,Cox11,Cox6c,Cox7a1,Cox7c,Cox8b,Dnajc11,Hccs,Minos1,Mpc2,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Slc25a17,Slc25a39,Smdt1,Timm13,Timm8a1,Timm9,Tmem11,Tomm40,Ucp1,Usmg5
GO:0005740	mitochondrial envelope	50	590	5.43e-37	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016401,ENSMUSP00000016571,ENSMUSP00000018743,ENSMUSP00000018821,ENSMUSP00000020440,ENSMUSP00000020851,ENSMUSP00000022419,ENSMUSP00000023040,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000027853,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032555,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000033717,ENSMUSP00000034146,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000041380,ENSMUSP00000043543,ENSMUSP00000050156,ENSMUSP00000051643,ENSMUSP00000054086,ENSMUSP00000059494,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000103438,ENSMUSP00000105796,ENSMUSP00000108926,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000117583,ENSMUSP00000124523,ENSMUSP00000126298,ENSMUSP00000136313	AI462493,Atp5e,Atp5h,Chchd4,Coq7,Cox11,Cox17,Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Dnajc11,Hccs,Mief2,Minos1,Mpc2,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Slc25a17,Slc25a39,Slmo2,Smdt1,Timm13,Timm8a1,Timm9,Tmem11,Tomm40,Tomm5,Tomm6,Ucp1,Usmg5
GO:0044455	mitochondrial membrane part	35	212	2.58e-34	ENSMUSP00000014438,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000020851,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000027853,ENSMUSP00000030401,ENSMUSP00000032555,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000051643,ENSMUSP00000059494,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000103438,ENSMUSP00000105796,ENSMUSP00000108926,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000117583,ENSMUSP00000126298,ENSMUSP00000136313	AI462493,Atp5e,Atp5h,Cox11,Cox7a1,Cox7c,Cox8b,Dnajc11,Minos1,Mpc2,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Smdt1,Timm9,Tmem11,Tomm40,Tomm5,Tomm6,Usmg5
GO:0031966	mitochondrial membrane	46	539	4.52e-34	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000018743,ENSMUSP00000018821,ENSMUSP00000020440,ENSMUSP00000020851,ENSMUSP00000022419,ENSMUSP00000023040,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000027853,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032555,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000033717,ENSMUSP00000034146,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000050156,ENSMUSP00000051643,ENSMUSP00000059494,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000103438,ENSMUSP00000105796,ENSMUSP00000108926,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000117583,ENSMUSP00000126298,ENSMUSP00000136313	AI462493,Atp5e,Atp5h,Coq7,Cox11,Cox6c,Cox7a1,Cox7c,Cox8b,Dnajc11,Hccs,Mief2,Minos1,Mpc2,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Slc25a17,Slc25a39,Smdt1,Timm13,Timm8a1,Timm9,Tmem11,Tomm40,Tomm5,Tomm6,Ucp1,Usmg5
GO:0098800	inner mitochondrial membrane protein complex	28	131	4.89e-30	ENSMUSP00000014438,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000051643,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000117583,ENSMUSP00000126298,ENSMUSP00000136313	AI462493,Atp5e,Atp5h,Cox7c,Cox8b,Dnajc11,Minos1,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Smdt1,Timm9,Usmg5
GO:0031967	organelle envelope	52	1015	9.26e-29	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016401,ENSMUSP00000016571,ENSMUSP00000018743,ENSMUSP00000018821,ENSMUSP00000020440,ENSMUSP00000020851,ENSMUSP00000022419,ENSMUSP00000023040,ENSMUSP00000023085,ENSMUSP00000023086,ENSMUSP00000023851,ENSMUSP00000024486,ENSMUSP00000026561,ENSMUSP00000027853,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032555,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000033717,ENSMUSP00000034146,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000041380,ENSMUSP00000043543,ENSMUSP00000050156,ENSMUSP00000051643,ENSMUSP00000054086,ENSMUSP00000059494,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093713,ENSMUSP00000093972,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000103438,ENSMUSP00000105796,ENSMUSP00000108926,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000117583,ENSMUSP00000124523,ENSMUSP00000126298,ENSMUSP00000133302,ENSMUSP00000136313	AI462493,Apoe,Atp5e,Atp5h,Chchd4,Coq7,Cox11,Cox17,Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Dnajc11,Hccs,Mief2,Minos1,Mpc2,Mrps23,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Slc25a17,Slc25a39,Slmo2,Smdt1,Timm13,Timm8a1,Timm9,Tmem11,Tomm40,Tomm5,Tomm6,Ucp1,Usmg5
GO:0070469	respirasome	24	87	4.85e-28	ENSMUSP00000014438,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000023085,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	AI462493,Cox7a1,Cox7c,Cox8b,Cycs,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Uqcr11
