#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005576	extracellular region	90	2044	3.42e-42	ENSMUSP00000000342,ENSMUSP00000000769,ENSMUSP00000001547,ENSMUSP00000004587,ENSMUSP00000005532,ENSMUSP00000015498,ENSMUSP00000015664,ENSMUSP00000016168,ENSMUSP00000017590,ENSMUSP00000017637,ENSMUSP00000020169,ENSMUSP00000020204,ENSMUSP00000021921,ENSMUSP00000022287,ENSMUSP00000022377,ENSMUSP00000022660,ENSMUSP00000023807,ENSMUSP00000023994,ENSMUSP00000024660,ENSMUSP00000024849,ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000028328,ENSMUSP00000028633,ENSMUSP00000028794,ENSMUSP00000028897,ENSMUSP00000029140,ENSMUSP00000029429,ENSMUSP00000029603,ENSMUSP00000029625,ENSMUSP00000029771,ENSMUSP00000030840,ENSMUSP00000031002,ENSMUSP00000031731,ENSMUSP00000033149,ENSMUSP00000033751,ENSMUSP00000033952,ENSMUSP00000034004,ENSMUSP00000034187,ENSMUSP00000035271,ENSMUSP00000035489,ENSMUSP00000035802,ENSMUSP00000037246,ENSMUSP00000037719,ENSMUSP00000038301,ENSMUSP00000038732,ENSMUSP00000039804,ENSMUSP00000040171,ENSMUSP00000040221,ENSMUSP00000044072,ENSMUSP00000045856,ENSMUSP00000048334,ENSMUSP00000054583,ENSMUSP00000055599,ENSMUSP00000057796,ENSMUSP00000058761,ENSMUSP00000062171,ENSMUSP00000063707,ENSMUSP00000064131,ENSMUSP00000066554,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000078047,ENSMUSP00000083587,ENSMUSP00000084282,ENSMUSP00000088857,ENSMUSP00000090304,ENSMUSP00000096040,ENSMUSP00000100924,ENSMUSP00000102068,ENSMUSP00000102320,ENSMUSP00000102796,ENSMUSP00000103015,ENSMUSP00000105846,ENSMUSP00000105953,ENSMUSP00000106152,ENSMUSP00000107539,ENSMUSP00000107607,ENSMUSP00000107873,ENSMUSP00000113520,ENSMUSP00000117636,ENSMUSP00000124052,ENSMUSP00000125531,ENSMUSP00000125803,ENSMUSP00000127274,ENSMUSP00000127615,ENSMUSP00000128202,ENSMUSP00000128621,ENSMUSP00000131355,ENSMUSP00000139398	Adamts12,Adamts2,Adamtsl1,Angptl7,Anpep,C1qtnf1,C1qtnf3,C1qtnf7,C1ra,C1s1,C2,Ccbe1,Ccl11,Cfb,Cfh,Clec11a,Col12a1,Col14a1,Col16a1,Col1a1,Col4a4,Col6a5,Col6a6,Col8a2,Cp,Cpxm1,Cpxm2,Cpz,Ctsk,Dcn,Egflam,Emilin2,Enpp3,Entpd2,Epha3,F3,Fam198a,Fbln1,Fbln2,Fbln7,Fbn1,Figf,Flrt2,Fmod,Fst,Gdf10,Gdf7,Glg1,Gpc3,Hhip,Hpse,Icam1,Igfbp4,Igfbp6,Igsf10,Itgb4,Lama2,Lbp,Loxl2,Loxl4,Man2b2,Matn2,Mmp2,Mmrn2,Nid1,Ntn4,Olfml2a,Pcolce,Pcolce2,Pdgfrl,Podn,Procr,Prss12,Prss35,Ptch1,Qpct,Reln,Rnase4,Serpinf1,Serping1,Sfrp1,Sfrp2,Siglec1,Slit2,Smoc2,Svep1,Tgfbi,Txndc16,Vwf,Wnt2b
GO:0031012	extracellular matrix	37	288	6.92e-30	ENSMUSP00000000769,ENSMUSP00000001547,ENSMUSP00000005532,ENSMUSP00000020204,ENSMUSP00000022660,ENSMUSP00000024660,ENSMUSP00000028328,ENSMUSP00000028633,ENSMUSP00000029771,ENSMUSP00000033952,ENSMUSP00000034187,ENSMUSP00000035489,ENSMUSP00000037719,ENSMUSP00000039804,ENSMUSP00000040171,ENSMUSP00000044072,ENSMUSP00000048334,ENSMUSP00000054583,ENSMUSP00000055599,ENSMUSP00000057796,ENSMUSP00000058761,ENSMUSP00000064131,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000090304,ENSMUSP00000096040,ENSMUSP00000100924,ENSMUSP00000102068,ENSMUSP00000105846,ENSMUSP00000107539,ENSMUSP00000107873,ENSMUSP00000117636,ENSMUSP00000124052,ENSMUSP00000128202,ENSMUSP00000131355,ENSMUSP00000139398	Adamts12,Adamts2,Ccbe1,Col12a1,Col14a1,Col1a1,Col4a4,Col6a5,Col6a6,Col8a2,Cpz,Dcn,Egflam,Entpd2,F3,Fbln1,Fbln2,Fbn1,Fmod,Glg1,Gpc3,Hpse,Itgb4,Lama2,Loxl2,Matn2,Mmp2,Mmrn2,Nid1,Ntn4,Olfml2a,Reln,Serpinf1,Sfrp1,Smoc2,Tgfbi,Vwf
GO:0044421	extracellular region part	63	1390	2.94e-28	ENSMUSP00000000342,ENSMUSP00000000769,ENSMUSP00000001547,ENSMUSP00000005532,ENSMUSP00000015664,ENSMUSP00000016168,ENSMUSP00000017590,ENSMUSP00000017637,ENSMUSP00000020204,ENSMUSP00000022660,ENSMUSP00000023807,ENSMUSP00000023994,ENSMUSP00000024660,ENSMUSP00000025229,ENSMUSP00000028328,ENSMUSP00000028633,ENSMUSP00000028897,ENSMUSP00000029140,ENSMUSP00000029429,ENSMUSP00000029625,ENSMUSP00000029771,ENSMUSP00000033751,ENSMUSP00000033952,ENSMUSP00000034187,ENSMUSP00000035489,ENSMUSP00000037719,ENSMUSP00000038301,ENSMUSP00000039804,ENSMUSP00000040171,ENSMUSP00000044072,ENSMUSP00000048334,ENSMUSP00000054583,ENSMUSP00000055599,ENSMUSP00000057796,ENSMUSP00000058761,ENSMUSP00000062171,ENSMUSP00000063707,ENSMUSP00000064131,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000083587,ENSMUSP00000084282,ENSMUSP00000088857,ENSMUSP00000090304,ENSMUSP00000096040,ENSMUSP00000100924,ENSMUSP00000102068,ENSMUSP00000102320,ENSMUSP00000103015,ENSMUSP00000105846,ENSMUSP00000106152,ENSMUSP00000107539,ENSMUSP00000107873,ENSMUSP00000113520,ENSMUSP00000117636,ENSMUSP00000124052,ENSMUSP00000125531,ENSMUSP00000125803,ENSMUSP00000127615,ENSMUSP00000128202,ENSMUSP00000128621,ENSMUSP00000131355,ENSMUSP00000139398	Adamts12,Adamts2,Anpep,C1qtnf1,C1qtnf3,C1qtnf7,C1ra,C1s1,Ccbe1,Ccl11,Cfb,Col12a1,Col14a1,Col1a1,Col4a4,Col6a5,Col6a6,Col8a2,Cp,Cpxm1,Cpz,Ctsk,Dcn,Egflam,Entpd2,F3,Fbln1,Fbln2,Fbn1,Figf,Flrt2,Fmod,Gdf10,Gdf7,Glg1,Gpc3,Hpse,Icam1,Igfbp4,Igfbp6,Itgb4,Lama2,Lbp,Loxl2,Loxl4,Matn2,Mmp2,Mmrn2,Nid1,Ntn4,Olfml2a,Podn,Procr,Reln,Serpinf1,Serping1,Sfrp1,Sfrp2,Slit2,Smoc2,Tgfbi,Vwf,Wnt2b
GO:0062023	collagen-containing extracellular matrix	25	148	1.41e-22	ENSMUSP00000000769,ENSMUSP00000001547,ENSMUSP00000005532,ENSMUSP00000020204,ENSMUSP00000022660,ENSMUSP00000024660,ENSMUSP00000028328,ENSMUSP00000028633,ENSMUSP00000033952,ENSMUSP00000035489,ENSMUSP00000037719,ENSMUSP00000040171,ENSMUSP00000048334,ENSMUSP00000054583,ENSMUSP00000055599,ENSMUSP00000057796,ENSMUSP00000064131,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000090304,ENSMUSP00000102068,ENSMUSP00000105846,ENSMUSP00000107539,ENSMUSP00000128202	Adamts12,Adamts2,Col12a1,Col14a1,Col1a1,Col4a4,Col8a2,Egflam,Entpd2,Fbln1,Fbln2,Fbn1,Fmod,Gpc3,Itgb4,Lama2,Loxl2,Matn2,Mmrn2,Nid1,Ntn4,Serpinf1,Sfrp1,Smoc2,Tgfbi
GO:0005604	basement membrane	16	99	5.55e-14	ENSMUSP00000000769,ENSMUSP00000005532,ENSMUSP00000020204,ENSMUSP00000022660,ENSMUSP00000024660,ENSMUSP00000028328,ENSMUSP00000028633,ENSMUSP00000037719,ENSMUSP00000054583,ENSMUSP00000055599,ENSMUSP00000070270,ENSMUSP00000084282,ENSMUSP00000090304,ENSMUSP00000102068,ENSMUSP00000107539,ENSMUSP00000128202	Col4a4,Col8a2,Egflam,Entpd2,Fbln1,Fbn1,Itgb4,Lama2,Loxl2,Matn2,Mmrn2,Nid1,Ntn4,Serpinf1,Smoc2,Tgfbi
GO:0005581	collagen trimer	14	78	8.38e-13	ENSMUSP00000001547,ENSMUSP00000017590,ENSMUSP00000024849,ENSMUSP00000035802,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000096040,ENSMUSP00000100924,ENSMUSP00000105846,ENSMUSP00000106152,ENSMUSP00000113520,ENSMUSP00000117636,ENSMUSP00000139398	C1qtnf1,C1qtnf3,C1qtnf7,Ccbe1,Col12a1,Col14a1,Col16a1,Col1a1,Col4a4,Col6a5,Col6a6,Col8a2,Dcn,Emilin2
GO:0005615	extracellular space	37	1131	1.61e-11	ENSMUSP00000000342,ENSMUSP00000000769,ENSMUSP00000015664,ENSMUSP00000016168,ENSMUSP00000017590,ENSMUSP00000017637,ENSMUSP00000023807,ENSMUSP00000023994,ENSMUSP00000024660,ENSMUSP00000025229,ENSMUSP00000028897,ENSMUSP00000029140,ENSMUSP00000029429,ENSMUSP00000029625,ENSMUSP00000029771,ENSMUSP00000033751,ENSMUSP00000034187,ENSMUSP00000037719,ENSMUSP00000038301,ENSMUSP00000039804,ENSMUSP00000054583,ENSMUSP00000062171,ENSMUSP00000063707,ENSMUSP00000064131,ENSMUSP00000083587,ENSMUSP00000088857,ENSMUSP00000102320,ENSMUSP00000103015,ENSMUSP00000106152,ENSMUSP00000107539,ENSMUSP00000113520,ENSMUSP00000117636,ENSMUSP00000124052,ENSMUSP00000125531,ENSMUSP00000125803,ENSMUSP00000127615,ENSMUSP00000128621	Anpep,C1qtnf1,C1qtnf3,C1qtnf7,C1ra,C1s1,Ccbe1,Ccl11,Cfb,Cp,Cpxm1,Cpz,Ctsk,F3,Fbln1,Figf,Flrt2,Gdf10,Gdf7,Gpc3,Icam1,Igfbp4,Igfbp6,Lbp,Loxl4,Mmp2,Mmrn2,Podn,Procr,Reln,Serpinf1,Serping1,Sfrp2,Slit2,Smoc2,Tgfbi,Wnt2b
GO:0031224	intrinsic component of membrane	72	4661	1.33e-07	ENSMUSP00000001059,ENSMUSP00000001824,ENSMUSP00000003843,ENSMUSP00000011315,ENSMUSP00000017590,ENSMUSP00000020169,ENSMUSP00000020329,ENSMUSP00000020485,ENSMUSP00000020948,ENSMUSP00000021921,ENSMUSP00000022610,ENSMUSP00000023370,ENSMUSP00000025523,ENSMUSP00000025581,ENSMUSP00000027020,ENSMUSP00000027431,ENSMUSP00000028328,ENSMUSP00000028689,ENSMUSP00000028794,ENSMUSP00000029140,ENSMUSP00000029625,ENSMUSP00000029771,ENSMUSP00000032157,ENSMUSP00000032501,ENSMUSP00000033952,ENSMUSP00000034774,ENSMUSP00000034992,ENSMUSP00000035404,ENSMUSP00000035458,ENSMUSP00000036220,ENSMUSP00000036338,ENSMUSP00000040019,ENSMUSP00000041828,ENSMUSP00000043918,ENSMUSP00000044004,ENSMUSP00000044110,ENSMUSP00000045650,ENSMUSP00000046199,ENSMUSP00000049852,ENSMUSP00000060307,ENSMUSP00000062171,ENSMUSP00000064131,ENSMUSP00000064555,ENSMUSP00000066554,ENSMUSP00000068471,ENSMUSP00000070847,ENSMUSP00000076514,ENSMUSP00000077574,ENSMUSP00000078047,ENSMUSP00000081104,ENSMUSP00000083587,ENSMUSP00000084494,ENSMUSP00000088857,ENSMUSP00000093976,ENSMUSP00000097860,ENSMUSP00000097889,ENSMUSP00000098369,ENSMUSP00000098969,ENSMUSP00000099755,ENSMUSP00000099796,ENSMUSP00000101472,ENSMUSP00000102068,ENSMUSP00000103015,ENSMUSP00000107047,ENSMUSP00000108260,ENSMUSP00000110748,ENSMUSP00000113977,ENSMUSP00000119411,ENSMUSP00000119790,ENSMUSP00000127173,ENSMUSP00000128674,ENSMUSP00000131355	Abca6,Abca8a,Abca8b,Abca9,Anpep,Atp6v0e2,Atrnl1,Bace2,Boc,C1qtnf1,Cd209b,Cd248,Cdon,Cldn10,Cp,Csf1r,Dchs1,ENSMUSG00000036242,Egfr,Enpp3,Entpd2,Epha3,Ephb2,Ern1,F3,Flrt2,Folh1,Fzd4,Gas1,Glg1,Glt8d2,Gpc3,Gpr133,Gria4,Gxylt2,Heg1,Hhip,Htr2b,Icam1,Ildr2,Itga11,Itgb4,Ldlrad4,Lrp1,Lrp4,Lrrn4cl,Man1a,Ms4a4d,Naalad2,Nt5e,Pdgfra,Piezo2,Plvap,Plxna4,Procr,Ptch1,Ptgfrn,Ptplad2,Scara5,Sfrp1,Sfrp2,Shisa3,Siglec1,Slc4a10,Sorcs2,Stab1,Steap3,Tm7sf3,Tmem176a,Tmem254b,Tspan11,Vipr2
GO:0009986	cell surface	25	796	2.53e-07	ENSMUSP00000001824,ENSMUSP00000016168,ENSMUSP00000020169,ENSMUSP00000020329,ENSMUSP00000022610,ENSMUSP00000023370,ENSMUSP00000025523,ENSMUSP00000028328,ENSMUSP00000028689,ENSMUSP00000029771,ENSMUSP00000033952,ENSMUSP00000034992,ENSMUSP00000035404,ENSMUSP00000043918,ENSMUSP00000049852,ENSMUSP00000055599,ENSMUSP00000078047,ENSMUSP00000081104,ENSMUSP00000083587,ENSMUSP00000102068,ENSMUSP00000103015,ENSMUSP00000107873,ENSMUSP00000113977,ENSMUSP00000119790,ENSMUSP00000127173	Anpep,Bace2,Boc,Cd209b,Cdon,Csf1r,Egflam,Egfr,Enpp3,Entpd2,F3,Folh1,Fzd4,Heg1,Hhip,Icam1,Itgb4,Lbp,Lrp4,Nt5e,Pdgfra,Plvap,Scara5,Sfrp1,Vwf
GO:0071944	cell periphery	69	4443	2.53e-07	ENSMUSP00000001824,ENSMUSP00000005532,ENSMUSP00000011315,ENSMUSP00000015278,ENSMUSP00000017590,ENSMUSP00000020169,ENSMUSP00000020204,ENSMUSP00000020329,ENSMUSP00000020948,ENSMUSP00000021921,ENSMUSP00000022610,ENSMUSP00000023370,ENSMUSP00000024660,ENSMUSP00000025523,ENSMUSP00000027020,ENSMUSP00000027431,ENSMUSP00000028328,ENSMUSP00000028689,ENSMUSP00000028794,ENSMUSP00000029603,ENSMUSP00000029771,ENSMUSP00000032501,ENSMUSP00000033952,ENSMUSP00000034187,ENSMUSP00000034774,ENSMUSP00000034992,ENSMUSP00000035404,ENSMUSP00000039360,ENSMUSP00000040019,ENSMUSP00000043918,ENSMUSP00000044004,ENSMUSP00000045650,ENSMUSP00000046199,ENSMUSP00000048119,ENSMUSP00000049852,ENSMUSP00000060307,ENSMUSP00000062171,ENSMUSP00000064131,ENSMUSP00000064555,ENSMUSP00000066554,ENSMUSP00000070847,ENSMUSP00000070927,ENSMUSP00000076514,ENSMUSP00000077574,ENSMUSP00000078047,ENSMUSP00000081104,ENSMUSP00000083587,ENSMUSP00000088857,ENSMUSP00000090304,ENSMUSP00000097860,ENSMUSP00000097889,ENSMUSP00000099755,ENSMUSP00000099796,ENSMUSP00000101472,ENSMUSP00000102068,ENSMUSP00000103015,ENSMUSP00000107607,ENSMUSP00000107873,ENSMUSP00000108260,ENSMUSP00000110748,ENSMUSP00000113977,ENSMUSP00000119790,ENSMUSP00000124052,ENSMUSP00000126020,ENSMUSP00000127173,ENSMUSP00000127615,ENSMUSP00000128674,ENSMUSP00000130604,ENSMUSP00000131355	Abca8a,Abca8b,Aldh1a3,Anpep,Atrnl1,Bace2,Boc,C1qtnf1,Cd209b,Cd248,Cdon,Cfh,Cldn10,Cp,Csf1r,Dchs1,Egfr,Enpp3,Entpd2,Epha3,Ephb2,F3,Flrt2,Folh1,Fzd4,Gas1,Glg1,Gpc3,Gpr133,Gria4,Heg1,Hhip,Htr2b,Icam1,Itga11,Itgb4,Lama2,Lrp1,Lrp4,Mmp2,Naalad2,Nid1,Nt5e,Ntn4,Pdgfra,Piezo2,Plce1,Plvap,Plxna4,Ppl,Prss12,Ptch1,Ptgfrn,Ptpn13,Reln,Scara5,Sfrp1,Siglec1,Slc4a10,Slit2,Smoc2,Stab1,Steap3,Tiam1,Tm7sf3,Tspan11,Vipr2,Vwf,Wdr6
