#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005518	collagen binding	11	60	4.44e-09	ENSMUSP00000005532,ENSMUSP00000015498,ENSMUSP00000015664,ENSMUSP00000017590,ENSMUSP00000031731,ENSMUSP00000034774,ENSMUSP00000037719,ENSMUSP00000100924,ENSMUSP00000102320,ENSMUSP00000107873,ENSMUSP00000117636	C1qtnf1,Ccbe1,Ctsk,Dcn,Itga11,Nid1,Pcolce,Pcolce2,Podn,Tgfbi,Vwf
GO:0005509	calcium ion binding	23	594	1.87e-07	ENSMUSP00000003843,ENSMUSP00000005532,ENSMUSP00000020169,ENSMUSP00000022660,ENSMUSP00000024660,ENSMUSP00000028633,ENSMUSP00000028689,ENSMUSP00000034777,ENSMUSP00000044004,ENSMUSP00000045856,ENSMUSP00000046199,ENSMUSP00000048334,ENSMUSP00000054583,ENSMUSP00000055599,ENSMUSP00000063707,ENSMUSP00000070847,ENSMUSP00000077574,ENSMUSP00000105953,ENSMUSP00000117636,ENSMUSP00000119790,ENSMUSP00000125531,ENSMUSP00000127615,ENSMUSP00000128202	C1ra,C1s1,Calml4,Ccbe1,Cd248,Dchs1,Egflam,Enpp3,Fbln1,Fbln2,Fbln7,Fbn1,Heg1,Loxl2,Lrp1,Lrp4,Man1a,Matn2,Nid1,Slit2,Smoc2,Stab1,Svep1
GO:0050840	extracellular matrix binding	8	56	6.12e-06	ENSMUSP00000005532,ENSMUSP00000020204,ENSMUSP00000037719,ENSMUSP00000048334,ENSMUSP00000058761,ENSMUSP00000070847,ENSMUSP00000100924,ENSMUSP00000127615	Cd248,Dcn,Fbln2,Nid1,Ntn4,Olfml2a,Slit2,Tgfbi
GO:0005539	glycosaminoglycan binding	12	184	6.57e-06	ENSMUSP00000015498,ENSMUSP00000021921,ENSMUSP00000024660,ENSMUSP00000028633,ENSMUSP00000031731,ENSMUSP00000033952,ENSMUSP00000046199,ENSMUSP00000055599,ENSMUSP00000100924,ENSMUSP00000105953,ENSMUSP00000107607,ENSMUSP00000127615	Cfh,Dcn,Egflam,Fbln7,Fbn1,Pcolce,Pcolce2,Ptch1,Sfrp1,Slit2,Smoc2,Stab1
GO:0043394	proteoglycan binding	6	32	4.60e-05	ENSMUSP00000005532,ENSMUSP00000015664,ENSMUSP00000022287,ENSMUSP00000044072,ENSMUSP00000107607,ENSMUSP00000127615	Cfh,Ctsk,Fst,Hpse,Nid1,Slit2
GO:0005044	scavenger receptor activity	6	44	0.00020	ENSMUSP00000020169,ENSMUSP00000022610,ENSMUSP00000022660,ENSMUSP00000029603,ENSMUSP00000046199,ENSMUSP00000125803	Enpp3,Loxl2,Loxl4,Prss12,Scara5,Stab1
GO:0008201	heparin binding	9	139	0.00020	ENSMUSP00000015498,ENSMUSP00000021921,ENSMUSP00000024660,ENSMUSP00000028633,ENSMUSP00000031731,ENSMUSP00000033952,ENSMUSP00000105953,ENSMUSP00000107607,ENSMUSP00000127615	Cfh,Fbln7,Fbn1,Pcolce,Pcolce2,Ptch1,Sfrp1,Slit2,Smoc2
GO:0038024	cargo receptor activity	7	79	0.00031	ENSMUSP00000020169,ENSMUSP00000022610,ENSMUSP00000022660,ENSMUSP00000029603,ENSMUSP00000044004,ENSMUSP00000046199,ENSMUSP00000125803	Enpp3,Loxl2,Loxl4,Lrp1,Prss12,Scara5,Stab1
GO:0008233	peptidase activity	17	586	0.00034	ENSMUSP00000001824,ENSMUSP00000015664,ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000029603,ENSMUSP00000033952,ENSMUSP00000034187,ENSMUSP00000039804,ENSMUSP00000040171,ENSMUSP00000043918,ENSMUSP00000057796,ENSMUSP00000063707,ENSMUSP00000102796,ENSMUSP00000103015,ENSMUSP00000124052,ENSMUSP00000125531,ENSMUSP00000128674	Adamts12,Adamts2,Adamtsl1,Anpep,Bace2,C1ra,C1s1,C2,Cfb,Cpz,Ctsk,Folh1,Mmp2,Naalad2,Prss12,Reln,Sfrp1
GO:0043167	ion binding	69	5302	0.00035	ENSMUSP00000001059,ENSMUSP00000001547,ENSMUSP00000001824,ENSMUSP00000003843,ENSMUSP00000005532,ENSMUSP00000015277,ENSMUSP00000015278,ENSMUSP00000015498,ENSMUSP00000020169,ENSMUSP00000020329,ENSMUSP00000020948,ENSMUSP00000021921,ENSMUSP00000022287,ENSMUSP00000022660,ENSMUSP00000024660,ENSMUSP00000024894,ENSMUSP00000025230,ENSMUSP00000025288,ENSMUSP00000025523,ENSMUSP00000027431,ENSMUSP00000028328,ENSMUSP00000028633,ENSMUSP00000028689,ENSMUSP00000028897,ENSMUSP00000029771,ENSMUSP00000031002,ENSMUSP00000031731,ENSMUSP00000033149,ENSMUSP00000033952,ENSMUSP00000034187,ENSMUSP00000034774,ENSMUSP00000034777,ENSMUSP00000034992,ENSMUSP00000035458,ENSMUSP00000036338,ENSMUSP00000038732,ENSMUSP00000039804,ENSMUSP00000040171,ENSMUSP00000044004,ENSMUSP00000045856,ENSMUSP00000046199,ENSMUSP00000048334,ENSMUSP00000054583,ENSMUSP00000055599,ENSMUSP00000057796,ENSMUSP00000063707,ENSMUSP00000066554,ENSMUSP00000070847,ENSMUSP00000077574,ENSMUSP00000078047,ENSMUSP00000081104,ENSMUSP00000088857,ENSMUSP00000097860,ENSMUSP00000101472,ENSMUSP00000103015,ENSMUSP00000105953,ENSMUSP00000107607,ENSMUSP00000108260,ENSMUSP00000117636,ENSMUSP00000119790,ENSMUSP00000124052,ENSMUSP00000125531,ENSMUSP00000125803,ENSMUSP00000126020,ENSMUSP00000127173,ENSMUSP00000127615,ENSMUSP00000128202,ENSMUSP00000128674,ENSMUSP00000130604	Abca6,Abca8a,Abca8b,Abca9,Adamts12,Adamts2,Aldh1a3,Anpep,C1ra,C1s1,C2,Calml4,Ccbe1,Cd209b,Cd248,Cfh,Col1a1,Cp,Cpxm1,Cpxm2,Cpz,Csf1r,Cyp1b1,Dchs1,Egflam,Egfr,Enpp3,Entpd2,Epha3,Ephb2,Ern1,F3,Fbln1,Fbln2,Fbln7,Fbn1,Folh1,Fst,Heg1,Hhip,Htr2b,Itga11,Loxl2,Loxl4,Lrp1,Lrp4,Lrrk1,Man1a,Man2b2,Matn2,Mmp2,Naalad2,Nid1,Nt5e,Pcolce,Pcolce2,Pdgfra,Plce1,Ptch1,Qpct,Reln,Sfrp1,Slit2,Smoc2,Stab1,Steap3,Svep1,Tiam1,Zfp521
