#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0007155	cell adhesion	35	705	3.58e-14	ENSMUSP00000005532,ENSMUSP00000020329,ENSMUSP00000023370,ENSMUSP00000024849,ENSMUSP00000024894,ENSMUSP00000028633,ENSMUSP00000028794,ENSMUSP00000033952,ENSMUSP00000034774,ENSMUSP00000034992,ENSMUSP00000035802,ENSMUSP00000037719,ENSMUSP00000044072,ENSMUSP00000045856,ENSMUSP00000046199,ENSMUSP00000049852,ENSMUSP00000057796,ENSMUSP00000062171,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000077574,ENSMUSP00000083587,ENSMUSP00000090304,ENSMUSP00000096040,ENSMUSP00000097889,ENSMUSP00000102068,ENSMUSP00000105846,ENSMUSP00000105953,ENSMUSP00000107873,ENSMUSP00000113977,ENSMUSP00000124052,ENSMUSP00000126020,ENSMUSP00000127173,ENSMUSP00000127615,ENSMUSP00000139398	Adamts12,Boc,Cdon,Cldn10,Col12a1,Col14a1,Col16a1,Col6a5,Col6a6,Col8a2,Cyp1b1,Dchs1,Egfr,Emilin2,Fbln7,Fbn1,Flrt2,Fzd4,Hpse,Icam1,Itga11,Itgb4,Lama2,Nid1,Nt5e,Pdgfra,Reln,Sfrp1,Siglec1,Slit2,Stab1,Svep1,Tgfbi,Tiam1,Vwf
GO:0030198	extracellular matrix organization	17	180	2.70e-10	ENSMUSP00000001547,ENSMUSP00000005532,ENSMUSP00000022660,ENSMUSP00000024660,ENSMUSP00000024894,ENSMUSP00000029625,ENSMUSP00000035489,ENSMUSP00000037719,ENSMUSP00000040171,ENSMUSP00000048334,ENSMUSP00000054583,ENSMUSP00000055599,ENSMUSP00000058761,ENSMUSP00000062171,ENSMUSP00000084282,ENSMUSP00000105846,ENSMUSP00000127173	Adamts2,Col14a1,Col1a1,Col4a4,Cyp1b1,Egflam,Fbln1,Fbln2,Flrt2,Fmod,Loxl2,Nid1,Olfml2a,Pdgfra,Sfrp2,Smoc2,Tgfbi
GO:0048583	regulation of response to stimulus	69	3552	2.70e-10	ENSMUSP00000000342,ENSMUSP00000000769,ENSMUSP00000001059,ENSMUSP00000001547,ENSMUSP00000004587,ENSMUSP00000015277,ENSMUSP00000015278,ENSMUSP00000016168,ENSMUSP00000017590,ENSMUSP00000017637,ENSMUSP00000020169,ENSMUSP00000020329,ENSMUSP00000021921,ENSMUSP00000022287,ENSMUSP00000023807,ENSMUSP00000023994,ENSMUSP00000024660,ENSMUSP00000024894,ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000025523,ENSMUSP00000027431,ENSMUSP00000027878,ENSMUSP00000028633,ENSMUSP00000028689,ENSMUSP00000028794,ENSMUSP00000029429,ENSMUSP00000029625,ENSMUSP00000029771,ENSMUSP00000033751,ENSMUSP00000033952,ENSMUSP00000034187,ENSMUSP00000034992,ENSMUSP00000038301,ENSMUSP00000044004,ENSMUSP00000044072,ENSMUSP00000047926,ENSMUSP00000048119,ENSMUSP00000049852,ENSMUSP00000054583,ENSMUSP00000057796,ENSMUSP00000062171,ENSMUSP00000063707,ENSMUSP00000064131,ENSMUSP00000064555,ENSMUSP00000068471,ENSMUSP00000078047,ENSMUSP00000083587,ENSMUSP00000100924,ENSMUSP00000101472,ENSMUSP00000102320,ENSMUSP00000105846,ENSMUSP00000106152,ENSMUSP00000107539,ENSMUSP00000107607,ENSMUSP00000108260,ENSMUSP00000110748,ENSMUSP00000113977,ENSMUSP00000117169,ENSMUSP00000117636,ENSMUSP00000123201,ENSMUSP00000124052,ENSMUSP00000125531,ENSMUSP00000126020,ENSMUSP00000127173,ENSMUSP00000127615,ENSMUSP00000128621,ENSMUSP00000130604,ENSMUSP00000131355	Adamts12,Aldh1a3,Bicc1,C1qtnf1,C1qtnf3,C1ra,C1s1,C2,Ccbe1,Ccl11,Cdon,Cfb,Cfh,Clec11a,Col14a1,Col1a1,Csf1r,Cyp1b1,Dact1,Dcn,Egfr,Enpp3,Ephb2,Ern1,F3,Fbln1,Fbn1,Figf,Flrt2,Fst,Fzd4,Gas1,Gdf10,Gdf7,Glg1,Gpc3,Hhip,Hpse,Htr2b,Icam1,Igfbp4,Igfbp6,Lbp,Ldlrad4,Lrp1,Lrp4,Lrrk1,Mmp2,Mmrn2,Nt5e,Pdgfra,Plce1,Plxna4,Podn,Prrx1,Ptch1,Ptpn13,Reln,Serpinf1,Serping1,Sfrp1,Sfrp2,Siglec1,Slit2,Smoc2,Srpx,Steap3,Tiam1,Wnt2b
GO:0051239	regulation of multicellular organismal process	61	2858	2.70e-10	ENSMUSP00000000342,ENSMUSP00000000769,ENSMUSP00000001547,ENSMUSP00000016168,ENSMUSP00000017590,ENSMUSP00000020204,ENSMUSP00000020329,ENSMUSP00000021921,ENSMUSP00000022287,ENSMUSP00000022660,ENSMUSP00000023370,ENSMUSP00000023994,ENSMUSP00000024660,ENSMUSP00000024894,ENSMUSP00000025523,ENSMUSP00000027431,ENSMUSP00000027878,ENSMUSP00000028633,ENSMUSP00000028689,ENSMUSP00000029140,ENSMUSP00000029429,ENSMUSP00000029625,ENSMUSP00000029771,ENSMUSP00000033751,ENSMUSP00000033952,ENSMUSP00000034187,ENSMUSP00000037246,ENSMUSP00000038301,ENSMUSP00000044004,ENSMUSP00000044072,ENSMUSP00000046199,ENSMUSP00000046951,ENSMUSP00000049852,ENSMUSP00000054583,ENSMUSP00000057796,ENSMUSP00000062171,ENSMUSP00000064131,ENSMUSP00000066554,ENSMUSP00000068471,ENSMUSP00000078047,ENSMUSP00000081104,ENSMUSP00000083587,ENSMUSP00000090304,ENSMUSP00000098969,ENSMUSP00000100924,ENSMUSP00000101472,ENSMUSP00000103015,ENSMUSP00000105846,ENSMUSP00000106152,ENSMUSP00000107539,ENSMUSP00000110748,ENSMUSP00000113977,ENSMUSP00000117169,ENSMUSP00000117636,ENSMUSP00000119790,ENSMUSP00000124052,ENSMUSP00000126020,ENSMUSP00000127173,ENSMUSP00000127615,ENSMUSP00000128621,ENSMUSP00000131355	Adamts12,Anpep,Boc,Btbd7,C1qtnf1,C1qtnf3,Ccbe1,Ccl11,Cd209b,Cdon,Col14a1,Col1a1,Csf1r,Cyp1b1,Dact1,Dcn,Egfr,Epha3,Ephb2,F3,Fbln1,Fbn1,Figf,Flrt2,Fst,Fzd4,Gdf10,Gdf7,Glg1,Gpc3,Heg1,Hhip,Hpse,Htr2b,Icam1,Igsf10,Lama2,Lbp,Ldlrad4,Loxl2,Lrp1,Lrp4,Mmp2,Mmrn2,Ntn4,Pdgfra,Plxna4,Procr,Prrx1,Ptch1,Reln,Serpinf1,Serping1,Sfrp1,Sfrp2,Slit2,Smoc2,Stab1,Tiam1,Tmem176a,Wnt2b
GO:0009653	anatomical structure morphogenesis	50	2089	7.12e-10	ENSMUSP00000000342,ENSMUSP00000001547,ENSMUSP00000015278,ENSMUSP00000020329,ENSMUSP00000021921,ENSMUSP00000022287,ENSMUSP00000022660,ENSMUSP00000023370,ENSMUSP00000024894,ENSMUSP00000025523,ENSMUSP00000027431,ENSMUSP00000027878,ENSMUSP00000028633,ENSMUSP00000028689,ENSMUSP00000029429,ENSMUSP00000029625,ENSMUSP00000033751,ENSMUSP00000033952,ENSMUSP00000034187,ENSMUSP00000037719,ENSMUSP00000038301,ENSMUSP00000044004,ENSMUSP00000044072,ENSMUSP00000048320,ENSMUSP00000049852,ENSMUSP00000062171,ENSMUSP00000064131,ENSMUSP00000064555,ENSMUSP00000070270,ENSMUSP00000070847,ENSMUSP00000071662,ENSMUSP00000077574,ENSMUSP00000078047,ENSMUSP00000090304,ENSMUSP00000099796,ENSMUSP00000101472,ENSMUSP00000102068,ENSMUSP00000103015,ENSMUSP00000107539,ENSMUSP00000110748,ENSMUSP00000113977,ENSMUSP00000117169,ENSMUSP00000117636,ENSMUSP00000119790,ENSMUSP00000124052,ENSMUSP00000126020,ENSMUSP00000127173,ENSMUSP00000127615,ENSMUSP00000128202,ENSMUSP00000131355	Aldh1a3,Anpep,Boc,Cc2d2a,Ccbe1,Ccl11,Cd248,Cdon,Col12a1,Col1a1,Col8a2,Csf1r,Cyp1b1,Dact1,Dchs1,Egfr,Ephb2,Fbn1,Figf,Flrt2,Fst,Fzd4,Gas1,Gdf7,Glg1,Gpc3,Heg1,Hhip,Hpse,Htr2b,Itgb4,Lama2,Loxl2,Lrp1,Lrp4,Matn2,Mmp2,Mmrn2,Pdgfra,Plxna4,Prrx1,Ptch1,Reln,Sfrp1,Sfrp2,Slc4a10,Slit2,Tgfbi,Tiam1,Wnt2b
GO:2000026	regulation of multicellular organismal development	48	1961	9.02e-10	ENSMUSP00000000342,ENSMUSP00000000769,ENSMUSP00000001547,ENSMUSP00000020204,ENSMUSP00000020329,ENSMUSP00000021921,ENSMUSP00000022287,ENSMUSP00000022660,ENSMUSP00000023370,ENSMUSP00000024660,ENSMUSP00000024894,ENSMUSP00000025523,ENSMUSP00000027878,ENSMUSP00000028633,ENSMUSP00000028689,ENSMUSP00000029429,ENSMUSP00000029625,ENSMUSP00000029771,ENSMUSP00000033751,ENSMUSP00000033952,ENSMUSP00000037246,ENSMUSP00000038301,ENSMUSP00000044004,ENSMUSP00000044072,ENSMUSP00000046199,ENSMUSP00000046951,ENSMUSP00000049852,ENSMUSP00000057796,ENSMUSP00000062171,ENSMUSP00000064131,ENSMUSP00000066554,ENSMUSP00000068471,ENSMUSP00000078047,ENSMUSP00000090304,ENSMUSP00000098969,ENSMUSP00000100924,ENSMUSP00000101472,ENSMUSP00000105846,ENSMUSP00000107539,ENSMUSP00000110748,ENSMUSP00000113977,ENSMUSP00000117169,ENSMUSP00000117636,ENSMUSP00000124052,ENSMUSP00000126020,ENSMUSP00000127173,ENSMUSP00000127615,ENSMUSP00000131355	Adamts12,Boc,Btbd7,Ccbe1,Ccl11,Cdon,Col14a1,Col1a1,Csf1r,Cyp1b1,Dact1,Dcn,Egfr,Epha3,Ephb2,F3,Fbn1,Figf,Flrt2,Fst,Fzd4,Gdf7,Glg1,Gpc3,Hhip,Hpse,Igsf10,Lama2,Ldlrad4,Loxl2,Lrp1,Lrp4,Mmrn2,Ntn4,Pdgfra,Plxna4,Prrx1,Ptch1,Reln,Serpinf1,Sfrp1,Sfrp2,Slit2,Smoc2,Stab1,Tiam1,Tmem176a,Wnt2b
GO:0035239	tube morphogenesis	28	690	1.23e-09	ENSMUSP00000000342,ENSMUSP00000020329,ENSMUSP00000021921,ENSMUSP00000022660,ENSMUSP00000024894,ENSMUSP00000027878,ENSMUSP00000029625,ENSMUSP00000033751,ENSMUSP00000033952,ENSMUSP00000034187,ENSMUSP00000037719,ENSMUSP00000038301,ENSMUSP00000044004,ENSMUSP00000044072,ENSMUSP00000048320,ENSMUSP00000049852,ENSMUSP00000064131,ENSMUSP00000070270,ENSMUSP00000077574,ENSMUSP00000078047,ENSMUSP00000101472,ENSMUSP00000103015,ENSMUSP00000107539,ENSMUSP00000117169,ENSMUSP00000117636,ENSMUSP00000119790,ENSMUSP00000127173,ENSMUSP00000127615	Anpep,Cc2d2a,Ccbe1,Ccl11,Col8a2,Cyp1b1,Dact1,Dchs1,Egfr,Ephb2,Figf,Fzd4,Gdf7,Gpc3,Heg1,Hhip,Hpse,Loxl2,Lrp1,Mmp2,Mmrn2,Pdgfra,Prrx1,Ptch1,Sfrp1,Sfrp2,Slit2,Tgfbi
GO:0030334	regulation of cell migration	30	805	1.32e-09	ENSMUSP00000000342,ENSMUSP00000000769,ENSMUSP00000001547,ENSMUSP00000016168,ENSMUSP00000020329,ENSMUSP00000024660,ENSMUSP00000024894,ENSMUSP00000025523,ENSMUSP00000029625,ENSMUSP00000029771,ENSMUSP00000033751,ENSMUSP00000033952,ENSMUSP00000034187,ENSMUSP00000035404,ENSMUSP00000037246,ENSMUSP00000044004,ENSMUSP00000054583,ENSMUSP00000062171,ENSMUSP00000066554,ENSMUSP00000068471,ENSMUSP00000083587,ENSMUSP00000090304,ENSMUSP00000100924,ENSMUSP00000102320,ENSMUSP00000107539,ENSMUSP00000117636,ENSMUSP00000124052,ENSMUSP00000126020,ENSMUSP00000127173,ENSMUSP00000127615	Ccbe1,Ccl11,Col1a1,Csf1r,Cyp1b1,Dcn,Egfr,Epha3,F3,Fbln1,Figf,Flrt2,Icam1,Igsf10,Lama2,Lbp,Ldlrad4,Lrp1,Mmp2,Mmrn2,Pdgfra,Plvap,Podn,Reln,Serpinf1,Sfrp1,Sfrp2,Slit2,Smoc2,Tiam1
GO:0048584	positive regulation of response to stimulus	47	1922	1.32e-09	ENSMUSP00000000342,ENSMUSP00000001059,ENSMUSP00000001547,ENSMUSP00000015277,ENSMUSP00000015278,ENSMUSP00000016168,ENSMUSP00000017590,ENSMUSP00000017637,ENSMUSP00000020329,ENSMUSP00000023994,ENSMUSP00000024660,ENSMUSP00000024894,ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000025523,ENSMUSP00000027431,ENSMUSP00000027878,ENSMUSP00000028794,ENSMUSP00000029429,ENSMUSP00000029625,ENSMUSP00000029771,ENSMUSP00000033751,ENSMUSP00000033952,ENSMUSP00000034187,ENSMUSP00000038301,ENSMUSP00000044072,ENSMUSP00000047926,ENSMUSP00000049852,ENSMUSP00000063707,ENSMUSP00000064131,ENSMUSP00000064555,ENSMUSP00000083587,ENSMUSP00000100924,ENSMUSP00000101472,ENSMUSP00000106152,ENSMUSP00000107607,ENSMUSP00000108260,ENSMUSP00000113977,ENSMUSP00000117169,ENSMUSP00000117636,ENSMUSP00000124052,ENSMUSP00000125531,ENSMUSP00000126020,ENSMUSP00000127173,ENSMUSP00000127615,ENSMUSP00000128621,ENSMUSP00000130604	Aldh1a3,C1qtnf1,C1qtnf3,C1ra,C1s1,C2,Ccbe1,Ccl11,Cdon,Cfb,Cfh,Col1a1,Csf1r,Cyp1b1,Dact1,Dcn,Egfr,Ephb2,Ern1,F3,Figf,Fzd4,Gas1,Gdf10,Gdf7,Gpc3,Hpse,Htr2b,Icam1,Igfbp4,Lbp,Lrrk1,Mmp2,Pdgfra,Plce1,Prrx1,Reln,Serping1,Sfrp1,Sfrp2,Siglec1,Slit2,Smoc2,Srpx,Steap3,Tiam1,Wnt2b
GO:0035295	tube development	31	912	3.72e-09	ENSMUSP00000000342,ENSMUSP00000020329,ENSMUSP00000021921,ENSMUSP00000022660,ENSMUSP00000024894,ENSMUSP00000027878,ENSMUSP00000029625,ENSMUSP00000033751,ENSMUSP00000033952,ENSMUSP00000034187,ENSMUSP00000037719,ENSMUSP00000038301,ENSMUSP00000040171,ENSMUSP00000044004,ENSMUSP00000044072,ENSMUSP00000048320,ENSMUSP00000049852,ENSMUSP00000064131,ENSMUSP00000064555,ENSMUSP00000070270,ENSMUSP00000077574,ENSMUSP00000078047,ENSMUSP00000101472,ENSMUSP00000102068,ENSMUSP00000103015,ENSMUSP00000107539,ENSMUSP00000117169,ENSMUSP00000117636,ENSMUSP00000119790,ENSMUSP00000127173,ENSMUSP00000127615	Adamts2,Anpep,Cc2d2a,Ccbe1,Ccl11,Col8a2,Cyp1b1,Dact1,Dchs1,Egfr,Ephb2,Figf,Fzd4,Gas1,Gdf7,Gpc3,Heg1,Hhip,Hpse,Itgb4,Loxl2,Lrp1,Mmp2,Mmrn2,Pdgfra,Prrx1,Ptch1,Sfrp1,Sfrp2,Slit2,Tgfbi
