#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu05150	Staphylococcus aureus infection	8	50	3.63e-08	ENSMUSP00000000299,ENSMUSP00000029748,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000048092,ENSMUSP00000048836,ENSMUSP00000077873,ENSMUSP00000131938	C1qa,C1qb,C1qc,C3ar1,Fcgr1,Fcgr3,Fcgr4,Itgb2
mmu04142	Lysosome	9	123	6.76e-07	ENSMUSP00000015667,ENSMUSP00000016400,ENSMUSP00000021607,ENSMUSP00000021933,ENSMUSP00000026613,ENSMUSP00000027368,ENSMUSP00000029900,ENSMUSP00000104294,ENSMUSP00000118415	Atp6v0d2,Cd68,Ctsl,Ctss,Ctsz,Gusb,Laptm5,Lgmn,Slc11a1
mmu04145	Phagosome	10	165	6.76e-07	ENSMUSP00000000299,ENSMUSP00000015484,ENSMUSP00000015667,ENSMUSP00000016427,ENSMUSP00000021933,ENSMUSP00000029748,ENSMUSP00000029900,ENSMUSP00000077873,ENSMUSP00000131938,ENSMUSP00000140404	Atp6v0d2,Ctsl,Ctss,Cybb,Fcgr1,Fcgr3,Fcgr4,H2-M2,Itgb2,Ncf2
mmu04380	Osteoclast differentiation	9	122	6.76e-07	ENSMUSP00000002180,ENSMUSP00000024791,ENSMUSP00000029748,ENSMUSP00000032800,ENSMUSP00000077546,ENSMUSP00000077873,ENSMUSP00000099491,ENSMUSP00000131938,ENSMUSP00000140404	Fcgr1,Fcgr3,Fcgr4,Ncf2,Pirb,Sirpa,Spi1,Trem2,Tyrobp
mmu05152	Tuberculosis	9	172	4.89e-06	ENSMUSP00000000299,ENSMUSP00000015667,ENSMUSP00000029748,ENSMUSP00000029900,ENSMUSP00000033053,ENSMUSP00000034594,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000131938	Atp6v0d2,Ctss,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Il10ra,Itgax,Itgb2
mmu04610	Complement and coagulation cascades	7	88	6.66e-06	ENSMUSP00000000299,ENSMUSP00000033053,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000048092,ENSMUSP00000048836,ENSMUSP00000107873	C1qa,C1qb,C1qc,C3ar1,Itgax,Itgb2,Vwf
mmu05140	Leishmaniasis	6	65	1.78e-05	ENSMUSP00000000299,ENSMUSP00000015484,ENSMUSP00000029748,ENSMUSP00000077873,ENSMUSP00000131938,ENSMUSP00000140404	Cybb,Fcgr1,Fcgr3,Fcgr4,Itgb2,Ncf2
mmu04060	Cytokine-cytokine receptor interaction	8	252	0.00049	ENSMUSP00000019064,ENSMUSP00000019071,ENSMUSP00000019266,ENSMUSP00000030336,ENSMUSP00000034594,ENSMUSP00000094082,ENSMUSP00000094083,ENSMUSP00000101768	Ccl6,Ccl9,Csf2rb,Csf2rb2,Csf3r,Cxcl16,Il10ra,Tnfrsf1b
mmu04210	Apoptosis	6	135	0.00072	ENSMUSP00000015667,ENSMUSP00000016400,ENSMUSP00000021933,ENSMUSP00000065612,ENSMUSP00000094082,ENSMUSP00000094083	Bcl2a1b,Csf2rb,Csf2rb2,Ctsl,Ctss,Ctsz
mmu05322	Systemic lupus erythematosus	5	92	0.0011	ENSMUSP00000029748,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000048836,ENSMUSP00000077873	C1qa,C1qb,C1qc,Fcgr1,Fcgr4
mmu05133	Pertussis	4	74	0.0052	ENSMUSP00000000299,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000048836	C1qa,C1qb,C1qc,Itgb2
mmu04612	Antigen processing and presentation	4	78	0.0057	ENSMUSP00000015667,ENSMUSP00000016427,ENSMUSP00000021607,ENSMUSP00000021933	Ctsl,Ctss,H2-M2,Lgmn
mmu05020	Prion diseases	3	34	0.0059	ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000048836	C1qa,C1qb,C1qc
mmu04062	Chemokine signaling pathway	5	179	0.0146	ENSMUSP00000003370,ENSMUSP00000019064,ENSMUSP00000019071,ENSMUSP00000019266,ENSMUSP00000030693	Ccl6,Ccl9,Cxcl16,Fgr,Hck
mmu04650	Natural killer cell mediated cytotoxicity	4	111	0.0160	ENSMUSP00000000299,ENSMUSP00000032800,ENSMUSP00000077873,ENSMUSP00000078875	Fcer1g,Fcgr4,Itgb2,Tyrobp
mmu04662	B cell receptor signaling pathway	3	69	0.0327	ENSMUSP00000030179,ENSMUSP00000052777,ENSMUSP00000077546	Cd72,Pik3ap1,Pirb
mmu05221	Acute myeloid leukemia	3	69	0.0327	ENSMUSP00000002180,ENSMUSP00000029748,ENSMUSP00000065612	Bcl2a1b,Fcgr1,Spi1
mmu04514	Cell adhesion molecules (CAMs)	4	158	0.0445	ENSMUSP00000000299,ENSMUSP00000016427,ENSMUSP00000028794,ENSMUSP00000065877	H2-M2,Itgb2,Sdc3,Siglec1
mmu04630	Jak-STAT signaling pathway	4	161	0.0445	ENSMUSP00000034594,ENSMUSP00000094082,ENSMUSP00000094083,ENSMUSP00000101768	Csf2rb,Csf2rb2,Csf3r,Il10ra
mmu05323	Rheumatoid arthritis	3	81	0.0445	ENSMUSP00000000299,ENSMUSP00000021933,ENSMUSP00000029900	Atp6v0d2,Ctsl,Itgb2
mmu00590	Arachidonic acid metabolism	3	88	0.0475	ENSMUSP00000003017,ENSMUSP00000003574,ENSMUSP00000099916	Cyp4f18,Ptges,Tbxas1
