#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0044425	membrane part	70	5857	1.65e-14	ENSMUSP00000000299,ENSMUSP00000003017,ENSMUSP00000003370,ENSMUSP00000003574,ENSMUSP00000005548,ENSMUSP00000015484,ENSMUSP00000017544,ENSMUSP00000019064,ENSMUSP00000020301,ENSMUSP00000021231,ENSMUSP00000021738,ENSMUSP00000021933,ENSMUSP00000023453,ENSMUSP00000024118,ENSMUSP00000024791,ENSMUSP00000024829,ENSMUSP00000025582,ENSMUSP00000025646,ENSMUSP00000027368,ENSMUSP00000028794,ENSMUSP00000029748,ENSMUSP00000029900,ENSMUSP00000030179,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000031840,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000034594,ENSMUSP00000035404,ENSMUSP00000036116,ENSMUSP00000043101,ENSMUSP00000048092,ENSMUSP00000049686,ENSMUSP00000063277,ENSMUSP00000063627,ENSMUSP00000065877,ENSMUSP00000067002,ENSMUSP00000073913,ENSMUSP00000077546,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000083971,ENSMUSP00000090121,ENSMUSP00000094082,ENSMUSP00000094083,ENSMUSP00000098369,ENSMUSP00000099491,ENSMUSP00000099916,ENSMUSP00000101684,ENSMUSP00000101768,ENSMUSP00000102171,ENSMUSP00000103412,ENSMUSP00000104294,ENSMUSP00000104844,ENSMUSP00000105129,ENSMUSP00000106907,ENSMUSP00000107707,ENSMUSP00000107873,ENSMUSP00000108573,ENSMUSP00000113820,ENSMUSP00000114350,ENSMUSP00000116271,ENSMUSP00000118415,ENSMUSP00000124272,ENSMUSP00000124569,ENSMUSP00000126914,ENSMUSP00000131938,ENSMUSP00000138944,ENSMUSP00000140404	AF251705,Abcc3,Abcg1,Adam8,Atp6v0d2,B4galt5,C3ar1,Cd300lb,Cd300lf,Cd68,Cd72,Cemip,Clec12a,Clec4n,Clec7a,Csf2rb,Csf2rb2,Csf3r,Ctsl,Cxcl16,Cybb,Cyp4f18,Emr1,Entpd4,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Fgr,Gpnmb,Gpr137b,Gpr35,Hck,Hmox1,Il10ra,Itgax,Itgb2,Laptm5,Lcp1,Lgals3,Lrrc25,Mfsd12,Mpeg1,Ms4a6d,Ncf2,Nfam1,Pirb,Pld3,Pld4,Plvap,Ptges,Rbpr2,Sdc3,Sdf2l1,Siglec1,Sirpa,Slamf7,Slc11a1,Slc15a3,Slc37a2,Stac2,Tbxas1,Tlr13,Tmem254b,Tnfrsf1b,Trem2,Tyrobp,Unc93b1,Vsir,Vwf
GO:0016021	integral component of membrane	59	4504	5.06e-13	ENSMUSP00000000299,ENSMUSP00000003017,ENSMUSP00000003574,ENSMUSP00000015484,ENSMUSP00000019064,ENSMUSP00000020301,ENSMUSP00000021231,ENSMUSP00000021738,ENSMUSP00000024118,ENSMUSP00000024791,ENSMUSP00000024829,ENSMUSP00000025582,ENSMUSP00000025646,ENSMUSP00000027368,ENSMUSP00000028794,ENSMUSP00000029748,ENSMUSP00000030179,ENSMUSP00000030336,ENSMUSP00000031840,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000034594,ENSMUSP00000035404,ENSMUSP00000036116,ENSMUSP00000043101,ENSMUSP00000048092,ENSMUSP00000049686,ENSMUSP00000063627,ENSMUSP00000065877,ENSMUSP00000067002,ENSMUSP00000073913,ENSMUSP00000077546,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000083971,ENSMUSP00000090121,ENSMUSP00000094082,ENSMUSP00000094083,ENSMUSP00000098369,ENSMUSP00000099491,ENSMUSP00000099916,ENSMUSP00000101684,ENSMUSP00000101768,ENSMUSP00000102171,ENSMUSP00000103412,ENSMUSP00000104294,ENSMUSP00000104844,ENSMUSP00000105129,ENSMUSP00000106907,ENSMUSP00000107707,ENSMUSP00000108573,ENSMUSP00000113820,ENSMUSP00000118415,ENSMUSP00000124272,ENSMUSP00000124569,ENSMUSP00000126914,ENSMUSP00000131938,ENSMUSP00000138944,ENSMUSP00000140404	AF251705,Abcc3,Abcg1,Adam8,B4galt5,C3ar1,Cd300lb,Cd300lf,Cd68,Cd72,Clec12a,Clec4n,Clec7a,Csf2rb,Csf2rb2,Csf3r,Cxcl16,Cybb,Cyp4f18,Emr1,Entpd4,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Gpnmb,Gpr137b,Gpr35,Il10ra,Itgax,Itgb2,Laptm5,Lrrc25,Mfsd12,Mpeg1,Ms4a6d,Ncf2,Nfam1,Pirb,Pld3,Pld4,Plvap,Ptges,Rbpr2,Sdc3,Siglec1,Sirpa,Slamf7,Slc11a1,Slc15a3,Slc37a2,Tbxas1,Tlr13,Tmem254b,Tnfrsf1b,Trem2,Tyrobp,Unc93b1,Vsir
GO:0016020	membrane	74	7460	7.65e-12	ENSMUSP00000000299,ENSMUSP00000003017,ENSMUSP00000003370,ENSMUSP00000003574,ENSMUSP00000005548,ENSMUSP00000015484,ENSMUSP00000015667,ENSMUSP00000015998,ENSMUSP00000017544,ENSMUSP00000019064,ENSMUSP00000020301,ENSMUSP00000021231,ENSMUSP00000021738,ENSMUSP00000021933,ENSMUSP00000023453,ENSMUSP00000024118,ENSMUSP00000024791,ENSMUSP00000024829,ENSMUSP00000025582,ENSMUSP00000025646,ENSMUSP00000027368,ENSMUSP00000028794,ENSMUSP00000029748,ENSMUSP00000029900,ENSMUSP00000030179,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000031840,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000034594,ENSMUSP00000035404,ENSMUSP00000035579,ENSMUSP00000036116,ENSMUSP00000043101,ENSMUSP00000048092,ENSMUSP00000049686,ENSMUSP00000052777,ENSMUSP00000063277,ENSMUSP00000063627,ENSMUSP00000065877,ENSMUSP00000067002,ENSMUSP00000073913,ENSMUSP00000077546,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000083971,ENSMUSP00000090121,ENSMUSP00000094082,ENSMUSP00000094083,ENSMUSP00000098369,ENSMUSP00000099491,ENSMUSP00000099916,ENSMUSP00000101684,ENSMUSP00000101768,ENSMUSP00000102171,ENSMUSP00000103412,ENSMUSP00000104294,ENSMUSP00000104844,ENSMUSP00000105129,ENSMUSP00000106907,ENSMUSP00000107707,ENSMUSP00000107873,ENSMUSP00000108573,ENSMUSP00000113820,ENSMUSP00000114350,ENSMUSP00000116271,ENSMUSP00000118415,ENSMUSP00000124272,ENSMUSP00000124569,ENSMUSP00000126914,ENSMUSP00000131938,ENSMUSP00000138944,ENSMUSP00000140404	AF251705,Abcc3,Abcg1,Adam8,Atp6v0d2,B4galt5,C3ar1,Cd300lb,Cd300lf,Cd5l,Cd68,Cd72,Cemip,Clec12a,Clec4n,Clec7a,Csf2rb,Csf2rb2,Csf3r,Ctsl,Ctss,Cxcl16,Cybb,Cyp4f18,Emr1,Entpd4,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Fgr,Gpnmb,Gpr137b,Gpr35,Hck,Hmox1,Il10ra,Itgax,Itgb2,Laptm5,Lcp1,Lgals3,Lgals3bp,Lrrc25,Mfsd12,Mpeg1,Ms4a6d,Ncf2,Nfam1,Pik3ap1,Pirb,Pld3,Pld4,Plvap,Ptges,Rbpr2,Sdc3,Sdf2l1,Siglec1,Sirpa,Slamf7,Slc11a1,Slc15a3,Slc37a2,Stac2,Tbxas1,Tlr13,Tmem254b,Tnfrsf1b,Trem2,Tyrobp,Unc93b1,Vsir,Vwf
GO:0071944	cell periphery	54	4443	1.83e-10	ENSMUSP00000000299,ENSMUSP00000003370,ENSMUSP00000003574,ENSMUSP00000005548,ENSMUSP00000015484,ENSMUSP00000016400,ENSMUSP00000017544,ENSMUSP00000020301,ENSMUSP00000021231,ENSMUSP00000021933,ENSMUSP00000024118,ENSMUSP00000024791,ENSMUSP00000024829,ENSMUSP00000027368,ENSMUSP00000028794,ENSMUSP00000029748,ENSMUSP00000029900,ENSMUSP00000030179,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000031840,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000034594,ENSMUSP00000035404,ENSMUSP00000043101,ENSMUSP00000048092,ENSMUSP00000052777,ENSMUSP00000063277,ENSMUSP00000063627,ENSMUSP00000065877,ENSMUSP00000073913,ENSMUSP00000077546,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000083971,ENSMUSP00000084887,ENSMUSP00000090121,ENSMUSP00000094083,ENSMUSP00000099491,ENSMUSP00000099806,ENSMUSP00000101684,ENSMUSP00000102171,ENSMUSP00000103412,ENSMUSP00000104294,ENSMUSP00000105129,ENSMUSP00000106907,ENSMUSP00000107707,ENSMUSP00000107873,ENSMUSP00000114350,ENSMUSP00000116271,ENSMUSP00000126914,ENSMUSP00000131938,ENSMUSP00000140404	AF251705,Abcc3,Abcg1,Adam8,Atp6v0d2,C3ar1,Cd300lb,Cd300lf,Cd68,Cd72,Cemip,Clec12a,Clec4n,Clec7a,Csf2rb2,Ctsl,Ctsz,Cybb,Cyp4f18,Emr1,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Fgr,Gpnmb,Gpr35,Hck,Hmox1,Il10ra,Itgax,Itgb2,Lcp1,Lgals3,Myo1f,Ncf2,Nfam1,Pik3ap1,Pirb,Plvap,Rbpr2,Sdc3,Siglec1,Sirpa,Slamf7,Slc11a1,Stac2,Tlr13,Tnfaip2,Tnfrsf1b,Trem2,Tyrobp,Vsir,Vwf
GO:0005886	plasma membrane	51	4328	3.23e-09	ENSMUSP00000000299,ENSMUSP00000003370,ENSMUSP00000003574,ENSMUSP00000005548,ENSMUSP00000015484,ENSMUSP00000017544,ENSMUSP00000020301,ENSMUSP00000021231,ENSMUSP00000021933,ENSMUSP00000024118,ENSMUSP00000024791,ENSMUSP00000024829,ENSMUSP00000027368,ENSMUSP00000028794,ENSMUSP00000029748,ENSMUSP00000029900,ENSMUSP00000030179,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000031840,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000034594,ENSMUSP00000035404,ENSMUSP00000043101,ENSMUSP00000048092,ENSMUSP00000052777,ENSMUSP00000063277,ENSMUSP00000063627,ENSMUSP00000065877,ENSMUSP00000073913,ENSMUSP00000077546,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000083971,ENSMUSP00000090121,ENSMUSP00000094083,ENSMUSP00000099491,ENSMUSP00000101684,ENSMUSP00000102171,ENSMUSP00000103412,ENSMUSP00000104294,ENSMUSP00000105129,ENSMUSP00000106907,ENSMUSP00000107707,ENSMUSP00000107873,ENSMUSP00000114350,ENSMUSP00000116271,ENSMUSP00000126914,ENSMUSP00000131938,ENSMUSP00000140404	AF251705,Abcc3,Abcg1,Adam8,Atp6v0d2,C3ar1,Cd300lb,Cd300lf,Cd68,Cd72,Cemip,Clec12a,Clec4n,Clec7a,Csf2rb2,Ctsl,Cybb,Cyp4f18,Emr1,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Fgr,Gpnmb,Gpr35,Hck,Hmox1,Il10ra,Itgax,Itgb2,Lcp1,Lgals3,Ncf2,Nfam1,Pik3ap1,Pirb,Plvap,Rbpr2,Sdc3,Siglec1,Sirpa,Slamf7,Slc11a1,Stac2,Tlr13,Tnfrsf1b,Trem2,Tyrobp,Vsir,Vwf
GO:0009986	cell surface	21	796	1.17e-08	ENSMUSP00000000299,ENSMUSP00000015667,ENSMUSP00000016400,ENSMUSP00000020301,ENSMUSP00000021933,ENSMUSP00000024829,ENSMUSP00000029748,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000035404,ENSMUSP00000063627,ENSMUSP00000065877,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000083971,ENSMUSP00000101684,ENSMUSP00000105129,ENSMUSP00000106907,ENSMUSP00000107873,ENSMUSP00000114350,ENSMUSP00000131938	Abcg1,Adam8,Clec12a,Ctsl,Ctss,Ctsz,Emr1,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Itgax,Itgb2,Lgals3,Nfam1,Plvap,Sdc3,Slamf7,Tyrobp,Vsir,Vwf
GO:0005764	lysosome	14	422	8.18e-07	ENSMUSP00000003370,ENSMUSP00000015667,ENSMUSP00000016400,ENSMUSP00000021607,ENSMUSP00000021738,ENSMUSP00000021933,ENSMUSP00000025646,ENSMUSP00000026613,ENSMUSP00000027368,ENSMUSP00000029900,ENSMUSP00000101684,ENSMUSP00000104294,ENSMUSP00000118415,ENSMUSP00000124272	Adam8,Atp6v0d2,Cd68,Ctsl,Ctss,Ctsz,Gpr137b,Gusb,Hck,Laptm5,Lgmn,Slc11a1,Slc15a3,Unc93b1
GO:0098552	side of membrane	15	514	1.03e-06	ENSMUSP00000003370,ENSMUSP00000017544,ENSMUSP00000020301,ENSMUSP00000021933,ENSMUSP00000024829,ENSMUSP00000029748,ENSMUSP00000030693,ENSMUSP00000033053,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000083971,ENSMUSP00000106907,ENSMUSP00000107873,ENSMUSP00000114350,ENSMUSP00000131938	Abcg1,Ctsl,Emr1,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Fgr,Hck,Itgax,Lgals3,Slamf7,Stac2,Vsir,Vwf
GO:0005773	vacuole	15	519	1.06e-06	ENSMUSP00000003370,ENSMUSP00000015667,ENSMUSP00000016400,ENSMUSP00000021607,ENSMUSP00000021738,ENSMUSP00000021933,ENSMUSP00000025646,ENSMUSP00000026613,ENSMUSP00000027368,ENSMUSP00000029900,ENSMUSP00000101684,ENSMUSP00000104294,ENSMUSP00000118415,ENSMUSP00000124272,ENSMUSP00000138944	Adam8,Atp6v0d2,Cd68,Ctsl,Ctss,Ctsz,Entpd4,Gpr137b,Gusb,Hck,Laptm5,Lgmn,Slc11a1,Slc15a3,Unc93b1
GO:0009897	external side of plasma membrane	12	308	1.09e-06	ENSMUSP00000020301,ENSMUSP00000021933,ENSMUSP00000024829,ENSMUSP00000029748,ENSMUSP00000033053,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000083971,ENSMUSP00000106907,ENSMUSP00000107873,ENSMUSP00000114350,ENSMUSP00000131938	Abcg1,Ctsl,Emr1,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Itgax,Lgals3,Slamf7,Vsir,Vwf
