#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0019865	immunoglobulin binding	6	19	6.59e-07	ENSMUSP00000029748,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000107873,ENSMUSP00000114350,ENSMUSP00000131938	Fcer1g,Fcgr1,Fcgr3,Fcgr4,Lgals3,Vwf
GO:0019763	immunoglobulin receptor activity	4	8	4.50e-05	ENSMUSP00000029748,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000131938	Fcer1g,Fcgr1,Fcgr3,Fcgr4
GO:0019864	IgG binding	4	8	4.50e-05	ENSMUSP00000029748,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000131938	Fcer1g,Fcgr1,Fcgr3,Fcgr4
GO:0005515	protein binding	54	6454	0.00032	ENSMUSP00000000299,ENSMUSP00000002180,ENSMUSP00000003370,ENSMUSP00000004392,ENSMUSP00000005548,ENSMUSP00000014830,ENSMUSP00000015484,ENSMUSP00000015667,ENSMUSP00000019064,ENSMUSP00000019071,ENSMUSP00000019266,ENSMUSP00000020301,ENSMUSP00000021933,ENSMUSP00000023453,ENSMUSP00000024791,ENSMUSP00000024829,ENSMUSP00000026613,ENSMUSP00000027368,ENSMUSP00000029748,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000031840,ENSMUSP00000032800,ENSMUSP00000034285,ENSMUSP00000034594,ENSMUSP00000035404,ENSMUSP00000040246,ENSMUSP00000043101,ENSMUSP00000048092,ENSMUSP00000051215,ENSMUSP00000052777,ENSMUSP00000053962,ENSMUSP00000063277,ENSMUSP00000063627,ENSMUSP00000065877,ENSMUSP00000077546,ENSMUSP00000078875,ENSMUSP00000084887,ENSMUSP00000089801,ENSMUSP00000091685,ENSMUSP00000096003,ENSMUSP00000099491,ENSMUSP00000099806,ENSMUSP00000101684,ENSMUSP00000101768,ENSMUSP00000102171,ENSMUSP00000106907,ENSMUSP00000107873,ENSMUSP00000108205,ENSMUSP00000114350,ENSMUSP00000116271,ENSMUSP00000124272,ENSMUSP00000131938,ENSMUSP00000140404	Abcg1,Adam8,Apobec1,C1qb,C3ar1,Ccl6,Ccl9,Cd300lf,Ceacam16,Cemip,Clec12a,Cotl1,Csf3r,Ctsl,Ctss,Cxcl16,Cybb,Fcer1g,Fcgr1,Fcgr3,Fgr,Gpnmb,Gusb,Hck,Hk3,Hmox1,Il10ra,Il18bp,Irf5,Itgb2,Lcn2,Lcp1,Lgals3,Lyz2,Myo1f,Ncf2,Pik3ap1,Pirb,Plvap,Sdc3,Sdf2l1,Sirpa,Slamf7,Slc11a1,Snrpn,Spi1,Tlr13,Tnfaip2,Tnfrsf1b,Trem2,Tyrobp,Unc93b1,Vsir,Vwf
GO:0019770	IgG receptor activity	3	5	0.00044	ENSMUSP00000029748,ENSMUSP00000077873,ENSMUSP00000131938	Fcgr1,Fcgr3,Fcgr4
GO:0019863	IgE binding	3	6	0.00055	ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000114350	Fcer1g,Fcgr4,Lgals3
GO:0004630	phospholipase D activity	3	7	0.00067	ENSMUSP00000005548,ENSMUSP00000067002,ENSMUSP00000113820	Hmox1,Pld3,Pld4
GO:0004888	transmembrane signaling receptor activity	15	863	0.00095	ENSMUSP00000000299,ENSMUSP00000024791,ENSMUSP00000029748,ENSMUSP00000030336,ENSMUSP00000034594,ENSMUSP00000048092,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000083971,ENSMUSP00000094082,ENSMUSP00000094083,ENSMUSP00000101768,ENSMUSP00000105129,ENSMUSP00000126914,ENSMUSP00000131938	C3ar1,Csf2rb,Csf2rb2,Csf3r,Emr1,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Gpr35,Il10ra,Itgb2,Nfam1,Tnfrsf1b,Trem2
GO:0034987	immunoglobulin receptor binding	3	11	0.0015	ENSMUSP00000030693,ENSMUSP00000114350,ENSMUSP00000131938	Fcgr3,Fgr,Lgals3
GO:0038023	signaling receptor activity	16	1020	0.0015	ENSMUSP00000000299,ENSMUSP00000024791,ENSMUSP00000029748,ENSMUSP00000030336,ENSMUSP00000034594,ENSMUSP00000048092,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000083971,ENSMUSP00000094082,ENSMUSP00000094083,ENSMUSP00000101768,ENSMUSP00000105129,ENSMUSP00000114350,ENSMUSP00000126914,ENSMUSP00000131938	C3ar1,Csf2rb,Csf2rb2,Csf3r,Emr1,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Gpr35,Il10ra,Itgb2,Lgals3,Nfam1,Tnfrsf1b,Trem2
GO:0030246	carbohydrate binding	8	265	0.0018	ENSMUSP00000024118,ENSMUSP00000026613,ENSMUSP00000028794,ENSMUSP00000030179,ENSMUSP00000051215,ENSMUSP00000063627,ENSMUSP00000107707,ENSMUSP00000114350	Cd72,Clec12a,Clec4n,Clec7a,Gusb,Hk3,Lgals3,Siglec1
GO:0004896	cytokine receptor activity	5	88	0.0023	ENSMUSP00000034594,ENSMUSP00000094082,ENSMUSP00000094083,ENSMUSP00000101768,ENSMUSP00000126914	Csf2rb,Csf2rb2,Csf3r,Gpr35,Il10ra
GO:0044877	protein-containing complex binding	16	1094	0.0023	ENSMUSP00000000299,ENSMUSP00000005950,ENSMUSP00000015667,ENSMUSP00000021933,ENSMUSP00000029748,ENSMUSP00000030693,ENSMUSP00000031840,ENSMUSP00000077546,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000101684,ENSMUSP00000107873,ENSMUSP00000108205,ENSMUSP00000114350,ENSMUSP00000116271,ENSMUSP00000131938	Adam8,Apobec1,Ctsl,Ctss,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Fgr,Gpnmb,Itgb2,Lcp1,Lgals3,Mmp12,Pirb,Vwf
GO:0019767	IgE receptor activity	2	3	0.0056	ENSMUSP00000077873,ENSMUSP00000078875	Fcer1g,Fcgr4
GO:0034988	Fc-gamma receptor I complex binding	2	3	0.0056	ENSMUSP00000030693,ENSMUSP00000114350	Fgr,Lgals3
GO:0070290	N-acylphosphatidylethanolamine-specific phospholipase D activity	2	5	0.0102	ENSMUSP00000067002,ENSMUSP00000113820	Pld3,Pld4
GO:0004197	cysteine-type endopeptidase activity	4	76	0.0122	ENSMUSP00000015667,ENSMUSP00000016400,ENSMUSP00000021607,ENSMUSP00000021933	Ctsl,Ctss,Ctsz,Lgmn
GO:0005488	binding	70	10884	0.0122	ENSMUSP00000000299,ENSMUSP00000002180,ENSMUSP00000003017,ENSMUSP00000003370,ENSMUSP00000003574,ENSMUSP00000004392,ENSMUSP00000005548,ENSMUSP00000005950,ENSMUSP00000014830,ENSMUSP00000015484,ENSMUSP00000015667,ENSMUSP00000017544,ENSMUSP00000019064,ENSMUSP00000019071,ENSMUSP00000019266,ENSMUSP00000020301,ENSMUSP00000021231,ENSMUSP00000021933,ENSMUSP00000023453,ENSMUSP00000024118,ENSMUSP00000024791,ENSMUSP00000024829,ENSMUSP00000026613,ENSMUSP00000027368,ENSMUSP00000028794,ENSMUSP00000029748,ENSMUSP00000030179,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000031840,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000034285,ENSMUSP00000034594,ENSMUSP00000035404,ENSMUSP00000040246,ENSMUSP00000043101,ENSMUSP00000048092,ENSMUSP00000051215,ENSMUSP00000052777,ENSMUSP00000052866,ENSMUSP00000053962,ENSMUSP00000061519,ENSMUSP00000063277,ENSMUSP00000063627,ENSMUSP00000065877,ENSMUSP00000077546,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000083971,ENSMUSP00000084887,ENSMUSP00000089801,ENSMUSP00000091685,ENSMUSP00000096003,ENSMUSP00000099491,ENSMUSP00000099806,ENSMUSP00000099916,ENSMUSP00000101684,ENSMUSP00000101768,ENSMUSP00000102171,ENSMUSP00000104844,ENSMUSP00000106907,ENSMUSP00000107707,ENSMUSP00000107873,ENSMUSP00000108205,ENSMUSP00000114350,ENSMUSP00000116271,ENSMUSP00000124272,ENSMUSP00000131938,ENSMUSP00000140404	Abcc3,Abcg1,Adam8,Apobec1,B4galt5,C1qb,C3ar1,Ccl6,Ccl9,Cd300lf,Cd72,Ceacam16,Cemip,Clec12a,Clec4n,Clec7a,Cotl1,Csf3r,Ctsl,Ctss,Cxcl16,Cybb,Cyp4f18,Emr1,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Fgr,Gpnmb,Gusb,Hck,Hk3,Hmox1,Il10ra,Il18bp,Irf5,Itgax,Itgb2,Lcn2,Lcp1,Lgals3,Lyz2,Mmp12,Myo1f,Ncf2,Pgp,Pik3ap1,Pirb,Pltp,Plvap,Ptges,Sdc3,Sdf2l1,Siglec1,Sirpa,Slamf7,Slc11a1,Snrpn,Spi1,Stac2,Tbxas1,Tlr13,Tnfaip2,Tnfrsf1b,Trem2,Tyrobp,Unc93b1,Vsir,Vwf
GO:0005102	signaling receptor binding	17	1515	0.0191	ENSMUSP00000003370,ENSMUSP00000019064,ENSMUSP00000019071,ENSMUSP00000019266,ENSMUSP00000026613,ENSMUSP00000029748,ENSMUSP00000030693,ENSMUSP00000031840,ENSMUSP00000032800,ENSMUSP00000091685,ENSMUSP00000101684,ENSMUSP00000102171,ENSMUSP00000107873,ENSMUSP00000114350,ENSMUSP00000116271,ENSMUSP00000124272,ENSMUSP00000131938	Adam8,Ccl6,Ccl9,Cd300lf,Cxcl16,Fcgr1,Fcgr3,Fgr,Gpnmb,Gusb,Hck,Il18bp,Lcp1,Lgals3,Tyrobp,Unc93b1,Vwf
GO:0042802	identical protein binding	19	1798	0.0191	ENSMUSP00000004392,ENSMUSP00000005548,ENSMUSP00000014830,ENSMUSP00000020301,ENSMUSP00000024829,ENSMUSP00000027368,ENSMUSP00000032800,ENSMUSP00000035404,ENSMUSP00000040246,ENSMUSP00000043101,ENSMUSP00000052777,ENSMUSP00000053962,ENSMUSP00000065877,ENSMUSP00000077546,ENSMUSP00000078875,ENSMUSP00000089801,ENSMUSP00000106907,ENSMUSP00000107873,ENSMUSP00000116271	Abcg1,C1qb,Ceacam16,Fcer1g,Hmox1,Irf5,Lcn2,Lcp1,Lyz2,Pik3ap1,Pirb,Plvap,Sdc3,Slamf7,Slc11a1,Tlr13,Tyrobp,Vsir,Vwf
GO:0008009	chemokine activity	3	41	0.0208	ENSMUSP00000019064,ENSMUSP00000019071,ENSMUSP00000019266	Ccl6,Ccl9,Cxcl16
