#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0002376	immune system process	49	1703	1.01e-22	ENSMUSP00000000299,ENSMUSP00000001156,ENSMUSP00000002180,ENSMUSP00000003370,ENSMUSP00000004392,ENSMUSP00000005548,ENSMUSP00000015484,ENSMUSP00000015667,ENSMUSP00000015998,ENSMUSP00000019064,ENSMUSP00000019071,ENSMUSP00000019266,ENSMUSP00000024118,ENSMUSP00000024791,ENSMUSP00000027368,ENSMUSP00000029748,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000043101,ENSMUSP00000048092,ENSMUSP00000048836,ENSMUSP00000052777,ENSMUSP00000053962,ENSMUSP00000067002,ENSMUSP00000073913,ENSMUSP00000077546,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000083971,ENSMUSP00000084887,ENSMUSP00000090121,ENSMUSP00000091685,ENSMUSP00000099491,ENSMUSP00000101684,ENSMUSP00000101768,ENSMUSP00000102171,ENSMUSP00000105129,ENSMUSP00000106907,ENSMUSP00000107707,ENSMUSP00000108205,ENSMUSP00000114350,ENSMUSP00000116271,ENSMUSP00000124272,ENSMUSP00000126914,ENSMUSP00000131938	AF251705,Adam8,Apobec1,C1qa,C1qb,C1qc,C3ar1,Ccl6,Ccl9,Cd300lb,Cd300lf,Cd5l,Cfp,Clec4n,Clec7a,Csf3r,Ctss,Cxcl16,Cybb,Emr1,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Fgr,Gpr35,Hck,Hmox1,Il18bp,Irf5,Itgax,Itgb2,Lcn2,Lcp1,Lgals3,Myo1f,Nfam1,Pik3ap1,Pirb,Pld4,Sirpa,Slamf7,Slc11a1,Spi1,Tlr13,Tnfrsf1b,Trem2,Tyrobp,Unc93b1
GO:0006952	defense response	35	1079	1.28e-16	ENSMUSP00000000299,ENSMUSP00000001156,ENSMUSP00000003370,ENSMUSP00000004392,ENSMUSP00000005548,ENSMUSP00000015484,ENSMUSP00000015998,ENSMUSP00000019064,ENSMUSP00000019071,ENSMUSP00000019266,ENSMUSP00000024118,ENSMUSP00000024791,ENSMUSP00000027368,ENSMUSP00000029748,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000033053,ENSMUSP00000034285,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000043101,ENSMUSP00000048092,ENSMUSP00000048836,ENSMUSP00000053962,ENSMUSP00000078875,ENSMUSP00000084887,ENSMUSP00000089801,ENSMUSP00000099916,ENSMUSP00000101684,ENSMUSP00000106907,ENSMUSP00000107707,ENSMUSP00000108205,ENSMUSP00000114350,ENSMUSP00000124272,ENSMUSP00000131938	Adam8,Apobec1,C1qa,C1qb,C1qc,C3ar1,Ccl6,Ccl9,Cd5l,Cfp,Clec4n,Clec7a,Cotl1,Cxcl16,Cybb,Fcer1g,Fcgr1,Fcgr3,Fgr,Hck,Hmox1,Irf5,Itgax,Itgb2,Lcn2,Lgals3,Lyz2,Myo1f,Ptges,Slamf7,Slc11a1,Tlr13,Tnfrsf1b,Trem2,Unc93b1
GO:0006955	immune response	32	914	5.38e-16	ENSMUSP00000001156,ENSMUSP00000003370,ENSMUSP00000004392,ENSMUSP00000015484,ENSMUSP00000015667,ENSMUSP00000019064,ENSMUSP00000019071,ENSMUSP00000019266,ENSMUSP00000024118,ENSMUSP00000024791,ENSMUSP00000027368,ENSMUSP00000029748,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000032800,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000043101,ENSMUSP00000048092,ENSMUSP00000048836,ENSMUSP00000053962,ENSMUSP00000077546,ENSMUSP00000078875,ENSMUSP00000083971,ENSMUSP00000084887,ENSMUSP00000091685,ENSMUSP00000106907,ENSMUSP00000107707,ENSMUSP00000114350,ENSMUSP00000116271,ENSMUSP00000124272,ENSMUSP00000131938	C1qa,C1qb,C1qc,C3ar1,Ccl6,Ccl9,Cfp,Clec4n,Clec7a,Ctss,Cxcl16,Cybb,Emr1,Fcer1g,Fcgr1,Fcgr3,Fgr,Hck,Il18bp,Irf5,Lcn2,Lcp1,Lgals3,Myo1f,Pirb,Slamf7,Slc11a1,Tlr13,Tnfrsf1b,Trem2,Tyrobp,Unc93b1
GO:0002682	regulation of immune system process	33	1165	4.59e-14	ENSMUSP00000000299,ENSMUSP00000001156,ENSMUSP00000002180,ENSMUSP00000005548,ENSMUSP00000005950,ENSMUSP00000020301,ENSMUSP00000021607,ENSMUSP00000024791,ENSMUSP00000027368,ENSMUSP00000029748,ENSMUSP00000030693,ENSMUSP00000031840,ENSMUSP00000032800,ENSMUSP00000035404,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000043101,ENSMUSP00000048092,ENSMUSP00000048836,ENSMUSP00000052777,ENSMUSP00000063627,ENSMUSP00000073913,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000084887,ENSMUSP00000101684,ENSMUSP00000101768,ENSMUSP00000102171,ENSMUSP00000105129,ENSMUSP00000106907,ENSMUSP00000114350,ENSMUSP00000124272,ENSMUSP00000131938	Adam8,C1qa,C1qb,C1qc,C3ar1,Cd300lb,Cd300lf,Cfp,Clec12a,Csf3r,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Fgr,Gpnmb,Hmox1,Itgb2,Lgals3,Lgmn,Mmp12,Myo1f,Nfam1,Pik3ap1,Plvap,Slamf7,Slc11a1,Spi1,Tlr13,Trem2,Tyrobp,Unc93b1,Vsir
GO:0009605	response to external stimulus	38	1794	9.88e-13	ENSMUSP00000000299,ENSMUSP00000003370,ENSMUSP00000004392,ENSMUSP00000005548,ENSMUSP00000005950,ENSMUSP00000015484,ENSMUSP00000019064,ENSMUSP00000019071,ENSMUSP00000019266,ENSMUSP00000021933,ENSMUSP00000024118,ENSMUSP00000024791,ENSMUSP00000027368,ENSMUSP00000029748,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000033053,ENSMUSP00000034285,ENSMUSP00000034594,ENSMUSP00000043101,ENSMUSP00000048092,ENSMUSP00000053962,ENSMUSP00000073913,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000084887,ENSMUSP00000089801,ENSMUSP00000091685,ENSMUSP00000099916,ENSMUSP00000101684,ENSMUSP00000101768,ENSMUSP00000107707,ENSMUSP00000108205,ENSMUSP00000114350,ENSMUSP00000124272,ENSMUSP00000126914,ENSMUSP00000131938,ENSMUSP00000140404	Adam8,Apobec1,C3ar1,Ccl6,Ccl9,Cd300lb,Clec4n,Clec7a,Cotl1,Csf3r,Ctsl,Cxcl16,Cybb,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Fgr,Gpr35,Hck,Hmox1,Il10ra,Il18bp,Irf5,Itgax,Itgb2,Lcn2,Lgals3,Lyz2,Mmp12,Myo1f,Ncf2,Ptges,Slc11a1,Tlr13,Tnfrsf1b,Trem2,Unc93b1
GO:0050776	regulation of immune response	24	635	2.58e-12	ENSMUSP00000000299,ENSMUSP00000001156,ENSMUSP00000005548,ENSMUSP00000005950,ENSMUSP00000020301,ENSMUSP00000027368,ENSMUSP00000029748,ENSMUSP00000030693,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000043101,ENSMUSP00000048092,ENSMUSP00000048836,ENSMUSP00000052777,ENSMUSP00000063627,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000084887,ENSMUSP00000101684,ENSMUSP00000102171,ENSMUSP00000105129,ENSMUSP00000114350,ENSMUSP00000124272,ENSMUSP00000131938	Adam8,C1qa,C1qb,C1qc,C3ar1,Cd300lf,Cfp,Clec12a,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Fgr,Hmox1,Itgb2,Lgals3,Mmp12,Myo1f,Nfam1,Pik3ap1,Slc11a1,Tlr13,Unc93b1,Vsir
GO:0051707	response to other organism	26	779	2.58e-12	ENSMUSP00000003370,ENSMUSP00000004392,ENSMUSP00000005950,ENSMUSP00000019064,ENSMUSP00000024118,ENSMUSP00000024791,ENSMUSP00000027368,ENSMUSP00000029748,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000033053,ENSMUSP00000034285,ENSMUSP00000034594,ENSMUSP00000043101,ENSMUSP00000053962,ENSMUSP00000073913,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000084887,ENSMUSP00000089801,ENSMUSP00000091685,ENSMUSP00000099916,ENSMUSP00000107707,ENSMUSP00000108205,ENSMUSP00000124272,ENSMUSP00000140404	Apobec1,Cd300lb,Clec4n,Clec7a,Cotl1,Cxcl16,Fcer1g,Fcgr1,Fcgr4,Fgr,Hck,Il10ra,Il18bp,Irf5,Itgax,Lcn2,Lyz2,Mmp12,Myo1f,Ncf2,Ptges,Slc11a1,Tlr13,Tnfrsf1b,Trem2,Unc93b1
GO:0045087	innate immune response	22	534	4.97e-12	ENSMUSP00000001156,ENSMUSP00000003370,ENSMUSP00000004392,ENSMUSP00000015484,ENSMUSP00000019064,ENSMUSP00000019071,ENSMUSP00000019266,ENSMUSP00000024118,ENSMUSP00000024791,ENSMUSP00000027368,ENSMUSP00000029748,ENSMUSP00000030693,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000043101,ENSMUSP00000048836,ENSMUSP00000053962,ENSMUSP00000078875,ENSMUSP00000106907,ENSMUSP00000107707,ENSMUSP00000114350,ENSMUSP00000124272	C1qa,C1qb,C1qc,Ccl6,Ccl9,Cfp,Clec4n,Clec7a,Cxcl16,Cybb,Fcer1g,Fcgr1,Fgr,Hck,Irf5,Lcn2,Lgals3,Slamf7,Slc11a1,Tlr13,Trem2,Unc93b1
GO:0050896	response to stimulus	69	6616	4.24e-11	ENSMUSP00000000299,ENSMUSP00000001156,ENSMUSP00000002180,ENSMUSP00000003017,ENSMUSP00000003370,ENSMUSP00000004392,ENSMUSP00000005548,ENSMUSP00000005950,ENSMUSP00000015484,ENSMUSP00000015667,ENSMUSP00000015998,ENSMUSP00000017544,ENSMUSP00000019064,ENSMUSP00000019071,ENSMUSP00000019266,ENSMUSP00000020301,ENSMUSP00000021231,ENSMUSP00000021607,ENSMUSP00000021933,ENSMUSP00000023453,ENSMUSP00000024118,ENSMUSP00000024791,ENSMUSP00000024829,ENSMUSP00000027368,ENSMUSP00000029748,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000031840,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000034285,ENSMUSP00000034594,ENSMUSP00000035404,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000043101,ENSMUSP00000048092,ENSMUSP00000048836,ENSMUSP00000052777,ENSMUSP00000053962,ENSMUSP00000073913,ENSMUSP00000077546,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000083971,ENSMUSP00000084887,ENSMUSP00000089801,ENSMUSP00000091685,ENSMUSP00000094082,ENSMUSP00000094083,ENSMUSP00000096003,ENSMUSP00000099916,ENSMUSP00000101684,ENSMUSP00000101768,ENSMUSP00000102171,ENSMUSP00000103412,ENSMUSP00000104294,ENSMUSP00000105129,ENSMUSP00000106907,ENSMUSP00000107707,ENSMUSP00000107873,ENSMUSP00000108205,ENSMUSP00000114350,ENSMUSP00000116271,ENSMUSP00000118415,ENSMUSP00000124272,ENSMUSP00000126914,ENSMUSP00000131938,ENSMUSP00000140404	Abcc3,Abcg1,Adam8,Apobec1,C1qa,C1qb,C1qc,C3ar1,Ccl6,Ccl9,Cd300lb,Cd300lf,Cd5l,Cd68,Cfp,Clec4n,Clec7a,Cotl1,Csf2rb,Csf2rb2,Csf3r,Ctsl,Ctss,Cxcl16,Cybb,Emr1,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Fgr,Gpnmb,Gpr35,Hck,Hmox1,Il10ra,Il18bp,Irf5,Itgax,Itgb2,Laptm5,Lcn2,Lcp1,Lgals3,Lgmn,Lyz2,Mmp12,Myo1f,Ncf2,Nfam1,Pik3ap1,Pirb,Plvap,Ptges,Rbpr2,Sdf2l1,Slamf7,Slc11a1,Snrpn,Spi1,Stac2,Tbxas1,Tlr13,Tnfrsf1b,Trem2,Tyrobp,Unc93b1,Vsir,Vwf
GO:0002684	positive regulation of immune system process	24	771	7.57e-11	ENSMUSP00000000299,ENSMUSP00000001156,ENSMUSP00000005548,ENSMUSP00000005950,ENSMUSP00000021607,ENSMUSP00000024791,ENSMUSP00000027368,ENSMUSP00000029748,ENSMUSP00000030693,ENSMUSP00000035404,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000043101,ENSMUSP00000048092,ENSMUSP00000048836,ENSMUSP00000052777,ENSMUSP00000073913,ENSMUSP00000078875,ENSMUSP00000101684,ENSMUSP00000102171,ENSMUSP00000105129,ENSMUSP00000114350,ENSMUSP00000124272,ENSMUSP00000131938	Adam8,C1qa,C1qb,C1qc,C3ar1,Cd300lb,Cd300lf,Cfp,Fcer1g,Fcgr1,Fcgr3,Fgr,Hmox1,Itgb2,Lgals3,Lgmn,Mmp12,Nfam1,Pik3ap1,Plvap,Slc11a1,Tlr13,Trem2,Unc93b1
