#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu05150	Staphylococcus aureus infection	15	50	2.78e-10	ENSMUSP00000000299,ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000036747,ENSMUSP00000037088,ENSMUSP00000040246,ENSMUSP00000063707,ENSMUSP00000068468,ENSMUSP00000069418,ENSMUSP00000070925,ENSMUSP00000083587,ENSMUSP00000087327,ENSMUSP00000107607,ENSMUSP00000123924,ENSMUSP00000125531	C1qb,C1qc,C1ra,C1s1,C2,C4b,Cfb,Cfh,H2-DMa,Icam1,Itgam,Itgb2,Masp1,Ptafr,Selp
mmu04610	Complement and coagulation cascades	16	88	1.69e-08	ENSMUSP00000000299,ENSMUSP00000023994,ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000027650,ENSMUSP00000029771,ENSMUSP00000033941,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000063707,ENSMUSP00000068468,ENSMUSP00000069418,ENSMUSP00000087327,ENSMUSP00000107607,ENSMUSP00000107873,ENSMUSP00000125531	C1qb,C1qc,C1ra,C1s1,C2,C4b,Cd55,Cfb,Cfh,F3,Itgam,Itgb2,Masp1,Plat,Serping1,Vwf
mmu04151	PI3K-Akt signaling pathway	26	349	1.54e-06	ENSMUSP00000001547,ENSMUSP00000020329,ENSMUSP00000020507,ENSMUSP00000021283,ENSMUSP00000022921,ENSMUSP00000025523,ENSMUSP00000029559,ENSMUSP00000029623,ENSMUSP00000030683,ENSMUSP00000031668,ENSMUSP00000034774,ENSMUSP00000052581,ENSMUSP00000052777,ENSMUSP00000053891,ENSMUSP00000084282,ENSMUSP00000085630,ENSMUSP00000090304,ENSMUSP00000096040,ENSMUSP00000101315,ENSMUSP00000101768,ENSMUSP00000102068,ENSMUSP00000107873,ENSMUSP00000113852,ENSMUSP00000124052,ENSMUSP00000127173,ENSMUSP00000139398	Angpt1,Col1a1,Col1a2,Col4a4,Col6a5,Col6a6,Csf1r,Csf3r,Egfr,Fgf18,Hgf,Il6ra,Itga11,Itga2,Itgb4,Lama2,Lpar1,Lpar5,Pdgfra,Pik3ap1,Pik3cd,Pik3r5,Reln,Syk,Tlr2,Vwf
mmu04360	Axon guidance	17	174	1.05e-05	ENSMUSP00000004326,ENSMUSP00000020204,ENSMUSP00000021900,ENSMUSP00000021921,ENSMUSP00000023370,ENSMUSP00000023600,ENSMUSP00000038301,ENSMUSP00000051731,ENSMUSP00000074198,ENSMUSP00000099591,ENSMUSP00000099952,ENSMUSP00000101315,ENSMUSP00000101472,ENSMUSP00000110380,ENSMUSP00000110748,ENSMUSP00000127615,ENSMUSP00000131840	Boc,Camk2a,Ephb2,Ephb6,Gdf7,Nfatc2,Ntn4,Pik3cd,Plxna1,Plxna3,Plxna4,Plxnb2,Ptch1,Robo1,Sema3b,Sema4d,Slit2
mmu04512	ECM-receptor interaction	12	81	1.05e-05	ENSMUSP00000001547,ENSMUSP00000005218,ENSMUSP00000031668,ENSMUSP00000034774,ENSMUSP00000053891,ENSMUSP00000084282,ENSMUSP00000090304,ENSMUSP00000096040,ENSMUSP00000102068,ENSMUSP00000107873,ENSMUSP00000124052,ENSMUSP00000139398	Cd44,Col1a1,Col1a2,Col4a4,Col6a5,Col6a6,Itga11,Itga2,Itgb4,Lama2,Reln,Vwf
mmu04510	Focal adhesion	16	195	0.00013	ENSMUSP00000001547,ENSMUSP00000020329,ENSMUSP00000030683,ENSMUSP00000031668,ENSMUSP00000034774,ENSMUSP00000053891,ENSMUSP00000084282,ENSMUSP00000090304,ENSMUSP00000096040,ENSMUSP00000101315,ENSMUSP00000102068,ENSMUSP00000107873,ENSMUSP00000124052,ENSMUSP00000127173,ENSMUSP00000129491,ENSMUSP00000139398	Col1a1,Col1a2,Col4a4,Col6a5,Col6a6,Egfr,Hgf,Itga11,Itga2,Itgb4,Lama2,Pdgfra,Pik3cd,Reln,Shc2,Vwf
mmu04640	Hematopoietic cell lineage	11	90	0.00013	ENSMUSP00000004728,ENSMUSP00000005218,ENSMUSP00000016638,ENSMUSP00000025523,ENSMUSP00000027650,ENSMUSP00000029559,ENSMUSP00000037088,ENSMUSP00000053891,ENSMUSP00000068468,ENSMUSP00000101768,ENSMUSP00000103015	Anpep,Cd33,Cd34,Cd44,Cd55,Csf1r,Csf3r,H2-DMa,Il6ra,Itga2,Itgam
mmu05205	Proteoglycans in cancer	16	199	0.00013	ENSMUSP00000001547,ENSMUSP00000005218,ENSMUSP00000020329,ENSMUSP00000021921,ENSMUSP00000029429,ENSMUSP00000029623,ENSMUSP00000030683,ENSMUSP00000031668,ENSMUSP00000034187,ENSMUSP00000044072,ENSMUSP00000053891,ENSMUSP00000058629,ENSMUSP00000064131,ENSMUSP00000099952,ENSMUSP00000100924,ENSMUSP00000101315	Camk2a,Cd44,Col1a1,Col1a2,Dcn,Egfr,Fzd1,Gpc3,Hgf,Hpse,Itga2,Mmp2,Pik3cd,Ptch1,Tlr2,Wnt2b
mmu04514	Cell adhesion molecules (CAMs)	14	158	0.00016	ENSMUSP00000000299,ENSMUSP00000016638,ENSMUSP00000027874,ENSMUSP00000028794,ENSMUSP00000037088,ENSMUSP00000039368,ENSMUSP00000068468,ENSMUSP00000083587,ENSMUSP00000092148,ENSMUSP00000106851,ENSMUSP00000109089,ENSMUSP00000123924,ENSMUSP00000131355,ENSMUSP00000134550	Cadm3,Cd34,Glg1,H2-DMa,H2-Q6,Icam1,Itgam,Itgb2,Nfasc,Nrxn2,Ptprf,Sele,Selp,Siglec1
mmu05144	Malaria	8	45	0.00017	ENSMUSP00000000299,ENSMUSP00000027874,ENSMUSP00000029623,ENSMUSP00000030683,ENSMUSP00000044004,ENSMUSP00000082207,ENSMUSP00000083587,ENSMUSP00000123924	Hgf,Icam1,Itgb2,Lrp1,Sele,Selp,Tlr2,Tlr9
