#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005737	cytoplasm	76	9909	0.00089	ENSMUSP00000000365,ENSMUSP00000000500,ENSMUSP00000002805,ENSMUSP00000002837,ENSMUSP00000002881,ENSMUSP00000014370,ENSMUSP00000016672,ENSMUSP00000020523,ENSMUSP00000020657,ENSMUSP00000021114,ENSMUSP00000021207,ENSMUSP00000021425,ENSMUSP00000023040,ENSMUSP00000023214,ENSMUSP00000024078,ENSMUSP00000024572,ENSMUSP00000025357,ENSMUSP00000026816,ENSMUSP00000027125,ENSMUSP00000029416,ENSMUSP00000029925,ENSMUSP00000030491,ENSMUSP00000030848,ENSMUSP00000030942,ENSMUSP00000031314,ENSMUSP00000032462,ENSMUSP00000033717,ENSMUSP00000034623,ENSMUSP00000034808,ENSMUSP00000038014,ENSMUSP00000040126,ENSMUSP00000040840,ENSMUSP00000041380,ENSMUSP00000041450,ENSMUSP00000042852,ENSMUSP00000050156,ENSMUSP00000050292,ENSMUSP00000053325,ENSMUSP00000057062,ENSMUSP00000057354,ENSMUSP00000058631,ENSMUSP00000058954,ENSMUSP00000063660,ENSMUSP00000066493,ENSMUSP00000066536,ENSMUSP00000069228,ENSMUSP00000070140,ENSMUSP00000070414,ENSMUSP00000073695,ENSMUSP00000074724,ENSMUSP00000076336,ENSMUSP00000077744,ENSMUSP00000078597,ENSMUSP00000080221,ENSMUSP00000080743,ENSMUSP00000082132,ENSMUSP00000088935,ENSMUSP00000091921,ENSMUSP00000099483,ENSMUSP00000099939,ENSMUSP00000101981,ENSMUSP00000102782,ENSMUSP00000104091,ENSMUSP00000104136,ENSMUSP00000105716,ENSMUSP00000110746,ENSMUSP00000114074,ENSMUSP00000115718,ENSMUSP00000121233,ENSMUSP00000122073,ENSMUSP00000123325,ENSMUSP00000126173,ENSMUSP00000126298,ENSMUSP00000128244,ENSMUSP00000129481,ENSMUSP00000133302	Adcy3,Ahsa1,Alb,Als2cl,Ap3s1,Apmap,Apoc1,Apoe,Cacybp,Car4,Ccnl1,Cd300lg,Chchd4,Cmpk1,Coq10b,Crem,Dgat1,Fam101b,Ffar4,G3bp2,Galk1,Hccs,Hey1,Hsp90aa1,Hspa4l,Hspe1,Kank3,Lipg,Mapkapk2,March5,Mcts1,Mkks,Mrpl20,Mrpl35,Naa20,Naa30,Naa50,Ndufaf4,Nnmt,Nudt14,Pdgfb,Pex13,Ppp1r15b,Ptcd3,Ptges3,Rab9,Rabggtb,Rbp7,Rsph3b,Sc5d,Scoc,Serpina1a,Serpina1c,Sgk1,Slc1a5,Slc25a17,Slc25a46,Sox7,St3gal5,Sult1a1,Sumo1,Tcim,Timm8a1,Timm9,Timp4,Tmed5,Tmem33,Trappc4,Trmt10c,Ube2b,Ube2f,Ugp2,Uqcrh,Wdr73,Xiap,Zfand6
GO:0005622	intracellular	87	12462	0.0014	ENSMUSP00000000365,ENSMUSP00000000500,ENSMUSP00000002805,ENSMUSP00000002837,ENSMUSP00000002881,ENSMUSP00000014370,ENSMUSP00000016672,ENSMUSP00000018748,ENSMUSP00000020523,ENSMUSP00000020657,ENSMUSP00000021114,ENSMUSP00000021207,ENSMUSP00000021425,ENSMUSP00000021991,ENSMUSP00000023040,ENSMUSP00000023214,ENSMUSP00000023243,ENSMUSP00000024078,ENSMUSP00000024572,ENSMUSP00000025357,ENSMUSP00000026816,ENSMUSP00000027125,ENSMUSP00000029125,ENSMUSP00000029416,ENSMUSP00000029925,ENSMUSP00000030491,ENSMUSP00000030848,ENSMUSP00000030942,ENSMUSP00000031314,ENSMUSP00000031670,ENSMUSP00000032462,ENSMUSP00000033717,ENSMUSP00000034378,ENSMUSP00000034623,ENSMUSP00000034808,ENSMUSP00000035079,ENSMUSP00000038014,ENSMUSP00000040126,ENSMUSP00000040840,ENSMUSP00000041380,ENSMUSP00000041450,ENSMUSP00000042327,ENSMUSP00000042852,ENSMUSP00000050156,ENSMUSP00000050292,ENSMUSP00000053325,ENSMUSP00000057062,ENSMUSP00000057354,ENSMUSP00000058631,ENSMUSP00000058954,ENSMUSP00000063660,ENSMUSP00000066493,ENSMUSP00000066536,ENSMUSP00000069228,ENSMUSP00000070140,ENSMUSP00000070414,ENSMUSP00000073695,ENSMUSP00000074724,ENSMUSP00000076255,ENSMUSP00000076336,ENSMUSP00000077744,ENSMUSP00000078597,ENSMUSP00000080221,ENSMUSP00000080743,ENSMUSP00000082132,ENSMUSP00000088935,ENSMUSP00000091921,ENSMUSP00000099483,ENSMUSP00000099939,ENSMUSP00000101060,ENSMUSP00000101981,ENSMUSP00000102782,ENSMUSP00000104091,ENSMUSP00000104136,ENSMUSP00000105716,ENSMUSP00000110746,ENSMUSP00000114074,ENSMUSP00000115718,ENSMUSP00000121233,ENSMUSP00000122073,ENSMUSP00000123325,ENSMUSP00000125590,ENSMUSP00000126173,ENSMUSP00000126298,ENSMUSP00000128244,ENSMUSP00000129481,ENSMUSP00000133302	Adcy3,Adora2a,Ahsa1,Alb,Als2cl,Ap3s1,Apmap,Apoc1,Apoe,Armc1,Bud31,Cacybp,Car4,Ccnl1,Cd300lg,Chchd4,Cmpk1,Coq10b,Crem,Dgat1,ENSMUSG00000059920,Fam101b,Ffar4,G3bp2,Galk1,Gng11,Gpihbp1,Hccs,Hey1,Hsp90aa1,Hspa4l,Hspe1,Kank3,Lipg,Lpar6,Mapkapk2,March5,Mcts1,Mkks,Mlh1,Mrpl20,Mrpl35,Mterfd1,Naa20,Naa30,Naa50,Ndufaf4,Nnmt,Nudt14,Pdgfb,Pex13,Ppp1r15b,Ptcd3,Ptges3,Rab9,Rabggtb,Rbp7,Rsph3b,Sc5d,Scoc,Serpina1a,Serpina1c,Sgk1,Slc1a5,Slc25a17,Slc25a46,Slc7a6,Sox7,St3gal5,Sult1a1,Sumo1,Tbx3,Tcim,Timm8a1,Timm9,Timp4,Tmed5,Tmem33,Trappc4,Trmt10c,Ube2b,Ube2f,Ugp2,Uqcrh,Wdr73,Xiap,Zfand6
GO:0044424	intracellular part	86	12219	0.0014	ENSMUSP00000000365,ENSMUSP00000000500,ENSMUSP00000002805,ENSMUSP00000002837,ENSMUSP00000002881,ENSMUSP00000014370,ENSMUSP00000016672,ENSMUSP00000018748,ENSMUSP00000020523,ENSMUSP00000020657,ENSMUSP00000021114,ENSMUSP00000021207,ENSMUSP00000021425,ENSMUSP00000021991,ENSMUSP00000023040,ENSMUSP00000023214,ENSMUSP00000024078,ENSMUSP00000024572,ENSMUSP00000025357,ENSMUSP00000026816,ENSMUSP00000027125,ENSMUSP00000029125,ENSMUSP00000029416,ENSMUSP00000029925,ENSMUSP00000030491,ENSMUSP00000030848,ENSMUSP00000030942,ENSMUSP00000031314,ENSMUSP00000031670,ENSMUSP00000032462,ENSMUSP00000033717,ENSMUSP00000034378,ENSMUSP00000034623,ENSMUSP00000034808,ENSMUSP00000035079,ENSMUSP00000038014,ENSMUSP00000040126,ENSMUSP00000040840,ENSMUSP00000041380,ENSMUSP00000041450,ENSMUSP00000042327,ENSMUSP00000042852,ENSMUSP00000050156,ENSMUSP00000050292,ENSMUSP00000053325,ENSMUSP00000057062,ENSMUSP00000057354,ENSMUSP00000058631,ENSMUSP00000058954,ENSMUSP00000063660,ENSMUSP00000066493,ENSMUSP00000066536,ENSMUSP00000069228,ENSMUSP00000070140,ENSMUSP00000070414,ENSMUSP00000073695,ENSMUSP00000074724,ENSMUSP00000076255,ENSMUSP00000076336,ENSMUSP00000077744,ENSMUSP00000078597,ENSMUSP00000080221,ENSMUSP00000080743,ENSMUSP00000082132,ENSMUSP00000088935,ENSMUSP00000091921,ENSMUSP00000099483,ENSMUSP00000099939,ENSMUSP00000101060,ENSMUSP00000101981,ENSMUSP00000102782,ENSMUSP00000104091,ENSMUSP00000104136,ENSMUSP00000105716,ENSMUSP00000110746,ENSMUSP00000114074,ENSMUSP00000115718,ENSMUSP00000121233,ENSMUSP00000122073,ENSMUSP00000123325,ENSMUSP00000125590,ENSMUSP00000126173,ENSMUSP00000126298,ENSMUSP00000128244,ENSMUSP00000129481,ENSMUSP00000133302	Adcy3,Adora2a,Ahsa1,Alb,Als2cl,Ap3s1,Apmap,Apoc1,Apoe,Armc1,Bud31,Cacybp,Car4,Ccnl1,Cd300lg,Chchd4,Cmpk1,Coq10b,Crem,Dgat1,ENSMUSG00000059920,Fam101b,Ffar4,G3bp2,Galk1,Gng11,Hccs,Hey1,Hsp90aa1,Hspa4l,Hspe1,Kank3,Lipg,Lpar6,Mapkapk2,March5,Mcts1,Mkks,Mlh1,Mrpl20,Mrpl35,Mterfd1,Naa20,Naa30,Naa50,Ndufaf4,Nnmt,Nudt14,Pdgfb,Pex13,Ppp1r15b,Ptcd3,Ptges3,Rab9,Rabggtb,Rbp7,Rsph3b,Sc5d,Scoc,Serpina1a,Serpina1c,Sgk1,Slc1a5,Slc25a17,Slc25a46,Slc7a6,Sox7,St3gal5,Sult1a1,Sumo1,Tbx3,Tcim,Timm8a1,Timm9,Timp4,Tmed5,Tmem33,Trappc4,Trmt10c,Ube2b,Ube2f,Ugp2,Uqcrh,Wdr73,Xiap,Zfand6
GO:0031414	N-terminal protein acetyltransferase complex	3	10	0.0032	ENSMUSP00000002805,ENSMUSP00000041450,ENSMUSP00000070140	Naa20,Naa30,Naa50
GO:0044429	mitochondrial part	14	854	0.0093	ENSMUSP00000023040,ENSMUSP00000024078,ENSMUSP00000027125,ENSMUSP00000029925,ENSMUSP00000030942,ENSMUSP00000033717,ENSMUSP00000041380,ENSMUSP00000050156,ENSMUSP00000053325,ENSMUSP00000058954,ENSMUSP00000066493,ENSMUSP00000074724,ENSMUSP00000077744,ENSMUSP00000126298	Chchd4,Coq10b,Hccs,Hspe1,March5,Mrpl20,Mrpl35,Ndufaf4,Slc25a17,Slc25a46,Timm8a1,Timm9,Trmt10c,Uqcrh
GO:0044444	cytoplasmic part	59	7673	0.0093	ENSMUSP00000000365,ENSMUSP00000002805,ENSMUSP00000002837,ENSMUSP00000014370,ENSMUSP00000020523,ENSMUSP00000021425,ENSMUSP00000023040,ENSMUSP00000023214,ENSMUSP00000024078,ENSMUSP00000025357,ENSMUSP00000026816,ENSMUSP00000027125,ENSMUSP00000029925,ENSMUSP00000030942,ENSMUSP00000031314,ENSMUSP00000032462,ENSMUSP00000033717,ENSMUSP00000034623,ENSMUSP00000034808,ENSMUSP00000040840,ENSMUSP00000041380,ENSMUSP00000041450,ENSMUSP00000042852,ENSMUSP00000050156,ENSMUSP00000050292,ENSMUSP00000053325,ENSMUSP00000057062,ENSMUSP00000057354,ENSMUSP00000058631,ENSMUSP00000058954,ENSMUSP00000063660,ENSMUSP00000066493,ENSMUSP00000066536,ENSMUSP00000070140,ENSMUSP00000070414,ENSMUSP00000073695,ENSMUSP00000074724,ENSMUSP00000076336,ENSMUSP00000077744,ENSMUSP00000080221,ENSMUSP00000080743,ENSMUSP00000082132,ENSMUSP00000088935,ENSMUSP00000091921,ENSMUSP00000099483,ENSMUSP00000101981,ENSMUSP00000102782,ENSMUSP00000104091,ENSMUSP00000104136,ENSMUSP00000105716,ENSMUSP00000110746,ENSMUSP00000114074,ENSMUSP00000115718,ENSMUSP00000122073,ENSMUSP00000123325,ENSMUSP00000126298,ENSMUSP00000128244,ENSMUSP00000129481,ENSMUSP00000133302	Adcy3,Ahsa1,Alb,Als2cl,Ap3s1,Apmap,Apoc1,Apoe,Cacybp,Car4,Cd300lg,Chchd4,Coq10b,Dgat1,Ffar4,G3bp2,Hccs,Hsp90aa1,Hspa4l,Hspe1,Lipg,March5,Mcts1,Mkks,Mrpl20,Mrpl35,Naa20,Naa30,Naa50,Ndufaf4,Nnmt,Pex13,Ppp1r15b,Ptcd3,Ptges3,Rab9,Rabggtb,Sc5d,Scoc,Serpina1a,Serpina1c,Sgk1,Slc1a5,Slc25a17,Slc25a46,St3gal5,Sult1a1,Sumo1,Tcim,Timm8a1,Timm9,Timp4,Tmed5,Tmem33,Trappc4,Trmt10c,Uqcrh,Wdr73,Xiap
GO:0044464	cell part	91	14017	0.0093	ENSMUSP00000000365,ENSMUSP00000000500,ENSMUSP00000002805,ENSMUSP00000002837,ENSMUSP00000002881,ENSMUSP00000014370,ENSMUSP00000016672,ENSMUSP00000018748,ENSMUSP00000020523,ENSMUSP00000020657,ENSMUSP00000021114,ENSMUSP00000021207,ENSMUSP00000021425,ENSMUSP00000021991,ENSMUSP00000023040,ENSMUSP00000023214,ENSMUSP00000023243,ENSMUSP00000024078,ENSMUSP00000024572,ENSMUSP00000025357,ENSMUSP00000026816,ENSMUSP00000027125,ENSMUSP00000029125,ENSMUSP00000029416,ENSMUSP00000029925,ENSMUSP00000030491,ENSMUSP00000030848,ENSMUSP00000030942,ENSMUSP00000031314,ENSMUSP00000031670,ENSMUSP00000032462,ENSMUSP00000033717,ENSMUSP00000034378,ENSMUSP00000034623,ENSMUSP00000034808,ENSMUSP00000035079,ENSMUSP00000038014,ENSMUSP00000040126,ENSMUSP00000040840,ENSMUSP00000041380,ENSMUSP00000041450,ENSMUSP00000042327,ENSMUSP00000042852,ENSMUSP00000048041,ENSMUSP00000050156,ENSMUSP00000050292,ENSMUSP00000053325,ENSMUSP00000057062,ENSMUSP00000057354,ENSMUSP00000058631,ENSMUSP00000058954,ENSMUSP00000061243,ENSMUSP00000063660,ENSMUSP00000066493,ENSMUSP00000066536,ENSMUSP00000069228,ENSMUSP00000070140,ENSMUSP00000070414,ENSMUSP00000073695,ENSMUSP00000074724,ENSMUSP00000076255,ENSMUSP00000076336,ENSMUSP00000077744,ENSMUSP00000078597,ENSMUSP00000080221,ENSMUSP00000080743,ENSMUSP00000082132,ENSMUSP00000088935,ENSMUSP00000091921,ENSMUSP00000099483,ENSMUSP00000099939,ENSMUSP00000101060,ENSMUSP00000101981,ENSMUSP00000102782,ENSMUSP00000104091,ENSMUSP00000104136,ENSMUSP00000105716,ENSMUSP00000108716,ENSMUSP00000110746,ENSMUSP00000111023,ENSMUSP00000114074,ENSMUSP00000115718,ENSMUSP00000121233,ENSMUSP00000122073,ENSMUSP00000123325,ENSMUSP00000125590,ENSMUSP00000126173,ENSMUSP00000126298,ENSMUSP00000128244,ENSMUSP00000129481,ENSMUSP00000133302	Adcy3,Adora2a,Ahsa1,Alb,Als2cl,Ap3s1,Apmap,Apoc1,Apoe,Armc1,Bud31,Cacybp,Car4,Ccnl1,Cd300lg,Cd59a,Chchd4,Cmpk1,Coq10b,Crem,Cxcl9,Dgat1,ENSMUSG00000059920,Fam101b,Ffar4,G3bp2,Galk1,Gng11,Gpihbp1,Gpr4,Hccs,Hey1,Hsp90aa1,Hspa4l,Hspe1,Kank3,Lipg,Lpar6,Mapkapk2,March5,Mcts1,Mkks,Mlh1,Mrpl20,Mrpl35,Mterfd1,Naa20,Naa30,Naa50,Ndufaf4,Nnmt,Nudt14,Pdgfb,Pex13,Ppp1r15b,Ptcd3,Ptges3,Rab9,Rabggtb,Rbp7,Rsph3b,Sc5d,Scoc,Serpina1a,Serpina1c,Sgk1,Slc12a2,Slc1a5,Slc25a17,Slc25a46,Slc7a6,Sox7,St3gal5,Sult1a1,Sumo1,Tbx3,Tcim,Timm8a1,Timm9,Timp4,Tmed5,Tmem33,Trappc4,Trmt10c,Ube2b,Ube2f,Ugp2,Uqcrh,Wdr73,Xiap,Zfand6
GO:0034364	high-density lipoprotein particle	3	24	0.0138	ENSMUSP00000023243,ENSMUSP00000104091,ENSMUSP00000133302	Apoc1,Apoe,Gpihbp1
GO:0005615	extracellular space	15	1131	0.0276	ENSMUSP00000000500,ENSMUSP00000023243,ENSMUSP00000025951,ENSMUSP00000031314,ENSMUSP00000032228,ENSMUSP00000032462,ENSMUSP00000032510,ENSMUSP00000066536,ENSMUSP00000073695,ENSMUSP00000082132,ENSMUSP00000099483,ENSMUSP00000104091,ENSMUSP00000108716,ENSMUSP00000112174,ENSMUSP00000133302	Alb,Apoc1,Apoe,Car4,Cxcl9,Gpihbp1,Klkb1,Lipg,Mug1,Pdgfb,Pzp,Rbp4,Serpina1a,Serpina1c,Timp4
GO:0005740	mitochondrial envelope	10	590	0.0276	ENSMUSP00000023040,ENSMUSP00000024078,ENSMUSP00000027125,ENSMUSP00000029925,ENSMUSP00000033717,ENSMUSP00000041380,ENSMUSP00000050156,ENSMUSP00000053325,ENSMUSP00000077744,ENSMUSP00000126298	Chchd4,Coq10b,Hccs,March5,Ndufaf4,Slc25a17,Slc25a46,Timm8a1,Timm9,Uqcrh
