#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-1474244	Extracellular matrix organization	29	246	2.52e-17	ENSMUSP00000001147,ENSMUSP00000001547,ENSMUSP00000015498,ENSMUSP00000015664,ENSMUSP00000022660,ENSMUSP00000024849,ENSMUSP00000028633,ENSMUSP00000029574,ENSMUSP00000031668,ENSMUSP00000031731,ENSMUSP00000033053,ENSMUSP00000034187,ENSMUSP00000035802,ENSMUSP00000040171,ENSMUSP00000048334,ENSMUSP00000054583,ENSMUSP00000065877,ENSMUSP00000071662,ENSMUSP00000075772,ENSMUSP00000083587,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000090304,ENSMUSP00000099826,ENSMUSP00000099981,ENSMUSP00000100924,ENSMUSP00000102068,ENSMUSP00000105846,ENSMUSP00000125803	Adamts2,Col12a1,Col14a1,Col15a1,Col16a1,Col1a1,Col1a2,Col23a1,Col3a1,Col4a4,Col6a1,Ctsk,Dcn,Emilin2,Fbln1,Fbln2,Fbn1,Icam1,Itgax,Itgb4,Lama2,Loxl2,Loxl4,Mmp2,Pcolce,Pcolce2,Plec,Sdc3,Vcam1
MMU-168249	Innate Immune System	46	879	2.81e-15	ENSMUSP00000003370,ENSMUSP00000015171,ENSMUSP00000015484,ENSMUSP00000015664,ENSMUSP00000016168,ENSMUSP00000017604,ENSMUSP00000021607,ENSMUSP00000022169,ENSMUSP00000023994,ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000026613,ENSMUSP00000027368,ENSMUSP00000028239,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000031327,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000034121,ENSMUSP00000034285,ENSMUSP00000034915,ENSMUSP00000035400,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000044072,ENSMUSP00000048092,ENSMUSP00000048350,ENSMUSP00000051215,ENSMUSP00000063707,ENSMUSP00000069418,ENSMUSP00000070925,ENSMUSP00000077873,ENSMUSP00000082207,ENSMUSP00000090121,ENSMUSP00000099958,ENSMUSP00000101121,ENSMUSP00000102192,ENSMUSP00000103015,ENSMUSP00000104294,ENSMUSP00000105129,ENSMUSP00000105922,ENSMUSP00000107607,ENSMUSP00000107707,ENSMUSP00000113820,ENSMUSP00000113852	AF251705,Anpep,C1qb,C1qc,C1ra,C2,C3ar1,C4b,Cd300a,Cd68,Cfb,Cfh,Clec7a,Cotl1,Ctsh,Ctsk,Cxcl1,Cyba,Cybb,Fcgr4,Fgr,Galns,Gp49a,Gsn,Gusb,Hck,Hexb,Hk3,Hpse,Itgax,Lbp,Lgmn,Lilrb4,Man2b1,Nckap1l,Nfam1,Pld3,Ptafr,Serpinb6b,Serping1,Slc11a1,Syk,Tlr9,Tnfrsf1b,Tyrobp,Vat1
MMU-1474290	Collagen formation	17	89	3.69e-13	ENSMUSP00000001147,ENSMUSP00000001547,ENSMUSP00000015498,ENSMUSP00000022660,ENSMUSP00000031668,ENSMUSP00000031731,ENSMUSP00000035802,ENSMUSP00000040171,ENSMUSP00000071662,ENSMUSP00000075772,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000099826,ENSMUSP00000099981,ENSMUSP00000102068,ENSMUSP00000105846,ENSMUSP00000125803	Adamts2,Col12a1,Col14a1,Col15a1,Col16a1,Col1a1,Col1a2,Col23a1,Col3a1,Col4a4,Col6a1,Itgb4,Loxl2,Loxl4,Pcolce,Pcolce2,Plec
MMU-168256	Immune System	56	1523	8.77e-13	ENSMUSP00000001547,ENSMUSP00000003370,ENSMUSP00000015171,ENSMUSP00000015484,ENSMUSP00000015664,ENSMUSP00000016168,ENSMUSP00000017604,ENSMUSP00000021607,ENSMUSP00000022169,ENSMUSP00000023994,ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000025523,ENSMUSP00000026565,ENSMUSP00000026613,ENSMUSP00000027368,ENSMUSP00000028239,ENSMUSP00000029559,ENSMUSP00000029574,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000031327,ENSMUSP00000031668,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000034121,ENSMUSP00000034285,ENSMUSP00000034915,ENSMUSP00000035400,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000044072,ENSMUSP00000048092,ENSMUSP00000048350,ENSMUSP00000051215,ENSMUSP00000052777,ENSMUSP00000063707,ENSMUSP00000069418,ENSMUSP00000070925,ENSMUSP00000077873,ENSMUSP00000082207,ENSMUSP00000083587,ENSMUSP00000085192,ENSMUSP00000090121,ENSMUSP00000094083,ENSMUSP00000099958,ENSMUSP00000101121,ENSMUSP00000102192,ENSMUSP00000103015,ENSMUSP00000104294,ENSMUSP00000105129,ENSMUSP00000105922,ENSMUSP00000107607,ENSMUSP00000107707,ENSMUSP00000113820,ENSMUSP00000113852	AF251705,Anpep,C1qb,C1qc,C1ra,C2,C3ar1,C4b,Cd300a,Cd68,Cfb,Cfh,Clec7a,Col1a1,Col1a2,Col3a1,Cotl1,Csf1r,Csf2rb2,Ctsh,Ctsk,Cxcl1,Cyba,Cybb,Fcgr4,Fgr,Galns,Gp49a,Gsn,Gusb,Hck,Hexb,Hk3,Hpse,Icam1,Ifitm3,Il6ra,Itgax,Lbp,Lgmn,Lilrb4,Man2b1,Nckap1l,Nfam1,Pik3ap1,Pld3,Ptafr,Serpinb6b,Serping1,Slc11a1,Syk,Tlr9,Tnfrsf1b,Tyrobp,Vat1,Vcam1
MMU-6798695	Neutrophil degranulation	30	476	8.21e-12	ENSMUSP00000015171,ENSMUSP00000015484,ENSMUSP00000017604,ENSMUSP00000022169,ENSMUSP00000026613,ENSMUSP00000027368,ENSMUSP00000028239,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000031327,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000034121,ENSMUSP00000034285,ENSMUSP00000034915,ENSMUSP00000035400,ENSMUSP00000044072,ENSMUSP00000048092,ENSMUSP00000048350,ENSMUSP00000051215,ENSMUSP00000070925,ENSMUSP00000077873,ENSMUSP00000090121,ENSMUSP00000099958,ENSMUSP00000101121,ENSMUSP00000102192,ENSMUSP00000103015,ENSMUSP00000104294,ENSMUSP00000105129,ENSMUSP00000105922	AF251705,Anpep,C3ar1,Cd300a,Cd68,Cotl1,Ctsh,Cxcl1,Cyba,Cybb,Fcgr4,Fgr,Galns,Gp49a,Gsn,Gusb,Hexb,Hk3,Hpse,Itgax,Lilrb4,Man2b1,Nckap1l,Nfam1,Ptafr,Serpinb6b,Slc11a1,Tnfrsf1b,Tyrobp,Vat1
MMU-1650814	Collagen biosynthesis and modifying enzymes	13	61	1.00e-10	ENSMUSP00000001147,ENSMUSP00000001547,ENSMUSP00000015498,ENSMUSP00000031668,ENSMUSP00000031731,ENSMUSP00000035802,ENSMUSP00000040171,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000099826,ENSMUSP00000099981,ENSMUSP00000105846	Adamts2,Col12a1,Col14a1,Col15a1,Col16a1,Col1a1,Col1a2,Col23a1,Col3a1,Col4a4,Col6a1,Pcolce,Pcolce2
MMU-2022090	Assembly of collagen fibrils and other multimeric structures	13	62	1.03e-10	ENSMUSP00000001147,ENSMUSP00000001547,ENSMUSP00000022660,ENSMUSP00000031668,ENSMUSP00000031731,ENSMUSP00000071662,ENSMUSP00000075772,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000099981,ENSMUSP00000102068,ENSMUSP00000105846,ENSMUSP00000125803	Col12a1,Col14a1,Col15a1,Col1a1,Col1a2,Col3a1,Col4a4,Col6a1,Itgb4,Loxl2,Loxl4,Pcolce,Plec
MMU-8948216	Collagen chain trimerization	10	40	7.14e-09	ENSMUSP00000001147,ENSMUSP00000001547,ENSMUSP00000031668,ENSMUSP00000035802,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000099826,ENSMUSP00000099981,ENSMUSP00000105846	Col12a1,Col14a1,Col15a1,Col16a1,Col1a1,Col1a2,Col23a1,Col3a1,Col4a4,Col6a1
MMU-977606	Regulation of Complement cascade	9	41	1.40e-07	ENSMUSP00000023994,ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000048092,ENSMUSP00000063707,ENSMUSP00000069418,ENSMUSP00000107607	C1qb,C1qc,C1ra,C2,C3ar1,C4b,Cfb,Cfh,Serping1
MMU-216083	Integrin cell surface interactions	10	68	4.81e-07	ENSMUSP00000001147,ENSMUSP00000001547,ENSMUSP00000028633,ENSMUSP00000029574,ENSMUSP00000031668,ENSMUSP00000033053,ENSMUSP00000035802,ENSMUSP00000083587,ENSMUSP00000084282,ENSMUSP00000085192	Col16a1,Col1a1,Col1a2,Col3a1,Col4a4,Col6a1,Fbn1,Icam1,Itgax,Vcam1
MMU-1442490	Collagen degradation	9	64	3.00e-06	ENSMUSP00000001147,ENSMUSP00000001547,ENSMUSP00000015664,ENSMUSP00000031668,ENSMUSP00000034187,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000099981	Col12a1,Col15a1,Col1a1,Col1a2,Col3a1,Col4a4,Col6a1,Ctsk,Mmp2
MMU-2243919	Crosslinking of collagen fibrils	6	16	3.00e-06	ENSMUSP00000001547,ENSMUSP00000022660,ENSMUSP00000031668,ENSMUSP00000031731,ENSMUSP00000084282,ENSMUSP00000125803	Col1a1,Col1a2,Col4a4,Loxl2,Loxl4,Pcolce
MMU-166663	Initial triggering of complement	6	18	4.56e-06	ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000063707,ENSMUSP00000069418	C1qb,C1qc,C1ra,C2,C4b,Cfb
MMU-1474228	Degradation of the extracellular matrix	11	118	4.93e-06	ENSMUSP00000001147,ENSMUSP00000001547,ENSMUSP00000015664,ENSMUSP00000028633,ENSMUSP00000031668,ENSMUSP00000034187,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000099981,ENSMUSP00000100924	Col12a1,Col15a1,Col1a1,Col1a2,Col3a1,Col4a4,Col6a1,Ctsk,Dcn,Fbn1,Mmp2
MMU-2024096	HS-GAG degradation	6	21	8.52e-06	ENSMUSP00000001802,ENSMUSP00000005173,ENSMUSP00000026613,ENSMUSP00000044072,ENSMUSP00000064131,ENSMUSP00000065877	Gpc3,Gusb,Hpse,Naglu,Sdc3,Sgsh
MMU-1638091	Heparan sulfate/heparin (HS-GAG) metabolism	7	49	5.29e-05	ENSMUSP00000001802,ENSMUSP00000005173,ENSMUSP00000026613,ENSMUSP00000044072,ENSMUSP00000064131,ENSMUSP00000065877,ENSMUSP00000100924	Dcn,Gpc3,Gusb,Hpse,Naglu,Sdc3,Sgsh
MMU-3000171	Non-integrin membrane-ECM interactions	6	34	8.68e-05	ENSMUSP00000001547,ENSMUSP00000031668,ENSMUSP00000065877,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000102068	Col1a1,Col1a2,Col3a1,Col4a4,Itgb4,Sdc3
MMU-71387	Metabolism of carbohydrates	13	241	0.00011	ENSMUSP00000001802,ENSMUSP00000005173,ENSMUSP00000015171,ENSMUSP00000022169,ENSMUSP00000026613,ENSMUSP00000031002,ENSMUSP00000034121,ENSMUSP00000044072,ENSMUSP00000051215,ENSMUSP00000064131,ENSMUSP00000065877,ENSMUSP00000100924,ENSMUSP00000124569	Dcn,Galns,Gpc3,Gusb,Hexb,Hk3,Hpse,Man2b1,Man2b2,Naglu,Sdc3,Sgsh,Slc37a2
MMU-1566948	Elastic fibre formation	6	37	0.00012	ENSMUSP00000022660,ENSMUSP00000024849,ENSMUSP00000028633,ENSMUSP00000048334,ENSMUSP00000054583,ENSMUSP00000125803	Emilin2,Fbln1,Fbln2,Fbn1,Loxl2,Loxl4
MMU-1630316	Glycosaminoglycan metabolism	9	114	0.00015	ENSMUSP00000001802,ENSMUSP00000005173,ENSMUSP00000015171,ENSMUSP00000022169,ENSMUSP00000026613,ENSMUSP00000044072,ENSMUSP00000064131,ENSMUSP00000065877,ENSMUSP00000100924	Dcn,Galns,Gpc3,Gusb,Hexb,Hpse,Naglu,Sdc3,Sgsh
MMU-3000178	ECM proteoglycans	6	41	0.00019	ENSMUSP00000001147,ENSMUSP00000001547,ENSMUSP00000031668,ENSMUSP00000033053,ENSMUSP00000085192,ENSMUSP00000100924	Col1a1,Col1a2,Col3a1,Col6a1,Dcn,Itgax
MMU-109582	Hemostasis	18	489	0.00026	ENSMUSP00000001547,ENSMUSP00000006703,ENSMUSP00000021283,ENSMUSP00000023994,ENSMUSP00000029140,ENSMUSP00000030317,ENSMUSP00000030693,ENSMUSP00000031668,ENSMUSP00000033053,ENSMUSP00000033941,ENSMUSP00000062239,ENSMUSP00000065877,ENSMUSP00000068389,ENSMUSP00000091330,ENSMUSP00000105922,ENSMUSP00000113852,ENSMUSP00000123924,ENSMUSP00000131355	Cd109,Col1a1,Col1a2,F10,Fgr,Glg1,Itgax,Itih4,Lhfpl2,Pdpn,Pik3r5,Plat,Procr,Sdc3,Selp,Serpinb6b,Serping1,Syk
MMU-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	8	95	0.00027	ENSMUSP00000001547,ENSMUSP00000026565,ENSMUSP00000029574,ENSMUSP00000031668,ENSMUSP00000083587,ENSMUSP00000085192,ENSMUSP00000090121,ENSMUSP00000102192	AF251705,Cd300a,Col1a1,Col1a2,Col3a1,Icam1,Ifitm3,Vcam1
MMU-2029481	FCGR activation	4	12	0.00030	ENSMUSP00000003370,ENSMUSP00000030693,ENSMUSP00000077873,ENSMUSP00000113852	Fcgr4,Fgr,Hck,Syk
MMU-8875878	MET promotes cell motility	5	33	0.00072	ENSMUSP00000001547,ENSMUSP00000020695,ENSMUSP00000031668,ENSMUSP00000085192,ENSMUSP00000090304	Col1a1,Col1a2,Col3a1,Lama2,Tns3
MMU-114604	GPVI-mediated activation cascade	5	34	0.00079	ENSMUSP00000001547,ENSMUSP00000021283,ENSMUSP00000030317,ENSMUSP00000031668,ENSMUSP00000113852	Col1a1,Col1a2,Pdpn,Pik3r5,Syk
MMU-9006934	Signaling by Receptor Tyrosine Kinases	14	360	0.0010	ENSMUSP00000001147,ENSMUSP00000001547,ENSMUSP00000015484,ENSMUSP00000017604,ENSMUSP00000020695,ENSMUSP00000031668,ENSMUSP00000033941,ENSMUSP00000035400,ENSMUSP00000062171,ENSMUSP00000082207,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000090304,ENSMUSP00000127173	Col1a1,Col1a2,Col3a1,Col4a4,Col6a1,Cyba,Cybb,Flrt2,Lama2,Nckap1l,Pdgfra,Plat,Tlr9,Tns3
