#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-1474244	Extracellular matrix organization	31	246	1.55e-12	ENSMUSP00000001547,ENSMUSP00000005532,ENSMUSP00000015498,ENSMUSP00000015664,ENSMUSP00000020759,ENSMUSP00000022660,ENSMUSP00000023611,ENSMUSP00000024849,ENSMUSP00000028633,ENSMUSP00000031668,ENSMUSP00000031731,ENSMUSP00000034187,ENSMUSP00000035802,ENSMUSP00000040171,ENSMUSP00000048183,ENSMUSP00000048334,ENSMUSP00000053891,ENSMUSP00000054583,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000083587,ENSMUSP00000084282,ENSMUSP00000084661,ENSMUSP00000085192,ENSMUSP00000087119,ENSMUSP00000090304,ENSMUSP00000096040,ENSMUSP00000100924,ENSMUSP00000102068,ENSMUSP00000105846,ENSMUSP00000125803	Adamts2,Adamts5,Capn5,Col12a1,Col14a1,Col16a1,Col1a1,Col1a2,Col3a1,Col4a4,Col6a6,Col8a2,Ctsk,Dcn,Efemp1,Emilin2,Fbln1,Fbln2,Fbn1,Icam1,Itga2,Itgb4,Lama2,Loxl2,Loxl4,Mmp14,Mmp2,Nid1,Pcolce,Pcolce2,Tnxb
MMU-1474290	Collagen formation	15	89	3.51e-07	ENSMUSP00000001547,ENSMUSP00000015498,ENSMUSP00000022660,ENSMUSP00000031668,ENSMUSP00000031731,ENSMUSP00000035802,ENSMUSP00000040171,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000096040,ENSMUSP00000102068,ENSMUSP00000105846,ENSMUSP00000125803	Adamts2,Col12a1,Col14a1,Col16a1,Col1a1,Col1a2,Col3a1,Col4a4,Col6a6,Col8a2,Itgb4,Loxl2,Loxl4,Pcolce,Pcolce2
MMU-168249	Innate Immune System	47	879	3.51e-07	ENSMUSP00000003370,ENSMUSP00000015484,ENSMUSP00000015664,ENSMUSP00000016094,ENSMUSP00000016168,ENSMUSP00000019997,ENSMUSP00000021607,ENSMUSP00000022169,ENSMUSP00000023994,ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000027368,ENSMUSP00000027650,ENSMUSP00000028239,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000032779,ENSMUSP00000032800,ENSMUSP00000033505,ENSMUSP00000034121,ENSMUSP00000034285,ENSMUSP00000035400,ENSMUSP00000036747,ENSMUSP00000040229,ENSMUSP00000040246,ENSMUSP00000044072,ENSMUSP00000044110,ENSMUSP00000048350,ENSMUSP00000051215,ENSMUSP00000063707,ENSMUSP00000067002,ENSMUSP00000069418,ENSMUSP00000070925,ENSMUSP00000074198,ENSMUSP00000082207,ENSMUSP00000088618,ENSMUSP00000090121,ENSMUSP00000092148,ENSMUSP00000098303,ENSMUSP00000102192,ENSMUSP00000103015,ENSMUSP00000104294,ENSMUSP00000105129,ENSMUSP00000107607,ENSMUSP00000107707,ENSMUSP00000113820,ENSMUSP00000113852	AF251705,Anpep,Atp6v0e2,C1qb,C1qc,C1ra,C2,C4b,Cd300a,Cd55,Cd68,Cfb,Cfh,Clec7a,Cotl1,Ctsc,Ctsk,Cybb,Dnm1,Dtx4,Fgr,Gsn,Hck,Hexb,Hk3,Hpse,Lbp,Lgmn,Man2b1,Ncf1,Nckap1l,Nfam1,Nfasc,Nfatc2,P2rx7,Pld3,Pld4,Ptafr,Serping1,Slc11a1,Syk,Tlr9,Tnfaip3,Tnfrsf1b,Tyrobp,Vat1,Was
MMU-1650814	Collagen biosynthesis and modifying enzymes	12	61	1.60e-06	ENSMUSP00000001547,ENSMUSP00000015498,ENSMUSP00000031668,ENSMUSP00000031731,ENSMUSP00000035802,ENSMUSP00000040171,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000096040,ENSMUSP00000105846	Adamts2,Col12a1,Col14a1,Col16a1,Col1a1,Col1a2,Col3a1,Col4a4,Col6a6,Col8a2,Pcolce,Pcolce2
MMU-168256	Immune System	64	1523	1.60e-06	ENSMUSP00000001547,ENSMUSP00000003370,ENSMUSP00000015484,ENSMUSP00000015664,ENSMUSP00000016094,ENSMUSP00000016168,ENSMUSP00000016638,ENSMUSP00000019997,ENSMUSP00000021607,ENSMUSP00000022169,ENSMUSP00000023994,ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000025523,ENSMUSP00000027368,ENSMUSP00000027650,ENSMUSP00000028045,ENSMUSP00000028239,ENSMUSP00000029559,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000031668,ENSMUSP00000032779,ENSMUSP00000032800,ENSMUSP00000033505,ENSMUSP00000034121,ENSMUSP00000034285,ENSMUSP00000035400,ENSMUSP00000036747,ENSMUSP00000040229,ENSMUSP00000040246,ENSMUSP00000044072,ENSMUSP00000044110,ENSMUSP00000048350,ENSMUSP00000051215,ENSMUSP00000052777,ENSMUSP00000059129,ENSMUSP00000063707,ENSMUSP00000067002,ENSMUSP00000069418,ENSMUSP00000070925,ENSMUSP00000074198,ENSMUSP00000082207,ENSMUSP00000083587,ENSMUSP00000085192,ENSMUSP00000087947,ENSMUSP00000088618,ENSMUSP00000090116,ENSMUSP00000090121,ENSMUSP00000092148,ENSMUSP00000094083,ENSMUSP00000095171,ENSMUSP00000098303,ENSMUSP00000099952,ENSMUSP00000101315,ENSMUSP00000101768,ENSMUSP00000102192,ENSMUSP00000103015,ENSMUSP00000104294,ENSMUSP00000105129,ENSMUSP00000107607,ENSMUSP00000107707,ENSMUSP00000113820,ENSMUSP00000113852	AF251705,Anpep,Atp6v0e2,C1qb,C1qc,C1ra,C2,C4b,Camk2a,Cd300a,Cd300lh,Cd34,Cd55,Cd68,Cd74,Cfb,Cfh,Clec7a,Col1a1,Col1a2,Col3a1,Cotl1,Csf1r,Csf2rb2,Csf3r,Ctsc,Ctsk,Cybb,Dnm1,Dtx4,Fgr,Fyb,Gsn,Hck,Hexb,Hk3,Hpse,Icam1,Il6ra,Lbp,Lgmn,Man2b1,Mrc1,Ncf1,Nckap1l,Nfam1,Nfasc,Nfatc2,P2rx7,Pik3ap1,Pik3cd,Pld3,Pld4,Ptafr,Serping1,Slc11a1,Socs3,Syk,Tlr9,Tnfaip3,Tnfrsf1b,Tyrobp,Vat1,Was
MMU-2022090	Assembly of collagen fibrils and other multimeric structures	12	62	1.60e-06	ENSMUSP00000001547,ENSMUSP00000022660,ENSMUSP00000031668,ENSMUSP00000031731,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000096040,ENSMUSP00000102068,ENSMUSP00000105846,ENSMUSP00000125803	Col12a1,Col14a1,Col1a1,Col1a2,Col3a1,Col4a4,Col6a6,Col8a2,Itgb4,Loxl2,Loxl4,Pcolce
MMU-1474228	Degradation of the extracellular matrix	15	118	3.15e-06	ENSMUSP00000001547,ENSMUSP00000005532,ENSMUSP00000015664,ENSMUSP00000023611,ENSMUSP00000028633,ENSMUSP00000031668,ENSMUSP00000034187,ENSMUSP00000048183,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000087119,ENSMUSP00000096040,ENSMUSP00000100924	Adamts5,Capn5,Col12a1,Col1a1,Col1a2,Col3a1,Col4a4,Col6a6,Col8a2,Ctsk,Dcn,Fbn1,Mmp14,Mmp2,Nid1
MMU-8948216	Collagen chain trimerization	9	40	2.19e-05	ENSMUSP00000001547,ENSMUSP00000031668,ENSMUSP00000035802,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000096040,ENSMUSP00000105846	Col12a1,Col14a1,Col16a1,Col1a1,Col1a2,Col3a1,Col4a4,Col6a6,Col8a2
MMU-977606	Regulation of Complement cascade	9	41	2.34e-05	ENSMUSP00000023994,ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000027650,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000063707,ENSMUSP00000069418,ENSMUSP00000107607	C1qb,C1qc,C1ra,C2,C4b,Cd55,Cfb,Cfh,Serping1
MMU-1442490	Collagen degradation	10	64	6.92e-05	ENSMUSP00000001547,ENSMUSP00000015664,ENSMUSP00000031668,ENSMUSP00000034187,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000087119,ENSMUSP00000096040	Col12a1,Col1a1,Col1a2,Col3a1,Col4a4,Col6a6,Col8a2,Ctsk,Mmp14,Mmp2
MMU-216083	Integrin cell surface interactions	10	68	0.00010	ENSMUSP00000001547,ENSMUSP00000028633,ENSMUSP00000031668,ENSMUSP00000035802,ENSMUSP00000053891,ENSMUSP00000070270,ENSMUSP00000083587,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000096040	Col16a1,Col1a1,Col1a2,Col3a1,Col4a4,Col6a6,Col8a2,Fbn1,Icam1,Itga2
MMU-2243919	Crosslinking of collagen fibrils	6	16	0.00011	ENSMUSP00000001547,ENSMUSP00000022660,ENSMUSP00000031668,ENSMUSP00000031731,ENSMUSP00000084282,ENSMUSP00000125803	Col1a1,Col1a2,Col4a4,Loxl2,Loxl4,Pcolce
MMU-422475	Axon guidance	18	248	0.00016	ENSMUSP00000004326,ENSMUSP00000020204,ENSMUSP00000020329,ENSMUSP00000021900,ENSMUSP00000026896,ENSMUSP00000032800,ENSMUSP00000034187,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000088618,ENSMUSP00000092148,ENSMUSP00000096040,ENSMUSP00000101315,ENSMUSP00000101472,ENSMUSP00000110748,ENSMUSP00000124052,ENSMUSP00000127615,ENSMUSP00000131840	Col3a1,Col4a4,Col6a6,Dnm1,Egfr,Ephb2,Mmp2,Nfasc,Ntn4,Pik3cd,Plxna1,Plxna3,Plxna4,Reln,Sema4d,Slit2,St8sia2,Tyrobp
MMU-166663	Initial triggering of complement	6	18	0.00017	ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000063707,ENSMUSP00000069418	C1qb,C1qc,C1ra,C2,C4b,Cfb
MMU-8875878	MET promotes cell motility	7	33	0.00032	ENSMUSP00000001547,ENSMUSP00000020695,ENSMUSP00000030683,ENSMUSP00000031668,ENSMUSP00000053891,ENSMUSP00000085192,ENSMUSP00000090304	Col1a1,Col1a2,Col3a1,Hgf,Itga2,Lama2,Tns3
MMU-1566948	Elastic fibre formation	7	37	0.00058	ENSMUSP00000020759,ENSMUSP00000022660,ENSMUSP00000024849,ENSMUSP00000028633,ENSMUSP00000048334,ENSMUSP00000054583,ENSMUSP00000125803	Efemp1,Emilin2,Fbln1,Fbln2,Fbn1,Loxl2,Loxl4
MMU-8874081	MET activates PTK2 signaling	6	25	0.00068	ENSMUSP00000001547,ENSMUSP00000030683,ENSMUSP00000031668,ENSMUSP00000053891,ENSMUSP00000085192,ENSMUSP00000090304	Col1a1,Col1a2,Col3a1,Hgf,Itga2,Lama2
MMU-3000178	ECM proteoglycans	7	41	0.00093	ENSMUSP00000001547,ENSMUSP00000031668,ENSMUSP00000053891,ENSMUSP00000084661,ENSMUSP00000085192,ENSMUSP00000096040,ENSMUSP00000100924	Col1a1,Col1a2,Col3a1,Col6a6,Dcn,Itga2,Tnxb
MMU-9006934	Signaling by Receptor Tyrosine Kinases	20	360	0.0013	ENSMUSP00000001547,ENSMUSP00000015484,ENSMUSP00000016094,ENSMUSP00000020329,ENSMUSP00000020507,ENSMUSP00000020695,ENSMUSP00000030683,ENSMUSP00000031668,ENSMUSP00000033941,ENSMUSP00000035400,ENSMUSP00000044110,ENSMUSP00000053891,ENSMUSP00000062171,ENSMUSP00000082207,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000090304,ENSMUSP00000096040,ENSMUSP00000127173,ENSMUSP00000129491	Atp6v0e2,Col1a1,Col1a2,Col3a1,Col4a4,Col6a6,Cybb,Egfr,Fgf18,Flrt2,Hgf,Itga2,Lama2,Ncf1,Nckap1l,Pdgfra,Plat,Shc2,Tlr9,Tns3
MMU-5173214	O-glycosylation of TSR domain-containing proteins	6	33	0.0023	ENSMUSP00000023611,ENSMUSP00000040171,ENSMUSP00000041157,ENSMUSP00000057796,ENSMUSP00000088774,ENSMUSP00000102796	Adamts12,Adamts2,Adamts5,Adamtsl1,Adamtsl2,Spon1
MMU-3000171	Non-integrin membrane-ECM interactions	6	34	0.0025	ENSMUSP00000001547,ENSMUSP00000031668,ENSMUSP00000053891,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000102068	Col1a1,Col1a2,Col3a1,Col4a4,Itga2,Itgb4
MMU-3000157	Laminin interactions	5	24	0.0047	ENSMUSP00000005532,ENSMUSP00000053891,ENSMUSP00000084282,ENSMUSP00000090304,ENSMUSP00000102068	Col4a4,Itga2,Itgb4,Lama2,Nid1
MMU-5173105	O-linked glycosylation	9	98	0.0048	ENSMUSP00000022460,ENSMUSP00000023611,ENSMUSP00000040171,ENSMUSP00000041157,ENSMUSP00000057796,ENSMUSP00000065096,ENSMUSP00000083187,ENSMUSP00000088774,ENSMUSP00000102796	Adamts12,Adamts2,Adamts5,Adamtsl1,Adamtsl2,Galnt10,Galnt15,Spon1,Wbscr17
MMU-6798695	Neutrophil degranulation	22	476	0.0058	ENSMUSP00000015484,ENSMUSP00000022169,ENSMUSP00000027368,ENSMUSP00000027650,ENSMUSP00000028239,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000032779,ENSMUSP00000032800,ENSMUSP00000034121,ENSMUSP00000034285,ENSMUSP00000035400,ENSMUSP00000044072,ENSMUSP00000048350,ENSMUSP00000051215,ENSMUSP00000070925,ENSMUSP00000090121,ENSMUSP00000092148,ENSMUSP00000102192,ENSMUSP00000103015,ENSMUSP00000104294,ENSMUSP00000105129	AF251705,Anpep,Cd300a,Cd55,Cd68,Cotl1,Ctsc,Cybb,Fgr,Gsn,Hexb,Hk3,Hpse,Man2b1,Nckap1l,Nfam1,Nfasc,Ptafr,Slc11a1,Tnfrsf1b,Tyrobp,Vat1
MMU-1266738	Developmental Biology	21	450	0.0067	ENSMUSP00000004326,ENSMUSP00000020204,ENSMUSP00000020329,ENSMUSP00000021900,ENSMUSP00000026896,ENSMUSP00000032800,ENSMUSP00000034187,ENSMUSP00000040436,ENSMUSP00000076437,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000088618,ENSMUSP00000092148,ENSMUSP00000096040,ENSMUSP00000101315,ENSMUSP00000101472,ENSMUSP00000110748,ENSMUSP00000113977,ENSMUSP00000124052,ENSMUSP00000127615,ENSMUSP00000131840	Cdon,Col3a1,Col4a4,Col6a6,Dnm1,Egfr,Ephb2,Krt80,Lgi2,Mmp2,Nfasc,Ntn4,Pik3cd,Plxna1,Plxna3,Plxna4,Reln,Sema4d,Slit2,St8sia2,Tyrobp
MMU-5635838	Activation of SMO	4	16	0.0095	ENSMUSP00000021921,ENSMUSP00000064555,ENSMUSP00000095866,ENSMUSP00000113977	Arrb1,Cdon,Gas1,Ptch1
MMU-2129379	Molecules associated with elastic fibres	5	31	0.0105	ENSMUSP00000020759,ENSMUSP00000024849,ENSMUSP00000028633,ENSMUSP00000048334,ENSMUSP00000054583	Efemp1,Emilin2,Fbln1,Fbln2,Fbn1
MMU-419037	NCAM1 interactions	4	17	0.0107	ENSMUSP00000026896,ENSMUSP00000084282,ENSMUSP00000085192,ENSMUSP00000096040	Col3a1,Col4a4,Col6a6,St8sia2
MMU-174577	Activation of C3 and C5	3	7	0.0128	ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000069418	C2,C4b,Cfb
MMU-5632681	Ligand-receptor interactions	3	7	0.0128	ENSMUSP00000021921,ENSMUSP00000064555,ENSMUSP00000113977	Cdon,Gas1,Ptch1
MMU-114604	GPVI-mediated activation cascade	5	34	0.0132	ENSMUSP00000001547,ENSMUSP00000021283,ENSMUSP00000030317,ENSMUSP00000031668,ENSMUSP00000113852	Col1a1,Col1a2,Pdpn,Pik3r5,Syk
MMU-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	8	95	0.0132	ENSMUSP00000001547,ENSMUSP00000016638,ENSMUSP00000031668,ENSMUSP00000083587,ENSMUSP00000085192,ENSMUSP00000090116,ENSMUSP00000090121,ENSMUSP00000102192	AF251705,Cd300a,Cd300lh,Cd34,Col1a1,Col1a2,Col3a1,Icam1
MMU-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	7	74	0.0139	ENSMUSP00000003370,ENSMUSP00000030693,ENSMUSP00000033505,ENSMUSP00000035400,ENSMUSP00000067002,ENSMUSP00000113820,ENSMUSP00000113852	Fgr,Hck,Nckap1l,Pld3,Pld4,Syk,Was
MMU-173623	Classical antibody-mediated complement activation	3	8	0.0150	ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000063707	C1qb,C1qc,C1ra
MMU-2024096	HS-GAG degradation	4	21	0.0173	ENSMUSP00000001802,ENSMUSP00000005173,ENSMUSP00000044072,ENSMUSP00000064131	Gpc3,Hpse,Naglu,Sgsh
