#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0006457	protein folding	8	153	0.0051	ENSMUSP00000001825,ENSMUSP00000021425,ENSMUSP00000041380,ENSMUSP00000050292,ENSMUSP00000074724,ENSMUSP00000076336,ENSMUSP00000091921,ENSMUSP00000105716	Ahsa1,Chchd4,Chordc1,Hsp90aa1,Hspa4l,Hspe1,Mkks,Ptges3
GO:0006458	'de novo' protein folding	4	35	0.0471	ENSMUSP00000041380,ENSMUSP00000050292,ENSMUSP00000074724,ENSMUSP00000105716	Chchd4,Hspe1,Mkks,Ptges3
GO:0006474	N-terminal protein amino acid acetylation	3	15	0.0471	ENSMUSP00000002805,ENSMUSP00000041450,ENSMUSP00000070140	Naa20,Naa30,Naa50
GO:0006605	protein targeting	6	173	0.0471	ENSMUSP00000020523,ENSMUSP00000041380,ENSMUSP00000050156,ENSMUSP00000069228,ENSMUSP00000091921,ENSMUSP00000126298	Chchd4,Hsp90aa1,Pex13,Timm8a1,Timm9,Zfand6
GO:0006626	protein targeting to mitochondrion	4	55	0.0471	ENSMUSP00000041380,ENSMUSP00000050156,ENSMUSP00000091921,ENSMUSP00000126298	Chchd4,Hsp90aa1,Timm8a1,Timm9
GO:0009987	cellular process	83	12459	0.0471	ENSMUSP00000000260,ENSMUSP00000000365,ENSMUSP00000000500,ENSMUSP00000001825,ENSMUSP00000002805,ENSMUSP00000002837,ENSMUSP00000014370,ENSMUSP00000016672,ENSMUSP00000018748,ENSMUSP00000018905,ENSMUSP00000020523,ENSMUSP00000020657,ENSMUSP00000021114,ENSMUSP00000021207,ENSMUSP00000021425,ENSMUSP00000021991,ENSMUSP00000023040,ENSMUSP00000023214,ENSMUSP00000023289,ENSMUSP00000024078,ENSMUSP00000025357,ENSMUSP00000025951,ENSMUSP00000026816,ENSMUSP00000027125,ENSMUSP00000029416,ENSMUSP00000029925,ENSMUSP00000030491,ENSMUSP00000030942,ENSMUSP00000031314,ENSMUSP00000031670,ENSMUSP00000032462,ENSMUSP00000033717,ENSMUSP00000034623,ENSMUSP00000035079,ENSMUSP00000038014,ENSMUSP00000041380,ENSMUSP00000041450,ENSMUSP00000042327,ENSMUSP00000042852,ENSMUSP00000043355,ENSMUSP00000048041,ENSMUSP00000050156,ENSMUSP00000050292,ENSMUSP00000053325,ENSMUSP00000057062,ENSMUSP00000058631,ENSMUSP00000058954,ENSMUSP00000061243,ENSMUSP00000063660,ENSMUSP00000066493,ENSMUSP00000066536,ENSMUSP00000069228,ENSMUSP00000070140,ENSMUSP00000070414,ENSMUSP00000074724,ENSMUSP00000076255,ENSMUSP00000076336,ENSMUSP00000077744,ENSMUSP00000078597,ENSMUSP00000080743,ENSMUSP00000081013,ENSMUSP00000082132,ENSMUSP00000088935,ENSMUSP00000091921,ENSMUSP00000099939,ENSMUSP00000101060,ENSMUSP00000101981,ENSMUSP00000104091,ENSMUSP00000104136,ENSMUSP00000105716,ENSMUSP00000108716,ENSMUSP00000110746,ENSMUSP00000111023,ENSMUSP00000114074,ENSMUSP00000115718,ENSMUSP00000121233,ENSMUSP00000122073,ENSMUSP00000125590,ENSMUSP00000126173,ENSMUSP00000126298,ENSMUSP00000128244,ENSMUSP00000129481,ENSMUSP00000133302	Adcy3,Adora2a,Ahsa1,Alb,Als2cl,Ap3s1,Apoc1,Apoe,Bud31,Cacybp,Ccnl1,Cd59a,Chchd4,Chkb,Chordc1,Cmpk1,Coq10b,Crem,Cxcl9,Dgat1,Dio2,ENSMUSG00000059920,Fam101b,Ffar4,G3bp2,Galk1,Gmpr,Gng11,Gpr4,Hccs,Hey1,Hsp90aa1,Hspa4l,Hspe1,Lipg,Lpar6,Mapkapk2,March5,Mcts1,Mkks,Mlh1,Mpdu1,Mrpl20,Mrpl35,Mterfd1,Naa20,Naa30,Naa50,Ndufaf4,Pdgfb,Pex13,Ppp1r15b,Ptcd3,Ptges3,Rabggtb,Rbp4,Rmnd1,Serpina1a,Sgk1,Slc12a2,Slc1a5,Slc25a17,Slc25a46,Sox7,St3gal5,Sult1a1,Sumo1,Tbx3,Tcim,Timm8a1,Timm9,Timp4,Tmed5,Tmem33,Trappc4,Trmt10c,Ube2b,Ube2f,Ugp2,Uqcrh,Wdr73,Xiap,Zfand6
GO:0010876	lipid localization	7	256	0.0471	ENSMUSP00000023040,ENSMUSP00000023214,ENSMUSP00000023243,ENSMUSP00000025951,ENSMUSP00000066536,ENSMUSP00000104091,ENSMUSP00000133302	Apoc1,Apoe,Dgat1,Gpihbp1,Lipg,Rbp4,Slc25a17
GO:0010951	negative regulation of endopeptidase activity	7	235	0.0471	ENSMUSP00000032228,ENSMUSP00000032462,ENSMUSP00000032510,ENSMUSP00000073695,ENSMUSP00000082132,ENSMUSP00000101060,ENSMUSP00000110746	Adora2a,Mug1,Pzp,Serpina1a,Serpina1c,Timp4,Xiap
GO:0010984	regulation of lipoprotein particle clearance	3	18	0.0471	ENSMUSP00000023243,ENSMUSP00000066536,ENSMUSP00000104091	Apoc1,Gpihbp1,Lipg
GO:0010986	positive regulation of lipoprotein particle clearance	2	5	0.0471	ENSMUSP00000023243,ENSMUSP00000066536	Gpihbp1,Lipg
GO:0017038	protein import	6	148	0.0471	ENSMUSP00000020523,ENSMUSP00000023243,ENSMUSP00000041380,ENSMUSP00000091921,ENSMUSP00000126298,ENSMUSP00000133302	Apoe,Chchd4,Gpihbp1,Hsp90aa1,Pex13,Timm9
GO:0022618	ribonucleoprotein complex assembly	6	192	0.0471	ENSMUSP00000000365,ENSMUSP00000021991,ENSMUSP00000030942,ENSMUSP00000050292,ENSMUSP00000091921,ENSMUSP00000128244	G3bp2,Hsp90aa1,Mcts1,Mrpl20,Mterfd1,Ptges3
GO:0034369	plasma lipoprotein particle remodeling	3	20	0.0471	ENSMUSP00000066536,ENSMUSP00000104091,ENSMUSP00000133302	Apoc1,Apoe,Lipg
GO:0034382	chylomicron remnant clearance	2	5	0.0471	ENSMUSP00000104091,ENSMUSP00000133302	Apoc1,Apoe
GO:0034447	very-low-density lipoprotein particle clearance	2	3	0.0471	ENSMUSP00000104091,ENSMUSP00000133302	Apoc1,Apoe
GO:0044092	negative regulation of molecular function	15	1078	0.0471	ENSMUSP00000000500,ENSMUSP00000001825,ENSMUSP00000032228,ENSMUSP00000032462,ENSMUSP00000032510,ENSMUSP00000038014,ENSMUSP00000073695,ENSMUSP00000082132,ENSMUSP00000088935,ENSMUSP00000101060,ENSMUSP00000104091,ENSMUSP00000105716,ENSMUSP00000110746,ENSMUSP00000123325,ENSMUSP00000133302	Adora2a,Apoc1,Apoe,Chordc1,Hey1,Mkks,Mug1,Pdgfb,Pzp,Rab9,Serpina1a,Serpina1c,Sumo1,Timp4,Xiap
GO:0045861	negative regulation of proteolysis	8	350	0.0471	ENSMUSP00000032228,ENSMUSP00000032462,ENSMUSP00000032510,ENSMUSP00000048041,ENSMUSP00000073695,ENSMUSP00000082132,ENSMUSP00000101060,ENSMUSP00000110746	Adora2a,Cd59a,Mug1,Pzp,Serpina1a,Serpina1c,Timp4,Xiap
