#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu04142	Lysosome	48	123	1.64e-26	ENSMUSP00000000608,ENSMUSP00000001802,ENSMUSP00000002172,ENSMUSP00000003910,ENSMUSP00000005173,ENSMUSP00000006235,ENSMUSP00000015171,ENSMUSP00000015664,ENSMUSP00000015667,ENSMUSP00000016400,ENSMUSP00000019231,ENSMUSP00000020251,ENSMUSP00000021607,ENSMUSP00000021933,ENSMUSP00000022169,ENSMUSP00000023088,ENSMUSP00000023143,ENSMUSP00000024599,ENSMUSP00000024932,ENSMUSP00000025279,ENSMUSP00000026262,ENSMUSP00000026613,ENSMUSP00000027368,ENSMUSP00000029814,ENSMUSP00000029900,ENSMUSP00000030412,ENSMUSP00000030434,ENSMUSP00000032779,ENSMUSP00000033184,ENSMUSP00000033621,ENSMUSP00000034000,ENSMUSP00000034121,ENSMUSP00000034377,ENSMUSP00000034915,ENSMUSP00000043167,ENSMUSP00000044838,ENSMUSP00000052283,ENSMUSP00000053270,ENSMUSP00000055803,ENSMUSP00000099382,ENSMUSP00000100862,ENSMUSP00000101105,ENSMUSP00000104294,ENSMUSP00000107913,ENSMUSP00000118415,ENSMUSP00000120531,ENSMUSP00000121203,ENSMUSP00000130660	Acp2,Ap1s2,Asah1,Atp6ap1,Atp6v0a1,Atp6v0c,Atp6v0d2,Cd63,Cd68,Ctsa,Ctsb,Ctsc,Ctsd,Ctsh,Ctsk,Ctsl,Ctss,Ctsz,Dnase2a,Fuca1,Galns,Gba,Gla,Glb1,Gm2a,Gnptab,Gns,Gusb,Hexa,Hexb,Igf2r,Lamp2,Laptm5,Lgmn,Lipa,Litaf,Man2b1,Manba,Naga,Naglu,Npc1,Pla2g15,Ppt1,Psap,Sgsh,Slc11a1,Tcirg1,Tpp1
mmu04145	Phagosome	37	165	8.89e-14	ENSMUSP00000000299,ENSMUSP00000001513,ENSMUSP00000006435,ENSMUSP00000015484,ENSMUSP00000015667,ENSMUSP00000016094,ENSMUSP00000017604,ENSMUSP00000019231,ENSMUSP00000021933,ENSMUSP00000022904,ENSMUSP00000023128,ENSMUSP00000024932,ENSMUSP00000026021,ENSMUSP00000028499,ENSMUSP00000029623,ENSMUSP00000029748,ENSMUSP00000029900,ENSMUSP00000032168,ENSMUSP00000032265,ENSMUSP00000044838,ENSMUSP00000044903,ENSMUSP00000045770,ENSMUSP00000051033,ENSMUSP00000052283,ENSMUSP00000056669,ENSMUSP00000065456,ENSMUSP00000068468,ENSMUSP00000071486,ENSMUSP00000077873,ENSMUSP00000094084,ENSMUSP00000097909,ENSMUSP00000098066,ENSMUSP00000110314,ENSMUSP00000120531,ENSMUSP00000128308,ENSMUSP00000131938,ENSMUSP00000140404	Actb,Actg1,Atp6ap1,Atp6v0a1,Atp6v0c,Atp6v0d2,Atp6v1a,Atp6v1b2,Atp6v1c1,Cd14,Ctsl,Ctss,Cyba,Cybb,Fcgr1,Fcgr3,Fcgr4,Itga5,Itgam,Itgav,Itgb2,Lamp2,Mrc2,Msr1,Ncf1,Ncf2,Ncf4,Olr1,Rab7b,Sec61a1,Tcirg1,Thbs1,Thbs2,Tlr2,Tlr4,Tuba1c,Tubb6
mmu04380	Osteoclast differentiation	30	122	4.25e-12	ENSMUSP00000002180,ENSMUSP00000002678,ENSMUSP00000004622,ENSMUSP00000007757,ENSMUSP00000015664,ENSMUSP00000016094,ENSMUSP00000017604,ENSMUSP00000021090,ENSMUSP00000023687,ENSMUSP00000024791,ENSMUSP00000025523,ENSMUSP00000027559,ENSMUSP00000028882,ENSMUSP00000029748,ENSMUSP00000030464,ENSMUSP00000032800,ENSMUSP00000043849,ENSMUSP00000057844,ENSMUSP00000059129,ENSMUSP00000071836,ENSMUSP00000077546,ENSMUSP00000077873,ENSMUSP00000078705,ENSMUSP00000094084,ENSMUSP00000099491,ENSMUSP00000101121,ENSMUSP00000104255,ENSMUSP00000113852,ENSMUSP00000131938,ENSMUSP00000140404	Blnk,Csf1r,Ctsk,Cyba,Fcgr1,Fcgr3,Fcgr4,Gab2,Grb2,Ifngr2,Il1a,Lilrb4,Ncf1,Ncf2,Ncf4,Pik3r3,Pira2,Pirb,Sirpa,Socs3,Spi1,Syk,Tec,Tgfb1,Tgfb2,Tgfbr1,Tnfrsf11a,Tnfrsf11b,Trem2,Tyrobp
mmu05205	Proteoglycans in cancer	33	199	2.34e-09	ENSMUSP00000001547,ENSMUSP00000002284,ENSMUSP00000002678,ENSMUSP00000005218,ENSMUSP00000020911,ENSMUSP00000021090,ENSMUSP00000021530,ENSMUSP00000021933,ENSMUSP00000022368,ENSMUSP00000022871,ENSMUSP00000023128,ENSMUSP00000023531,ENSMUSP00000025363,ENSMUSP00000028499,ENSMUSP00000029175,ENSMUSP00000029445,ENSMUSP00000029623,ENSMUSP00000030464,ENSMUSP00000030683,ENSMUSP00000031668,ENSMUSP00000031681,ENSMUSP00000034187,ENSMUSP00000040877,ENSMUSP00000043849,ENSMUSP00000044072,ENSMUSP00000044903,ENSMUSP00000045770,ENSMUSP00000054499,ENSMUSP00000071486,ENSMUSP00000098066,ENSMUSP00000100862,ENSMUSP00000113071,ENSMUSP00000128278	Actb,Actg1,Cd44,Cd63,Col1a1,Col1a2,Ctsl,Fn1,Grb2,Hbegf,Hcls1,Hgf,Hif1a,Hpse,Iqgap1,Itga5,Itgav,Lum,Mmp2,Msn,Nras,Pik3r3,Plau,Plaur,Sdc1,Sdc2,Src,Tgfb1,Tgfb2,Thbs1,Tlr2,Tlr4,Wnt16
mmu04060	Cytokine-cytokine receptor interaction	37	252	2.85e-09	ENSMUSP00000000193,ENSMUSP00000000544,ENSMUSP00000001008,ENSMUSP00000002678,ENSMUSP00000003981,ENSMUSP00000007757,ENSMUSP00000010605,ENSMUSP00000018896,ENSMUSP00000019064,ENSMUSP00000019071,ENSMUSP00000019074,ENSMUSP00000021011,ENSMUSP00000023687,ENSMUSP00000023691,ENSMUSP00000025523,ENSMUSP00000027559,ENSMUSP00000028882,ENSMUSP00000029652,ENSMUSP00000030336,ENSMUSP00000030683,ENSMUSP00000031327,ENSMUSP00000033418,ENSMUSP00000034230,ENSMUSP00000034594,ENSMUSP00000036326,ENSMUSP00000043849,ENSMUSP00000044918,ENSMUSP00000047894,ENSMUSP00000063986,ENSMUSP00000067066,ENSMUSP00000074708,ENSMUSP00000075423,ENSMUSP00000075463,ENSMUSP00000078705,ENSMUSP00000094082,ENSMUSP00000094083,ENSMUSP00000107069	Acvr1b,Ccl2,Ccl3,Ccl4,Ccl6,Ccl7,Ccr5,Crlf2,Csf1r,Csf2ra,Csf2rb,Csf2rb2,Cx3cl1,Cx3cr1,Cxcl1,Cxcl16,Hgf,Ifngr2,Il10ra,Il10rb,Il12rb2,Il13ra1,Il1a,Il7r,Inhba,Inhbb,Lif,Osm,Pdgfa,Pdgfc,Tgfb1,Tgfb2,Tgfbr1,Tnfrsf11a,Tnfrsf11b,Tnfrsf1b,Tnfsf13
mmu05323	Rheumatoid arthritis	21	81	5.81e-09	ENSMUSP00000000193,ENSMUSP00000000299,ENSMUSP00000001008,ENSMUSP00000002678,ENSMUSP00000006435,ENSMUSP00000015664,ENSMUSP00000018896,ENSMUSP00000019231,ENSMUSP00000021933,ENSMUSP00000022904,ENSMUSP00000024932,ENSMUSP00000027559,ENSMUSP00000028882,ENSMUSP00000029623,ENSMUSP00000029900,ENSMUSP00000043849,ENSMUSP00000044838,ENSMUSP00000045770,ENSMUSP00000097404,ENSMUSP00000110314,ENSMUSP00000120531	Atp6ap1,Atp6v0a1,Atp6v0c,Atp6v0d2,Atp6v1a,Atp6v1b2,Atp6v1c1,Ccl2,Ccl3,Cd80,Ctsk,Ctsl,Il1a,Itgb2,Tcirg1,Tgfb1,Tgfb2,Tlr2,Tlr4,Tnfrsf11a,Tnfsf13
mmu05152	Tuberculosis	29	172	1.46e-08	ENSMUSP00000000299,ENSMUSP00000002678,ENSMUSP00000004560,ENSMUSP00000015667,ENSMUSP00000019231,ENSMUSP00000023687,ENSMUSP00000023691,ENSMUSP00000024932,ENSMUSP00000028882,ENSMUSP00000029175,ENSMUSP00000029623,ENSMUSP00000029748,ENSMUSP00000029900,ENSMUSP00000033053,ENSMUSP00000034594,ENSMUSP00000043849,ENSMUSP00000044838,ENSMUSP00000045770,ENSMUSP00000052283,ENSMUSP00000056669,ENSMUSP00000068468,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000097909,ENSMUSP00000113852,ENSMUSP00000120531,ENSMUSP00000121203,ENSMUSP00000131010,ENSMUSP00000131938	Atp6ap1,Atp6v0a1,Atp6v0c,Atp6v0d2,Bid,Cd14,Ctsd,Ctss,Fcer1g,Fcgr1,Fcgr3,Fcgr4,Ifngr2,Il10ra,Il10rb,Il1a,Itgam,Itgax,Itgb2,Lamp2,Mrc2,Sphk1,Src,Syk,Tcirg1,Tgfb1,Tgfb2,Tlr2,Tlr4
mmu04810	Regulation of actin cytoskeleton	31	208	4.70e-08	ENSMUSP00000000299,ENSMUSP00000005889,ENSMUSP00000006467,ENSMUSP00000006912,ENSMUSP00000023128,ENSMUSP00000028499,ENSMUSP00000029175,ENSMUSP00000029445,ENSMUSP00000029652,ENSMUSP00000030464,ENSMUSP00000033053,ENSMUSP00000034774,ENSMUSP00000035400,ENSMUSP00000036270,ENSMUSP00000054499,ENSMUSP00000056669,ENSMUSP00000061754,ENSMUSP00000068468,ENSMUSP00000069681,ENSMUSP00000071486,ENSMUSP00000071715,ENSMUSP00000075463,ENSMUSP00000076933,ENSMUSP00000082822,ENSMUSP00000098066,ENSMUSP00000107795,ENSMUSP00000109483,ENSMUSP00000112259,ENSMUSP00000113071,ENSMUSP00000114839,ENSMUSP00000128278	Actb,Actg1,Arpc1b,Arpc2,Arpc4,Arpc5,Cd14,Cfl1,F2r,Fgf7,Fn1,Iqgap1,Iqgap3,Itga11,Itga5,Itgam,Itgav,Itgax,Itgb2,Msn,Nckap1l,Nras,Pdgfa,Pdgfc,Pik3r3,Pip4k2a,Src,Ssh3,Tmsb4x,Vav1,Vav3
mmu05144	Malaria	15	45	9.93e-08	ENSMUSP00000000193,ENSMUSP00000000299,ENSMUSP00000002678,ENSMUSP00000020911,ENSMUSP00000022871,ENSMUSP00000027874,ENSMUSP00000029574,ENSMUSP00000029623,ENSMUSP00000030683,ENSMUSP00000043849,ENSMUSP00000044004,ENSMUSP00000044903,ENSMUSP00000045770,ENSMUSP00000123924,ENSMUSP00000128308	Ccl2,Hgf,Itgb2,Lrp1,Sdc1,Sdc2,Sele,Selp,Tgfb1,Tgfb2,Thbs1,Thbs2,Tlr2,Tlr4,Vcam1
mmu05140	Leishmaniasis	17	65	1.79e-07	ENSMUSP00000000299,ENSMUSP00000002678,ENSMUSP00000015484,ENSMUSP00000016094,ENSMUSP00000017604,ENSMUSP00000023687,ENSMUSP00000028882,ENSMUSP00000029623,ENSMUSP00000029748,ENSMUSP00000035065,ENSMUSP00000043849,ENSMUSP00000045770,ENSMUSP00000068468,ENSMUSP00000077873,ENSMUSP00000094084,ENSMUSP00000131938,ENSMUSP00000140404	Cyba,Cybb,Fcgr1,Fcgr3,Fcgr4,Ifngr2,Il1a,Itgam,Itgb2,Ncf1,Ncf2,Ncf4,Ptgs2,Tgfb1,Tgfb2,Tlr2,Tlr4
