#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu04932	Non-alcoholic fatty liver disease (NAFLD)	12	146	4.67e-06	ENSMUSP00000020372,ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000030243,ENSMUSP00000037385,ENSMUSP00000038463,ENSMUSP00000040717,ENSMUSP00000047661,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000114963,ENSMUSP00000115419	Cox6a1,Cox7c,Cox8a,Lepr,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7,Prkaa2,Uqcr11
mmu00190	Oxidative phosphorylation	10	129	5.64e-05	ENSMUSP00000020372,ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000038463,ENSMUSP00000040717,ENSMUSP00000047661,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000114963,ENSMUSP00000115419	Cox6a1,Cox7c,Cox8a,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7,Uqcr11
mmu05012	Parkinson's disease	10	138	6.69e-05	ENSMUSP00000020372,ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000038463,ENSMUSP00000040717,ENSMUSP00000047661,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000114963,ENSMUSP00000115419	Cox6a1,Cox7c,Cox8a,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7,Uqcr11
mmu05010	Alzheimer's disease	10	167	0.00025	ENSMUSP00000020372,ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000038463,ENSMUSP00000040717,ENSMUSP00000047661,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000114963,ENSMUSP00000115419	Cox6a1,Cox7c,Cox8a,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7,Uqcr11
mmu04714	Thermogenesis	11	223	0.00040	ENSMUSP00000020372,ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000030243,ENSMUSP00000038463,ENSMUSP00000040717,ENSMUSP00000047661,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000114963,ENSMUSP00000115419	Cox6a1,Cox7c,Cox8a,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7,Prkaa2,Uqcr11
mmu05016	Huntington's disease	10	187	0.00043	ENSMUSP00000020372,ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000038463,ENSMUSP00000040717,ENSMUSP00000047661,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000114963,ENSMUSP00000115419	Cox6a1,Cox7c,Cox8a,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7,Uqcr11
mmu01100	Metabolic pathways	25	1296	0.0126	ENSMUSP00000003620,ENSMUSP00000020372,ENSMUSP00000022460,ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000026414,ENSMUSP00000030528,ENSMUSP00000032865,ENSMUSP00000038069,ENSMUSP00000038463,ENSMUSP00000040048,ENSMUSP00000040550,ENSMUSP00000040717,ENSMUSP00000047564,ENSMUSP00000047661,ENSMUSP00000052866,ENSMUSP00000056195,ENSMUSP00000070414,ENSMUSP00000072264,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000116898,ENSMUSP00000139684	Acer2,Bckdhb,Cox6a1,Cox7c,Cox8a,Cyp2b10,Dgka,Fah,Galnt15,Ganc,H2-Ke6,Maob,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7,Pgp,Pla2g2d,Prodh,Pygm,St3gal5,Suox,Uqcr11
mmu04260	Cardiac muscle contraction	5	75	0.0178	ENSMUSP00000020372,ENSMUSP00000040717,ENSMUSP00000047661,ENSMUSP00000115419,ENSMUSP00000138622	Cacng6,Cox6a1,Cox7c,Cox8a,Uqcr11
mmu04010	MAPK signaling pathway	9	292	0.0364	ENSMUSP00000003433,ENSMUSP00000020617,ENSMUSP00000025897,ENSMUSP00000025914,ENSMUSP00000030677,ENSMUSP00000101556,ENSMUSP00000109104,ENSMUSP00000129393,ENSMUSP00000138622	Cacng6,Flt4,Igf2,Map3k6,Map4k2,Mknk2,Rasgrp2,Rasgrp3,Vegfb
mmu04910	Insulin signaling pathway	6	135	0.0364	ENSMUSP00000003433,ENSMUSP00000030243,ENSMUSP00000033880,ENSMUSP00000047564,ENSMUSP00000055308,ENSMUSP00000061402	Eif4ebp1,Foxo1,Mknk2,Ppp1r3d,Prkaa2,Pygm
mmu04723	Retrograde endocannabinoid signaling	6	145	0.0420	ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000038463,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000114963	Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7
