#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0070469	respirasome	11	87	6.93e-07	ENSMUSP00000020372,ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000038463,ENSMUSP00000040717,ENSMUSP00000047661,ENSMUSP00000083115,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000114963,ENSMUSP00000115419	Atp5sl,Cox6a1,Cox7c,Cox8a,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7,Uqcr11
GO:0005746	mitochondrial respirasome	10	79	1.71e-06	ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000038463,ENSMUSP00000040717,ENSMUSP00000047661,ENSMUSP00000083115,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000114963,ENSMUSP00000115419	Atp5sl,Cox6a1,Cox7c,Cox8a,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7
GO:0098803	respiratory chain complex	10	78	1.71e-06	ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000038463,ENSMUSP00000040717,ENSMUSP00000047661,ENSMUSP00000083115,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000114963,ENSMUSP00000115419	Atp5sl,Cox6a1,Cox7c,Cox8a,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7
GO:0098798	mitochondrial protein complex	15	255	3.45e-06	ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000038463,ENSMUSP00000040717,ENSMUSP00000047661,ENSMUSP00000062066,ENSMUSP00000075226,ENSMUSP00000083115,ENSMUSP00000101003,ENSMUSP00000102047,ENSMUSP00000105796,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000119535,ENSMUSP00000139684	Atp5sl,Bckdhb,Cox6a1,Cox7c,Cox8a,Mrpl38,Mrpl42,Mrps12,Mrps24,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7
GO:0005737	cytoplasm	130	9909	6.77e-06	ENSMUSP00000000939,ENSMUSP00000001716,ENSMUSP00000002572,ENSMUSP00000002881,ENSMUSP00000003433,ENSMUSP00000003620,ENSMUSP00000004294,ENSMUSP00000005769,ENSMUSP00000015481,ENSMUSP00000015612,ENSMUSP00000018698,ENSMUSP00000019226,ENSMUSP00000020284,ENSMUSP00000020288,ENSMUSP00000020372,ENSMUSP00000020550,ENSMUSP00000020617,ENSMUSP00000020962,ENSMUSP00000021522,ENSMUSP00000022057,ENSMUSP00000022460,ENSMUSP00000022595,ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000023807,ENSMUSP00000025897,ENSMUSP00000026414,ENSMUSP00000026828,ENSMUSP00000026986,ENSMUSP00000028118,ENSMUSP00000028991,ENSMUSP00000030192,ENSMUSP00000030243,ENSMUSP00000030528,ENSMUSP00000030848,ENSMUSP00000031607,ENSMUSP00000032462,ENSMUSP00000033880,ENSMUSP00000034469,ENSMUSP00000034508,ENSMUSP00000034586,ENSMUSP00000034588,ENSMUSP00000037259,ENSMUSP00000038069,ENSMUSP00000038463,ENSMUSP00000040048,ENSMUSP00000040126,ENSMUSP00000040550,ENSMUSP00000040717,ENSMUSP00000041243,ENSMUSP00000042102,ENSMUSP00000042642,ENSMUSP00000044603,ENSMUSP00000045639,ENSMUSP00000046891,ENSMUSP00000047564,ENSMUSP00000047661,ENSMUSP00000047778,ENSMUSP00000050995,ENSMUSP00000051331,ENSMUSP00000052866,ENSMUSP00000054086,ENSMUSP00000055308,ENSMUSP00000055673,ENSMUSP00000056195,ENSMUSP00000057263,ENSMUSP00000057600,ENSMUSP00000058371,ENSMUSP00000059371,ENSMUSP00000060433,ENSMUSP00000061390,ENSMUSP00000062066,ENSMUSP00000062429,ENSMUSP00000064246,ENSMUSP00000064758,ENSMUSP00000066092,ENSMUSP00000069850,ENSMUSP00000070414,ENSMUSP00000071843,ENSMUSP00000072264,ENSMUSP00000073866,ENSMUSP00000075224,ENSMUSP00000075226,ENSMUSP00000077350,ENSMUSP00000078501,ENSMUSP00000082177,ENSMUSP00000083115,ENSMUSP00000083273,ENSMUSP00000087524,ENSMUSP00000094863,ENSMUSP00000095034,ENSMUSP00000095845,ENSMUSP00000097627,ENSMUSP00000097787,ENSMUSP00000099483,ENSMUSP00000099768,ENSMUSP00000101003,ENSMUSP00000101197,ENSMUSP00000101480,ENSMUSP00000101981,ENSMUSP00000102047,ENSMUSP00000103795,ENSMUSP00000104120,ENSMUSP00000104932,ENSMUSP00000105045,ENSMUSP00000105796,ENSMUSP00000105833,ENSMUSP00000106013,ENSMUSP00000106256,ENSMUSP00000106500,ENSMUSP00000109104,ENSMUSP00000111514,ENSMUSP00000112919,ENSMUSP00000113283,ENSMUSP00000113286,ENSMUSP00000114458,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000116756,ENSMUSP00000118348,ENSMUSP00000119535,ENSMUSP00000123728,ENSMUSP00000124111,ENSMUSP00000127329,ENSMUSP00000127973,ENSMUSP00000128329,ENSMUSP00000130127,ENSMUSP00000131553,ENSMUSP00000133816,ENSMUSP00000139684	Ablim3,Acer2,Afap1l1,Apba3,Apoa1,Apoc3,Arl4a,Atl2,Atp5sl,Axin2,Bckdhb,Bola3,Bri3,Car4,Ccdc88c,Cdc34,Cebpb,Chst1,Cox17,Cox6a1,Cox7c,Cox8a,Cyp2b10,Cyp4b1,Ddt,Dgka,Dsc3,Dtx1,Ech1,Egln1,Eif4ebp1,Eif4ebp2,Emc6,Endog,Esrrb,Fam126b,Fam195a,Fam65b,Fam73b,Fitm2,Flt4,Fmo1,Foxo1,Galnt15,Gimap4,Gimap6,Gimap8,Glrx5,Gpx4,H2-Ke6,H2-Q7,Hecw2,Higd2a,Hint2,Hip1r,Igfbp6,Il22ra2,Jag2,Kank3,Kcna5,Kifc2,Klf9,Klhl41,Maob,Map4k2,Mcf2l,Mettl20,Mknk2,Mrpl38,Mrpl42,Mrps12,Mrps24,Mybpc2,Myom3,Myrip,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7,Notch4,Nudt14,Nudt19,Pde2a,Perm1,Pgp,Pim3,Pitpnm2,Pla2g2d,Ppip5k1,Prkaa2,Prkcq,Prkd2,Prodh,Pygm,Rasgrp2,Rasip1,Rbm38,Rbp7,Rbpms2,Rgcc,Rsph3a,Sh2d3c,Shank3,Shb,Slc25a22,Slc9a3r2,Snrk,Snta1,St3gal5,St6galnac2,Sult1a1,Suox,Sypl2,Syt7,Tdrp,Tecr,Timp4,Tmod4,Tob2,Tppp,Ttpa,Tysnd1,Ubxn2a,Unc45b,Uqcr11,Usp2,Vldlr,Ybx2
GO:0005739	mitochondrion	34	1312	6.77e-06	ENSMUSP00000000939,ENSMUSP00000003620,ENSMUSP00000015481,ENSMUSP00000019226,ENSMUSP00000020372,ENSMUSP00000021522,ENSMUSP00000022057,ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000026986,ENSMUSP00000030192,ENSMUSP00000038069,ENSMUSP00000038463,ENSMUSP00000040550,ENSMUSP00000040717,ENSMUSP00000042102,ENSMUSP00000047661,ENSMUSP00000054086,ENSMUSP00000056195,ENSMUSP00000062066,ENSMUSP00000075226,ENSMUSP00000077350,ENSMUSP00000083115,ENSMUSP00000094863,ENSMUSP00000097787,ENSMUSP00000101003,ENSMUSP00000102047,ENSMUSP00000105796,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000118348,ENSMUSP00000119535,ENSMUSP00000131553,ENSMUSP00000139684	Atp5sl,Bckdhb,Bola3,Cox17,Cox6a1,Cox7c,Cox8a,Endog,Fam73b,Gimap8,Glrx5,Gpx4,H2-Ke6,Higd2a,Hint2,Hip1r,Maob,Mettl20,Mrpl38,Mrpl42,Mrps12,Mrps24,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7,Pde2a,Prodh,Slc25a22,Suox,Tppp,Uqcr11
GO:0044464	cell part	166	14017	6.77e-06	ENSMUSP00000000939,ENSMUSP00000001716,ENSMUSP00000002572,ENSMUSP00000002881,ENSMUSP00000003433,ENSMUSP00000003620,ENSMUSP00000004294,ENSMUSP00000004959,ENSMUSP00000005769,ENSMUSP00000015481,ENSMUSP00000015612,ENSMUSP00000018698,ENSMUSP00000019226,ENSMUSP00000020284,ENSMUSP00000020288,ENSMUSP00000020372,ENSMUSP00000020550,ENSMUSP00000020617,ENSMUSP00000020948,ENSMUSP00000020962,ENSMUSP00000021056,ENSMUSP00000021522,ENSMUSP00000022057,ENSMUSP00000022460,ENSMUSP00000022595,ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000023243,ENSMUSP00000023807,ENSMUSP00000024984,ENSMUSP00000025875,ENSMUSP00000025897,ENSMUSP00000025914,ENSMUSP00000026259,ENSMUSP00000026414,ENSMUSP00000026828,ENSMUSP00000026986,ENSMUSP00000027871,ENSMUSP00000028118,ENSMUSP00000028991,ENSMUSP00000030192,ENSMUSP00000030243,ENSMUSP00000030528,ENSMUSP00000030677,ENSMUSP00000030848,ENSMUSP00000031607,ENSMUSP00000032174,ENSMUSP00000032462,ENSMUSP00000033050,ENSMUSP00000033880,ENSMUSP00000033918,ENSMUSP00000034469,ENSMUSP00000034508,ENSMUSP00000034586,ENSMUSP00000034588,ENSMUSP00000037259,ENSMUSP00000037385,ENSMUSP00000038069,ENSMUSP00000038463,ENSMUSP00000039012,ENSMUSP00000039507,ENSMUSP00000040048,ENSMUSP00000040126,ENSMUSP00000040550,ENSMUSP00000040717,ENSMUSP00000041243,ENSMUSP00000042102,ENSMUSP00000042642,ENSMUSP00000044603,ENSMUSP00000045639,ENSMUSP00000046891,ENSMUSP00000047564,ENSMUSP00000047661,ENSMUSP00000047778,ENSMUSP00000047881,ENSMUSP00000048303,ENSMUSP00000049852,ENSMUSP00000050995,ENSMUSP00000051331,ENSMUSP00000052866,ENSMUSP00000054086,ENSMUSP00000055308,ENSMUSP00000055673,ENSMUSP00000056080,ENSMUSP00000056195,ENSMUSP00000057263,ENSMUSP00000057573,ENSMUSP00000057600,ENSMUSP00000058371,ENSMUSP00000059371,ENSMUSP00000060040,ENSMUSP00000060433,ENSMUSP00000061390,ENSMUSP00000062066,ENSMUSP00000062429,ENSMUSP00000064246,ENSMUSP00000064758,ENSMUSP00000066092,ENSMUSP00000069850,ENSMUSP00000070414,ENSMUSP00000071843,ENSMUSP00000072264,ENSMUSP00000073866,ENSMUSP00000075224,ENSMUSP00000075226,ENSMUSP00000077350,ENSMUSP00000078501,ENSMUSP00000080020,ENSMUSP00000080938,ENSMUSP00000082177,ENSMUSP00000083115,ENSMUSP00000083273,ENSMUSP00000087524,ENSMUSP00000094302,ENSMUSP00000094863,ENSMUSP00000095034,ENSMUSP00000095845,ENSMUSP00000097627,ENSMUSP00000097787,ENSMUSP00000099483,ENSMUSP00000099768,ENSMUSP00000099959,ENSMUSP00000100026,ENSMUSP00000100882,ENSMUSP00000101003,ENSMUSP00000101197,ENSMUSP00000101480,ENSMUSP00000101981,ENSMUSP00000102047,ENSMUSP00000103795,ENSMUSP00000104120,ENSMUSP00000104785,ENSMUSP00000104932,ENSMUSP00000105045,ENSMUSP00000105634,ENSMUSP00000105796,ENSMUSP00000105833,ENSMUSP00000106013,ENSMUSP00000106256,ENSMUSP00000106500,ENSMUSP00000108160,ENSMUSP00000109104,ENSMUSP00000111514,ENSMUSP00000112919,ENSMUSP00000113283,ENSMUSP00000113286,ENSMUSP00000114458,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000116756,ENSMUSP00000118348,ENSMUSP00000119535,ENSMUSP00000123728,ENSMUSP00000124111,ENSMUSP00000127094,ENSMUSP00000127329,ENSMUSP00000127973,ENSMUSP00000128329,ENSMUSP00000130127,ENSMUSP00000130414,ENSMUSP00000131553,ENSMUSP00000133816,ENSMUSP00000137518,ENSMUSP00000137520,ENSMUSP00000139684,ENSMUSP00000140967	Abca8b,Ablim3,Acer2,Afap1l1,Anapc13,Apba3,Apcdd1,Apoa1,Apoc3,Arl4a,Asb5,Atl2,Atp5sl,Axin2,Bckdhb,Bola3,Bri3,Car4,Ccdc88c,Cd163,Cdc34,Cebpb,Chst1,Cntfr,Cox17,Cox6a1,Cox7c,Cox8a,Cr2,Cxcr5,Cyp2b10,Cyp4b1,Ddt,Dgka,Dock9,Dsc3,Dtx1,Ebf1,Ech1,Egln1,Eif4ebp1,Eif4ebp2,Emc6,Endog,Esrrb,Faim3,Fam126b,Fam195a,Fam65b,Fam73b,Fbxo31,Fitm2,Flt4,Fmo1,Foxo1,Fzd4,Galnt15,Gimap4,Gimap6,Gimap8,Gldn,Glrx5,Gpihbp1,Gpr182,Gpr56,Gpx4,Grap,H2-Ke6,H2-Q7,Hecw2,Higd2a,Hint2,Hip1r,Hoxa5,Igfbp6,Il22ra2,Jag2,Kank3,Kcna5,Kifc2,Klf15,Klf9,Klhl41,Lepr,Lyve1,Macrod1,Maob,Map3k6,Map4k2,Mcf2l,Mettl20,Mknk2,Mrpl38,Mrpl42,Mrps12,Mrps24,Mybpc2,Myom3,Myrip,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7,Notch4,Nudt14,Nudt19,Nxnl1,Pde2a,Perm1,Pgp,Pim3,Pitpnm2,Pitx3,Pla2g2d,Ppip5k1,Prkaa2,Prkcq,Prkd2,Prodh,Pygm,Rasgrp2,Rasip1,Rbm38,Rbp7,Rbpms2,Rgcc,Robo4,Rsph3a,Scn4a,Sell,Sh2d3c,Shank3,Shb,Slc1a1,Slc24a3,Slc25a22,Slc38a3,Slc9a3r2,Snrk,Snta1,St3gal5,St6galnac2,Sult1a1,Suox,Sypl2,Syt7,Tdrp,Tecr,Timp4,Tmem204,Tmod4,Tob2,Tppp,Tshz2,Ttpa,Tysnd1,Ubxn2a,Unc45b,Uqcr11,Usp2,Vegfb,Vldlr,Ybx2,Zfp366
GO:0044429	mitochondrial part	26	854	7.83e-06	ENSMUSP00000003620,ENSMUSP00000019226,ENSMUSP00000021522,ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000026986,ENSMUSP00000038069,ENSMUSP00000038463,ENSMUSP00000040550,ENSMUSP00000040717,ENSMUSP00000042102,ENSMUSP00000047661,ENSMUSP00000054086,ENSMUSP00000056195,ENSMUSP00000062066,ENSMUSP00000075226,ENSMUSP00000083115,ENSMUSP00000097787,ENSMUSP00000101003,ENSMUSP00000102047,ENSMUSP00000105796,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000119535,ENSMUSP00000131553,ENSMUSP00000139684	Atp5sl,Bckdhb,Cox17,Cox6a1,Cox7c,Cox8a,Fam73b,Glrx5,H2-Ke6,Higd2a,Maob,Mettl20,Mrpl38,Mrpl42,Mrps12,Mrps24,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7,Pde2a,Prodh,Slc25a22,Suox
GO:0005747	mitochondrial respiratory chain complex I	7	46	2.16e-05	ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000038463,ENSMUSP00000083115,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000114963	Atp5sl,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7
GO:0098800	inner mitochondrial membrane protein complex	10	131	2.35e-05	ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000038463,ENSMUSP00000040717,ENSMUSP00000047661,ENSMUSP00000083115,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000114963,ENSMUSP00000115419	Atp5sl,Cox6a1,Cox7c,Cox8a,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7
