#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0055114	oxidation-reduction process	29	898	2.81e-05	ENSMUSP00000003620,ENSMUSP00000020372,ENSMUSP00000021370,ENSMUSP00000021522,ENSMUSP00000022980,ENSMUSP00000023085,ENSMUSP00000025940,ENSMUSP00000026986,ENSMUSP00000034469,ENSMUSP00000034588,ENSMUSP00000037259,ENSMUSP00000038069,ENSMUSP00000038463,ENSMUSP00000040550,ENSMUSP00000040717,ENSMUSP00000047564,ENSMUSP00000047661,ENSMUSP00000056195,ENSMUSP00000066092,ENSMUSP00000072264,ENSMUSP00000094863,ENSMUSP00000099768,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000127094,ENSMUSP00000128329,ENSMUSP00000139684	Apoa1,Bckdhb,C1qtnf9,Cox6a1,Cox7c,Cox8a,Cyp2b10,Cyp4b1,Ech1,Egln1,Fmo1,Glrx5,Gpx4,H2-Ke6,Higd2a,L2hgdh,Maob,Ndufa13,Ndufa6,Ndufb5,Ndufb9,Ndufc1,Ndufs7,Nxnl1,Prodh,Pygm,Suox,Tecr,Uqcr11
GO:0032981	mitochondrial respiratory chain complex I assembly	6	41	0.0067	ENSMUSP00000022980,ENSMUSP00000038463,ENSMUSP00000083115,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000114963	Atp5sl,Ndufa13,Ndufb5,Ndufb9,Ndufc1,Ndufs7
GO:0033108	mitochondrial respiratory chain complex assembly	7	74	0.0075	ENSMUSP00000022980,ENSMUSP00000038463,ENSMUSP00000054086,ENSMUSP00000083115,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000114963	Atp5sl,Cox17,Ndufa13,Ndufb5,Ndufb9,Ndufc1,Ndufs7
GO:0009987	cellular process	146	12459	0.0098	ENSMUSP00000000939,ENSMUSP00000001716,ENSMUSP00000003433,ENSMUSP00000003620,ENSMUSP00000004294,ENSMUSP00000004959,ENSMUSP00000005769,ENSMUSP00000015481,ENSMUSP00000015612,ENSMUSP00000018698,ENSMUSP00000019833,ENSMUSP00000020284,ENSMUSP00000020288,ENSMUSP00000020372,ENSMUSP00000020550,ENSMUSP00000020617,ENSMUSP00000020962,ENSMUSP00000021056,ENSMUSP00000021370,ENSMUSP00000021522,ENSMUSP00000022057,ENSMUSP00000022460,ENSMUSP00000022595,ENSMUSP00000022980,ENSMUSP00000024984,ENSMUSP00000025875,ENSMUSP00000025897,ENSMUSP00000025914,ENSMUSP00000025940,ENSMUSP00000026259,ENSMUSP00000026414,ENSMUSP00000026986,ENSMUSP00000027871,ENSMUSP00000028118,ENSMUSP00000028991,ENSMUSP00000030192,ENSMUSP00000030243,ENSMUSP00000030528,ENSMUSP00000030677,ENSMUSP00000031607,ENSMUSP00000032174,ENSMUSP00000032462,ENSMUSP00000032865,ENSMUSP00000033050,ENSMUSP00000033880,ENSMUSP00000033918,ENSMUSP00000034469,ENSMUSP00000034508,ENSMUSP00000034586,ENSMUSP00000034588,ENSMUSP00000037259,ENSMUSP00000037385,ENSMUSP00000038069,ENSMUSP00000038463,ENSMUSP00000039012,ENSMUSP00000039507,ENSMUSP00000040048,ENSMUSP00000040550,ENSMUSP00000040717,ENSMUSP00000041243,ENSMUSP00000042102,ENSMUSP00000042642,ENSMUSP00000044603,ENSMUSP00000045639,ENSMUSP00000046891,ENSMUSP00000047564,ENSMUSP00000047661,ENSMUSP00000047776,ENSMUSP00000047881,ENSMUSP00000049852,ENSMUSP00000050995,ENSMUSP00000051331,ENSMUSP00000051638,ENSMUSP00000052866,ENSMUSP00000054086,ENSMUSP00000055308,ENSMUSP00000055673,ENSMUSP00000056080,ENSMUSP00000056195,ENSMUSP00000057573,ENSMUSP00000057690,ENSMUSP00000060040,ENSMUSP00000060433,ENSMUSP00000062066,ENSMUSP00000062429,ENSMUSP00000064246,ENSMUSP00000064758,ENSMUSP00000066092,ENSMUSP00000069850,ENSMUSP00000070414,ENSMUSP00000071843,ENSMUSP00000072264,ENSMUSP00000073866,ENSMUSP00000075224,ENSMUSP00000078501,ENSMUSP00000080020,ENSMUSP00000080938,ENSMUSP00000082177,ENSMUSP00000083115,ENSMUSP00000083273,ENSMUSP00000094302,ENSMUSP00000094863,ENSMUSP00000095845,ENSMUSP00000097627,ENSMUSP00000097787,ENSMUSP00000099768,ENSMUSP00000099959,ENSMUSP00000100026,ENSMUSP00000100882,ENSMUSP00000101003,ENSMUSP00000101197,ENSMUSP00000101556,ENSMUSP00000101981,ENSMUSP00000103795,ENSMUSP00000104120,ENSMUSP00000104785,ENSMUSP00000104932,ENSMUSP00000105045,ENSMUSP00000105634,ENSMUSP00000105796,ENSMUSP00000105833,ENSMUSP00000106013,ENSMUSP00000106256,ENSMUSP00000106500,ENSMUSP00000109104,ENSMUSP00000112919,ENSMUSP00000113283,ENSMUSP00000114458,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000116756,ENSMUSP00000116898,ENSMUSP00000119535,ENSMUSP00000124111,ENSMUSP00000127094,ENSMUSP00000127329,ENSMUSP00000127973,ENSMUSP00000128329,ENSMUSP00000130127,ENSMUSP00000130414,ENSMUSP00000131553,ENSMUSP00000133816,ENSMUSP00000137518,ENSMUSP00000137520,ENSMUSP00000139684,ENSMUSP00000140967	Ablim3,Acer2,Anapc13,Apba3,Apcdd1,Apoa1,Apoc3,Arl4a,Asb5,Atl2,Atp5sl,Axin2,Bckdhb,C1qtnf9,Ccdc88c,Cdc34,Cebpb,Chst1,Cntfr,Cox17,Cox6a1,Cox7c,Cox8a,Cr2,Cxcr5,Cyp2b10,Cyp4b1,Dact2,Ddt,Dgka,Dock9,Dtx1,Dusp28,Ebf1,Ech1,Egln1,Eif4ebp1,Eif4ebp2,Emc6,Endog,Esrrb,Fah,Fam65b,Fam73b,Fbxo31,Fitm2,Flt4,Fmc1,Fmo1,Foxo1,Fzd4,Galnt15,Ganc,Gldn,Glrx5,Gpr182,Gpr56,Gpx4,Grap,H2-Ke6,H2-Q7,Hecw2,Higd2a,Hint2,Hip1r,Hoxa5,Igf2,Il22ra2,Jag2,Kcna5,Kifc2,Klf15,Klf9,Klhl41,L2hgdh,Lepr,Lyve1,Macrod1,Maob,Map3k6,Map4k2,Mcf2l,Mettl20,Mknk2,Mrps12,Mrps24,Mybpc2,Myrip,Ndufa13,Ndufb5,Ndufb9,Ndufc1,Ndufs7,Notch4,Nxnl1,Pde2a,Perm1,Pgp,Pim3,Pitpnm2,Pitx3,Pla2g2d,Ppapdc2,Ppip5k1,Prkaa2,Prkcq,Prkd2,Prodh,Pygm,Rasgrp2,Rasip1,Rbm38,Rgcc,Robo4,Scn4a,Sell,Sh2d3c,Shank3,Shb,Slc1a1,Slc24a3,Slc38a3,Snrk,Snta1,St3gal5,St6galnac2,Sult1a1,Suox,Sypl2,Syt7,Tecr,Timp4,Tmem204,Tmod4,Tppp,Tshz2,Ttpa,Tysnd1,Ubxn2a,Unc45b,Uqcr11,Usp2,Vegfb,Vldlr,Ybx2,Zfp366
GO:0008202	steroid metabolic process	10	206	0.0170	ENSMUSP00000030192,ENSMUSP00000030243,ENSMUSP00000034586,ENSMUSP00000034588,ENSMUSP00000037385,ENSMUSP00000038069,ENSMUSP00000072264,ENSMUSP00000101981,ENSMUSP00000127329,ENSMUSP00000128329	Apoa1,Apoc3,Cyp2b10,H2-Ke6,Hint2,Lepr,Prkaa2,Sult1a1,Tecr,Vldlr
GO:0010876	lipid localization	11	256	0.0173	ENSMUSP00000020948,ENSMUSP00000023243,ENSMUSP00000030528,ENSMUSP00000034586,ENSMUSP00000034588,ENSMUSP00000049852,ENSMUSP00000095845,ENSMUSP00000105045,ENSMUSP00000124111,ENSMUSP00000127329,ENSMUSP00000127973	Abca8b,Apoa1,Apoc3,Fitm2,Fzd4,Gpihbp1,Pitpnm2,Pla2g2d,Syt7,Ttpa,Vldlr
GO:0043467	regulation of generation of precursor metabolites and energy	7	97	0.0191	ENSMUSP00000030243,ENSMUSP00000034586,ENSMUSP00000042102,ENSMUSP00000054086,ENSMUSP00000101556,ENSMUSP00000105833,ENSMUSP00000131553	Apoc3,Cox17,Esrrb,Igf2,Mettl20,Pde2a,Prkaa2
GO:0006869	lipid transport	10	231	0.0285	ENSMUSP00000020948,ENSMUSP00000023243,ENSMUSP00000030528,ENSMUSP00000034586,ENSMUSP00000034588,ENSMUSP00000049852,ENSMUSP00000095845,ENSMUSP00000124111,ENSMUSP00000127329,ENSMUSP00000127973	Abca8b,Apoa1,Apoc3,Fzd4,Gpihbp1,Pitpnm2,Pla2g2d,Syt7,Ttpa,Vldlr
GO:0048523	negative regulation of cellular process	63	4336	0.0398	ENSMUSP00000000939,ENSMUSP00000001716,ENSMUSP00000002572,ENSMUSP00000005769,ENSMUSP00000015612,ENSMUSP00000018698,ENSMUSP00000020288,ENSMUSP00000020550,ENSMUSP00000020617,ENSMUSP00000022595,ENSMUSP00000025914,ENSMUSP00000026259,ENSMUSP00000026986,ENSMUSP00000028118,ENSMUSP00000028991,ENSMUSP00000030192,ENSMUSP00000030243,ENSMUSP00000030528,ENSMUSP00000031607,ENSMUSP00000032174,ENSMUSP00000032462,ENSMUSP00000033880,ENSMUSP00000034469,ENSMUSP00000034508,ENSMUSP00000034586,ENSMUSP00000034588,ENSMUSP00000037385,ENSMUSP00000039012,ENSMUSP00000040048,ENSMUSP00000040126,ENSMUSP00000040550,ENSMUSP00000042102,ENSMUSP00000044603,ENSMUSP00000045639,ENSMUSP00000048303,ENSMUSP00000049852,ENSMUSP00000051331,ENSMUSP00000051638,ENSMUSP00000052866,ENSMUSP00000055308,ENSMUSP00000057573,ENSMUSP00000057600,ENSMUSP00000060040,ENSMUSP00000060433,ENSMUSP00000061390,ENSMUSP00000062429,ENSMUSP00000069850,ENSMUSP00000094302,ENSMUSP00000094863,ENSMUSP00000095845,ENSMUSP00000099959,ENSMUSP00000100026,ENSMUSP00000101556,ENSMUSP00000104785,ENSMUSP00000104932,ENSMUSP00000105425,ENSMUSP00000105796,ENSMUSP00000105833,ENSMUSP00000106013,ENSMUSP00000127329,ENSMUSP00000131553,ENSMUSP00000133816,ENSMUSP00000137520	Acer2,Apcdd1,Apoa1,Apoc3,Axin2,Ccm2l,Cdc34,Cebpb,Cntfr,Dact2,Ddt,Dtx1,Egln1,Eif4ebp1,Eif4ebp2,Esrrb,Faim3,Fam65b,Fbxo31,Flt4,Foxo1,Fzd4,Gpr56,Gpx4,Higd2a,Hint2,Hip1r,Hoxa5,Igf2,Kank3,Klf15,Klf9,Lepr,Maob,Mettl20,Ndufa13,Notch4,Pde2a,Pgp,Pim3,Pitx3,Pla2g2d,Prkaa2,Prkcq,Rasip1,Rbm38,Rbpms2,Rgcc,Robo4,Shank3,Shb,Slc9a3r2,Snta1,Timp4,Tmod4,Tob2,Tshz2,Ttpa,Usp2,Vegfb,Vldlr,Ybx2,Zfp366
GO:0044281	small molecule metabolic process	29	1489	0.0431	ENSMUSP00000003620,ENSMUSP00000022980,ENSMUSP00000025940,ENSMUSP00000030243,ENSMUSP00000032865,ENSMUSP00000034469,ENSMUSP00000034586,ENSMUSP00000034588,ENSMUSP00000037259,ENSMUSP00000037385,ENSMUSP00000038069,ENSMUSP00000039507,ENSMUSP00000040048,ENSMUSP00000040717,ENSMUSP00000047661,ENSMUSP00000052866,ENSMUSP00000056195,ENSMUSP00000064246,ENSMUSP00000066092,ENSMUSP00000072264,ENSMUSP00000095845,ENSMUSP00000101556,ENSMUSP00000106256,ENSMUSP00000115419,ENSMUSP00000116898,ENSMUSP00000127329,ENSMUSP00000128329,ENSMUSP00000131553,ENSMUSP00000139684	Acer2,Apoa1,Apoc3,Bckdhb,C1qtnf9,Chst1,Cox6a1,Cox7c,Cox8a,Cyp2b10,Ech1,Egln1,Fah,Fmo1,Ganc,H2-Ke6,Igf2,Lepr,Macrod1,Ndufb9,Pde2a,Pgp,Ppip5k1,Prkaa2,Prodh,Suox,Tecr,Ttpa,Vldlr
