#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005515	protein binding	185	6454	5.85e-08	ENSMUSP00000001534,ENSMUSP00000002087,ENSMUSP00000003061,ENSMUSP00000003554,ENSMUSP00000004936,ENSMUSP00000005509,ENSMUSP00000005839,ENSMUSP00000015100,ENSMUSP00000019464,ENSMUSP00000020123,ENSMUSP00000020158,ENSMUSP00000021004,ENSMUSP00000021802,ENSMUSP00000021822,ENSMUSP00000022304,ENSMUSP00000022646,ENSMUSP00000022954,ENSMUSP00000023069,ENSMUSP00000023360,ENSMUSP00000023538,ENSMUSP00000024596,ENSMUSP00000025897,ENSMUSP00000025951,ENSMUSP00000026474,ENSMUSP00000027377,ENSMUSP00000027885,ENSMUSP00000027991,ENSMUSP00000028239,ENSMUSP00000028252,ENSMUSP00000028749,ENSMUSP00000028970,ENSMUSP00000028999,ENSMUSP00000029049,ENSMUSP00000029367,ENSMUSP00000029374,ENSMUSP00000029482,ENSMUSP00000029540,ENSMUSP00000029611,ENSMUSP00000029635,ENSMUSP00000029771,ENSMUSP00000029948,ENSMUSP00000030184,ENSMUSP00000030207,ENSMUSP00000030243,ENSMUSP00000030568,ENSMUSP00000030714,ENSMUSP00000030791,ENSMUSP00000030868,ENSMUSP00000031426,ENSMUSP00000031545,ENSMUSP00000032192,ENSMUSP00000032487,ENSMUSP00000032568,ENSMUSP00000032768,ENSMUSP00000033444,ENSMUSP00000033473,ENSMUSP00000033995,ENSMUSP00000034053,ENSMUSP00000034086,ENSMUSP00000034096,ENSMUSP00000034472,ENSMUSP00000035085,ENSMUSP00000035743,ENSMUSP00000035900,ENSMUSP00000037120,ENSMUSP00000037385,ENSMUSP00000037909,ENSMUSP00000038110,ENSMUSP00000038204,ENSMUSP00000040071,ENSMUSP00000041294,ENSMUSP00000041676,ENSMUSP00000042291,ENSMUSP00000043724,ENSMUSP00000043765,ENSMUSP00000043828,ENSMUSP00000045693,ENSMUSP00000045710,ENSMUSP00000046539,ENSMUSP00000046692,ENSMUSP00000047353,ENSMUSP00000047480,ENSMUSP00000047778,ENSMUSP00000048041,ENSMUSP00000048914,ENSMUSP00000048918,ENSMUSP00000049852,ENSMUSP00000051331,ENSMUSP00000051652,ENSMUSP00000052648,ENSMUSP00000054458,ENSMUSP00000055486,ENSMUSP00000056080,ENSMUSP00000056990,ENSMUSP00000057600,ENSMUSP00000059401,ENSMUSP00000060349,ENSMUSP00000061597,ENSMUSP00000063562,ENSMUSP00000064826,ENSMUSP00000064878,ENSMUSP00000065643,ENSMUSP00000066737,ENSMUSP00000066777,ENSMUSP00000067046,ENSMUSP00000067217,ENSMUSP00000068123,ENSMUSP00000069024,ENSMUSP00000069063,ENSMUSP00000069212,ENSMUSP00000069257,ENSMUSP00000069505,ENSMUSP00000069549,ENSMUSP00000071896,ENSMUSP00000072945,ENSMUSP00000073099,ENSMUSP00000074737,ENSMUSP00000075566,ENSMUSP00000077067,ENSMUSP00000077584,ENSMUSP00000077781,ENSMUSP00000078047,ENSMUSP00000081557,ENSMUSP00000081561,ENSMUSP00000085913,ENSMUSP00000087756,ENSMUSP00000088056,ENSMUSP00000090304,ENSMUSP00000093185,ENSMUSP00000096014,ENSMUSP00000096357,ENSMUSP00000097221,ENSMUSP00000098723,ENSMUSP00000099428,ENSMUSP00000099461,ENSMUSP00000099671,ENSMUSP00000099894,ENSMUSP00000099898,ENSMUSP00000101080,ENSMUSP00000101921,ENSMUSP00000102034,ENSMUSP00000102481,ENSMUSP00000102835,ENSMUSP00000103861,ENSMUSP00000104133,ENSMUSP00000104878,ENSMUSP00000105245,ENSMUSP00000106443,ENSMUSP00000107863,ENSMUSP00000108413,ENSMUSP00000109084,ENSMUSP00000109104,ENSMUSP00000109516,ENSMUSP00000109633,ENSMUSP00000109899,ENSMUSP00000110371,ENSMUSP00000110417,ENSMUSP00000110777,ENSMUSP00000111498,ENSMUSP00000112226,ENSMUSP00000112765,ENSMUSP00000113886,ENSMUSP00000114123,ENSMUSP00000115078,ENSMUSP00000115228,ENSMUSP00000117017,ENSMUSP00000117169,ENSMUSP00000117816,ENSMUSP00000124520,ENSMUSP00000124872,ENSMUSP00000127329,ENSMUSP00000128056,ENSMUSP00000128260,ENSMUSP00000128388,ENSMUSP00000128621,ENSMUSP00000128926,ENSMUSP00000129369,ENSMUSP00000131406,ENSMUSP00000132547,ENSMUSP00000133302,ENSMUSP00000134666,ENSMUSP00000138000,ENSMUSP00000139219,ENSMUSP00000140141,ENSMUSP00000140275	Abtb2,Angptl1,Ank2,Apoe,Ar,Arhgef9,Arpp21,Atp1b2,Axin2,BC029214,Bcam,Bche,Bex4,Bmpr1a,Bmpr1b,Btc,C1qtnf2,Cacna1c,Cacnb2,Camk2n1,Camk4,Cap2,Capn3,Casq1,Cbx7,Ccl24,Cd59a,Cd8a,Cdc42ep3,Chd6,Chmp4c,Cldn22,Cobl,Col4a3,Ctnna3,Cxxc4,Dact1,Dact3,Dmd,Dmpk,Dstn,Dtna,Eml5,Enah,Epha1,Erbb4,F3,Fam118a,Fam212b,Fgf1,Fgf13,Fgf14,Fhl1,Fibin,Foxp2,Fzd4,Garem,Gdf10,Gldn,Gli1,Gprasp2,Gpsm2,Grb14,Gsn,Gucy1a3,Gucy1b3,Hdac11,Hdac9,Hhip,Ift81,Igfbp5,Igsf9b,Ihh,Itpr1,Jam3,Kcnab1,Kcnd3,Kcnip1,Kcnma1,Khdrbs3,Lama2,Lef1,Lep,Lepr,Limch1,Lmod1,Lrrc15,Map4k2,Mef2c,Meis1,Mpdz,Mpv17l,Mst4,Myb,Myh10,Myh11,Myl9,Mylk,Mylk2,Myom1,Napepld,Nbea,Ndp,Nexn,Nkd1,Nkx3-1,Noxo1,Npnt,Npr1,Npr3,Nr1d1,Nr2f2,Ntf3,Ntrk3,Nudt19,Ogn,Osr1,Pdgfd,Pdlim3,Pex5l,Pgr,Phactr1,Pitpnm3,Pkia,Pnck,Ppp1cb,Ppp1r12a,Ppp1r12b,Prickle1,Prkaa2,Prrt2,Psip1,Ptprd,Ptprz1,Pygb,Rab4a,Rag1,Rag2,Rasgrp2,Rbp4,Rbpms,Rbpms2,Rcsd1,Rgs4,Ric3,Rock1,Sema3a,Sema3c,Sema3d,Sema5a,Sema6c,Sept1,Setd6,Sh2d1a,Sh3bgr,Sh3rf2,Slc22a1,Slc8a2,Slmap,Smarcd3,Sntb1,Sntg2,Sost,Sphkap,St5,Stx1a,Svil,Svip,Synpo2,Sytl5,Tacc2,Tceal3,Tenm3,Tfdp2,Thra,Thrb,Tmpo,Tnk2,Tpm2,Ttll7,Vamp1,Vldlr,Wdr78,Whrn,Wnt5a
GO:0005488	binding	263	10884	6.53e-06	ENSMUSP00000000314,ENSMUSP00000001534,ENSMUSP00000002081,ENSMUSP00000002087,ENSMUSP00000003061,ENSMUSP00000003554,ENSMUSP00000004094,ENSMUSP00000004936,ENSMUSP00000005509,ENSMUSP00000005839,ENSMUSP00000015100,ENSMUSP00000019464,ENSMUSP00000019516,ENSMUSP00000020123,ENSMUSP00000020158,ENSMUSP00000020217,ENSMUSP00000020948,ENSMUSP00000021004,ENSMUSP00000021802,ENSMUSP00000021822,ENSMUSP00000022304,ENSMUSP00000022646,ENSMUSP00000022954,ENSMUSP00000023065,ENSMUSP00000023069,ENSMUSP00000023105,ENSMUSP00000023360,ENSMUSP00000023538,ENSMUSP00000024596,ENSMUSP00000025254,ENSMUSP00000025618,ENSMUSP00000025800,ENSMUSP00000025897,ENSMUSP00000025951,ENSMUSP00000026414,ENSMUSP00000026474,ENSMUSP00000027377,ENSMUSP00000027472,ENSMUSP00000027529,ENSMUSP00000027885,ENSMUSP00000027991,ENSMUSP00000028106,ENSMUSP00000028239,ENSMUSP00000028252,ENSMUSP00000028749,ENSMUSP00000028759,ENSMUSP00000028970,ENSMUSP00000028999,ENSMUSP00000029049,ENSMUSP00000029367,ENSMUSP00000029371,ENSMUSP00000029374,ENSMUSP00000029482,ENSMUSP00000029540,ENSMUSP00000029611,ENSMUSP00000029635,ENSMUSP00000029771,ENSMUSP00000029780,ENSMUSP00000029948,ENSMUSP00000030184,ENSMUSP00000030201,ENSMUSP00000030207,ENSMUSP00000030243,ENSMUSP00000030568,ENSMUSP00000030714,ENSMUSP00000030791,ENSMUSP00000030868,ENSMUSP00000031249,ENSMUSP00000031426,ENSMUSP00000031545,ENSMUSP00000032192,ENSMUSP00000032487,ENSMUSP00000032568,ENSMUSP00000032768,ENSMUSP00000033341,ENSMUSP00000033444,ENSMUSP00000033473,ENSMUSP00000033591,ENSMUSP00000033995,ENSMUSP00000034053,ENSMUSP00000034086,ENSMUSP00000034096,ENSMUSP00000034472,ENSMUSP00000035085,ENSMUSP00000035743,ENSMUSP00000035900,ENSMUSP00000037113,ENSMUSP00000037120,ENSMUSP00000037385,ENSMUSP00000037900,ENSMUSP00000037909,ENSMUSP00000038110,ENSMUSP00000038204,ENSMUSP00000038947,ENSMUSP00000039473,ENSMUSP00000039804,ENSMUSP00000040071,ENSMUSP00000040198,ENSMUSP00000041294,ENSMUSP00000041676,ENSMUSP00000042291,ENSMUSP00000043120,ENSMUSP00000043724,ENSMUSP00000043765,ENSMUSP00000043828,ENSMUSP00000045693,ENSMUSP00000045710,ENSMUSP00000046539,ENSMUSP00000046692,ENSMUSP00000047353,ENSMUSP00000047480,ENSMUSP00000047778,ENSMUSP00000048041,ENSMUSP00000048914,ENSMUSP00000048918,ENSMUSP00000049342,ENSMUSP00000049852,ENSMUSP00000051331,ENSMUSP00000051652,ENSMUSP00000052322,ENSMUSP00000052648,ENSMUSP00000052863,ENSMUSP00000054458,ENSMUSP00000055486,ENSMUSP00000055599,ENSMUSP00000056080,ENSMUSP00000056990,ENSMUSP00000057600,ENSMUSP00000059056,ENSMUSP00000059401,ENSMUSP00000060149,ENSMUSP00000060349,ENSMUSP00000060402,ENSMUSP00000061278,ENSMUSP00000061597,ENSMUSP00000061836,ENSMUSP00000062078,ENSMUSP00000063217,ENSMUSP00000063499,ENSMUSP00000063562,ENSMUSP00000064467,ENSMUSP00000064826,ENSMUSP00000064878,ENSMUSP00000065643,ENSMUSP00000065786,ENSMUSP00000066461,ENSMUSP00000066737,ENSMUSP00000066777,ENSMUSP00000066860,ENSMUSP00000067046,ENSMUSP00000067217,ENSMUSP00000068123,ENSMUSP00000069011,ENSMUSP00000069024,ENSMUSP00000069063,ENSMUSP00000069212,ENSMUSP00000069257,ENSMUSP00000069505,ENSMUSP00000069549,ENSMUSP00000071786,ENSMUSP00000071896,ENSMUSP00000072945,ENSMUSP00000073099,ENSMUSP00000074737,ENSMUSP00000075566,ENSMUSP00000077067,ENSMUSP00000077584,ENSMUSP00000077781,ENSMUSP00000078047,ENSMUSP00000078863,ENSMUSP00000081557,ENSMUSP00000081561,ENSMUSP00000082580,ENSMUSP00000085913,ENSMUSP00000087525,ENSMUSP00000087756,ENSMUSP00000088056,ENSMUSP00000088334,ENSMUSP00000089781,ENSMUSP00000090304,ENSMUSP00000092637,ENSMUSP00000093185,ENSMUSP00000094844,ENSMUSP00000095253,ENSMUSP00000096014,ENSMUSP00000096357,ENSMUSP00000096753,ENSMUSP00000097221,ENSMUSP00000097860,ENSMUSP00000098723,ENSMUSP00000099316,ENSMUSP00000099428,ENSMUSP00000099461,ENSMUSP00000099592,ENSMUSP00000099671,ENSMUSP00000099894,ENSMUSP00000099898,ENSMUSP00000101080,ENSMUSP00000101921,ENSMUSP00000102034,ENSMUSP00000102481,ENSMUSP00000102835,ENSMUSP00000103861,ENSMUSP00000104091,ENSMUSP00000104133,ENSMUSP00000104763,ENSMUSP00000104878,ENSMUSP00000105245,ENSMUSP00000105634,ENSMUSP00000105861,ENSMUSP00000106443,ENSMUSP00000107403,ENSMUSP00000107863,ENSMUSP00000108413,ENSMUSP00000109084,ENSMUSP00000109104,ENSMUSP00000109140,ENSMUSP00000109516,ENSMUSP00000109633,ENSMUSP00000109899,ENSMUSP00000110371,ENSMUSP00000110417,ENSMUSP00000110777,ENSMUSP00000110894,ENSMUSP00000111498,ENSMUSP00000112226,ENSMUSP00000112765,ENSMUSP00000113886,ENSMUSP00000114087,ENSMUSP00000114123,ENSMUSP00000114166,ENSMUSP00000115078,ENSMUSP00000115228,ENSMUSP00000116006,ENSMUSP00000117017,ENSMUSP00000117169,ENSMUSP00000117687,ENSMUSP00000117816,ENSMUSP00000124520,ENSMUSP00000124872,ENSMUSP00000125081,ENSMUSP00000127329,ENSMUSP00000128056,ENSMUSP00000128260,ENSMUSP00000128388,ENSMUSP00000128621,ENSMUSP00000128926,ENSMUSP00000129369,ENSMUSP00000129377,ENSMUSP00000131406,ENSMUSP00000131624,ENSMUSP00000132547,ENSMUSP00000133279,ENSMUSP00000133302,ENSMUSP00000133898,ENSMUSP00000134666,ENSMUSP00000134758,ENSMUSP00000135408,ENSMUSP00000135884,ENSMUSP00000138000,ENSMUSP00000139219,ENSMUSP00000140141,ENSMUSP00000140275	Abca8a,Abca8b,Abtb2,Adam33,Aff3,Angptl1,Ank2,Apoc1,Apoe,Ar,Arhgap32,Arhgef9,Arpp21,Asap2,Astn2,Atp1b2,Axin2,BC029214,Bcam,Bche,Bex4,Bmpr1a,Bmpr1b,Btc,C1qtnf2,Cacna1c,Cacnb2,Camk2n1,Camk4,Cap2,Capn3,Car12,Carns1,Casq1,Cbx7,Ccl24,Cd59a,Cd8a,Cdc42ep3,Cdh4,Cdh6,Chd6,Chmp4c,Cldn22,Cobl,Col4a3,Cpz,Ctnna3,Cxxc4,Dact1,Dact3,Dgka,Dgkb,Dmc1,Dmd,Dmpk,Dntt,Dstn,Dtna,Ecm2,Efhd1,Egflam,Eml5,Enah,Endou,Epha1,Erbb4,F3,Fam118a,Fam212b,Fat4,Fbxo30,Fgf1,Fgf13,Fgf14,Fhl1,Fibin,Foxp2,Fzd4,Garem,Gdf10,Gfi1,Gldn,Gli1,Gne,Gprasp2,Gpsm2,Grb14,Gsn,Gucy1a3,Gucy1b3,Hdac11,Hdac9,Hhip,Hspa12a,Ift81,Igfbp5,Igsf9b,Ihh,Itga8,Itm2a,Itpr1,Jam3,Kcnab1,Kcnd3,Kcnip1,Kcnip4,Kcnma1,Khdrbs3,Klf12,Lama2,Lef1,Lep,Lepr,Lgals4,Limch1,Lims2,Lmod1,Lrrc15,Ltk,Map4k2,Mef2c,Meis1,Mgat5b,Mpdz,Mpv17l,Msrb3,Mst4,Mterf1b,Myb,Myh10,Myh11,Myl9,Mylk,Mylk2,Mylk4,Myom1,Napepld,Nbea,Ndp,Nexn,Nfib,Nkd1,Nkx3-1,Nnt,Noxo1,Npnt,Npr1,Npr3,Nr1d1,Nr2f2,Nrbp2,Ntf3,Ntrk3,Nudt19,Nudt4,Ogn,Osr1,Paqr6,Pcsk5,Pde5a,Pdgfd,Pdlim3,Pex5l,Pgr,Phactr1,Phex,Phtf2,Pip5k1b,Pitpnm3,Pkia,Pla2g4e,Pnck,Pnldc1,Ppm1e,Ppp1cb,Ppp1r12a,Ppp1r12b,Prickle1,Prkaa2,Prrg3,Prrt2,Psip1,Ptbp2,Ptprd,Ptprz1,Pygb,Rab17,Rab4a,Rag1,Rag2,Ramp1,Rasgrp2,Rasl12,Rbm24,Rbms3,Rbp4,Rbpms,Rbpms2,Rcan2,Rcsd1,Rgs4,Ric3,Rimklb,Rltpr,Rock1,Satb1,Sema3a,Sema3c,Sema3d,Sema5a,Sema6c,Sept1,Sept6,Setd6,Sh2d1a,Sh3bgr,Sh3rf2,Slc22a1,Slc24a3,Slc25a23,Slc8a2,Slmap,Smad9,Smarcd3,Sntb1,Sntg2,Sost,Sparcl1,Sphkap,Spo11,Srpk3,Ssbp2,St5,Stx1a,Svil,Svip,Synpo2,Sytl5,Tacc2,Tcea3,Tceal3,Tenm3,Tet1,Tfdp2,Thra,Thrb,Tmpo,Tnik,Tnk2,Tpm2,Tpsb2,Ttll7,Tub,Upb1,Vamp1,Vldlr,Wdfy1,Wdr78,Whrn,Wnt5a,Zak,Zfp354c
GO:0008307	structural constituent of muscle	7	26	0.00053	ENSMUSP00000028749,ENSMUSP00000030184,ENSMUSP00000034053,ENSMUSP00000037120,ENSMUSP00000072945,ENSMUSP00000087756,ENSMUSP00000109633	Capn3,Dmd,Myh11,Myom1,Nexn,Pdlim3,Tpm2
GO:0003707	steroid hormone receptor activity	9	58	0.00078	ENSMUSP00000022304,ENSMUSP00000022646,ENSMUSP00000029611,ENSMUSP00000032768,ENSMUSP00000052648,ENSMUSP00000063562,ENSMUSP00000069505,ENSMUSP00000099428,ENSMUSP00000114166	Ar,Lef1,Nkx3-1,Nr1d1,Nr2f2,Paqr6,Pgr,Thra,Thrb
GO:0003779	actin binding	23	397	0.00078	ENSMUSP00000021004,ENSMUSP00000021802,ENSMUSP00000023538,ENSMUSP00000028239,ENSMUSP00000030184,ENSMUSP00000037120,ENSMUSP00000041294,ENSMUSP00000043724,ENSMUSP00000045693,ENSMUSP00000061597,ENSMUSP00000072945,ENSMUSP00000077781,ENSMUSP00000087756,ENSMUSP00000098723,ENSMUSP00000099461,ENSMUSP00000099671,ENSMUSP00000101080,ENSMUSP00000102034,ENSMUSP00000109633,ENSMUSP00000110371,ENSMUSP00000115078,ENSMUSP00000115228,ENSMUSP00000140275	Cacnb2,Cap2,Cobl,Ctnna3,Dmd,Dstn,Enah,Gsn,Kcnma1,Limch1,Lmod1,Myh10,Myh11,Mylk,Myom1,Nexn,Phactr1,Rcsd1,Sntb1,Sntg2,Svil,Synpo2,Tpm2
GO:0008092	cytoskeletal protein binding	37	877	0.0011	ENSMUSP00000005509,ENSMUSP00000021004,ENSMUSP00000021802,ENSMUSP00000023538,ENSMUSP00000026474,ENSMUSP00000028239,ENSMUSP00000028749,ENSMUSP00000028970,ENSMUSP00000030184,ENSMUSP00000031426,ENSMUSP00000033473,ENSMUSP00000034053,ENSMUSP00000037120,ENSMUSP00000041294,ENSMUSP00000043724,ENSMUSP00000043765,ENSMUSP00000045693,ENSMUSP00000061597,ENSMUSP00000065643,ENSMUSP00000072945,ENSMUSP00000077781,ENSMUSP00000085913,ENSMUSP00000087756,ENSMUSP00000098723,ENSMUSP00000099461,ENSMUSP00000099671,ENSMUSP00000101080,ENSMUSP00000102034,ENSMUSP00000108413,ENSMUSP00000109633,ENSMUSP00000110371,ENSMUSP00000112226,ENSMUSP00000115078,ENSMUSP00000115228,ENSMUSP00000129369,ENSMUSP00000133302,ENSMUSP00000140275	Ank2,Apoe,Bex4,Cacna1c,Cacnb2,Cap2,Capn3,Cobl,Ctnna3,Dmd,Dstn,Eml5,Enah,Fgf13,Gli1,Gsn,Ift81,Kcnma1,Limch1,Lmod1,Myh10,Myh11,Myl9,Mylk,Mylk2,Myom1,Nexn,Pdlim3,Phactr1,Rcsd1,Sntb1,Sntg2,Stx1a,Svil,Synpo2,Tpm2,Ttll7
GO:0043167	ion binding	137	5302	0.0040	ENSMUSP00000000314,ENSMUSP00000001534,ENSMUSP00000002081,ENSMUSP00000002087,ENSMUSP00000003554,ENSMUSP00000015100,ENSMUSP00000019464,ENSMUSP00000019516,ENSMUSP00000020217,ENSMUSP00000020948,ENSMUSP00000022304,ENSMUSP00000023065,ENSMUSP00000023105,ENSMUSP00000023538,ENSMUSP00000025254,ENSMUSP00000025800,ENSMUSP00000025897,ENSMUSP00000026414,ENSMUSP00000026474,ENSMUSP00000027472,ENSMUSP00000027529,ENSMUSP00000028106,ENSMUSP00000028239,ENSMUSP00000028749,ENSMUSP00000028759,ENSMUSP00000028970,ENSMUSP00000029367,ENSMUSP00000029371,ENSMUSP00000029540,ENSMUSP00000029635,ENSMUSP00000029771,ENSMUSP00000029948,ENSMUSP00000030201,ENSMUSP00000030243,ENSMUSP00000031249,ENSMUSP00000031545,ENSMUSP00000032192,ENSMUSP00000032568,ENSMUSP00000032768,ENSMUSP00000033341,ENSMUSP00000033444,ENSMUSP00000034053,ENSMUSP00000034086,ENSMUSP00000035743,ENSMUSP00000035900,ENSMUSP00000037113,ENSMUSP00000037900,ENSMUSP00000037909,ENSMUSP00000038204,ENSMUSP00000038947,ENSMUSP00000039804,ENSMUSP00000040071,ENSMUSP00000040198,ENSMUSP00000042291,ENSMUSP00000045710,ENSMUSP00000046539,ENSMUSP00000047480,ENSMUSP00000047778,ENSMUSP00000048918,ENSMUSP00000049342,ENSMUSP00000052322,ENSMUSP00000052648,ENSMUSP00000054458,ENSMUSP00000055486,ENSMUSP00000055599,ENSMUSP00000059056,ENSMUSP00000060149,ENSMUSP00000060402,ENSMUSP00000061278,ENSMUSP00000061836,ENSMUSP00000062078,ENSMUSP00000063217,ENSMUSP00000063499,ENSMUSP00000063562,ENSMUSP00000064467,ENSMUSP00000064826,ENSMUSP00000065786,ENSMUSP00000066737,ENSMUSP00000066860,ENSMUSP00000069011,ENSMUSP00000069024,ENSMUSP00000069063,ENSMUSP00000069505,ENSMUSP00000069549,ENSMUSP00000071786,ENSMUSP00000071896,ENSMUSP00000073099,ENSMUSP00000074737,ENSMUSP00000077584,ENSMUSP00000078047,ENSMUSP00000078863,ENSMUSP00000082580,ENSMUSP00000085913,ENSMUSP00000087525,ENSMUSP00000087756,ENSMUSP00000088334,ENSMUSP00000089781,ENSMUSP00000093185,ENSMUSP00000094844,ENSMUSP00000096357,ENSMUSP00000097860,ENSMUSP00000098723,ENSMUSP00000099316,ENSMUSP00000099428,ENSMUSP00000099592,ENSMUSP00000099671,ENSMUSP00000101921,ENSMUSP00000104091,ENSMUSP00000104763,ENSMUSP00000104878,ENSMUSP00000105634,ENSMUSP00000105861,ENSMUSP00000108413,ENSMUSP00000109104,ENSMUSP00000109140,ENSMUSP00000109633,ENSMUSP00000110417,ENSMUSP00000110777,ENSMUSP00000110894,ENSMUSP00000111498,ENSMUSP00000113886,ENSMUSP00000114123,ENSMUSP00000117687,ENSMUSP00000125081,ENSMUSP00000127329,ENSMUSP00000128056,ENSMUSP00000128926,ENSMUSP00000129369,ENSMUSP00000129377,ENSMUSP00000131624,ENSMUSP00000133279,ENSMUSP00000133302,ENSMUSP00000133898,ENSMUSP00000134758,ENSMUSP00000135884,ENSMUSP00000138000,ENSMUSP00000140275	Abca8a,Abca8b,Adam33,Apoc1,Apoe,Ar,Arhgap32,Asap2,Astn2,Bche,Bmpr1a,Bmpr1b,Cacna1c,Camk4,Capn3,Car12,Carns1,Casq1,Cdh4,Cdh6,Chd6,Cpz,Cxxc4,Dgka,Dgkb,Dmc1,Dmd,Dmpk,Dntt,Dtna,Ecm2,Efhd1,Egflam,Endou,Epha1,Erbb4,F3,Fat4,Fbxo30,Fgf1,Fgf14,Fhl1,Foxp2,Gfi1,Gli1,Gne,Gsn,Gucy1a3,Gucy1b3,Hhip,Hspa12a,Ihh,Itga8,Itpr1,Kcnab1,Kcnd3,Kcnip1,Kcnip4,Kcnma1,Klf12,Limch1,Lims2,Ltk,Map4k2,Mgat5b,Msrb3,Mst4,Myh10,Myh11,Myl9,Mylk,Mylk2,Mylk4,Napepld,Nkd1,Noxo1,Npnt,Npr1,Npr3,Nr1d1,Nr2f2,Nrbp2,Ntrk3,Nudt19,Nudt4,Osr1,Pde5a,Pdlim3,Pgr,Phex,Pip5k1b,Pitpnm3,Pla2g4e,Pnck,Pnldc1,Ppm1e,Ppp1cb,Prickle1,Prkaa2,Prrg3,Pygb,Rab17,Rab4a,Rag1,Rag2,Rasgrp2,Rasl12,Rimklb,Rltpr,Rock1,Sema5a,Sept1,Sept6,Sh3rf2,Slc24a3,Slc25a23,Slc8a2,Smad9,Sost,Sparcl1,Spo11,Srpk3,Sytl5,Tcea3,Tet1,Thra,Thrb,Tnik,Tnk2,Tpsb2,Ttll7,Tub,Upb1,Vldlr,Wdfy1,Zak,Zfp354c
GO:0005509	calcium ion binding	26	594	0.0105	ENSMUSP00000000314,ENSMUSP00000003554,ENSMUSP00000026414,ENSMUSP00000027472,ENSMUSP00000028239,ENSMUSP00000028749,ENSMUSP00000031249,ENSMUSP00000032192,ENSMUSP00000034086,ENSMUSP00000037113,ENSMUSP00000037900,ENSMUSP00000038947,ENSMUSP00000040071,ENSMUSP00000040198,ENSMUSP00000055599,ENSMUSP00000061836,ENSMUSP00000064826,ENSMUSP00000065786,ENSMUSP00000069063,ENSMUSP00000074737,ENSMUSP00000085913,ENSMUSP00000105634,ENSMUSP00000109104,ENSMUSP00000127329,ENSMUSP00000128056,ENSMUSP00000134758	Astn2,Capn3,Casq1,Cdh4,Cdh6,Dgka,Dgkb,Efhd1,Egflam,Fat4,Gsn,Ihh,Itpr1,Kcnip1,Kcnip4,Myl9,Nkd1,Npnt,Pitpnm3,Prrg3,Rasgrp2,Slc24a3,Slc25a23,Sparcl1,Sytl5,Vldlr
GO:0030215	semaphorin receptor binding	4	12	0.0141	ENSMUSP00000030568,ENSMUSP00000030714,ENSMUSP00000069024,ENSMUSP00000102835	Sema3a,Sema3c,Sema5a,Sema6c
GO:0098772	molecular function regulator	51	1573	0.0141	ENSMUSP00000000769,ENSMUSP00000004936,ENSMUSP00000005509,ENSMUSP00000006701,ENSMUSP00000019464,ENSMUSP00000021822,ENSMUSP00000022646,ENSMUSP00000027991,ENSMUSP00000028749,ENSMUSP00000028999,ENSMUSP00000029482,ENSMUSP00000029611,ENSMUSP00000030714,ENSMUSP00000032192,ENSMUSP00000032568,ENSMUSP00000033473,ENSMUSP00000039473,ENSMUSP00000043765,ENSMUSP00000045710,ENSMUSP00000046692,ENSMUSP00000047353,ENSMUSP00000047480,ENSMUSP00000051331,ENSMUSP00000060349,ENSMUSP00000063217,ENSMUSP00000064131,ENSMUSP00000064878,ENSMUSP00000066777,ENSMUSP00000067046,ENSMUSP00000067217,ENSMUSP00000069063,ENSMUSP00000069212,ENSMUSP00000069257,ENSMUSP00000071896,ENSMUSP00000077067,ENSMUSP00000084454,ENSMUSP00000093185,ENSMUSP00000104091,ENSMUSP00000107863,ENSMUSP00000109104,ENSMUSP00000109516,ENSMUSP00000110371,ENSMUSP00000112765,ENSMUSP00000113886,ENSMUSP00000115228,ENSMUSP00000128388,ENSMUSP00000128621,ENSMUSP00000131406,ENSMUSP00000133302,ENSMUSP00000133898,ENSMUSP00000134758	Ank2,Apoc1,Apoe,Arhgap32,Arhgef9,Asap2,Atp1b2,Axin2,Btc,Cacnb2,Camk2n1,Capn3,Ccl24,Cdc42ep3,Dmpk,Fam212b,Fgf1,Fgf13,Fgf14,Fry,Gdf10,Gpc3,Gpsm2,Itpr1,Kcnab1,Kcnip1,Kcnip4,Lef1,Lep,Lrrc15,Ndp,Nkx3-1,Noxo1,Ntf3,Ogn,Pdgfd,Phactr1,Pkia,Ppp1r12a,Ppp1r12b,Rab4a,Rasgrp2,Rcan2,Rgs4,Sema3a,Serpinf1,Sh3rf2,St5,Stx1a,Tmem110,Wnt5a
