#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-397014	Muscle contraction	15	162	0.00031	ENSMUSP00000003554,ENSMUSP00000028377,ENSMUSP00000029540,ENSMUSP00000030184,ENSMUSP00000032192,ENSMUSP00000032568,ENSMUSP00000033473,ENSMUSP00000047353,ENSMUSP00000069063,ENSMUSP00000096357,ENSMUSP00000108413,ENSMUSP00000109633,ENSMUSP00000110371,ENSMUSP00000128926,ENSMUSP00000134758	Atp1b2,Cacna1c,Cacnb2,Casq1,Dmd,Dmpk,Fgf13,Itpr1,Kcnd3,Kcnip1,Kcnip4,Npr1,Scn2a1,Slc8a2,Tpm2
MMU-5576891	Cardiac conduction	13	113	0.00031	ENSMUSP00000003554,ENSMUSP00000028377,ENSMUSP00000029540,ENSMUSP00000032192,ENSMUSP00000032568,ENSMUSP00000033473,ENSMUSP00000047353,ENSMUSP00000069063,ENSMUSP00000096357,ENSMUSP00000108413,ENSMUSP00000110371,ENSMUSP00000128926,ENSMUSP00000134758	Atp1b2,Cacna1c,Cacnb2,Casq1,Dmpk,Fgf13,Itpr1,Kcnd3,Kcnip1,Kcnip4,Npr1,Scn2a1,Slc8a2
MMU-8948216	Collagen chain trimerization	7	40	0.0037	ENSMUSP00000070270,ENSMUSP00000084282,ENSMUSP00000096040,ENSMUSP00000098765,ENSMUSP00000108553,ENSMUSP00000109084,ENSMUSP00000110899	Col19a1,Col4a3,Col4a4,Col4a5,Col4a6,Col6a6,Col8a2
MMU-216083	Integrin cell surface interactions	8	68	0.0096	ENSMUSP00000028106,ENSMUSP00000034472,ENSMUSP00000070270,ENSMUSP00000084282,ENSMUSP00000096040,ENSMUSP00000098765,ENSMUSP00000108553,ENSMUSP00000109084	Col4a3,Col4a4,Col4a5,Col4a6,Col6a6,Col8a2,Itga8,Jam3
MMU-3000157	Laminin interactions	5	24	0.0165	ENSMUSP00000084282,ENSMUSP00000090304,ENSMUSP00000098765,ENSMUSP00000108553,ENSMUSP00000109084	Col4a3,Col4a4,Col4a5,Col4a6,Lama2
MMU-2214320	Anchoring fibril formation	4	13	0.0179	ENSMUSP00000084282,ENSMUSP00000098765,ENSMUSP00000108553,ENSMUSP00000109084	Col4a3,Col4a4,Col4a5,Col4a6
MMU-1442490	Collagen degradation	7	64	0.0201	ENSMUSP00000070270,ENSMUSP00000084282,ENSMUSP00000096040,ENSMUSP00000098765,ENSMUSP00000108553,ENSMUSP00000109084,ENSMUSP00000110899	Col19a1,Col4a3,Col4a4,Col4a5,Col4a6,Col6a6,Col8a2
MMU-2243919	Crosslinking of collagen fibrils	4	16	0.0232	ENSMUSP00000084282,ENSMUSP00000098765,ENSMUSP00000108553,ENSMUSP00000109084	Col4a3,Col4a4,Col4a5,Col4a6
MMU-419037	NCAM1 interactions	4	17	0.0254	ENSMUSP00000084282,ENSMUSP00000096040,ENSMUSP00000108553,ENSMUSP00000109084	Col4a3,Col4a4,Col4a5,Col6a6
MMU-5576894	Phase 1 - inactivation of fast Na+ channels	3	7	0.0293	ENSMUSP00000069063,ENSMUSP00000096357,ENSMUSP00000134758	Kcnd3,Kcnip1,Kcnip4
MMU-112316	Neuronal System	15	300	0.0338	ENSMUSP00000005509,ENSMUSP00000024596,ENSMUSP00000029367,ENSMUSP00000030376,ENSMUSP00000037909,ENSMUSP00000047480,ENSMUSP00000060706,ENSMUSP00000062638,ENSMUSP00000077314,ENSMUSP00000096357,ENSMUSP00000099898,ENSMUSP00000102690,ENSMUSP00000109516,ENSMUSP00000110371,ENSMUSP00000124709	Arhgef9,Bche,Cacnb2,Gabra3,Gjc1,Gng8,Grip2,Kcnab1,Kcnd3,Kcnq4,Kcns3,Ntrk3,Ptprd,Slc22a1,Stx1a
