#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-168256	Immune System	112	1523	3.64e-24	ENSMUSP00000001156,ENSMUSP00000003370,ENSMUSP00000009340,ENSMUSP00000015484,ENSMUSP00000016094,ENSMUSP00000016168,ENSMUSP00000016400,ENSMUSP00000018610,ENSMUSP00000018765,ENSMUSP00000020550,ENSMUSP00000021413,ENSMUSP00000021860,ENSMUSP00000023123,ENSMUSP00000024866,ENSMUSP00000024988,ENSMUSP00000025181,ENSMUSP00000025523,ENSMUSP00000026436,ENSMUSP00000026564,ENSMUSP00000026571,ENSMUSP00000027243,ENSMUSP00000027368,ENSMUSP00000028881,ENSMUSP00000029559,ENSMUSP00000029748,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000030808,ENSMUSP00000031264,ENSMUSP00000031540,ENSMUSP00000032573,ENSMUSP00000032800,ENSMUSP00000033004,ENSMUSP00000033053,ENSMUSP00000033617,ENSMUSP00000034285,ENSMUSP00000034594,ENSMUSP00000035781,ENSMUSP00000036747,ENSMUSP00000038048,ENSMUSP00000038150,ENSMUSP00000038838,ENSMUSP00000040246,ENSMUSP00000041008,ENSMUSP00000042642,ENSMUSP00000046105,ENSMUSP00000046695,ENSMUSP00000047403,ENSMUSP00000048836,ENSMUSP00000051921,ENSMUSP00000052777,ENSMUSP00000056669,ENSMUSP00000056836,ENSMUSP00000057595,ENSMUSP00000057844,ENSMUSP00000059129,ENSMUSP00000060793,ENSMUSP00000061853,ENSMUSP00000062409,ENSMUSP00000064385,ENSMUSP00000065271,ENSMUSP00000066396,ENSMUSP00000066598,ENSMUSP00000067002,ENSMUSP00000069418,ENSMUSP00000072401,ENSMUSP00000074198,ENSMUSP00000074898,ENSMUSP00000075423,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000079991,ENSMUSP00000082207,ENSMUSP00000083587,ENSMUSP00000083589,ENSMUSP00000084411,ENSMUSP00000090121,ENSMUSP00000094082,ENSMUSP00000094083,ENSMUSP00000094084,ENSMUSP00000095171,ENSMUSP00000096266,ENSMUSP00000097795,ENSMUSP00000099617,ENSMUSP00000100026,ENSMUSP00000101040,ENSMUSP00000101514,ENSMUSP00000101684,ENSMUSP00000101768,ENSMUSP00000102171,ENSMUSP00000102192,ENSMUSP00000102782,ENSMUSP00000103528,ENSMUSP00000104294,ENSMUSP00000105129,ENSMUSP00000106750,ENSMUSP00000106845,ENSMUSP00000107512,ENSMUSP00000107793,ENSMUSP00000111393,ENSMUSP00000112843,ENSMUSP00000113852,ENSMUSP00000113945,ENSMUSP00000116426,ENSMUSP00000118772,ENSMUSP00000120525,ENSMUSP00000125405,ENSMUSP00000127941,ENSMUSP00000129393,ENSMUSP00000134570,ENSMUSP00000140404,ENSMUSP00000140610	AF251705,Adam8,Baiap2,Blnk,Bst2,Btk,Btnl9,C1qa,C1qb,C1qc,C3,C4b,Cd14,Cd300a,Cd300lf,Cd300lg,Cd53,Cd68,Cd74,Cdc34,Ceacam1,Cfd,Cfp,Cntfr,Col2a1,Cotl1,Csf1r,Csf2ra,Csf2rb,Csf2rb2,Csf3r,Ctsz,Cybb,Dok3,Fcer1g,Fcgr1,Fcgr4,Fgr,H2-Aa,H2-Ab1,H2-D1,H2-K1,H2-M9,Hck,Hvcn1,Icam1,Ifi204,Ifi205,Ifitm1,Il10ra,Il1b,Il1r2,Il22ra2,Il4ra,Il6ra,Inpp5d,Irf7,Irf9,Itgax,Itpr3,Lair1,Lbp,Lrg1,Ly86,Lyn,Mefv,Mettl7a1,Mmp8,Mnda,Mndal,Mylip,Ncf1,Ncf2,Ncf4,Nfam1,Nfatc2,Nfkb2,Nfkbia,Nos1,Nos2,Oasl1,Pglyrp1,Pik3ap1,Plac8,Plcg2,Pld4,Prr5,Ptk2b,Pvrl2,Rapgef3,Rasgrp3,Rps6ka1,S100a8,S100a9,Serpina3f,Slc11a1,Slc27a2,Socs3,Stxbp2,Syk,Tlr1,Tlr7,Tlr8,Tlr9,Tmem173,Tnfrsf1b,Tnfrsf9,Treml4,Trim25,Trpm2,Tyrobp,Xdh
MMU-168249	Innate Immune System	74	879	2.82e-18	ENSMUSP00000001156,ENSMUSP00000003370,ENSMUSP00000009340,ENSMUSP00000015484,ENSMUSP00000016094,ENSMUSP00000016168,ENSMUSP00000016400,ENSMUSP00000018610,ENSMUSP00000018765,ENSMUSP00000020550,ENSMUSP00000021413,ENSMUSP00000021860,ENSMUSP00000024988,ENSMUSP00000025181,ENSMUSP00000026436,ENSMUSP00000026571,ENSMUSP00000027368,ENSMUSP00000028881,ENSMUSP00000029748,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000031264,ENSMUSP00000032573,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000033617,ENSMUSP00000034285,ENSMUSP00000035781,ENSMUSP00000036747,ENSMUSP00000038048,ENSMUSP00000038838,ENSMUSP00000040246,ENSMUSP00000046695,ENSMUSP00000048836,ENSMUSP00000051921,ENSMUSP00000056669,ENSMUSP00000056836,ENSMUSP00000057595,ENSMUSP00000060793,ENSMUSP00000061853,ENSMUSP00000062409,ENSMUSP00000064385,ENSMUSP00000065271,ENSMUSP00000067002,ENSMUSP00000069418,ENSMUSP00000072401,ENSMUSP00000074198,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000079991,ENSMUSP00000082207,ENSMUSP00000083589,ENSMUSP00000084411,ENSMUSP00000090121,ENSMUSP00000094084,ENSMUSP00000096266,ENSMUSP00000097795,ENSMUSP00000099617,ENSMUSP00000101040,ENSMUSP00000101514,ENSMUSP00000101684,ENSMUSP00000102192,ENSMUSP00000104294,ENSMUSP00000105129,ENSMUSP00000106845,ENSMUSP00000107512,ENSMUSP00000107793,ENSMUSP00000111393,ENSMUSP00000112843,ENSMUSP00000113852,ENSMUSP00000113945,ENSMUSP00000134570,ENSMUSP00000140404,ENSMUSP00000140610	AF251705,Adam8,Baiap2,Bst2,Btk,C1qa,C1qb,C1qc,C3,C4b,Cd14,Cd300a,Cd53,Cd68,Cdc34,Ceacam1,Cfd,Cfp,Cotl1,Ctsz,Cybb,Dok3,Fcer1g,Fcgr1,Fcgr4,Fgr,H2-D1,H2-K1,H2-M9,Hck,Hvcn1,Ifi204,Ifi205,Il1b,Irf7,Itgax,Lair1,Lbp,Lrg1,Ly86,Lyn,Mefv,Mettl7a1,Mmp8,Mnda,Mndal,Ncf1,Ncf2,Ncf4,Nfam1,Nfatc2,Nfkb2,Nfkbia,Nos1,Nos2,Pglyrp1,Plac8,Plcg2,Pld4,Rps6ka1,S100a8,S100a9,Serpina3f,Slc11a1,Slc27a2,Syk,Tlr1,Tlr7,Tlr8,Tlr9,Tmem173,Tnfrsf1b,Trpm2,Tyrobp
MMU-6798695	Neutrophil degranulation	43	476	4.94e-11	ENSMUSP00000001156,ENSMUSP00000009340,ENSMUSP00000015484,ENSMUSP00000016400,ENSMUSP00000018765,ENSMUSP00000024988,ENSMUSP00000025181,ENSMUSP00000027368,ENSMUSP00000030336,ENSMUSP00000030693,ENSMUSP00000031264,ENSMUSP00000032573,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000034285,ENSMUSP00000035781,ENSMUSP00000038048,ENSMUSP00000046695,ENSMUSP00000051921,ENSMUSP00000056669,ENSMUSP00000056836,ENSMUSP00000057595,ENSMUSP00000062409,ENSMUSP00000064385,ENSMUSP00000065271,ENSMUSP00000072401,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000083589,ENSMUSP00000084411,ENSMUSP00000090121,ENSMUSP00000096266,ENSMUSP00000101040,ENSMUSP00000101684,ENSMUSP00000102192,ENSMUSP00000104294,ENSMUSP00000105129,ENSMUSP00000106845,ENSMUSP00000111393,ENSMUSP00000112843,ENSMUSP00000113945,ENSMUSP00000134570,ENSMUSP00000140610	AF251705,Adam8,Bst2,C3,Cd14,Cd300a,Cd53,Cd68,Ceacam1,Cfd,Cfp,Cotl1,Ctsz,Cybb,Dok3,Fcer1g,Fcgr4,Fgr,H2-D1,H2-K1,H2-M9,Hvcn1,Ifi204,Ifi205,Itgax,Lair1,Lrg1,Mettl7a1,Mmp8,Mnda,Mndal,Nfam1,Pglyrp1,Plac8,S100a8,S100a9,Serpina3f,Slc11a1,Slc27a2,Tmem173,Tnfrsf1b,Trpm2,Tyrobp
MMU-1280218	Adaptive Immune System	40	652	1.03e-05	ENSMUSP00000015484,ENSMUSP00000016094,ENSMUSP00000020550,ENSMUSP00000021413,ENSMUSP00000023123,ENSMUSP00000024866,ENSMUSP00000024988,ENSMUSP00000025181,ENSMUSP00000026564,ENSMUSP00000029748,ENSMUSP00000033617,ENSMUSP00000038150,ENSMUSP00000038838,ENSMUSP00000041008,ENSMUSP00000046105,ENSMUSP00000047403,ENSMUSP00000052777,ENSMUSP00000057844,ENSMUSP00000059129,ENSMUSP00000066396,ENSMUSP00000066598,ENSMUSP00000074198,ENSMUSP00000074898,ENSMUSP00000079991,ENSMUSP00000083587,ENSMUSP00000083589,ENSMUSP00000084411,ENSMUSP00000090121,ENSMUSP00000094084,ENSMUSP00000095171,ENSMUSP00000102171,ENSMUSP00000102192,ENSMUSP00000102782,ENSMUSP00000113852,ENSMUSP00000116426,ENSMUSP00000118772,ENSMUSP00000127941,ENSMUSP00000129393,ENSMUSP00000134570,ENSMUSP00000140404	AF251705,Blnk,Btk,Btnl9,C3,Cd300a,Cd300lf,Cd300lg,Cd74,Cdc34,Col2a1,Cybb,Fcgr1,H2-Aa,H2-Ab1,H2-D1,H2-K1,H2-M9,Icam1,Ifitm1,Inpp5d,Itpr3,Lair1,Lyn,Mylip,Ncf1,Ncf2,Ncf4,Nfatc2,Nfkbia,Pik3ap1,Plcg2,Prr5,Pvrl2,Rapgef3,Rasgrp3,Socs3,Syk,Treml4,Xdh
MMU-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	14	95	2.26e-05	ENSMUSP00000023123,ENSMUSP00000024988,ENSMUSP00000025181,ENSMUSP00000026564,ENSMUSP00000074898,ENSMUSP00000083587,ENSMUSP00000083589,ENSMUSP00000084411,ENSMUSP00000090121,ENSMUSP00000102171,ENSMUSP00000102192,ENSMUSP00000102782,ENSMUSP00000118772,ENSMUSP00000134570	AF251705,C3,Cd300a,Cd300lf,Cd300lg,Col2a1,H2-D1,H2-K1,H2-M9,Icam1,Ifitm1,Lair1,Pvrl2,Treml4
MMU-1280215	Cytokine Signaling in Immune system	27	357	2.43e-05	ENSMUSP00000003370,ENSMUSP00000021413,ENSMUSP00000025523,ENSMUSP00000027243,ENSMUSP00000028881,ENSMUSP00000029559,ENSMUSP00000030336,ENSMUSP00000030808,ENSMUSP00000031540,ENSMUSP00000033004,ENSMUSP00000034594,ENSMUSP00000038838,ENSMUSP00000042642,ENSMUSP00000059129,ENSMUSP00000075423,ENSMUSP00000094082,ENSMUSP00000094083,ENSMUSP00000100026,ENSMUSP00000101514,ENSMUSP00000101768,ENSMUSP00000103528,ENSMUSP00000106750,ENSMUSP00000107512,ENSMUSP00000113852,ENSMUSP00000120525,ENSMUSP00000125405,ENSMUSP00000127941	Cntfr,Csf1r,Csf2ra,Csf2rb,Csf2rb2,Csf3r,Hck,Il10ra,Il1b,Il1r2,Il22ra2,Il4ra,Il6ra,Inpp5d,Irf9,Lyn,Nfkb2,Nfkbia,Oasl1,Ptk2b,Rps6ka1,Socs3,Stxbp2,Syk,Tnfrsf1b,Tnfrsf9,Trim25
MMU-449147	Signaling by Interleukins	22	262	5.56e-05	ENSMUSP00000003370,ENSMUSP00000021413,ENSMUSP00000025523,ENSMUSP00000027243,ENSMUSP00000028881,ENSMUSP00000029559,ENSMUSP00000033004,ENSMUSP00000034594,ENSMUSP00000038838,ENSMUSP00000042642,ENSMUSP00000059129,ENSMUSP00000075423,ENSMUSP00000094082,ENSMUSP00000094083,ENSMUSP00000100026,ENSMUSP00000101514,ENSMUSP00000101768,ENSMUSP00000106750,ENSMUSP00000107512,ENSMUSP00000113852,ENSMUSP00000125405,ENSMUSP00000127941	Cntfr,Csf1r,Csf2ra,Csf2rb,Csf2rb2,Csf3r,Hck,Il10ra,Il1b,Il1r2,Il22ra2,Il4ra,Il6ra,Inpp5d,Lyn,Nfkb2,Nfkbia,Ptk2b,Rps6ka1,Socs3,Stxbp2,Syk
MMU-166663	Initial triggering of complement	7	18	8.24e-05	ENSMUSP00000001156,ENSMUSP00000024988,ENSMUSP00000036747,ENSMUSP00000040246,ENSMUSP00000048836,ENSMUSP00000056836,ENSMUSP00000069418	C1qa,C1qb,C1qc,C3,C4b,Cfd,Cfp
MMU-2029481	FCGR activation	6	12	0.00014	ENSMUSP00000003370,ENSMUSP00000029748,ENSMUSP00000030693,ENSMUSP00000038838,ENSMUSP00000077873,ENSMUSP00000113852	Fcgr1,Fcgr4,Fgr,Hck,Lyn,Syk
MMU-109582	Hemostasis	30	489	0.00019	ENSMUSP00000001854,ENSMUSP00000002011,ENSMUSP00000005188,ENSMUSP00000018610,ENSMUSP00000021527,ENSMUSP00000030693,ENSMUSP00000033053,ENSMUSP00000035579,ENSMUSP00000038150,ENSMUSP00000038838,ENSMUSP00000042186,ENSMUSP00000046358,ENSMUSP00000047586,ENSMUSP00000056836,ENSMUSP00000065877,ENSMUSP00000070751,ENSMUSP00000078875,ENSMUSP00000079991,ENSMUSP00000095171,ENSMUSP00000096266,ENSMUSP00000099617,ENSMUSP00000099945,ENSMUSP00000113852,ENSMUSP00000113945,ENSMUSP00000116426,ENSMUSP00000125405,ENSMUSP00000125622,ENSMUSP00000127941,ENSMUSP00000130194,ENSMUSP00000131553	Abcc4,Bsg,Cd74,Ceacam1,Cfd,Dagla,Esam,Fcer1g,Fgr,Gngt2,Inpp5d,Itgax,Itpr3,Lgals3bp,Lyn,Nos1,Nos2,Pde2a,Plcg2,Plek,Prkch,Rapgef3,Sdc3,Serpina3f,Sh2b2,Slc3a2,Slc7a10,Srgn,Stxbp2,Syk
