#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu04142	Lysosome	58	123	1.51e-27	ENSMUSP00000000608,ENSMUSP00000001802,ENSMUSP00000002172,ENSMUSP00000002274,ENSMUSP00000003910,ENSMUSP00000006235,ENSMUSP00000007253,ENSMUSP00000007602,ENSMUSP00000013304,ENSMUSP00000015171,ENSMUSP00000015664,ENSMUSP00000015667,ENSMUSP00000016400,ENSMUSP00000020251,ENSMUSP00000021390,ENSMUSP00000021607,ENSMUSP00000021668,ENSMUSP00000021933,ENSMUSP00000022169,ENSMUSP00000022721,ENSMUSP00000023088,ENSMUSP00000023143,ENSMUSP00000023774,ENSMUSP00000023911,ENSMUSP00000024599,ENSMUSP00000024932,ENSMUSP00000025279,ENSMUSP00000026262,ENSMUSP00000026613,ENSMUSP00000027368,ENSMUSP00000029900,ENSMUSP00000030434,ENSMUSP00000032779,ENSMUSP00000033184,ENSMUSP00000033621,ENSMUSP00000033824,ENSMUSP00000034000,ENSMUSP00000034121,ENSMUSP00000034377,ENSMUSP00000034915,ENSMUSP00000043167,ENSMUSP00000044838,ENSMUSP00000047682,ENSMUSP00000052283,ENSMUSP00000053270,ENSMUSP00000055803,ENSMUSP00000081636,ENSMUSP00000099382,ENSMUSP00000100862,ENSMUSP00000101105,ENSMUSP00000103481,ENSMUSP00000104294,ENSMUSP00000107913,ENSMUSP00000118415,ENSMUSP00000120531,ENSMUSP00000121203,ENSMUSP00000127128,ENSMUSP00000130660	Acp2,Acp5,Ap1s2,Asah1,Atp6v0a1,Atp6v0b,Atp6v0c,Atp6v0d1,Atp6v0d2,Cd63,Cd68,Cln3,Cln5,Clta,Ctsa,Ctsb,Ctsc,Ctsd,Ctsh,Ctsk,Ctsl,Ctss,Ctsz,Dnase2a,Fuca1,Galc,Galns,Gba,Gla,Glb1,Gm2a,Gnptab,Gns,Gusb,Hexa,Hexb,Igf2r,Lamp1,Lamp2,Laptm5,Lgmn,Lipa,Litaf,M6pr,Man2b1,Naga,Naglu,Nagpa,Napsa,Neu1,Npc1,Npc2,Pla2g15,Psap,Slc11a1,Slc11a2,Tcirg1,Tpp1
mmu04145	Phagosome	55	165	1.76e-20	ENSMUSP00000000299,ENSMUSP00000001513,ENSMUSP00000003912,ENSMUSP00000006435,ENSMUSP00000007602,ENSMUSP00000012847,ENSMUSP00000013304,ENSMUSP00000015484,ENSMUSP00000015667,ENSMUSP00000016094,ENSMUSP00000016427,ENSMUSP00000017604,ENSMUSP00000019354,ENSMUSP00000021933,ENSMUSP00000022904,ENSMUSP00000024932,ENSMUSP00000024988,ENSMUSP00000025181,ENSMUSP00000026021,ENSMUSP00000028045,ENSMUSP00000029623,ENSMUSP00000029748,ENSMUSP00000029900,ENSMUSP00000032265,ENSMUSP00000033824,ENSMUSP00000037088,ENSMUSP00000041008,ENSMUSP00000044838,ENSMUSP00000044903,ENSMUSP00000045770,ENSMUSP00000046105,ENSMUSP00000047682,ENSMUSP00000051033,ENSMUSP00000052283,ENSMUSP00000053891,ENSMUSP00000056669,ENSMUSP00000062096,ENSMUSP00000063707,ENSMUSP00000065456,ENSMUSP00000068468,ENSMUSP00000071486,ENSMUSP00000074143,ENSMUSP00000077873,ENSMUSP00000083242,ENSMUSP00000094084,ENSMUSP00000099617,ENSMUSP00000099739,ENSMUSP00000109389,ENSMUSP00000109870,ENSMUSP00000110314,ENSMUSP00000120531,ENSMUSP00000127552,ENSMUSP00000131938,ENSMUSP00000134570,ENSMUSP00000140404	Actg1,Atp6v0a1,Atp6v0b,Atp6v0c,Atp6v0d1,Atp6v0d2,Atp6v0e,Atp6v1a,Atp6v1b2,Atp6v1c1,Atp6v1e1,C1ra,C3,Calr,Cd14,Cd209a,Ctsl,Ctss,Cyba,Cybb,Fcgr1,Fcgr3,Fcgr4,H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,H2-M2,H2-T23,H2-T24,Itga2,Itgam,Itgb2,Lamp1,Lamp2,M6pr,Mrc1,Msr1,Ncf1,Ncf2,Ncf4,Nos1,Olr1,Rab7b,Scarb1,Tcirg1,Thbs1,Tlr2,Tlr4,Tlr6,Tuba1c,Tubb6
mmu05152	Tuberculosis	53	172	1.33e-18	ENSMUSP00000000299,ENSMUSP00000002678,ENSMUSP00000004560,ENSMUSP00000012847,ENSMUSP00000013304,ENSMUSP00000015667,ENSMUSP00000016168,ENSMUSP00000018610,ENSMUSP00000023119,ENSMUSP00000023147,ENSMUSP00000023691,ENSMUSP00000024932,ENSMUSP00000024988,ENSMUSP00000025263,ENSMUSP00000026845,ENSMUSP00000027189,ENSMUSP00000028045,ENSMUSP00000028881,ENSMUSP00000028882,ENSMUSP00000029623,ENSMUSP00000029748,ENSMUSP00000029900,ENSMUSP00000032239,ENSMUSP00000032491,ENSMUSP00000033053,ENSMUSP00000033824,ENSMUSP00000034594,ENSMUSP00000035092,ENSMUSP00000037088,ENSMUSP00000041008,ENSMUSP00000044838,ENSMUSP00000045770,ENSMUSP00000046105,ENSMUSP00000047682,ENSMUSP00000052283,ENSMUSP00000056669,ENSMUSP00000060793,ENSMUSP00000062096,ENSMUSP00000068468,ENSMUSP00000074143,ENSMUSP00000074471,ENSMUSP00000076130,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000082207,ENSMUSP00000095171,ENSMUSP00000097876,ENSMUSP00000109870,ENSMUSP00000113852,ENSMUSP00000120531,ENSMUSP00000121203,ENSMUSP00000131010,ENSMUSP00000131938	Atp6v0a1,Atp6v0b,Atp6v0c,Atp6v0d1,Atp6v0d2,Bid,C3,Card9,Casp8,Cd14,Cd209a,Cd74,Ciita,Clec4e,Ctsd,Ctss,Fcer1g,Fcgr1,Fcgr3,Fcgr4,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Il10ra,Il10rb,Il1a,Il1b,Il6,Irak4,Itgam,Itgax,Itgb2,Lamp1,Lamp2,Lbp,Mrc1,Myd88,Nos2,Plk3,Sphk1,Syk,Tcirg1,Tgfb1,Tlr1,Tlr2,Tlr4,Tlr6,Tlr9,Tnf,Tnfrsf1a,Vdr
mmu05323	Rheumatoid arthritis	37	81	2.09e-17	ENSMUSP00000000193,ENSMUSP00000000194,ENSMUSP00000000299,ENSMUSP00000001008,ENSMUSP00000002678,ENSMUSP00000006435,ENSMUSP00000013304,ENSMUSP00000015664,ENSMUSP00000018896,ENSMUSP00000019354,ENSMUSP00000021933,ENSMUSP00000022904,ENSMUSP00000024932,ENSMUSP00000025263,ENSMUSP00000026845,ENSMUSP00000028881,ENSMUSP00000028882,ENSMUSP00000029623,ENSMUSP00000029900,ENSMUSP00000031318,ENSMUSP00000034497,ENSMUSP00000037088,ENSMUSP00000041008,ENSMUSP00000044838,ENSMUSP00000045770,ENSMUSP00000046105,ENSMUSP00000047682,ENSMUSP00000072800,ENSMUSP00000074143,ENSMUSP00000083587,ENSMUSP00000087047,ENSMUSP00000097404,ENSMUSP00000109870,ENSMUSP00000110314,ENSMUSP00000120531,ENSMUSP00000127128,ENSMUSP00000127552	Acp5,Atp6v0a1,Atp6v0b,Atp6v0c,Atp6v0d1,Atp6v0d2,Atp6v0e,Atp6v1a,Atp6v1b2,Atp6v1c1,Atp6v1e1,Ccl12,Ccl2,Ccl3,Cd80,Cd86,Ctsk,Ctsl,Cxcl12,Cxcl5,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Icam1,Il1a,Il1b,Il6,Itgb2,Mmp3,Tcirg1,Tgfb1,Tlr2,Tlr4,Tnf,Tnfsf13
mmu04380	Osteoclast differentiation	42	122	2.91e-16	ENSMUSP00000002180,ENSMUSP00000002678,ENSMUSP00000015664,ENSMUSP00000016094,ENSMUSP00000017604,ENSMUSP00000021090,ENSMUSP00000024791,ENSMUSP00000025263,ENSMUSP00000025523,ENSMUSP00000028881,ENSMUSP00000028882,ENSMUSP00000029748,ENSMUSP00000032491,ENSMUSP00000032800,ENSMUSP00000033617,ENSMUSP00000035037,ENSMUSP00000042636,ENSMUSP00000057844,ENSMUSP00000059129,ENSMUSP00000061216,ENSMUSP00000064680,ENSMUSP00000070073,ENSMUSP00000071836,ENSMUSP00000074198,ENSMUSP00000077546,ENSMUSP00000077873,ENSMUSP00000078705,ENSMUSP00000079991,ENSMUSP00000088869,ENSMUSP00000094084,ENSMUSP00000096807,ENSMUSP00000099491,ENSMUSP00000101121,ENSMUSP00000101315,ENSMUSP00000104255,ENSMUSP00000107512,ENSMUSP00000113852,ENSMUSP00000120525,ENSMUSP00000127128,ENSMUSP00000129001,ENSMUSP00000131938,ENSMUSP00000140404	Acp5,Blnk,Btk,Csf1r,Ctsk,Cyba,Fcgr1,Fcgr3,Fcgr4,Gm14548,Grb2,Il1a,Il1b,Irf9,Junb,Lilra6,Lilrb4,Ncf1,Ncf2,Ncf4,Nfatc1,Nfatc2,Nfkb2,Pik3cb,Pik3cd,Pira2,Pirb,Plcg2,Sirpa,Sirpb1a,Sirpb1b,Sirpb1c,Socs3,Spi1,Syk,Tec,Tgfb1,Tnf,Tnfrsf11b,Tnfrsf1a,Trem2,Tyrobp
mmu04060	Cytokine-cytokine receptor interaction	56	252	1.63e-14	ENSMUSP00000000193,ENSMUSP00000000194,ENSMUSP00000000500,ENSMUSP00000000544,ENSMUSP00000001008,ENSMUSP00000002678,ENSMUSP00000003981,ENSMUSP00000009329,ENSMUSP00000017799,ENSMUSP00000018896,ENSMUSP00000019064,ENSMUSP00000019071,ENSMUSP00000019074,ENSMUSP00000019266,ENSMUSP00000021011,ENSMUSP00000022746,ENSMUSP00000023691,ENSMUSP00000023840,ENSMUSP00000024708,ENSMUSP00000025263,ENSMUSP00000025523,ENSMUSP00000026845,ENSMUSP00000026911,ENSMUSP00000027243,ENSMUSP00000028881,ENSMUSP00000028882,ENSMUSP00000029559,ENSMUSP00000029652,ENSMUSP00000030047,ENSMUSP00000030336,ENSMUSP00000030683,ENSMUSP00000030808,ENSMUSP00000031318,ENSMUSP00000031327,ENSMUSP00000032491,ENSMUSP00000033004,ENSMUSP00000033418,ENSMUSP00000034230,ENSMUSP00000034594,ENSMUSP00000036326,ENSMUSP00000044918,ENSMUSP00000052444,ENSMUSP00000053489,ENSMUSP00000063986,ENSMUSP00000067066,ENSMUSP00000072800,ENSMUSP00000074708,ENSMUSP00000074885,ENSMUSP00000075423,ENSMUSP00000078705,ENSMUSP00000088079,ENSMUSP00000094082,ENSMUSP00000094083,ENSMUSP00000101768,ENSMUSP00000107069,ENSMUSP00000132453	Acvr1b,Ccl12,Ccl2,Ccl3,Ccl4,Ccl6,Ccl7,Ccl8,Ccl9,Ccr1,Ccr2,Ccr5,Cd40,Crlf2,Csf1r,Csf2ra,Csf2rb,Csf2rb2,Csf3r,Cx3cl1,Cx3cr1,Cxcl1,Cxcl12,Cxcl13,Cxcl16,Cxcl2,Cxcl5,Cxcr3,Cxcr4,Hgf,Il10ra,Il10rb,Il13ra1,Il1a,Il1b,Il1r2,Il3ra,Il4ra,Il6,Il6ra,Il7r,Inhbb,Lif,Osm,Osmr,Pdgfb,Pdgfc,Tgfb1,Tnf,Tnfrsf11b,Tnfrsf1a,Tnfrsf1b,Tnfrsf21,Tnfrsf9,Tnfsf13,Tnfsf8
mmu04621	NOD-like receptor signaling pathway	45	164	1.75e-14	ENSMUSP00000000193,ENSMUSP00000000194,ENSMUSP00000006235,ENSMUSP00000015484,ENSMUSP00000017604,ENSMUSP00000018651,ENSMUSP00000019997,ENSMUSP00000022830,ENSMUSP00000025263,ENSMUSP00000026571,ENSMUSP00000026845,ENSMUSP00000027012,ENSMUSP00000027015,ENSMUSP00000027189,ENSMUSP00000028881,ENSMUSP00000030051,ENSMUSP00000031327,ENSMUSP00000035092,ENSMUSP00000035588,ENSMUSP00000038150,ENSMUSP00000045770,ENSMUSP00000048129,ENSMUSP00000055747,ENSMUSP00000055823,ENSMUSP00000058611,ENSMUSP00000059637,ENSMUSP00000060082,ENSMUSP00000074471,ENSMUSP00000074885,ENSMUSP00000079198,ENSMUSP00000083555,ENSMUSP00000097795,ENSMUSP00000097876,ENSMUSP00000098303,ENSMUSP00000098707,ENSMUSP00000099583,ENSMUSP00000101040,ENSMUSP00000104155,ENSMUSP00000106845,ENSMUSP00000111393,ENSMUSP00000112867,ENSMUSP00000113890,ENSMUSP00000119465,ENSMUSP00000120525,ENSMUSP00000126405	AI607873,Aim2,Card9,Casp1,Casp4,Casp8,Ccl12,Ccl2,Ctsb,Cxcl1,Cxcl2,Cyba,Cybb,Ifi204,Il1b,Il6,Irak4,Irf7,Irf9,Itpr3,Mefv,Myd88,Naip2,Naip5,Naip6,Nlrc4,Nlrp1b,Nlrp3,Nod1,Oas1a,Oas1g,Oas2,Oas3,P2rx7,Panx1,Plcb2,Pstpip1,Ripk3,Tlr4,Tmem173,Tnf,Tnfaip3,Trpm2,Trpv2,Txn1
mmu05140	Leishmaniasis	28	65	7.36e-13	ENSMUSP00000000299,ENSMUSP00000002678,ENSMUSP00000015484,ENSMUSP00000016094,ENSMUSP00000017604,ENSMUSP00000018610,ENSMUSP00000024988,ENSMUSP00000025263,ENSMUSP00000028881,ENSMUSP00000028882,ENSMUSP00000029623,ENSMUSP00000029748,ENSMUSP00000035065,ENSMUSP00000035092,ENSMUSP00000037088,ENSMUSP00000041008,ENSMUSP00000045770,ENSMUSP00000046105,ENSMUSP00000068468,ENSMUSP00000074143,ENSMUSP00000074471,ENSMUSP00000077873,ENSMUSP00000094084,ENSMUSP00000099718,ENSMUSP00000109870,ENSMUSP00000129124,ENSMUSP00000131938,ENSMUSP00000140404	C3,Cyba,Cybb,Fcgr1,Fcgr3,Fcgr4,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Il1a,Il1b,Irak4,Itga4,Itgam,Itgb2,Myd88,Ncf1,Ncf2,Ncf4,Nos2,Ptgs2,Ptpn6,Tgfb1,Tlr2,Tlr4,Tnf
mmu04062	Chemokine signaling pathway	44	179	8.11e-13	ENSMUSP00000000193,ENSMUSP00000000194,ENSMUSP00000001008,ENSMUSP00000003370,ENSMUSP00000005889,ENSMUSP00000009329,ENSMUSP00000016094,ENSMUSP00000019064,ENSMUSP00000019071,ENSMUSP00000019074,ENSMUSP00000019266,ENSMUSP00000021011,ENSMUSP00000021090,ENSMUSP00000023840,ENSMUSP00000026911,ENSMUSP00000029445,ENSMUSP00000030693,ENSMUSP00000031318,ENSMUSP00000031327,ENSMUSP00000033505,ENSMUSP00000034230,ENSMUSP00000035037,ENSMUSP00000037180,ENSMUSP00000038838,ENSMUSP00000047586,ENSMUSP00000052444,ENSMUSP00000053489,ENSMUSP00000060073,ENSMUSP00000062782,ENSMUSP00000063986,ENSMUSP00000066238,ENSMUSP00000072334,ENSMUSP00000072800,ENSMUSP00000074885,ENSMUSP00000090884,ENSMUSP00000095866,ENSMUSP00000099583,ENSMUSP00000101315,ENSMUSP00000104208,ENSMUSP00000106750,ENSMUSP00000107069,ENSMUSP00000120152,ENSMUSP00000129491,ENSMUSP00000132453	Arrb1,Arrb2,Ccl12,Ccl2,Ccl3,Ccl4,Ccl6,Ccl7,Ccl8,Ccl9,Ccr1,Ccr2,Ccr5,Cx3cl1,Cx3cr1,Cxcl1,Cxcl12,Cxcl13,Cxcl16,Cxcl2,Cxcl5,Cxcr3,Cxcr4,Dock2,Elmo1,Fgr,Gngt2,Grb2,Hck,Jak3,Lyn,Ncf1,Nras,Pik3cb,Pik3cd,Plcb2,Prex1,Ptk2b,Rap1b,Shc2,Stat3,Vav1,Vav2,Was
mmu05150	Staphylococcus aureus infection	25	50	1.05e-12	ENSMUSP00000000299,ENSMUSP00000024988,ENSMUSP00000025229,ENSMUSP00000029748,ENSMUSP00000036747,ENSMUSP00000037088,ENSMUSP00000040246,ENSMUSP00000041008,ENSMUSP00000046105,ENSMUSP00000048092,ENSMUSP00000048836,ENSMUSP00000056836,ENSMUSP00000063707,ENSMUSP00000068468,ENSMUSP00000069418,ENSMUSP00000070925,ENSMUSP00000074143,ENSMUSP00000077074,ENSMUSP00000077873,ENSMUSP00000083587,ENSMUSP00000098436,ENSMUSP00000109870,ENSMUSP00000123924,ENSMUSP00000129972,ENSMUSP00000131938	C1qa,C1qb,C1qc,C1ra,C3,C3ar1,C4b,C5ar1,Cfb,Cfd,Cfi,Fcgr1,Fcgr3,Fcgr4,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Icam1,Itgam,Itgb2,Ptafr,Selp,Selplg
