#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu05150	Staphylococcus aureus infection	18	50	1.87e-12	ENSMUSP00000000299,ENSMUSP00000024988,ENSMUSP00000029748,ENSMUSP00000036747,ENSMUSP00000037088,ENSMUSP00000040246,ENSMUSP00000041008,ENSMUSP00000046105,ENSMUSP00000048836,ENSMUSP00000056836,ENSMUSP00000065799,ENSMUSP00000068468,ENSMUSP00000069418,ENSMUSP00000074143,ENSMUSP00000077873,ENSMUSP00000083587,ENSMUSP00000109870,ENSMUSP00000131938	C1qa,C1qb,C1qc,C3,C4b,Cfd,Fcgr1,Fcgr3,Fcgr4,Fpr2,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Icam1,Itgam,Itgb2
mmu05152	Tuberculosis	28	172	1.87e-12	ENSMUSP00000000299,ENSMUSP00000016168,ENSMUSP00000018478,ENSMUSP00000018610,ENSMUSP00000023147,ENSMUSP00000024988,ENSMUSP00000028881,ENSMUSP00000029748,ENSMUSP00000032239,ENSMUSP00000033053,ENSMUSP00000034594,ENSMUSP00000037088,ENSMUSP00000041008,ENSMUSP00000046105,ENSMUSP00000056669,ENSMUSP00000060793,ENSMUSP00000066743,ENSMUSP00000068468,ENSMUSP00000069850,ENSMUSP00000074143,ENSMUSP00000076130,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000082207,ENSMUSP00000095171,ENSMUSP00000109870,ENSMUSP00000113852,ENSMUSP00000131938	C3,Cd14,Cd74,Cebpb,Ciita,Clec4e,Fcer1g,Fcgr1,Fcgr3,Fcgr4,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Il10ra,Il1b,Itgam,Itgax,Itgb2,Ksr1,Lbp,Nos2,Plk3,Stat1,Syk,Tlr1,Tlr9
mmu05140	Leishmaniasis	19	65	2.57e-12	ENSMUSP00000000299,ENSMUSP00000015484,ENSMUSP00000016094,ENSMUSP00000018610,ENSMUSP00000021413,ENSMUSP00000024988,ENSMUSP00000028881,ENSMUSP00000029748,ENSMUSP00000037088,ENSMUSP00000041008,ENSMUSP00000046105,ENSMUSP00000066743,ENSMUSP00000068468,ENSMUSP00000074143,ENSMUSP00000077873,ENSMUSP00000094084,ENSMUSP00000109870,ENSMUSP00000131938,ENSMUSP00000140404	C3,Cybb,Fcgr1,Fcgr3,Fcgr4,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Il1b,Itgam,Itgb2,Ncf1,Ncf2,Ncf4,Nfkbia,Nos2,Stat1
mmu04380	Osteoclast differentiation	22	122	9.02e-11	ENSMUSP00000002180,ENSMUSP00000016094,ENSMUSP00000021413,ENSMUSP00000025523,ENSMUSP00000028881,ENSMUSP00000029748,ENSMUSP00000032800,ENSMUSP00000033617,ENSMUSP00000057844,ENSMUSP00000059129,ENSMUSP00000066743,ENSMUSP00000074198,ENSMUSP00000077546,ENSMUSP00000077873,ENSMUSP00000079991,ENSMUSP00000094084,ENSMUSP00000107512,ENSMUSP00000113852,ENSMUSP00000120525,ENSMUSP00000129001,ENSMUSP00000131938,ENSMUSP00000140404	Blnk,Btk,Csf1r,Fcgr1,Fcgr3,Fcgr4,Il1b,Irf9,Ncf1,Ncf2,Ncf4,Nfatc1,Nfatc2,Nfkb2,Nfkbia,Pirb,Plcg2,Socs3,Spi1,Stat1,Syk,Tyrobp
mmu04640	Hematopoietic cell lineage	19	90	2.22e-10	ENSMUSP00000019248,ENSMUSP00000025523,ENSMUSP00000027243,ENSMUSP00000028881,ENSMUSP00000029559,ENSMUSP00000029748,ENSMUSP00000030964,ENSMUSP00000033004,ENSMUSP00000037088,ENSMUSP00000039041,ENSMUSP00000041008,ENSMUSP00000046105,ENSMUSP00000056669,ENSMUSP00000068468,ENSMUSP00000074143,ENSMUSP00000075423,ENSMUSP00000096061,ENSMUSP00000101768,ENSMUSP00000109870	Cd14,Cd22,Cd37,Cd38,Csf1r,Csf2ra,Csf3r,Fcgr1,Flt3,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Il1b,Il1r2,Il4ra,Il6ra,Itgam
mmu05168	Herpes simplex infection	25	202	2.94e-09	ENSMUSP00000001156,ENSMUSP00000020550,ENSMUSP00000021413,ENSMUSP00000024988,ENSMUSP00000025181,ENSMUSP00000026571,ENSMUSP00000028881,ENSMUSP00000035588,ENSMUSP00000037088,ENSMUSP00000041008,ENSMUSP00000046105,ENSMUSP00000059129,ENSMUSP00000060082,ENSMUSP00000066743,ENSMUSP00000074143,ENSMUSP00000074898,ENSMUSP00000079198,ENSMUSP00000082207,ENSMUSP00000084411,ENSMUSP00000095171,ENSMUSP00000109870,ENSMUSP00000118105,ENSMUSP00000120525,ENSMUSP00000134550,ENSMUSP00000134570	C3,Cd74,Cdc34,Cfp,H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,H2-M9,H2-Q6,Il1b,Irf7,Irf9,Nfkbia,Oas1a,Oas2,Oas3,Pvrl2,Socs3,Stat1,Taf10,Tlr9
mmu04145	Phagosome	22	165	9.90e-09	ENSMUSP00000000299,ENSMUSP00000015484,ENSMUSP00000016094,ENSMUSP00000024988,ENSMUSP00000025181,ENSMUSP00000029748,ENSMUSP00000037088,ENSMUSP00000041008,ENSMUSP00000046105,ENSMUSP00000056669,ENSMUSP00000068468,ENSMUSP00000074143,ENSMUSP00000077873,ENSMUSP00000083242,ENSMUSP00000084411,ENSMUSP00000094084,ENSMUSP00000099617,ENSMUSP00000109870,ENSMUSP00000131938,ENSMUSP00000134550,ENSMUSP00000134570,ENSMUSP00000140404	C3,Cd14,Cybb,Fcgr1,Fcgr3,Fcgr4,H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,H2-M9,H2-Q6,Itgam,Itgb2,Ncf1,Ncf2,Ncf4,Nos1,Scarb1
mmu04662	B cell receptor signaling pathway	15	69	1.78e-08	ENSMUSP00000019248,ENSMUSP00000021413,ENSMUSP00000026564,ENSMUSP00000030179,ENSMUSP00000033617,ENSMUSP00000038838,ENSMUSP00000052777,ENSMUSP00000057844,ENSMUSP00000074198,ENSMUSP00000077546,ENSMUSP00000079991,ENSMUSP00000113852,ENSMUSP00000127941,ENSMUSP00000129001,ENSMUSP00000129393	Blnk,Btk,Cd22,Cd72,Ifitm1,Inpp5d,Lyn,Nfatc1,Nfatc2,Nfkbia,Pik3ap1,Pirb,Plcg2,Rasgrp3,Syk
mmu04060	Cytokine-cytokine receptor interaction	25	252	1.30e-07	ENSMUSP00000000500,ENSMUSP00000009329,ENSMUSP00000019064,ENSMUSP00000019071,ENSMUSP00000019266,ENSMUSP00000020617,ENSMUSP00000022746,ENSMUSP00000023840,ENSMUSP00000025523,ENSMUSP00000026911,ENSMUSP00000027243,ENSMUSP00000028881,ENSMUSP00000029559,ENSMUSP00000030336,ENSMUSP00000030808,ENSMUSP00000031653,ENSMUSP00000033004,ENSMUSP00000034594,ENSMUSP00000039041,ENSMUSP00000042642,ENSMUSP00000075423,ENSMUSP00000094082,ENSMUSP00000094083,ENSMUSP00000100026,ENSMUSP00000101768	Ccl6,Ccl8,Ccl9,Ccr1,Cntfr,Csf1r,Csf2ra,Csf2rb,Csf2rb2,Csf3r,Cxcl13,Cxcl16,Flt1,Flt3,Flt4,Il10ra,Il1b,Il1r2,Il22ra2,Il4ra,Il6ra,Osmr,Pdgfb,Tnfrsf1b,Tnfrsf9
mmu04658	Th1 and Th2 cell differentiation	15	86	2.01e-07	ENSMUSP00000021413,ENSMUSP00000028288,ENSMUSP00000033004,ENSMUSP00000037088,ENSMUSP00000041008,ENSMUSP00000046105,ENSMUSP00000050353,ENSMUSP00000060073,ENSMUSP00000066743,ENSMUSP00000074143,ENSMUSP00000074198,ENSMUSP00000075224,ENSMUSP00000099575,ENSMUSP00000109870,ENSMUSP00000129001	Dll4,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Il4ra,Jag2,Jak3,Nfatc1,Nfatc2,Nfkbia,Notch1,Runx3,Stat1
