term	common	ctrl_t0_green_VS_ctrl_t0_red_FC	ctrl_t0_red_VS_ctrl_t0_blue_FC	ctrl_t1_green_VS_ctrl_t1_red_FC	ctrl_t1_red_VS_ctrl_t1_blue_FC	treatment_t0_green_VS_treatment_t0_red_FC	treatment_t0_red_VS_treatment_t0_blue_FC	treatment_t1_green_VS_treatment_t1_blue_FC	treatment_t1_green_VS_treatment_t1_red_FC	treatment_t1_red_VS_treatment_t1_blue_FC
A band	{'Ppp1r12b', 'Ank2', 'Myom1', 'Ppp1r12a', 'Slmap'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0049	0.0242
AIM2 inflammasome complex	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0213
Arp2/3 protein complex	{'Arpc5', 'Arpc4', 'Actr3', 'Arpc1b', 'Actr2'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00015	1.0	0.00082
Bcl-2 family protein complex	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.043
Bcl3/NF-kappaB2 complex	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0174	1.0
Golgi apparatus	{'Glb1'}	1.0	1.0	1.0	1.0	1.0	1.0	4.059999999999999e-12	0.0015	6.970000000000001e-09
Golgi cisterna	{'Chsy1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0481	0.0041	1.0
Golgi cisterna membrane	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0066	1.0
Golgi membrane	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	3.6700000000000004e-05	0.0078	0.0039
Golgi stack	{'No common gene'}	1.0	1.0	1.0	1.0	0.0499	1.0	0.0093	0.0316	0.0167
Golgi subcompartment	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	2.0499999999999998e-08	0.0316	0.0001
I band	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.27e-06
IPAF inflammasome complex	{'Casp4', 'Naip2', 'Naip5'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0188	1.0	0.00014
L-type voltage-gated calcium channel complex	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00031	1.0
M band	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0307	1.0	1.0
MHC class I protein complex	{'H2-D1', 'H2-K1'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0131	0.0189
MHC class II protein complex	{'H2-Aa', 'H2-DMb1', 'H2-Eb1', 'H2-Ab1', 'H2-DMa'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.23e-05	0.00063
MHC protein complex	{'H2-Aa', 'H2-DMb1', 'H2-Eb1', 'H2-K1', 'H2-D1', 'H2-Ab1', 'H2-DMa'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.42e-07	1.52e-05
MICOS complex	{'n/a (just one condition)'}	1.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0
N-terminal protein acetyltransferase complex	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0039	1.0	1.0	1.0	1.0
NADPH oxidase complex	{'Ncf2', 'Cybb'}	1.0	1.0	1.0	0.0139	1.0	1.0	0.0012	0.002	0.0047
NLRP3 inflammasome complex	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.043
NMDA selective glutamate receptor complex	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0233	1.0
T-tubule	{'Cacna1c', 'Cacnb2', 'Ank2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.290000000000001e-05	0.0118
Weibel-Palade body	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0316
Z disc	{'Cacna1c', 'Ppp1r12b', 'Myl9', 'Ank2', 'Synpo2', 'Nexn', 'Myom1', 'Dmd', 'Pdlim3', 'Ky', 'Fbxl22', 'Ppp1r12a', 'Sphkap', 'Slmap'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.27e-15	3.11e-06
actin cytoskeleton	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	1.05e-07	6.7799999999999985e-09	0.00043
actin filament	{'Lcp1', 'Myo1f'}	1.0	1.0	1.0	1.0	0.0459	0.0215	0.0036	1.0	0.0027
actin filament bundle	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0164	8.36e-09	0.0476
actin-based cell projection	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0036	0.0059	0.00016
actomyosin	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0068	1.0	0.0023
adherens junction	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0012	0.0076	1.91e-05
alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0371	1.0	1.0
anchored component of membrane	{'Nt5e', 'Bst1', 'Cp'}	1.0	1.0	1.0	1.0	0.0457	1.0	1.0	0.00016999999999999999	0.0343
anchored component of plasma membrane	{'Gpihbp1', 'Car4'}	1.0	1.0	1.0	1.0	1.0	0.0056	1.0	0.0118	1.0
anchoring junction	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0013	1.01e-05	1.52e-05
apical part of cell	{'Myo7a'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0257	0.002	0.0001
apical plasma membrane	{'Myo7a'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0181	0.002	0.00082
autolysosome	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0242
autophagosome	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00091
axon	{'No common gene'}	1.0	1.0	1.0	1.0	0.0034	1.0	1.0	0.00029	0.0073
azurophil granule	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.011000000000000001
basal part of cell	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0255
basement membrane	{'No common gene'}	6.34e-14	3.6299999999999997e-12	0.0378	1.0	3.9e-10	1.14e-09	6.08e-05	0.0029	0.0307
basolateral plasma membrane	{'No common gene'}	1.0	1.0	1.0	1.0	0.0419	0.0199	0.0114	1.0	0.00091
blood microparticle	{'n/a (just one condition)'}	1.0	0.002	1.0	1.0	1.0	1.0	1.0	1.0	1.0
bounding membrane of organelle	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	3.9100000000000006e-11	0.00088	5.660000000000001e-13
brush border	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.006
catalytic complex	{'n/a (just one condition)'}	1.0	0.00016	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cation channel complex	{'Cacna1c', 'Kcnip4', 'Kcnd3', 'Kcnab1', 'Cacnb2', 'Kcnip1', 'Kcnma1'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0059	0.0346
caveola	{'No common gene'}	1.0	1.0	1.0	1.0	0.0267	0.0089	0.0258	0.024	1.0
cell	{'No common gene'}	1.0	3.18e-07	1.0	0.0233	3.35e-05	0.0384	6.52e-06	3.18e-20	8.559999999999998e-07
cell body	{'No common gene'}	1.0	0.0243	1.0	1.0	0.00016	1.0	0.0129	1.28e-07	0.00023999999999999998
cell cortex	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00027	0.0002	0.0178
cell junction	{'No common gene'}	1.0	1.0	1.0	1.0	0.0392	1.0	0.0005	1.0699999999999999e-07	0.00049
cell leading edge	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	2.64e-05	6.92e-06	2.12e-07
cell periphery	{'No common gene'}	2.6e-07	0.0006799999999999999	1.0	2.0799999999999998e-10	3.3899999999999996e-24	2.6e-16	0.0488	2.43e-27	1.0000000000000001e-11
cell projection	{'No common gene'}	1.0	1.0	1.0	1.0	0.0032	1.0	2.380000000000001e-05	0.0319	0.00032
cell projection membrane	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0049	1.0
cell surface	{'No common gene'}	2.6e-07	0.0016	1.0	1.25e-08	6.25e-16	2.6e-16	1.29e-24	1.59e-20	6.809999999999999e-34
cell tip	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.048	1.0	1.0
cell-cell contact zone	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.86e-07	1.0
cell-cell junction	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0013	2.26e-05	0.0493
cell-substrate adherens junction	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	0.0215	0.0007599999999999999	0.00013000000000000002	0.00061
cell-substrate junction	{'No common gene'}	1.0	1.0	1.0	1.0	0.046	0.0076	0.0005	0.0319	8.379999999999999e-05
chylomicron	{'n/a (just one condition)'}	1.0	0.0007599999999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ciliary neurotrophic factor receptor complex	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0261	1.0
clathrin-coated pit	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0031
clathrin-coated vesicle	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0013
clathrin-coated vesicle membrane	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0397
cluster of actin-based cell projections	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0051
coated vesicle	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0287
collagen trimer	{'No common gene'}	9.19e-13	4.32e-07	1.0	1.0	1.0699999999999999e-13	1.9e-14	4.89e-11	0.0176	0.003
collagen type I trimer	{'Col1a1', 'Col1a2'}	1.0	1.0	1.0	1.0	0.0181	0.0074	0.0371	1.0	1.0
collagen type IV trimer	{'Col4a4', 'Col4a3'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0296	0.0393
collagen type V trimer	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0371	1.0	1.0
collagen-containing extracellular matrix	{'No common gene'}	1.72e-22	1.67e-18	1.0	1.0	4.42e-18	2.6e-16	1.7699999999999999e-09	0.00028	0.00023999999999999998
complex of collagen trimers	{'Col4a4', 'Col1a1', 'Col3a1', 'Col1a2'}	1.0	1.0	1.0	1.0	0.0035	0.00059	1.0	1.0	1.0
