ID	score	occurrence	all_genes	common_genes
Lysosome	1.5100000000000001e-27	5	Acp2,Acp5,Ap1s2,Asah1,Atp6ap1,Atp6v0a1,Atp6v0b,Atp6v0c,Atp6v0d1,Atp6v0d2,Cd63,Cd68,Cln3,Cln5,Clta,Ctsa,Ctsb,Ctsc,Ctsd,Ctsh,Ctsk,Ctsl,Ctss,Ctsz,Dnase2a,Fuca1,Galc,Galns,Gba,Gla,Glb1,Gm2a,Gnptab,Gns,Gusb,Hexa,Hexb,Igf2r,Lamp1,Lamp2,Laptm5,Lgmn,Lipa,Litaf,M6pr,Man2b1,Manba,Naga,Naglu,Nagpa,Napsa,Neu1,Npc1,Npc2,Pla2g15,Ppt1,Psap,Sgsh,Slc11a1,Slc11a2,Tcirg1,Tpp1	Cd68,Laptm5,Lgmn,Slc11a1
Parkinson's disease	4.9399999999999986e-26	2	Atp5e,Atp5h,Cox6a1,Cox6c,Cox7a1,Cox7c,Cox8a,Cox8b,Cycs,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufb9,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Uqcr11	Cox7c,Ndufa13,Ndufa6,Ndufb5,Ndufc1,Ndufs7,Uqcr11
Oxidative phosphorylation	1.5099999999999999e-25	2	Atp5e,Atp5h,Cox11,Cox6a1,Cox6c,Cox7a1,Cox7c,Cox8a,Cox8b,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufb9,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Uqcr11	Cox7c,Ndufa13,Ndufa6,Ndufb5,Ndufc1,Ndufs7,Uqcr11
Huntington's disease	8.52e-25	2	Atp5e,Atp5h,Cox6a1,Cox6c,Cox7a1,Cox7c,Cox8a,Cox8b,Cycs,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufb9,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Ucp1,Uqcr11	Cox7c,Ndufa13,Ndufa6,Ndufb5,Ndufc1,Ndufs7,Uqcr11
Alzheimer's disease	1.0099999999999999e-24	2	Apoe,Atp5e,Atp5h,Cox6a1,Cox6c,Cox7a1,Cox7c,Cox8a,Cox8b,Cycs,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufb9,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Uqcr11	Cox7c,Ndufa13,Ndufa6,Ndufb5,Ndufc1,Ndufs7,Uqcr11
Thermogenesis	3.6e-23	2	Atp5e,Atp5h,Cox11,Cox6a1,Cox6c,Cox7a1,Cox7c,Cox8a,Cox8b,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufb9,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Prkaa2,Ucp1,Uqcr11	Cox7c,Ndufa13,Ndufa6,Ndufb5,Ndufc1,Ndufs7,Uqcr11
Non-alcoholic fatty liver disease (NAFLD)	4.59e-22	3	Bcl2l11,Bid,Casp8,Cox6a1,Cox6c,Cox7a1,Cox7c,Cox8a,Cox8b,Cycs,Cyp2e1,Ern1,Il1a,Il1b,Il6,Il6ra,Lepr,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufb9,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Nr1h3,Pik3cb,Pik3cd,Prkaa2,Socs3,Tgfb1,Tnf,Tnfrsf1a,Uqcr11	No common gene
Phagosome	1.76e-20	6	Actb,Actg1,Atp6ap1,Atp6v0a1,Atp6v0b,Atp6v0c,Atp6v0d1,Atp6v0d2,Atp6v0e,Atp6v0e2,Atp6v1a,Atp6v1b2,Atp6v1c1,Atp6v1e1,C1ra,C3,Calr,Cd14,Cd209a,Ctsl,Ctss,Cyba,Cybb,Fcgr1,Fcgr3,Fcgr4,H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,H2-M2,H2-M9,H2-Q8,H2-T23,H2-T24,Itga2,Itga5,Itgam,Itgav,Itgb2,Lamp1,Lamp2,M6pr,Mrc1,Mrc2,Msr1,Ncf1,Ncf2,Ncf4,Nos1,Olr1,Rab7b,Scarb1,Sec61a1,Tcirg1,Thbs1,Thbs2,Tlr2,Tlr4,Tlr6,Tuba1c,Tubb6	Cybb,Itgb2
Tuberculosis	1.3299999999999999e-18	6	Atp6ap1,Atp6v0a1,Atp6v0b,Atp6v0c,Atp6v0d1,Atp6v0d2,Bid,C3,Camk2a,Card9,Casp8,Cd14,Cd209a,Cd74,Cebpb,Ciita,Clec4e,Ctsd,Ctss,Fcer1g,Fcgr1,Fcgr3,Fcgr4,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Ifngr2,Il10ra,Il10rb,Il1a,Il1b,Il6,Irak4,Itgam,Itgax,Itgb2,Ksr1,Lamp1,Lamp2,Lbp,Mrc1,Mrc2,Myd88,Nos2,Plk3,Sphk1,Src,Stat1,Syk,Tcirg1,Tgfb1,Tgfb2,Tlr1,Tlr2,Tlr4,Tlr6,Tlr9,Tnf,Tnfrsf1a,Vdr	Itgb2
Rheumatoid arthritis	2.0899999999999998e-17	5	Acp5,Angpt1,Atp6ap1,Atp6v0a1,Atp6v0b,Atp6v0c,Atp6v0d1,Atp6v0d2,Atp6v0e,Atp6v0e2,Atp6v1a,Atp6v1b2,Atp6v1c1,Atp6v1e1,Ccl12,Ccl2,Ccl3,Cd80,Cd86,Ctsk,Ctsl,Cxcl12,Cxcl5,Flt1,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Icam1,Il1a,Il1b,Il6,Itgb2,Mmp3,Tcirg1,Tgfb1,Tgfb2,Tlr2,Tlr4,Tnf,Tnfrsf11a,Tnfsf13	Itgb2
Osteoclast differentiation	2.91e-16	6	Acp5,Blnk,Btk,Csf1r,Ctsk,Cyba,Fcgr1,Fcgr3,Fcgr4,Gab2,Gm14548,Grb2,Ifngr2,Il1a,Il1b,Irf9,Junb,LOC100038947,Lilra6,Lilrb4a,Ncf1,Ncf2,Ncf4,Nfatc1,Nfatc2,Nfkb2,Nfkbia,Pik3cb,Pik3cd,Pik3r3,Pira2,Pirb,Plcg2,Sirpa,Sirpb1a,Sirpb1b,Socs3,Spi1,Stat1,Syk,Tec,Tgfb1,Tgfb2,Tgfbr1,Tgfbr2,Tnf,Tnfrsf11a,Tnfrsf11b,Tnfrsf1a,Trem2,Tyrobp	Pirb,Spi1,Tyrobp
