term	common	ctrl_t0_green_VS_ctrl_t0_red_FC	ctrl_t0_red_VS_ctrl_t0_blue_FC	ctrl_t1_green_VS_ctrl_t1_red_FC	ctrl_t1_red_VS_ctrl_t1_blue_FC	treatment_t0_green_VS_treatment_t0_red_FC	treatment_t0_red_VS_treatment_t0_blue_FC	treatment_t1_green_VS_treatment_t1_blue_FC	treatment_t1_green_VS_treatment_t1_red_FC	treatment_t1_red_VS_treatment_t1_blue_FC
'de novo' posttranslational protein folding	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0475	1.0	1.0	1.0	1.0
'de novo' protein folding	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0475	1.0	1.0	1.0	1.0
ATP biosynthetic process	{'n/a (just one condition)'}	1.0	0.0265	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ATP metabolic process	{'n/a (just one condition)'}	1.0	3.6200000000000004e-07	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AV node cell to bundle of His cell communication	{'Gjc1', 'Cacnb2', 'Cacna1c'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0213	0.0255
Arp2/3 complex-mediated actin nucleation	{'Arpc5', 'Arpc4', 'Actr3', 'Arpc1b', 'Actr2'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0012	1.0	0.0011
B cell activation	{'Nfam1', 'Blnk'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0079	0.00022999999999999998	7.33e-07
B cell activation involved in immune response	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0098
B cell affinity maturation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0175	1.0
B cell chemotaxis	{'Cxcl13', 'Hsd3b7', 'Ch25h'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0047	0.0051
B cell differentiation	{'Lfng', 'Plcg2', 'Nfatc1', 'Pou2f2', 'Ptk2b', 'Nfam1', 'Bcl3', 'Btk', 'H2-Ab1', 'Jak3'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00039	0.00031
B cell homeostasis	{'Pirb'}	1.0	1.0	1.0	1.0	0.0321	1.0	1.0	0.0093	0.0018
B cell mediated immunity	{'C1qb', 'Pirb', 'C1qc'}	1.0	1.0	1.0	5.62e-06	4.6399999999999997e-07	0.00011	7.62e-05	1.61e-11	1.15e-09
B cell proliferation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0221	1.0	1.0
B cell proliferation involved in immune response	{'Plcl2', 'Tlr4', 'Cd180'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0156	1.0	0.0309
B cell receptor signaling pathway	{'Nfam1', 'Syk'}	1.0	1.0	1.0	1.0	0.0321	0.0386	0.001	0.0018	0.00011
B cell selection	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0219
BMP signaling pathway	{'n/a (just one condition)'}	0.039	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Fc receptor mediated stimulatory signaling pathway	{'Fcgr2b', 'Fcer1g', 'Lyn'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0047	0.0051
Fc-epsilon receptor signaling pathway	{'n/a (just one condition)'}	1.0	1.0	1.0	0.006999999999999999	1.0	1.0	1.0	1.0	1.0
Fc-gamma receptor signaling pathway	{'Fcgr4'}	1.0	1.0	1.0	1.65e-05	1.0	0.040999999999999995	0.00021	1.55e-05	2e-05
G protein-coupled receptor signaling pathway	{'Gpr35', 'Sfrp1', 'Ptafr', 'Lrp1', 'S1pr2', 'Syk', 'Pik3r5'}	1.0	1.0	1.0	1.0	0.0287	0.0134	0.0476	1.0	0.00084
G1/S transition of mitotic cell cycle	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0391	1.0
I-kappaB kinase/NF-kappaB signaling	{'Saa3', 'Tlr8', 'Nfkb2', 'Tlr9', 'Bcl3', 'Btk', 'Tlr7'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00032	0.00011
I-kappaB phosphorylation	{'Saa3', 'Tlr9'}	1.0	1.0	1.0	1.0	0.0243	1.0	1.0	0.0266	0.0112
JNK cascade	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0279
L-alpha-amino acid transmembrane transport	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0018
L-amino acid transport	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0011
MAPK cascade	{'Syk', 'Ptk2b', 'Slc11a1', 'Plvap', 'Il1b'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0165	0.00036
Mullerian duct regression	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0457	1.0
