#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0006412	translation	6	313	0.0207	Mrpl20,Tsfm,Rmnd1,Mrpl12,Cars2,Mrpl15	Mrpl20,Tsfm,Rmnd1,Mrpl12,Cars2,Mrpl15
GO:0006626	protein targeting to mitochondrion	3	55	0.0207	Chchd4,Timm8a1,Tomm5	Chchd4,Timm8a1,Tomm5
GO:0034382	chylomicron remnant clearance	2	5	0.0207	Apoc1,Apoe	Apoc1,Apoe
GO:0034447	very-low-density lipoprotein particle clearance	2	3	0.0207	Apoc1,Apoe	Apoc1,Apoe
GO:0033700	phospholipid efflux	2	11	0.0275	Apoc1,Apoe	Apoc1,Apoe
GO:0006839	mitochondrial transport	4	181	0.0285	Slc25a17,Chchd4,Timm8a1,Tomm5	Slc25a17,Chchd4,Timm8a1,Tomm5
GO:0015748	organophosphate ester transport	3	86	0.0439	Slc25a17,Apoc1,Apoe	Slc25a17,Apoc1,Apoe
GO:0007005	mitochondrion organization	5	388	0.0477	Ndufaf4,Chchd4,Timm8a1,Tomm5,Mrpl15	Ndufaf4,Chchd4,Timm8a1,Tomm5,Mrpl15
GO:0034369	plasma lipoprotein particle remodeling	2	20	0.0477	Apoc1,Apoe	Apoc1,Apoe
GO:0051043	regulation of membrane protein ectodomain proteolysis	2	22	0.0477	Timp4,Apoe	Timp4,Apoe
GO:1901564	organonitrogen compound metabolic process	17	4480	0.0477	Gmpr,Naa20,Mapkapk2,Mrpl20,Hccs,Chchd4,Tsfm,Rmnd1,Mrpl12,Cars2,Uqcrh,Apoc1,Rnf128,Mrpl15,Mpp6,Ube2f,Apoe	Gmpr,Naa20,Mapkapk2,Mrpl20,Hccs,Chchd4,Tsfm,Rmnd1,Mrpl12,Cars2,Uqcrh,Apoc1,Rnf128,Mrpl15,Mpp6,Ube2f,Apoe
GO:0070129	regulation of mitochondrial translation	2	24	0.0479	Tsfm,Rmnd1	Tsfm,Rmnd1
GO:0033344	cholesterol efflux	2	25	0.0495	Apoc1,Apoe	Apoc1,Apoe
