#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005576	extracellular region	90	2044	3.13e-42	Ccl11,Serpinf1,Col1a1,Clec11a,Nid1,Pcolce2,Ctsk,Lbp,C1qtnf1,Igfbp4,Enpp3,Ntn4,Ptch1,Fst,Txndc16,Loxl2,Igfbp6,Serping1,Smoc2,Emilin2,Cfb,C2,Entpd2,Fbn1,Siglec1,Cpxm1,Procr,Wnt2b,Prss12,Sfrp2,F3,Angptl7,Man2b2,Pcolce,Cpxm2,Figf,Sfrp1,Pdgfrl,Mmp2,Prss35,Fmod,Col16a1,Igsf10,Tgfbi,Gdf7,Qpct,Cpz,Adamts2,Fam198a,Hpse,Svep1,Fbln2,Fbln1,Egflam,Adamts12,Olfml2a,Flrt2,C1ra,Gpc3,Epha3,Col8a2,Col12a1,Hhip,Icam1,Col4a4,Cp,Lama2,Col6a6,Dcn,Itgb4,Podn,Adamtsl1,Anpep,Col14a1,Fbln7,C1qtnf3,Mmrn2,Cfh,Vwf,C1qtnf7,Ccbe1,Reln,C1s1,Loxl4,Rnase4,Slit2,Matn2,Gdf10,Glg1,Col6a5	Ccl11,Serpinf1,Col1a1,Clec11a,Nid1,Pcolce2,Ctsk,Lbp,C1qtnf1,Igfbp4,Enpp3,Ntn4,Ptch1,Fst,Txndc16,Loxl2,Igfbp6,Serping1,Smoc2,Emilin2,Cfb,C2,Entpd2,Fbn1,Siglec1,Cpxm1,Procr,Wnt2b,Prss12,Sfrp2,F3,Angptl7,Man2b2,Pcolce,Cpxm2,Vegfd,Sfrp1,Pdgfrl,Mmp2,Prss35,Fmod,Col16a1,Igsf10,Tgfbi,Gdf7,Qpct,Cpz,Adamts2,Fam198a,Hpse,Svep1,Fbln2,Fbln1,Egflam,Adamts12,Olfml2a,Flrt2,C1ra,Gpc3,Epha3,Col8a2,Col12a1,Hhip,Icam1,Col4a4,Cp,Lama2,Col6a6,Dcn,Itgb4,Podn,Adamtsl1,Anpep,Col14a1,Fbln7,C1qtnf3,Mmrn2,Cfh,Vwf,C1qtnf7,Ccbe1,Reln,C1s1,Loxl4,Rnase4,Slit2,Matn2,Gdf10,Glg1,Col6a5
GO:0031012	extracellular matrix	37	288	6.33e-30	Serpinf1,Col1a1,Nid1,Ntn4,Loxl2,Smoc2,Entpd2,Fbn1,F3,Sfrp1,Mmp2,Fmod,Tgfbi,Cpz,Adamts2,Hpse,Fbln2,Fbln1,Egflam,Adamts12,Olfml2a,Gpc3,Col8a2,Col12a1,Col4a4,Lama2,Col6a6,Dcn,Itgb4,Col14a1,Mmrn2,Vwf,Ccbe1,Reln,Matn2,Glg1,Col6a5	Serpinf1,Col1a1,Nid1,Ntn4,Loxl2,Smoc2,Entpd2,Fbn1,F3,Sfrp1,Mmp2,Fmod,Tgfbi,Cpz,Adamts2,Hpse,Fbln2,Fbln1,Egflam,Adamts12,Olfml2a,Gpc3,Col8a2,Col12a1,Col4a4,Lama2,Col6a6,Dcn,Itgb4,Col14a1,Mmrn2,Vwf,Ccbe1,Reln,Matn2,Glg1,Col6a5
GO:0062023	collagen-containing extracellular matrix	25	148	1.72e-22	Serpinf1,Col1a1,Nid1,Ntn4,Loxl2,Smoc2,Entpd2,Fbn1,Sfrp1,Fmod,Tgfbi,Adamts2,Fbln2,Fbln1,Egflam,Adamts12,Gpc3,Col8a2,Col12a1,Col4a4,Lama2,Itgb4,Col14a1,Mmrn2,Matn2	Serpinf1,Col1a1,Nid1,Ntn4,Loxl2,Smoc2,Entpd2,Fbn1,Sfrp1,Fmod,Tgfbi,Adamts2,Fbln2,Fbln1,Egflam,Adamts12,Gpc3,Col8a2,Col12a1,Col4a4,Lama2,Itgb4,Col14a1,Mmrn2,Matn2
GO:0005604	basement membrane	16	99	6.34e-14	Serpinf1,Nid1,Ntn4,Loxl2,Smoc2,Entpd2,Fbn1,Tgfbi,Fbln1,Egflam,Col8a2,Col4a4,Lama2,Itgb4,Mmrn2,Matn2	Serpinf1,Nid1,Ntn4,Loxl2,Smoc2,Entpd2,Fbn1,Tgfbi,Fbln1,Egflam,Col8a2,Col4a4,Lama2,Itgb4,Mmrn2,Matn2
GO:0005581	collagen trimer	14	78	9.19e-13	Col1a1,C1qtnf1,Emilin2,Col16a1,Col8a2,Col12a1,Col4a4,Col6a6,Dcn,Col14a1,C1qtnf3,C1qtnf7,Ccbe1,Col6a5	Col1a1,C1qtnf1,Emilin2,Col16a1,Col8a2,Col12a1,Col4a4,Col6a6,Dcn,Col14a1,C1qtnf3,C1qtnf7,Ccbe1,Col6a5
GO:0005615	extracellular space	37	1131	1.72e-11	Ccl11,Serpinf1,Ctsk,Lbp,C1qtnf1,Igfbp4,Igfbp6,Serping1,Smoc2,Cfb,Cpxm1,Procr,Wnt2b,Sfrp2,F3,Figf,Mmp2,Tgfbi,Gdf7,Cpz,Fbln1,Flrt2,C1ra,Gpc3,Icam1,Cp,Podn,Anpep,C1qtnf3,Mmrn2,C1qtnf7,Ccbe1,Reln,C1s1,Loxl4,Slit2,Gdf10	Ccl11,Serpinf1,Ctsk,Lbp,C1qtnf1,Igfbp4,Igfbp6,Serping1,Smoc2,Cfb,Cpxm1,Procr,Wnt2b,Sfrp2,F3,Vegfd,Mmp2,Tgfbi,Gdf7,Cpz,Fbln1,Flrt2,C1ra,Gpc3,Icam1,Cp,Podn,Anpep,C1qtnf3,Mmrn2,C1qtnf7,Ccbe1,Reln,C1s1,Loxl4,Slit2,Gdf10
GO:0031224	intrinsic component of membrane	72	4661	1.3900000000000001e-07	Ern1,Folh1,Man1a,Vipr2,C1qtnf1,Enpp3,Egfr,Glt8d2,Abca8b,Ptch1,Scara5,Boc,Csf1r,Ms4a4d,Gria4,Htr2b,Entpd2,Lrp4,Siglec1,Procr,Sfrp2,F3,Gxylt2,Tspan11,Sfrp1,Itga11,Nt5e,Plvap,Abca6,ENSMUSG00000036242,Abca9,Piezo2,Sorcs2,Bace2,Lrp1,Atp6v0e2,Tm7sf3,Stab1,Fzd4,Gpr133,Flrt2,Gpc3,Gas1,Epha3,Ldlrad4,Cd248,Atrnl1,Dchs1,Hhip,Cd209b,Icam1,Shisa3,Cp,Lrrn4cl,Abca8a,Cldn10,Tmem254b,Tmem176a,Ptgfrn,Slc4a10,Ephb2,Itgb4,Anpep,Ildr2,Steap3,Plxna4,Cdon,Ptplad2,Heg1,Pdgfra,Naalad2,Glg1	Ern1,Folh1,Man1a,Vipr2,C1qtnf1,Enpp3,Egfr,Glt8d2,Abca8b,Ptch1,Scara5,Boc,Csf1r,Ms4a4d,Gria4,Htr2b,Entpd2,Lrp4,Siglec1,Procr,Sfrp2,F3,Gxylt2,Tspan11,Sfrp1,Itga11,Nt5e,Plvap,Abca6,3632451O06Rik,Abca9,Piezo2,Sorcs2,Bace2,Lrp1,Atp6v0e2,Tm7sf3,Stab1,Fzd4,Adgrd1,Flrt2,Gpc3,Gas1,Epha3,Ldlrad4,Cd248,Atrnl1,Dchs1,Hhip,Cd209b,Icam1,Shisa3,Cp,Lrrn4cl,Abca8a,Cldn10,Tmem254b,Tmem176a,Ptgfrn,Slc4a10,Ephb2,Itgb4,Anpep,Ildr2,Steap3,Plxna4,Cdon,Hacd4,Heg1,Pdgfra,Naalad2,Glg1
GO:0009986	cell surface	25	796	2.6e-07	Folh1,Lbp,Enpp3,Egfr,Scara5,Boc,Csf1r,Entpd2,Lrp4,F3,Sfrp1,Nt5e,Plvap,Bace2,Fzd4,Egflam,Hhip,Cd209b,Icam1,Itgb4,Anpep,Vwf,Cdon,Heg1,Pdgfra	Folh1,Lbp,Enpp3,Egfr,Scara5,Boc,Csf1r,Entpd2,Lrp4,F3,Sfrp1,Nt5e,Plvap,Bace2,Fzd4,Egflam,Hhip,Cd209b,Icam1,Itgb4,Anpep,Vwf,Cdon,Heg1,Pdgfra
GO:0071944	cell periphery	69	4443	2.6e-07	Folh1,Nid1,Vipr2,Aldh1a3,C1qtnf1,Enpp3,Ntn4,Egfr,Abca8b,Ptch1,Scara5,Boc,Smoc2,Csf1r,Gria4,Htr2b,Entpd2,Lrp4,Siglec1,Prss12,F3,Tspan11,Sfrp1,Mmp2,Itga11,Nt5e,Plvap,Ppl,Piezo2,Bace2,Lrp1,Tm7sf3,Stab1,Ptpn13,Fzd4,Gpr133,Flrt2,Gpc3,Gas1,Epha3,Cd248,Wdr6,Atrnl1,Dchs1,Hhip,Cd209b,Icam1,Cp,Lama2,Abca8a,Cldn10,Ptgfrn,Slc4a10,Ephb2,Itgb4,Anpep,Cfh,Vwf,Steap3,Plxna4,Cdon,Heg1,Reln,Tiam1,Pdgfra,Slit2,Naalad2,Plce1,Glg1	Folh1,Nid1,Vipr2,Aldh1a3,C1qtnf1,Enpp3,Ntn4,Egfr,Abca8b,Ptch1,Scara5,Boc,Smoc2,Csf1r,Gria4,Htr2b,Entpd2,Lrp4,Siglec1,Prss12,F3,Tspan11,Sfrp1,Mmp2,Itga11,Nt5e,Plvap,Ppl,Piezo2,Bace2,Lrp1,Tm7sf3,Stab1,Ptpn13,Fzd4,Adgrd1,Flrt2,Gpc3,Gas1,Epha3,Cd248,Wdr6,Atrnl1,Dchs1,Hhip,Cd209b,Icam1,Cp,Lama2,Abca8a,Cldn10,Ptgfrn,Slc4a10,Ephb2,Itgb4,Anpep,Cfh,Vwf,Steap3,Plxna4,Cdon,Heg1,Reln,Tiam1,Pdgfra,Slit2,Naalad2,Plce1,Glg1
GO:0016021	integral component of membrane	69	4504	3.6799999999999996e-07	Ern1,Folh1,Man1a,Vipr2,C1qtnf1,Enpp3,Egfr,Glt8d2,Abca8b,Ptch1,Scara5,Boc,Csf1r,Ms4a4d,Gria4,Htr2b,Entpd2,Lrp4,Siglec1,Procr,Sfrp2,F3,Gxylt2,Tspan11,Sfrp1,Itga11,Plvap,Abca6,ENSMUSG00000036242,Abca9,Piezo2,Sorcs2,Bace2,Lrp1,Atp6v0e2,Tm7sf3,Stab1,Fzd4,Gpr133,Flrt2,Gpc3,Epha3,Ldlrad4,Cd248,Atrnl1,Dchs1,Hhip,Cd209b,Icam1,Shisa3,Lrrn4cl,Abca8a,Cldn10,Tmem254b,Tmem176a,Ptgfrn,Slc4a10,Ephb2,Itgb4,Anpep,Ildr2,Steap3,Plxna4,Cdon,Ptplad2,Heg1,Pdgfra,Naalad2,Glg1	Ern1,Folh1,Man1a,Vipr2,C1qtnf1,Enpp3,Egfr,Glt8d2,Abca8b,Ptch1,Scara5,Boc,Csf1r,Ms4a4d,Gria4,Htr2b,Entpd2,Lrp4,Siglec1,Procr,Sfrp2,F3,Gxylt2,Tspan11,Sfrp1,Itga11,Plvap,Abca6,3632451O06Rik,Abca9,Piezo2,Sorcs2,Bace2,Lrp1,Atp6v0e2,Tm7sf3,Stab1,Fzd4,Adgrd1,Flrt2,Gpc3,Epha3,Ldlrad4,Cd248,Atrnl1,Dchs1,Hhip,Cd209b,Icam1,Shisa3,Lrrn4cl,Abca8a,Cldn10,Tmem254b,Tmem176a,Ptgfrn,Slc4a10,Ephb2,Itgb4,Anpep,Ildr2,Steap3,Plxna4,Cdon,Hacd4,Heg1,Pdgfra,Naalad2,Glg1
