#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005518	collagen binding	11	60	4.39e-09	Nid1,Pcolce2,Ctsk,C1qtnf1,Pcolce,Itga11,Tgfbi,Dcn,Podn,Vwf,Ccbe1	Nid1,Pcolce2,Ctsk,C1qtnf1,Pcolce,Itga11,Tgfbi,Dcn,Podn,Vwf,Ccbe1
GO:0005509	calcium ion binding	23	594	1.85e-07	Man1a,Nid1,Enpp3,Loxl2,Smoc2,Fbn1,Lrp4,Calml4,Lrp1,Svep1,Stab1,Fbln2,Fbln1,Egflam,C1ra,Cd248,Dchs1,Fbln7,Ccbe1,Heg1,C1s1,Slit2,Matn2	Man1a,Nid1,Enpp3,Loxl2,Smoc2,Fbn1,Lrp4,Calml4,Lrp1,Svep1,Stab1,Fbln2,Fbln1,Egflam,C1ra,Cd248,Dchs1,Fbln7,Ccbe1,Heg1,C1s1,Slit2,Matn2
GO:0050840	extracellular matrix binding	8	56	6.05e-06	Nid1,Ntn4,Tgfbi,Fbln2,Olfml2a,Cd248,Dcn,Slit2	Nid1,Ntn4,Tgfbi,Fbln2,Olfml2a,Cd248,Dcn,Slit2
GO:0005539	glycosaminoglycan binding	12	184	6.49e-06	Pcolce2,Ptch1,Smoc2,Fbn1,Pcolce,Sfrp1,Stab1,Egflam,Dcn,Fbln7,Cfh,Slit2	Pcolce2,Ptch1,Smoc2,Fbn1,Pcolce,Sfrp1,Stab1,Egflam,Dcn,Fbln7,Cfh,Slit2
GO:0043394	proteoglycan binding	6	32	4.55e-05	Nid1,Ctsk,Fst,Hpse,Cfh,Slit2	Nid1,Ctsk,Fst,Hpse,Cfh,Slit2
GO:0005044	scavenger receptor activity	6	44	0.0002	Enpp3,Scara5,Loxl2,Prss12,Stab1,Loxl4	Enpp3,Scara5,Loxl2,Prss12,Stab1,Loxl4
GO:0008201	heparin binding	9	139	0.0002	Pcolce2,Ptch1,Smoc2,Fbn1,Pcolce,Sfrp1,Fbln7,Cfh,Slit2	Pcolce2,Ptch1,Smoc2,Fbn1,Pcolce,Sfrp1,Fbln7,Cfh,Slit2
GO:0038024	cargo receptor activity	7	79	0.00031	Enpp3,Scara5,Loxl2,Prss12,Lrp1,Stab1,Loxl4	Enpp3,Scara5,Loxl2,Prss12,Lrp1,Stab1,Loxl4
GO:0008233	peptidase activity	17	586	0.00033999999999999997	Folh1,Ctsk,Cfb,C2,Prss12,Sfrp1,Mmp2,Cpz,Adamts2,Bace2,Adamts12,C1ra,Adamtsl1,Anpep,Reln,C1s1,Naalad2	Folh1,Ctsk,Cfb,C2,Prss12,Sfrp1,Mmp2,Cpz,Adamts2,Bace2,Adamts12,C1ra,Adamtsl1,Anpep,Reln,C1s1,Naalad2
GO:0043167	ion binding	69	5302	0.00035	Ern1,Col1a1,Folh1,Man1a,Nid1,Lrrk1,Aldh1a3,Pcolce2,Enpp3,Egfr,Abca8b,Ptch1,Fst,Loxl2,Smoc2,Cyp1b1,C2,Zfp521,Csf1r,Htr2b,Entpd2,Fbn1,Lrp4,Cpxm1,F3,Man2b2,Pcolce,Cpxm2,Sfrp1,Mmp2,Itga11,Calml4,Nt5e,Abca6,Abca9,Qpct,Cpz,Adamts2,Lrp1,Svep1,Stab1,Fbln2,Fbln1,Egflam,Adamts12,C1ra,Epha3,Cd248,Dchs1,Hhip,Cd209b,Cp,Abca8a,Ephb2,Anpep,Fbln7,Cfh,Steap3,Ccbe1,Heg1,Reln,C1s1,Loxl4,Tiam1,Pdgfra,Slit2,Matn2,Naalad2,Plce1	Ern1,Col1a1,Folh1,Man1a,Nid1,Lrrk1,Aldh1a3,Pcolce2,Enpp3,Egfr,Abca8b,Ptch1,Fst,Loxl2,Smoc2,Cyp1b1,C2,Zfp521,Csf1r,Htr2b,Entpd2,Fbn1,Lrp4,Cpxm1,F3,Man2b2,Pcolce,Cpxm2,Sfrp1,Mmp2,Itga11,Calml4,Nt5e,Abca6,Abca9,Qpct,Cpz,Adamts2,Lrp1,Svep1,Stab1,Fbln2,Fbln1,Egflam,Adamts12,C1ra,Epha3,Cd248,Dchs1,Hhip,Cd209b,Cp,Abca8a,Ephb2,Anpep,Fbln7,Cfh,Steap3,Ccbe1,Heg1,Reln,C1s1,Loxl4,Tiam1,Pdgfra,Slit2,Matn2,Naalad2,Plce1
GO:0043169	cation binding	51	3516	0.0005099999999999999	Ern1,Col1a1,Folh1,Man1a,Nid1,Lrrk1,Enpp3,Ptch1,Loxl2,Smoc2,Cyp1b1,C2,Zfp521,Htr2b,Fbn1,Lrp4,Cpxm1,Man2b2,Cpxm2,Mmp2,Itga11,Calml4,Nt5e,Qpct,Cpz,Adamts2,Lrp1,Svep1,Stab1,Fbln2,Fbln1,Egflam,Adamts12,C1ra,Cd248,Dchs1,Hhip,Cd209b,Cp,Anpep,Fbln7,Steap3,Ccbe1,Heg1,Reln,C1s1,Loxl4,Slit2,Matn2,Naalad2,Plce1	Ern1,Col1a1,Folh1,Man1a,Nid1,Lrrk1,Enpp3,Ptch1,Loxl2,Smoc2,Cyp1b1,C2,Zfp521,Htr2b,Fbn1,Lrp4,Cpxm1,Man2b2,Cpxm2,Mmp2,Itga11,Calml4,Nt5e,Qpct,Cpz,Adamts2,Lrp1,Svep1,Stab1,Fbln2,Fbln1,Egflam,Adamts12,C1ra,Cd248,Dchs1,Hhip,Cd209b,Cp,Anpep,Fbln7,Steap3,Ccbe1,Heg1,Reln,C1s1,Loxl4,Slit2,Matn2,Naalad2,Plce1
GO:0046872	metal ion binding	50	3430	0.0005099999999999999	Ern1,Col1a1,Folh1,Man1a,Nid1,Lrrk1,Enpp3,Ptch1,Loxl2,Smoc2,Cyp1b1,C2,Zfp521,Fbn1,Lrp4,Cpxm1,Man2b2,Cpxm2,Mmp2,Itga11,Calml4,Nt5e,Qpct,Cpz,Adamts2,Lrp1,Svep1,Stab1,Fbln2,Fbln1,Egflam,Adamts12,C1ra,Cd248,Dchs1,Hhip,Cd209b,Cp,Anpep,Fbln7,Steap3,Ccbe1,Heg1,Reln,C1s1,Loxl4,Slit2,Matn2,Naalad2,Plce1	Ern1,Col1a1,Folh1,Man1a,Nid1,Lrrk1,Enpp3,Ptch1,Loxl2,Smoc2,Cyp1b1,C2,Zfp521,Fbn1,Lrp4,Cpxm1,Man2b2,Cpxm2,Mmp2,Itga11,Calml4,Nt5e,Qpct,Cpz,Adamts2,Lrp1,Svep1,Stab1,Fbln2,Fbln1,Egflam,Adamts12,C1ra,Cd248,Dchs1,Hhip,Cd209b,Cp,Anpep,Fbln7,Steap3,Ccbe1,Heg1,Reln,C1s1,Loxl4,Slit2,Matn2,Naalad2,Plce1
