#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0007155	cell adhesion	35	705	3.58e-14	Nid1,Egfr,Boc,Emilin2,Cyp1b1,Fbn1,Siglec1,Sfrp1,Itga11,Nt5e,Col16a1,Tgfbi,Hpse,Svep1,Stab1,Fzd4,Adamts12,Flrt2,Col8a2,Col12a1,Dchs1,Icam1,Lama2,Col6a6,Cldn10,Itgb4,Col14a1,Fbln7,Vwf,Cdon,Reln,Tiam1,Pdgfra,Slit2,Col6a5	Nid1,Egfr,Boc,Emilin2,Cyp1b1,Fbn1,Siglec1,Sfrp1,Itga11,Nt5e,Col16a1,Tgfbi,Hpse,Svep1,Stab1,Fzd4,Adamts12,Flrt2,Col8a2,Col12a1,Dchs1,Icam1,Lama2,Col6a6,Cldn10,Itgb4,Col14a1,Fbln7,Vwf,Cdon,Reln,Tiam1,Pdgfra,Slit2,Col6a5
GO:0030198	extracellular matrix organization	17	180	2.71e-10	Col1a1,Nid1,Loxl2,Smoc2,Cyp1b1,Sfrp2,Fmod,Tgfbi,Adamts2,Fbln2,Fbln1,Egflam,Olfml2a,Flrt2,Col4a4,Col14a1,Pdgfra	Col1a1,Nid1,Loxl2,Smoc2,Cyp1b1,Sfrp2,Fmod,Tgfbi,Adamts2,Fbln2,Fbln1,Egflam,Olfml2a,Flrt2,Col4a4,Col14a1,Pdgfra
GO:0048583	regulation of response to stimulus	69	3552	2.71e-10	Ccl11,Serpinf1,Ern1,Col1a1,Clec11a,Lrrk1,Aldh1a3,Lbp,C1qtnf1,Igfbp4,Enpp3,Egfr,Ptch1,Fst,Igfbp6,Serping1,Smoc2,Cyp1b1,Cfb,C2,Csf1r,Htr2b,Prrx1,Fbn1,Lrp4,Siglec1,Wnt2b,Sfrp2,F3,Figf,Sfrp1,Mmp2,Nt5e,Gdf7,Lrp1,Hpse,Srpx,Ptpn13,Fzd4,Fbln1,Adamts12,Flrt2,C1ra,Gpc3,Gas1,Ldlrad4,Hhip,Icam1,Dcn,Ephb2,Podn,Col14a1,C1qtnf3,Mmrn2,Cfh,Steap3,Plxna4,Cdon,Dact1,Ccbe1,Bicc1,Reln,C1s1,Tiam1,Pdgfra,Slit2,Gdf10,Plce1,Glg1	Ccl11,Serpinf1,Ern1,Col1a1,Clec11a,Lrrk1,Aldh1a3,Lbp,C1qtnf1,Igfbp4,Enpp3,Egfr,Ptch1,Fst,Igfbp6,Serping1,Smoc2,Cyp1b1,Cfb,C2,Csf1r,Htr2b,Prrx1,Fbn1,Lrp4,Siglec1,Wnt2b,Sfrp2,F3,Vegfd,Sfrp1,Mmp2,Nt5e,Gdf7,Lrp1,Hpse,Srpx,Ptpn13,Fzd4,Fbln1,Adamts12,Flrt2,C1ra,Gpc3,Gas1,Ldlrad4,Hhip,Icam1,Dcn,Ephb2,Podn,Col14a1,C1qtnf3,Mmrn2,Cfh,Steap3,Plxna4,Cdon,Dact1,Ccbe1,Bicc1,Reln,C1s1,Tiam1,Pdgfra,Slit2,Gdf10,Plce1,Glg1
GO:0051239	regulation of multicellular organismal process	61	2858	2.71e-10	Ccl11,Serpinf1,Col1a1,Lbp,C1qtnf1,Ntn4,Egfr,Ptch1,Fst,Loxl2,Boc,Serping1,Smoc2,Cyp1b1,Csf1r,Htr2b,Prrx1,Fbn1,Lrp4,Procr,Wnt2b,Sfrp2,F3,Figf,Sfrp1,Mmp2,Igsf10,Gdf7,Lrp1,Hpse,Stab1,Btbd7,Fzd4,Fbln1,Adamts12,Flrt2,Gpc3,Epha3,Ldlrad4,Hhip,Cd209b,Icam1,Lama2,Tmem176a,Dcn,Ephb2,Anpep,Col14a1,C1qtnf3,Mmrn2,Plxna4,Cdon,Dact1,Ccbe1,Heg1,Reln,Tiam1,Pdgfra,Slit2,Gdf10,Glg1	Ccl11,Serpinf1,Col1a1,Lbp,C1qtnf1,Ntn4,Egfr,Ptch1,Fst,Loxl2,Boc,Serping1,Smoc2,Cyp1b1,Csf1r,Htr2b,Prrx1,Fbn1,Lrp4,Procr,Wnt2b,Sfrp2,F3,Vegfd,Sfrp1,Mmp2,Igsf10,Gdf7,Lrp1,Hpse,Stab1,Btbd7,Fzd4,Fbln1,Adamts12,Flrt2,Gpc3,Epha3,Ldlrad4,Hhip,Cd209b,Icam1,Lama2,Tmem176a,Dcn,Ephb2,Anpep,Col14a1,C1qtnf3,Mmrn2,Plxna4,Cdon,Dact1,Ccbe1,Heg1,Reln,Tiam1,Pdgfra,Slit2,Gdf10,Glg1
GO:0009653	anatomical structure morphogenesis	50	2089	7.14e-10	Ccl11,Col1a1,Aldh1a3,Egfr,Ptch1,Fst,Loxl2,Boc,Cyp1b1,Csf1r,Htr2b,Prrx1,Fbn1,Lrp4,Wnt2b,Sfrp2,Figf,Sfrp1,Mmp2,Tgfbi,Gdf7,Lrp1,Hpse,Cc2d2a,Fzd4,Flrt2,Gpc3,Gas1,Col8a2,Cd248,Col12a1,Dchs1,Hhip,Lama2,Slc4a10,Ephb2,Itgb4,Anpep,Mmrn2,Plxna4,Cdon,Dact1,Ccbe1,Heg1,Reln,Tiam1,Pdgfra,Slit2,Matn2,Glg1	Ccl11,Col1a1,Aldh1a3,Egfr,Ptch1,Fst,Loxl2,Boc,Cyp1b1,Csf1r,Htr2b,Prrx1,Fbn1,Lrp4,Wnt2b,Sfrp2,Vegfd,Sfrp1,Mmp2,Tgfbi,Gdf7,Lrp1,Hpse,Cc2d2a,Fzd4,Flrt2,Gpc3,Gas1,Col8a2,Cd248,Col12a1,Dchs1,Hhip,Lama2,Slc4a10,Ephb2,Itgb4,Anpep,Mmrn2,Plxna4,Cdon,Dact1,Ccbe1,Heg1,Reln,Tiam1,Pdgfra,Slit2,Matn2,Glg1
GO:2000026	regulation of multicellular organismal development	48	1961	9.04e-10	Ccl11,Serpinf1,Col1a1,Ntn4,Egfr,Ptch1,Fst,Loxl2,Boc,Smoc2,Cyp1b1,Csf1r,Prrx1,Fbn1,Lrp4,Wnt2b,Sfrp2,F3,Figf,Sfrp1,Igsf10,Gdf7,Lrp1,Hpse,Stab1,Btbd7,Fzd4,Adamts12,Flrt2,Gpc3,Epha3,Ldlrad4,Hhip,Lama2,Tmem176a,Dcn,Ephb2,Col14a1,Mmrn2,Plxna4,Cdon,Dact1,Ccbe1,Reln,Tiam1,Pdgfra,Slit2,Glg1	Ccl11,Serpinf1,Col1a1,Ntn4,Egfr,Ptch1,Fst,Loxl2,Boc,Smoc2,Cyp1b1,Csf1r,Prrx1,Fbn1,Lrp4,Wnt2b,Sfrp2,F3,Vegfd,Sfrp1,Igsf10,Gdf7,Lrp1,Hpse,Stab1,Btbd7,Fzd4,Adamts12,Flrt2,Gpc3,Epha3,Ldlrad4,Hhip,Lama2,Tmem176a,Dcn,Ephb2,Col14a1,Mmrn2,Plxna4,Cdon,Dact1,Ccbe1,Reln,Tiam1,Pdgfra,Slit2,Glg1
GO:0035239	tube morphogenesis	28	690	1.23e-09	Ccl11,Egfr,Ptch1,Loxl2,Cyp1b1,Prrx1,Sfrp2,Figf,Sfrp1,Mmp2,Tgfbi,Gdf7,Lrp1,Hpse,Cc2d2a,Fzd4,Gpc3,Col8a2,Dchs1,Hhip,Ephb2,Anpep,Mmrn2,Dact1,Ccbe1,Heg1,Pdgfra,Slit2	Ccl11,Egfr,Ptch1,Loxl2,Cyp1b1,Prrx1,Sfrp2,Vegfd,Sfrp1,Mmp2,Tgfbi,Gdf7,Lrp1,Hpse,Cc2d2a,Fzd4,Gpc3,Col8a2,Dchs1,Hhip,Ephb2,Anpep,Mmrn2,Dact1,Ccbe1,Heg1,Pdgfra,Slit2
GO:0030334	regulation of cell migration	30	805	1.32e-09	Ccl11,Serpinf1,Col1a1,Lbp,Egfr,Smoc2,Cyp1b1,Csf1r,Sfrp2,F3,Figf,Sfrp1,Mmp2,Plvap,Igsf10,Lrp1,Fbln1,Flrt2,Epha3,Ldlrad4,Icam1,Lama2,Dcn,Podn,Mmrn2,Ccbe1,Reln,Tiam1,Pdgfra,Slit2	Ccl11,Serpinf1,Col1a1,Lbp,Egfr,Smoc2,Cyp1b1,Csf1r,Sfrp2,F3,Vegfd,Sfrp1,Mmp2,Plvap,Igsf10,Lrp1,Fbln1,Flrt2,Epha3,Ldlrad4,Icam1,Lama2,Dcn,Podn,Mmrn2,Ccbe1,Reln,Tiam1,Pdgfra,Slit2
GO:0048584	positive regulation of response to stimulus	47	1922	1.32e-09	Ccl11,Ern1,Col1a1,Lrrk1,Aldh1a3,Lbp,C1qtnf1,Igfbp4,Egfr,Serping1,Smoc2,Cyp1b1,Cfb,C2,Csf1r,Htr2b,Prrx1,Siglec1,Wnt2b,Sfrp2,F3,Figf,Sfrp1,Mmp2,Gdf7,Hpse,Srpx,Fzd4,C1ra,Gpc3,Gas1,Icam1,Dcn,Ephb2,C1qtnf3,Cfh,Steap3,Cdon,Dact1,Ccbe1,Reln,C1s1,Tiam1,Pdgfra,Slit2,Gdf10,Plce1	Ccl11,Ern1,Col1a1,Lrrk1,Aldh1a3,Lbp,C1qtnf1,Igfbp4,Egfr,Serping1,Smoc2,Cyp1b1,Cfb,C2,Csf1r,Htr2b,Prrx1,Siglec1,Wnt2b,Sfrp2,F3,Vegfd,Sfrp1,Mmp2,Gdf7,Hpse,Srpx,Fzd4,C1ra,Gpc3,Gas1,Icam1,Dcn,Ephb2,C1qtnf3,Cfh,Steap3,Cdon,Dact1,Ccbe1,Reln,C1s1,Tiam1,Pdgfra,Slit2,Gdf10,Plce1
GO:0035295	tube development	31	912	3.73e-09	Ccl11,Egfr,Ptch1,Loxl2,Cyp1b1,Prrx1,Sfrp2,Figf,Sfrp1,Mmp2,Tgfbi,Gdf7,Adamts2,Lrp1,Hpse,Cc2d2a,Fzd4,Gpc3,Gas1,Col8a2,Dchs1,Hhip,Ephb2,Itgb4,Anpep,Mmrn2,Dact1,Ccbe1,Heg1,Pdgfra,Slit2	Ccl11,Egfr,Ptch1,Loxl2,Cyp1b1,Prrx1,Sfrp2,Vegfd,Sfrp1,Mmp2,Tgfbi,Gdf7,Adamts2,Lrp1,Hpse,Cc2d2a,Fzd4,Gpc3,Gas1,Col8a2,Dchs1,Hhip,Ephb2,Itgb4,Anpep,Mmrn2,Dact1,Ccbe1,Heg1,Pdgfra,Slit2
