#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005518	collagen binding	11	60	1.02e-09	Nid1,Pcolce2,Ctsk,C1qtnf1,Pcolce,Itga11,Tgfbi,Dcn,Podn,Vwf,Ccbe1	Nid1,Pcolce2,Ctsk,C1qtnf1,Pcolce,Itga11,Tgfbi,Dcn,Podn,Vwf,Ccbe1
GO:0005509	calcium ion binding	22	594	7.940000000000001e-08	Man1a,Nid1,Enpp3,Loxl2,Smoc2,Clec3b,Fbn1,Nucb2,Crtac1,Svep1,Fbln2,Fbln1,Egflam,C1ra,Cd248,Cdh11,Fbln7,Spock2,Ccbe1,C1s1,Slit2,Matn2	Man1a,Nid1,Enpp3,Loxl2,Smoc2,Clec3b,Fbn1,Nucb2,Crtac1,Svep1,Fbln2,Fbln1,Egflam,C1ra,Cd248,Cdh11,Fbln7,Spock2,Ccbe1,C1s1,Slit2,Matn2
GO:0005539	glycosaminoglycan binding	12	184	1.95e-06	Pcolce2,Adamts1,Smoc2,Clec3b,Fbn1,Pcolce,Egflam,Dcn,Fbln7,Cfh,Spock2,Slit2	Pcolce2,Adamts1,Smoc2,Clec3b,Fbn1,Pcolce,Egflam,Dcn,Fbln7,Cfh,Spock2,Slit2
GO:0050840	extracellular matrix binding	8	56	1.95e-06	Nid1,Ntn4,Tgfbi,Fbln2,Cd248,Dcn,Spock2,Slit2	Nid1,Ntn4,Tgfbi,Fbln2,Cd248,Dcn,Spock2,Slit2
GO:0005488	binding	108	10884	3.43e-05	Ccl11,Sfrp4,Man1a,Clec11a,Nid1,Dnajb1,Cybb,Pcolce2,Ctsk,Lbp,C1qtnf1,Igfbp4,Arid5b,Enpp3,Ntn4,Egfr,Abca8b,Hexb,Fst,Loxl2,Adamts1,Smoc2,C2,Zfp521,Csf1r,Clec3b,Gria4,Gpr39,Entpd2,Fbn1,Cpxm1,Procr,Wnt2b,Il6ra,F3,Sema3c,Man2b2,Pcolce,Nucb2,Cpxm2,Figf,Mmp2,Mmp3,Itga11,Ptgs2,Abca6,Akap12,Abca9,Tgfbi,Abhd2,Slfn8,Adamts2,Esm1,Bace2,Crtac1,Svep1,Ptpn13,Fbln2,Foxo3,Nrip1,Exoc4,Fbln1,Egflam,Fam46c,Adamts12,Flrt2,Gdf6,C1ra,Epha3,Hunk,Ldlrad4,Cd248,Cdh11,Atrnl1,Cttnbp2nl,Dock10,Hhip,Hspa1a,Col3a1,Cp,Lama2,Cd109,Folr2,Abca8a,Fmn1,Dcn,Ephb2,Podn,Fbln7,C1qtnf3,Cadm3,Cfh,Vwf,Steap4,Spock2,Ccbe1,Zfp568,Apod,Bicc1,C1s1,Loxl4,Pdgfra,Slit2,Matn2,Gdf10,Naalad2,Glg1,Hspa1b	Ccl11,Sfrp4,Man1a,Clec11a,Nid1,Dnajb1,Cybb,Pcolce2,Ctsk,Lbp,C1qtnf1,Igfbp4,Arid5b,Enpp3,Ntn4,Egfr,Abca8b,Hexb,Fst,Loxl2,Adamts1,Smoc2,C2,Zfp521,Csf1r,Clec3b,Gria4,Gpr39,Entpd2,Fbn1,Cpxm1,Procr,Wnt2b,Il6ra,F3,Sema3c,Man2b2,Pcolce,Nucb2,Cpxm2,Vegfd,Mmp2,Mmp3,Itga11,Ptgs2,Abca6,Akap12,Abca9,Tgfbi,Abhd2,Slfn8,Adamts2,Esm1,Bace2,Crtac1,Svep1,Ptpn13,Fbln2,Foxo3,Nrip1,Exoc4,Fbln1,Egflam,Fam46c,Adamts12,Flrt2,Gdf6,C1ra,Epha3,Hunk,Ldlrad4,Cd248,Cdh11,Atrnl1,Cttnbp2nl,Dock10,Hhip,Hspa1a,Col3a1,Cp,Lama2,Cd109,Folr2,Abca8a,Fmn1,Dcn,Ephb2,Podn,Fbln7,C1qtnf3,Cadm3,Cfh,Vwf,Steap4,Spock2,Ccbe1,Zfp568,Apod,Bicc1,C1s1,Loxl4,Pdgfra,Slit2,Matn2,Gdf10,Naalad2,Glg1,Hspa1b
GO:0008201	heparin binding	9	139	6.96e-05	Pcolce2,Adamts1,Smoc2,Clec3b,Fbn1,Pcolce,Fbln7,Cfh,Slit2	Pcolce2,Adamts1,Smoc2,Clec3b,Fbn1,Pcolce,Fbln7,Cfh,Slit2
GO:0004175	endopeptidase activity	13	386	0.00029	Ctsk,Adamts1,Cfb,C2,Prss12,Mmp2,Mmp3,Adamts2,Bace2,Capn5,Adamts12,C1ra,C1s1	Ctsk,Adamts1,Cfb,C2,Prss12,Mmp2,Mmp3,Adamts2,Bace2,Capn5,Adamts12,C1ra,C1s1
GO:0008233	peptidase activity	16	586	0.00029	Ctsk,Scrn1,Adamts1,Cfb,C2,Prss12,Mmp2,Mmp3,Adamts2,Bace2,Capn5,Adamts12,C1ra,Adamtsl1,C1s1,Naalad2	Ctsk,Scrn1,Adamts1,Cfb,C2,Prss12,Mmp2,Mmp3,Adamts2,Bace2,Capn5,Adamts12,C1ra,Adamtsl1,C1s1,Naalad2
GO:0043167	ion binding	63	5302	0.00029	Man1a,Nid1,Cybb,Pcolce2,Enpp3,Egfr,Abca8b,Fst,Loxl2,Adamts1,Smoc2,C2,Zfp521,Csf1r,Clec3b,Gpr39,Entpd2,Fbn1,Cpxm1,F3,Man2b2,Pcolce,Nucb2,Cpxm2,Mmp2,Mmp3,Itga11,Ptgs2,Abca6,Abca9,Slfn8,Adamts2,Crtac1,Svep1,Fbln2,Fbln1,Egflam,Adamts12,C1ra,Epha3,Hunk,Cd248,Cdh11,Hhip,Hspa1a,Col3a1,Cp,Folr2,Abca8a,Ephb2,Fbln7,Cfh,Steap4,Spock2,Ccbe1,Zfp568,C1s1,Loxl4,Pdgfra,Slit2,Matn2,Naalad2,Hspa1b	Man1a,Nid1,Cybb,Pcolce2,Enpp3,Egfr,Abca8b,Fst,Loxl2,Adamts1,Smoc2,C2,Zfp521,Csf1r,Clec3b,Gpr39,Entpd2,Fbn1,Cpxm1,F3,Man2b2,Pcolce,Nucb2,Cpxm2,Mmp2,Mmp3,Itga11,Ptgs2,Abca6,Abca9,Slfn8,Adamts2,Crtac1,Svep1,Fbln2,Fbln1,Egflam,Adamts12,C1ra,Epha3,Hunk,Cd248,Cdh11,Hhip,Hspa1a,Col3a1,Cp,Folr2,Abca8a,Ephb2,Fbln7,Cfh,Steap4,Spock2,Ccbe1,Zfp568,C1s1,Loxl4,Pdgfra,Slit2,Matn2,Naalad2,Hspa1b
GO:0043394	proteoglycan binding	5	32	0.00029	Nid1,Ctsk,Fst,Cfh,Slit2	Nid1,Ctsk,Fst,Cfh,Slit2
