#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0030334	regulation of cell migration	28	805	1.32e-08	Ccl11,Serpinf1,Lbp,Egfr,Adamts1,Smoc2,Csf1r,F3,Sema3c,Figf,Mmp2,Mmp3,Ptgs2,Igsf10,Abhd2,Fbln1,Flrt2,Epha3,Ldlrad4,Dock10,Col3a1,Lama2,Dcn,Podn,Ccbe1,Apod,Pdgfra,Slit2	Ccl11,Serpinf1,Lbp,Egfr,Adamts1,Smoc2,Csf1r,F3,Sema3c,Vegfd,Mmp2,Mmp3,Ptgs2,Igsf10,Abhd2,Fbln1,Flrt2,Epha3,Ldlrad4,Dock10,Col3a1,Lama2,Dcn,Podn,Ccbe1,Apod,Pdgfra,Slit2
GO:0040012	regulation of locomotion	29	924	2.2200000000000004e-08	Ccl11,Serpinf1,Lbp,Egfr,Adamts1,Smoc2,Csf1r,F3,Sema3c,Figf,Mmp2,Mmp3,Ptgs2,Igsf10,Abhd2,Fbln1,Flrt2,Epha3,Ldlrad4,Dock10,Col3a1,Lama2,Dcn,Podn,Plxna4,Ccbe1,Apod,Pdgfra,Slit2	Ccl11,Serpinf1,Lbp,Egfr,Adamts1,Smoc2,Csf1r,F3,Sema3c,Vegfd,Mmp2,Mmp3,Ptgs2,Igsf10,Abhd2,Fbln1,Flrt2,Epha3,Ldlrad4,Dock10,Col3a1,Lama2,Dcn,Podn,Plxna4,Ccbe1,Apod,Pdgfra,Slit2
GO:0051270	regulation of cellular component movement	29	928	2.2200000000000004e-08	Ccl11,Serpinf1,Lbp,Egfr,Adamts1,Smoc2,Csf1r,F3,Sema3c,Figf,Mmp2,Mmp3,Ptgs2,Igsf10,Abhd2,Fbln1,Flrt2,Epha3,Ldlrad4,Dock10,Col3a1,Lama2,Dcn,Podn,Plxna4,Ccbe1,Apod,Pdgfra,Slit2	Ccl11,Serpinf1,Lbp,Egfr,Adamts1,Smoc2,Csf1r,F3,Sema3c,Vegfd,Mmp2,Mmp3,Ptgs2,Igsf10,Abhd2,Fbln1,Flrt2,Epha3,Ldlrad4,Dock10,Col3a1,Lama2,Dcn,Podn,Plxna4,Ccbe1,Apod,Pdgfra,Slit2
GO:0030198	extracellular matrix organization	14	180	5.2699999999999995e-08	Nid1,Loxl2,Smoc2,Fmod,Tgfbi,Adamts2,Fbln2,Fbln1,Egflam,Flrt2,Col3a1,Col14a1,Spock2,Pdgfra	Nid1,Loxl2,Smoc2,Fmod,Tgfbi,Adamts2,Fbln2,Fbln1,Egflam,Flrt2,Col3a1,Col14a1,Spock2,Pdgfra
GO:0048583	regulation of response to stimulus	56	3552	6.88e-07	Ccl11,Serpinf1,Sfrp4,Clec11a,Lbp,C1qtnf1,Igfbp4,Enpp3,Egfr,Fst,Serping1,Smoc2,Cfb,C2,Csf1r,Gpr39,Fbn1,Wnt2b,Il6ra,F3,Nucb2,Figf,Mmp2,Mmp3,Ptgs2,Akap12,Esm1,Srpx,Ptpn13,Foxo3,Exoc4,Fbln1,Adamts12,Flrt2,Gdf6,C1ra,Ldlrad4,Hhip,Col3a1,Cd109,Dcn,Ephb2,Podn,Nfam1,Col14a1,C1qtnf3,Cfh,Plxna4,Ccbe1,Apod,Bicc1,C1s1,Pdgfra,Slit2,Gdf10,Glg1	Ccl11,Serpinf1,Sfrp4,Clec11a,Lbp,C1qtnf1,Igfbp4,Enpp3,Egfr,Fst,Serping1,Smoc2,Cfb,C2,Csf1r,Gpr39,Fbn1,Wnt2b,Il6ra,F3,Nucb2,Vegfd,Mmp2,Mmp3,Ptgs2,Akap12,Esm1,Srpx,Ptpn13,Foxo3,Exoc4,Fbln1,Adamts12,Flrt2,Gdf6,C1ra,Ldlrad4,Hhip,Col3a1,Cd109,Dcn,Ephb2,Podn,Nfam1,Col14a1,C1qtnf3,Cfh,Plxna4,Ccbe1,Apod,Bicc1,C1s1,Pdgfra,Slit2,Gdf10,Glg1
GO:0051239	regulation of multicellular organismal process	48	2858	2.03e-06	Ccl11,Serpinf1,Sfrp4,Cybb,Lbp,C1qtnf1,Ntn4,Egfr,Fst,Loxl2,Adamts1,Serping1,Smoc2,Csf1r,Gpr39,Fbn1,Procr,Wnt2b,Il6ra,F3,Sema3c,Figf,Mmp2,Ptgs2,Igsf10,Foxo3,Fbln1,Adamts12,Flrt2,Gdf6,Epha3,Ldlrad4,Hhip,Col3a1,Lama2,Cd109,Dcn,Ephb2,Nfam1,Col14a1,C1qtnf3,Plxna4,Ccbe1,Apod,Pdgfra,Slit2,Gdf10,Glg1	Ccl11,Serpinf1,Sfrp4,Cybb,Lbp,C1qtnf1,Ntn4,Egfr,Fst,Loxl2,Adamts1,Serping1,Smoc2,Csf1r,Gpr39,Fbn1,Procr,Wnt2b,Il6ra,F3,Sema3c,Vegfd,Mmp2,Ptgs2,Igsf10,Foxo3,Fbln1,Adamts12,Flrt2,Gdf6,Epha3,Ldlrad4,Hhip,Col3a1,Lama2,Cd109,Dcn,Ephb2,Nfam1,Col14a1,C1qtnf3,Plxna4,Ccbe1,Apod,Pdgfra,Slit2,Gdf10,Glg1
GO:0009653	anatomical structure morphogenesis	39	2089	4.8e-06	Ccl11,Sfrp4,Arid5b,Egfr,Fst,Loxl2,Adamts1,Csf1r,Fbn1,Wnt2b,Sema3c,Figf,Mmp2,Ptgs2,Tgfbi,Thsd7a,Esm1,Foxo3,Exoc4,Flrt2,Col8a2,Cd248,Col12a1,Cdh11,Dock10,Hhip,Col3a1,Lama2,Cd109,Fmn1,Slc4a10,Ephb2,Plxna4,Ccbe1,Zfp568,Pdgfra,Slit2,Matn2,Glg1	Ccl11,Sfrp4,Arid5b,Egfr,Fst,Loxl2,Adamts1,Csf1r,Fbn1,Wnt2b,Sema3c,Vegfd,Mmp2,Ptgs2,Tgfbi,Thsd7a,Esm1,Foxo3,Exoc4,Flrt2,Col8a2,Cd248,Col12a1,Cdh11,Dock10,Hhip,Col3a1,Lama2,Cd109,Fmn1,Slc4a10,Ephb2,Plxna4,Ccbe1,Zfp568,Pdgfra,Slit2,Matn2,Glg1
GO:0048584	positive regulation of response to stimulus	37	1922	5.09e-06	Ccl11,Sfrp4,Lbp,C1qtnf1,Igfbp4,Egfr,Serping1,Smoc2,Cfb,C2,Csf1r,Gpr39,Wnt2b,Il6ra,F3,Figf,Mmp2,Mmp3,Ptgs2,Akap12,Esm1,Srpx,Foxo3,Exoc4,Gdf6,C1ra,Col3a1,Dcn,Ephb2,Nfam1,C1qtnf3,Cfh,Ccbe1,C1s1,Pdgfra,Slit2,Gdf10	Ccl11,Sfrp4,Lbp,C1qtnf1,Igfbp4,Egfr,Serping1,Smoc2,Cfb,C2,Csf1r,Gpr39,Wnt2b,Il6ra,F3,Vegfd,Mmp2,Mmp3,Ptgs2,Akap12,Esm1,Srpx,Foxo3,Exoc4,Gdf6,C1ra,Col3a1,Dcn,Ephb2,Nfam1,C1qtnf3,Cfh,Ccbe1,C1s1,Pdgfra,Slit2,Gdf10
GO:2000026	regulation of multicellular organismal development	37	1961	7.75e-06	Ccl11,Serpinf1,Sfrp4,Cybb,Ntn4,Egfr,Fst,Loxl2,Adamts1,Smoc2,Csf1r,Fbn1,Wnt2b,F3,Sema3c,Figf,Ptgs2,Igsf10,Foxo3,Adamts12,Flrt2,Gdf6,Epha3,Ldlrad4,Hhip,Col3a1,Lama2,Cd109,Dcn,Ephb2,Nfam1,Col14a1,Plxna4,Ccbe1,Pdgfra,Slit2,Glg1	Ccl11,Serpinf1,Sfrp4,Cybb,Ntn4,Egfr,Fst,Loxl2,Adamts1,Smoc2,Csf1r,Fbn1,Wnt2b,F3,Sema3c,Vegfd,Ptgs2,Igsf10,Foxo3,Adamts12,Flrt2,Gdf6,Epha3,Ldlrad4,Hhip,Col3a1,Lama2,Cd109,Dcn,Ephb2,Nfam1,Col14a1,Plxna4,Ccbe1,Pdgfra,Slit2,Glg1
GO:0007155	cell adhesion	21	705	8.93e-06	Nid1,Egfr,Emilin2,Fbn1,Itga11,Tgfbi,Svep1,Adamts12,Flrt2,Col8a2,Col12a1,Cdh11,Lsamp,Col3a1,Lama2,Col14a1,Fbln7,Cadm3,Vwf,Pdgfra,Slit2	Nid1,Egfr,Emilin2,Fbn1,Itga11,Tgfbi,Svep1,Adamts12,Flrt2,Col8a2,Col12a1,Cdh11,Lsamp,Col3a1,Lama2,Col14a1,Fbln7,Cadm3,Vwf,Pdgfra,Slit2
