#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005739	mitochondrion	71	1312	7.59e-42	Clpp,Ndufa2,Cox6c,Atp5e,Slmo2,Ndufa1,Mief2,Slc25a39,Uqcr11,Timm13,Cox11,Glrx5,Ppif,Slc25a17,Ndufa6,Smdt1,Ndufa5,Mrps23,Cox8b,Mpc2,Ndufaf4,Hint2,Mrpl37,Ndufs5,Mrpl51,Tomm40,Mrpl46,Ndufc2,Coq7,Hccs,Ucp1,Lars2,Ndufb7,Ndufc1,Chchd4,Tsfm,Ndufb10,Mrpl12,Mrpl34,Cars2,Timm8a1,Dnajc11,Mrps7,Cox17,Tmem11,Mrps12,Ndufa8,Atg4d,Stard5,Ndufa3,Ndufb6,Usmg5,AI462493,Mlycd,Cox7a1,Ndufs7,Atp5h,Tomm5,Ndufa13,Tomm6,Ndufb11,Ndufb2,Ndufb5,Cox7c,Mrpl15,Minos1,Bola3,Cmc2,Cycs,Timm9,Ndufa12	Clpp,Ndufa2,Cox6c,Atp5e,Slmo2,Ndufa1,Mief2,Slc25a39,Uqcr11,Timm13,Cox11,Glrx5,Ppif,Slc25a17,Ndufa6,Smdt1,Ndufa5,Mrps23,Cox8b,Mpc2,Ndufaf4,Hint2,Mrpl37,Ndufs5,Mrpl51,Tomm40,Mrpl46,Ndufc2,Coq7,Hccs,Ucp1,Lars2,Ndufb7,Ndufc1,Chchd4,Tsfm,Ndufb10,Mrpl12,Mrpl34,Cars2,Timm8a1,Dnajc11,Mrps7,Cox17,Tmem11,Mrps12,Ndufa8,Atg4d,Stard5,Ndufa3,Ndufb6,Usmg5,Uqcc3,Mlycd,Cox7a1,Ndufs7,Atp5h,Tomm5,Ndufa13,Tomm6,Ndufb11,Ndufb2,Ndufb5,Cox7c,Mrpl15,Minos1,Bola3,Cmc2,Cycs,Timm9,Ndufa12
GO:0098798	mitochondrial protein complex	42	255	4.25e-41	Ndufa2,Atp5e,Ndufa1,Timm13,Ppif,Ndufa6,Smdt1,Ndufa5,Mrps23,Cox8b,Mrpl37,Ndufs5,Mrpl51,Tomm40,Mrpl46,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Mrpl12,Mrpl34,Dnajc11,Mrps7,Mrps12,Ndufa8,Ndufa3,Ndufb6,Usmg5,AI462493,Ndufs7,Atp5h,Tomm5,Ndufa13,Tomm6,Ndufb11,Ndufb2,Ndufb5,Cox7c,Mrpl15,Minos1,Timm9,Ndufa12	Ndufa2,Atp5e,Ndufa1,Timm13,Ppif,Ndufa6,Smdt1,Ndufa5,Mrps23,Cox8b,Mrpl37,Ndufs5,Mrpl51,Tomm40,Mrpl46,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Mrpl12,Mrpl34,Dnajc11,Mrps7,Mrps12,Ndufa8,Ndufa3,Ndufb6,Usmg5,Uqcc3,Ndufs7,Atp5h,Tomm5,Ndufa13,Tomm6,Ndufb11,Ndufb2,Ndufb5,Cox7c,Mrpl15,Minos1,Timm9,Ndufa12
GO:0005743	mitochondrial inner membrane	42	321	1.66e-37	Ndufa2,Cox6c,Atp5e,Ndufa1,Slc25a39,Timm13,Cox11,Ppif,Slc25a17,Ndufa6,Smdt1,Ndufa5,Cox8b,Mpc2,Ndufs5,Tomm40,Ndufc2,Coq7,Hccs,Ucp1,Ndufb7,Ndufc1,Ndufb10,Timm8a1,Dnajc11,Tmem11,Ndufa8,Ndufa3,Ndufb6,Usmg5,AI462493,Cox7a1,Ndufs7,Atp5h,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Minos1,Timm9,Ndufa12	Ndufa2,Cox6c,Atp5e,Ndufa1,Slc25a39,Timm13,Cox11,Ppif,Slc25a17,Ndufa6,Smdt1,Ndufa5,Cox8b,Mpc2,Ndufs5,Tomm40,Ndufc2,Coq7,Hccs,Ucp1,Ndufb7,Ndufc1,Ndufb10,Timm8a1,Dnajc11,Tmem11,Ndufa8,Ndufa3,Ndufb6,Usmg5,Uqcc3,Cox7a1,Ndufs7,Atp5h,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Minos1,Timm9,Ndufa12
GO:0005740	mitochondrial envelope	50	590	6.109999999999999e-37	Ndufa2,Cox6c,Atp5e,Slmo2,Ndufa1,Mief2,Slc25a39,Timm13,Cox11,Ppif,Slc25a17,Ndufa6,Smdt1,Ndufa5,Cox8b,Mpc2,Ndufaf4,Ndufs5,Tomm40,Ndufc2,Coq7,Hccs,Ucp1,Ndufb7,Ndufc1,Chchd4,Ndufb10,Timm8a1,Dnajc11,Cox17,Tmem11,Ndufa8,Ndufa3,Ndufb6,Usmg5,AI462493,Cox7a1,Ndufs7,Atp5h,Tomm5,Ndufa13,Tomm6,Ndufb11,Ndufb2,Ndufb5,Cox7c,Minos1,Cycs,Timm9,Ndufa12	Ndufa2,Cox6c,Atp5e,Slmo2,Ndufa1,Mief2,Slc25a39,Timm13,Cox11,Ppif,Slc25a17,Ndufa6,Smdt1,Ndufa5,Cox8b,Mpc2,Ndufaf4,Ndufs5,Tomm40,Ndufc2,Coq7,Hccs,Ucp1,Ndufb7,Ndufc1,Chchd4,Ndufb10,Timm8a1,Dnajc11,Cox17,Tmem11,Ndufa8,Ndufa3,Ndufb6,Usmg5,Uqcc3,Cox7a1,Ndufs7,Atp5h,Tomm5,Ndufa13,Tomm6,Ndufb11,Ndufb2,Ndufb5,Cox7c,Minos1,Cycs,Timm9,Ndufa12
GO:0031966	mitochondrial membrane	46	539	5.43e-34	Ndufa2,Cox6c,Atp5e,Ndufa1,Mief2,Slc25a39,Timm13,Cox11,Ppif,Slc25a17,Ndufa6,Smdt1,Ndufa5,Cox8b,Mpc2,Ndufaf4,Ndufs5,Tomm40,Ndufc2,Coq7,Hccs,Ucp1,Ndufb7,Ndufc1,Ndufb10,Timm8a1,Dnajc11,Tmem11,Ndufa8,Ndufa3,Ndufb6,Usmg5,AI462493,Cox7a1,Ndufs7,Atp5h,Tomm5,Ndufa13,Tomm6,Ndufb11,Ndufb2,Ndufb5,Cox7c,Minos1,Timm9,Ndufa12	Ndufa2,Cox6c,Atp5e,Ndufa1,Mief2,Slc25a39,Timm13,Cox11,Ppif,Slc25a17,Ndufa6,Smdt1,Ndufa5,Cox8b,Mpc2,Ndufaf4,Ndufs5,Tomm40,Ndufc2,Coq7,Hccs,Ucp1,Ndufb7,Ndufc1,Ndufb10,Timm8a1,Dnajc11,Tmem11,Ndufa8,Ndufa3,Ndufb6,Usmg5,Uqcc3,Cox7a1,Ndufs7,Atp5h,Tomm5,Ndufa13,Tomm6,Ndufb11,Ndufb2,Ndufb5,Cox7c,Minos1,Timm9,Ndufa12
GO:0098800	inner mitochondrial membrane protein complex	28	131	5.6599999999999994e-30	Ndufa2,Atp5e,Ndufa1,Ndufa6,Smdt1,Ndufa5,Cox8b,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Dnajc11,Ndufa8,Ndufa3,Ndufb6,Usmg5,AI462493,Ndufs7,Atp5h,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Minos1,Timm9,Ndufa12	Ndufa2,Atp5e,Ndufa1,Ndufa6,Smdt1,Ndufa5,Cox8b,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Dnajc11,Ndufa8,Ndufa3,Ndufb6,Usmg5,Uqcc3,Ndufs7,Atp5h,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Minos1,Timm9,Ndufa12
GO:0031967	organelle envelope	52	1015	1.04e-28	Ndufa2,Cox6c,Atp5e,Slmo2,Ndufa1,Mief2,Slc25a39,Timm13,Cox11,Ppif,Slc25a17,Ndufa6,Smdt1,Ndufa5,Mrps23,Cox8b,Mpc2,Ndufaf4,Ndufs5,Tomm40,Ndufc2,Coq7,Hccs,Ucp1,Ndufb7,Ndufc1,Chchd4,Ndufb10,Timm8a1,Dnajc11,Cox17,Tmem11,Ndufa8,Ndufa3,Ndufb6,Usmg5,AI462493,Cox7a1,Ndufs7,Atp5h,Tomm5,Ndufa13,Tomm6,Ndufb11,Ndufb2,Ndufb5,Cox7c,Minos1,Cycs,Timm9,Apoe,Ndufa12	Ndufa2,Cox6c,Atp5e,Slmo2,Ndufa1,Mief2,Slc25a39,Timm13,Cox11,Ppif,Slc25a17,Ndufa6,Smdt1,Ndufa5,Mrps23,Cox8b,Mpc2,Ndufaf4,Ndufs5,Tomm40,Ndufc2,Coq7,Hccs,Ucp1,Ndufb7,Ndufc1,Chchd4,Ndufb10,Timm8a1,Dnajc11,Cox17,Tmem11,Ndufa8,Ndufa3,Ndufb6,Usmg5,Uqcc3,Cox7a1,Ndufs7,Atp5h,Tomm5,Ndufa13,Tomm6,Ndufb11,Ndufb2,Ndufb5,Cox7c,Minos1,Cycs,Timm9,Apoe,Ndufa12
GO:0070469	respirasome	24	87	5.23e-28	Ndufa2,Ndufa1,Uqcr11,Ndufa6,Ndufa5,Cox8b,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,AI462493,Cox7a1,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Cycs,Ndufa12	Ndufa2,Ndufa1,Uqcr11,Ndufa6,Ndufa5,Cox8b,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Uqcc3,Cox7a1,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Cycs,Ndufa12
GO:0005746	mitochondrial respirasome	22	79	9.800000000000001e-26	Ndufa2,Ndufa1,Ndufa6,Ndufa5,Cox8b,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,AI462493,Cox7a1,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Ndufa12	Ndufa2,Ndufa1,Ndufa6,Ndufa5,Cox8b,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Uqcc3,Cox7a1,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Ndufa12
GO:0098803	respiratory chain complex	21	78	2.5899999999999996e-24	Ndufa2,Ndufa1,Ndufa6,Ndufa5,Cox8b,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,AI462493,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Ndufa12	Ndufa2,Ndufa1,Ndufa6,Ndufa5,Cox8b,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Uqcc3,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Ndufa12
GO:0005747	mitochondrial respiratory chain complex I	18	46	2.8300000000000004e-23	Ndufa2,Ndufa1,Ndufa6,Ndufa5,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Ndufa12	Ndufa2,Ndufa1,Ndufa6,Ndufa5,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Ndufa12
