#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu05012	Parkinson's disease	26	138	4.939999999999999e-26	Ndufa2,Cox6c,Atp5e,Ndufa1,Uqcr11,Ppif,Ndufa6,Cox8b,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Cox7a1,Ndufs7,Atp5h,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Cycs,Ndufa12	Ndufa2,Cox6c,Atp5e,Ndufa1,Uqcr11,Ppif,Ndufa6,Cox8b,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Cox7a1,Ndufs7,Atp5h,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Cycs,Ndufa12
mmu00190	Oxidative phosphorylation	25	129	1.5099999999999999e-25	Ndufa2,Cox6c,Atp5e,Ndufa1,Uqcr11,Cox11,Ndufa6,Cox8b,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Cox7a1,Ndufs7,Atp5h,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Ndufa12	Ndufa2,Cox6c,Atp5e,Ndufa1,Uqcr11,Cox11,Ndufa6,Cox8b,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Cox7a1,Ndufs7,Atp5h,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Ndufa12
mmu05016	Huntington's disease	27	187	8.52e-25	Ndufa2,Cox6c,Atp5e,Ndufa1,Uqcr11,Ppif,Ndufa6,Cox8b,Ndufs5,Ndufc2,Ucp1,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Cox7a1,Ndufs7,Atp5h,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Cycs,Ndufa12	Ndufa2,Cox6c,Atp5e,Ndufa1,Uqcr11,Ppif,Ndufa6,Cox8b,Ndufs5,Ndufc2,Ucp1,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Cox7a1,Ndufs7,Atp5h,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Cycs,Ndufa12
mmu05010	Alzheimer's disease	26	167	1.0099999999999999e-24	Ndufa2,Cox6c,Atp5e,Ndufa1,Uqcr11,Ndufa6,Cox8b,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Cox7a1,Ndufs7,Atp5h,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Cycs,Apoe,Ndufa12	Ndufa2,Cox6c,Atp5e,Ndufa1,Uqcr11,Ndufa6,Cox8b,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Cox7a1,Ndufs7,Atp5h,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Cycs,Apoe,Ndufa12
mmu04714	Thermogenesis	27	223	3.6e-23	Ndufa2,Cox6c,Atp5e,Ndufa1,Uqcr11,Cox11,Ndufa6,Cox8b,Ndufaf4,Ndufs5,Ndufc2,Ucp1,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Cox7a1,Ndufs7,Atp5h,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Ndufa12	Ndufa2,Cox6c,Atp5e,Ndufa1,Uqcr11,Cox11,Ndufa6,Cox8b,Ndufaf4,Ndufs5,Ndufc2,Ucp1,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Cox7a1,Ndufs7,Atp5h,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Ndufa12
mmu04932	Non-alcoholic fatty liver disease (NAFLD)	23	146	4.59e-22	Ndufa2,Cox6c,Ndufa1,Uqcr11,Ndufa6,Cox8b,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Cox7a1,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Cycs,Ndufa12	Ndufa2,Cox6c,Ndufa1,Uqcr11,Ndufa6,Cox8b,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Cox7a1,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Cycs,Ndufa12
mmu04723	Retrograde endocannabinoid signaling	18	145	1.3300000000000001e-15	Ndufa2,Ndufa1,Ndufa6,Ndufs5,Gng11,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Ndufa12	Ndufa2,Ndufa1,Ndufa6,Ndufs5,Gng11,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Ndufa12
mmu01100	Metabolic pathways	33	1296	1.62e-09	Ndufa2,Cox6c,Atp5e,Ndufa1,Uqcr11,Cox11,Galk1,Ndufa6,Chkb,Pcyt2,Cox8b,Ppcs,Ndufs5,Ndufc2,Coq7,Ndufb7,Ndufc1,Ndufb10,Mcee,Ndufa8,Ndufa3,Ndufb6,Mlycd,Nnt,Ndufs7,Atp5h,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Cycs,Ndufa12	Ndufa2,Cox6c,Atp5e,Ndufa1,Uqcr11,Cox11,Gk,Ndufa6,Chkb,Pcyt2,Cox8b,Ppcs,Ndufs5,Ndufc2,Coq7,Ndufb7,Ndufc1,Ndufb10,Mcee,Ndufa8,Ndufa3,Ndufb6,Mlycd,Nnt,Ndufs7,Atp5h,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Cycs,Ndufa12
mmu04260	Cardiac muscle contraction	5	75	0.003	Cox6c,Uqcr11,Cox8b,Cox7a1,Cox7c	Cox6c,Uqcr11,Cox8b,Cox7a1,Cox7c
mmu03010	Ribosome	6	128	0.0039	Mrpl12,Mrpl34,Mrps7,Mrps12,Rps19,Mrpl15	Mrpl12,Mrpl34,Mrps7,Mrps12,Rps19,Mrpl15
