#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0007005	mitochondrion organization	34	388	3.7700000000000006e-23	Ndufa2,Ndufa1,Mief2,Fmc1,Timm13,Ppif,Ndufa5,Ndufaf4,Ndufs5,Tomm40,Ndufc2,Coq7,Ndufb7,Ndufc1,Chchd4,Ndufb10,Timm8a1,Dnajc11,Cox17,Tmem11,Ndufa8,Atg4d,Ndufa3,Ndufb6,AI462493,Flcn,Ndufs7,Tomm5,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Mrpl15,Timm9	Ndufa2,Ndufa1,Mief2,1110001J03Rik,Timm13,Ppif,Ndufa5,Ndufaf4,Ndufs5,Tomm40,Ndufc2,Coq7,Ndufb7,Ndufc1,Chchd4,Ndufb10,Timm8a1,Dnajc11,Cox17,Tmem11,Ndufa8,Atg4d,Ndufa3,Ndufb6,Uqcc3,Flcn,Ndufs7,Tomm5,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Mrpl15,Timm9
GO:0032981	mitochondrial respiratory chain complex I assembly	17	41	1.4799999999999998e-20	Ndufa2,Ndufa1,Ndufa5,Ndufaf4,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5	Ndufa2,Ndufa1,Ndufa5,Ndufaf4,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Ndufa8,Ndufa3,Ndufb6,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5
GO:0033108	mitochondrial respiratory chain complex assembly	19	74	3.3799999999999997e-20	Ndufa2,Ndufa1,Ndufa5,Ndufaf4,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Cox17,Ndufa8,Ndufa3,Ndufb6,AI462493,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5	Ndufa2,Ndufa1,Ndufa5,Ndufaf4,Ndufs5,Ndufc2,Ndufb7,Ndufc1,Ndufb10,Cox17,Ndufa8,Ndufa3,Ndufb6,Uqcc3,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5
GO:0055114	oxidation-reduction process	36	904	1.35e-14	Gmpr,Apoa2,Ndufa2,Cox6c,Ndufa1,Uqcr11,Glrx5,Slc25a17,Ndufa6,Ndufa5,Cox8b,Ndufs5,Ndufc2,Coq7,Egln1,Apoa1,Ndufb7,Ndufc1,Chchd4,Ndufb10,Ndufa8,Ech1,Ndufa3,Ndufb6,AI462493,Mlycd,Cox7a1,Nnt,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Cycs,Ndufa12	Gmpr,Apoa2,Ndufa2,Cox6c,Ndufa1,Uqcr11,Glrx5,Slc25a17,Ndufa6,Ndufa5,Cox8b,Ndufs5,Ndufc2,Coq7,Egln1,Apoa1,Ndufb7,Ndufc1,Chchd4,Ndufb10,Ndufa8,Ech1,Ndufa3,Ndufb6,Uqcc3,Mlycd,Cox7a1,Nnt,Ndufs7,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Cox7c,Cycs,Ndufa12
GO:0022900	electron transport chain	14	120	2.17e-10	Cox6c,Uqcr11,Glrx5,Ndufa5,Cox8b,Ndufc2,Coq7,Ndufa8,Ndufb6,AI462493,Cox7a1,Cox7c,Cycs,Ndufa12	Cox6c,Uqcr11,Glrx5,Ndufa5,Cox8b,Ndufc2,Coq7,Ndufa8,Ndufb6,Uqcc3,Cox7a1,Cox7c,Cycs,Ndufa12
GO:0009150	purine ribonucleotide metabolic process	18	356	4.43e-08	Atp5e,Galk1,Acot12,Cox8b,Mpc2,Ppcs,Ndufc2,Coq7,Pde4a,Mcee,Ndufa8,Ndufb6,AI462493,Mlycd,Atp5h,Cox7c,Cycs,Ndufa12	Atp5e,Gk,Acot12,Cox8b,Mpc2,Ppcs,Ndufc2,Coq7,Pde4a,Mcee,Ndufa8,Ndufb6,Uqcc3,Mlycd,Atp5h,Cox7c,Cycs,Ndufa12
GO:0034622	cellular protein-containing complex assembly	24	687	4.43e-08	Ndufa2,Ndufa1,Fmc1,Ndufa5,Ndufaf4,Ndufs5,Ndufc2,Hccs,Ndufb7,Ndufc1,Ndufb10,Mrps7,Cox17,Ndufa8,Ndufa3,Ndufb6,AI462493,Ndufs7,Rps19,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Taf10	Ndufa2,Ndufa1,1110001J03Rik,Ndufa5,Ndufaf4,Ndufs5,Ndufc2,Hccs,Ndufb7,Ndufc1,Ndufb10,Mrps7,Cox17,Ndufa8,Ndufa3,Ndufb6,Uqcc3,Ndufs7,Rps19,Ndufa13,Ndufb11,Ndufb2,Ndufb5,Taf10
GO:0072521	purine-containing compound metabolic process	19	410	4.43e-08	Gmpr,Atp5e,Galk1,Acot12,Cox8b,Mpc2,Ppcs,Ndufc2,Coq7,Pde4a,Mcee,Ndufa8,Ndufb6,AI462493,Mlycd,Atp5h,Cox7c,Cycs,Ndufa12	Gmpr,Atp5e,Gk,Acot12,Cox8b,Mpc2,Ppcs,Ndufc2,Coq7,Pde4a,Mcee,Ndufa8,Ndufb6,Uqcc3,Mlycd,Atp5h,Cox7c,Cycs,Ndufa12
GO:0042775	mitochondrial ATP synthesis coupled electron transport	9	51	6.37e-08	Cox8b,Ndufc2,Coq7,Ndufa8,Ndufb6,AI462493,Cox7c,Cycs,Ndufa12	Cox8b,Ndufc2,Coq7,Ndufa8,Ndufb6,Uqcc3,Cox7c,Cycs,Ndufa12
GO:0009117	nucleotide metabolic process	20	488	6.79e-08	Gmpr,Atp5e,Galk1,Acot12,Cox8b,Mpc2,Ppcs,Ndufc2,Coq7,Pde4a,Mcee,Ndufa8,Ndufb6,AI462493,Mlycd,Nnt,Atp5h,Cox7c,Cycs,Ndufa12	Gmpr,Atp5e,Gk,Acot12,Cox8b,Mpc2,Ppcs,Ndufc2,Coq7,Pde4a,Mcee,Ndufa8,Ndufb6,Uqcc3,Mlycd,Nnt,Atp5h,Cox7c,Cycs,Ndufa12
