#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0016021	integral component of membrane	59	4504	9.209999999999998e-13	Itgb2,Tbxas1,Cyp4f18,Cybb,Cxcl16,Vsir,Abcc3,Gpr137b,Clec4n,Trem2,Abcg1,Ms4a6d,Slc15a3,Slc11a1,Siglec1,Fcgr1,Cd72,Tnfrsf1b,Gpnmb,Tyrobp,Itgax,Il10ra,Plvap,Mfsd12,Tlr13,C3ar1,Lrrc25,Clec12a,Sdc3,Pld4,Cd300lb,Pirb,Fcgr4,Fcer1g,Emr1,AF251705,Csf2rb,Csf2rb2,Tmem254b,Sirpa,Ptges,Adam8,Csf3r,Cd300lf,Rbpr2,Cd68,B4galt5,Nfam1,Slamf7,Clec7a,Mpeg1,Pld3,Laptm5,Unc93b1,Slc37a2,Gpr35,Fcgr3,Entpd4,Ncf2	Itgb2,Tbxas1,Cyp4f18,Cybb,Cxcl16,Vsir,Abcc3,Gpr137b,Clec4n,Trem2,Abcg1,Ms4a6d,Slc15a3,Slc11a1,Siglec1,Fcgr1,Cd72,Tnfrsf1b,Gpnmb,Tyrobp,Itgax,Il10ra,Plvap,Mfsd12,Tlr13,C3ar1,Lrrc25,Clec12a,Sdc3,Pld4,Cd300lb,Pirb,Fcgr4,Fcer1g,Adgre1,Cd300c2,Csf2rb,Csf2rb2,Tmem254b,Sirpa,Ptges,Adam8,Csf3r,Cd300lf,Stra6l,Cd68,B4galt5,Nfam1,Slamf7,Clec7a,Mpeg1,Pld3,Laptm5,Unc93b1,Slc37a2,Gpr35,Fcgr3,Entpd4,Ncf2
GO:0016020	membrane	74	7460	9.29e-12	Itgb2,Tbxas1,Hck,Cyp4f18,Hmox1,Cybb,Ctss,Cd5l,Stac2,Cxcl16,Vsir,Abcc3,Gpr137b,Ctsl,Sdf2l1,Clec4n,Trem2,Abcg1,Ms4a6d,Slc15a3,Slc11a1,Siglec1,Fcgr1,Atp6v0d2,Cd72,Tnfrsf1b,Fgr,Gpnmb,Tyrobp,Itgax,Il10ra,Plvap,Lgals3bp,Mfsd12,Tlr13,C3ar1,Lrrc25,Pik3ap1,Cemip,Clec12a,Sdc3,Pld4,Cd300lb,Pirb,Fcgr4,Fcer1g,Emr1,AF251705,Csf2rb,Csf2rb2,Tmem254b,Sirpa,Ptges,Adam8,Csf3r,Cd300lf,Rbpr2,Cd68,B4galt5,Nfam1,Slamf7,Clec7a,Vwf,Mpeg1,Pld3,Lgals3,Lcp1,Laptm5,Unc93b1,Slc37a2,Gpr35,Fcgr3,Entpd4,Ncf2	Itgb2,Tbxas1,Hck,Cyp4f18,Hmox1,Cybb,Ctss,Cd5l,Stac2,Cxcl16,Vsir,Abcc3,Gpr137b,Ctsl,Sdf2l1,Clec4n,Trem2,Abcg1,Ms4a6d,Slc15a3,Slc11a1,Siglec1,Fcgr1,Atp6v0d2,Cd72,Tnfrsf1b,Fgr,Gpnmb,Tyrobp,Itgax,Il10ra,Plvap,Lgals3bp,Mfsd12,Tlr13,C3ar1,Lrrc25,Pik3ap1,Cemip,Clec12a,Sdc3,Pld4,Cd300lb,Pirb,Fcgr4,Fcer1g,Adgre1,Cd300c2,Csf2rb,Csf2rb2,Tmem254b,Sirpa,Ptges,Adam8,Csf3r,Cd300lf,Stra6l,Cd68,B4galt5,Nfam1,Slamf7,Clec7a,Vwf,Mpeg1,Pld3,Lgals3,Lcp1,Laptm5,Unc93b1,Slc37a2,Gpr35,Fcgr3,Entpd4,Ncf2
GO:0071944	cell periphery	54	4443	2.0799999999999998e-10	Itgb2,Hck,Cyp4f18,Hmox1,Cybb,Ctsz,Stac2,Vsir,Abcc3,Ctsl,Clec4n,Trem2,Abcg1,Slc11a1,Siglec1,Fcgr1,Atp6v0d2,Cd72,Tnfrsf1b,Fgr,Gpnmb,Tyrobp,Itgax,Il10ra,Plvap,Tlr13,C3ar1,Pik3ap1,Cemip,Clec12a,Sdc3,Cd300lb,Pirb,Fcgr4,Fcer1g,Emr1,Myo1f,AF251705,Csf2rb2,Sirpa,Tnfaip2,Adam8,Cd300lf,Rbpr2,Cd68,Nfam1,Slamf7,Clec7a,Vwf,Lgals3,Lcp1,Gpr35,Fcgr3,Ncf2	Itgb2,Hck,Cyp4f18,Hmox1,Cybb,Ctsz,Stac2,Vsir,Abcc3,Ctsl,Clec4n,Trem2,Abcg1,Slc11a1,Siglec1,Fcgr1,Atp6v0d2,Cd72,Tnfrsf1b,Fgr,Gpnmb,Tyrobp,Itgax,Il10ra,Plvap,Tlr13,C3ar1,Pik3ap1,Cemip,Clec12a,Sdc3,Cd300lb,Pirb,Fcgr4,Fcer1g,Adgre1,Myo1f,Cd300c2,Csf2rb2,Sirpa,Tnfaip2,Adam8,Cd300lf,Stra6l,Cd68,Nfam1,Slamf7,Clec7a,Vwf,Lgals3,Lcp1,Gpr35,Fcgr3,Ncf2
GO:0005886	plasma membrane	51	4328	3.53e-09	Itgb2,Hck,Cyp4f18,Hmox1,Cybb,Stac2,Vsir,Abcc3,Ctsl,Clec4n,Trem2,Abcg1,Slc11a1,Siglec1,Fcgr1,Atp6v0d2,Cd72,Tnfrsf1b,Fgr,Gpnmb,Tyrobp,Itgax,Il10ra,Plvap,Tlr13,C3ar1,Pik3ap1,Cemip,Clec12a,Sdc3,Cd300lb,Pirb,Fcgr4,Fcer1g,Emr1,AF251705,Csf2rb2,Sirpa,Adam8,Cd300lf,Rbpr2,Cd68,Nfam1,Slamf7,Clec7a,Vwf,Lgals3,Lcp1,Gpr35,Fcgr3,Ncf2	Itgb2,Hck,Cyp4f18,Hmox1,Cybb,Stac2,Vsir,Abcc3,Ctsl,Clec4n,Trem2,Abcg1,Slc11a1,Siglec1,Fcgr1,Atp6v0d2,Cd72,Tnfrsf1b,Fgr,Gpnmb,Tyrobp,Itgax,Il10ra,Plvap,Tlr13,C3ar1,Pik3ap1,Cemip,Clec12a,Sdc3,Cd300lb,Pirb,Fcgr4,Fcer1g,Adgre1,Cd300c2,Csf2rb2,Sirpa,Adam8,Cd300lf,Stra6l,Cd68,Nfam1,Slamf7,Clec7a,Vwf,Lgals3,Lcp1,Gpr35,Fcgr3,Ncf2
GO:0009986	cell surface	21	796	1.25e-08	Itgb2,Ctss,Ctsz,Vsir,Ctsl,Abcg1,Fcgr1,Tyrobp,Itgax,Plvap,Clec12a,Sdc3,Fcgr4,Fcer1g,Emr1,Adam8,Nfam1,Slamf7,Vwf,Lgals3,Fcgr3	Itgb2,Ctss,Ctsz,Vsir,Ctsl,Abcg1,Fcgr1,Tyrobp,Itgax,Plvap,Clec12a,Sdc3,Fcgr4,Fcer1g,Adgre1,Adam8,Nfam1,Slamf7,Vwf,Lgals3,Fcgr3
GO:0005764	lysosome	14	422	8.520000000000001e-07	Hck,Ctss,Ctsz,Lgmn,Gpr137b,Ctsl,Slc15a3,Gusb,Slc11a1,Atp6v0d2,Adam8,Cd68,Laptm5,Unc93b1	Hck,Ctss,Ctsz,Lgmn,Gpr137b,Ctsl,Slc15a3,Gusb,Slc11a1,Atp6v0d2,Adam8,Cd68,Laptm5,Unc93b1
GO:0098552	side of membrane	15	514	1.04e-06	Hck,Stac2,Vsir,Ctsl,Abcg1,Fcgr1,Fgr,Itgax,Fcgr4,Fcer1g,Emr1,Slamf7,Vwf,Lgals3,Fcgr3	Hck,Stac2,Vsir,Ctsl,Abcg1,Fcgr1,Fgr,Itgax,Fcgr4,Fcer1g,Adgre1,Slamf7,Vwf,Lgals3,Fcgr3
GO:0005773	vacuole	15	519	1.06e-06	Hck,Ctss,Ctsz,Lgmn,Gpr137b,Ctsl,Slc15a3,Gusb,Slc11a1,Atp6v0d2,Adam8,Cd68,Laptm5,Unc93b1,Entpd4	Hck,Ctss,Ctsz,Lgmn,Gpr137b,Ctsl,Slc15a3,Gusb,Slc11a1,Atp6v0d2,Adam8,Cd68,Laptm5,Unc93b1,Entpd4
GO:0009897	external side of plasma membrane	12	308	1.08e-06	Vsir,Ctsl,Abcg1,Fcgr1,Itgax,Fcgr4,Fcer1g,Emr1,Slamf7,Vwf,Lgals3,Fcgr3	Vsir,Ctsl,Abcg1,Fcgr1,Itgax,Fcgr4,Fcer1g,Adgre1,Slamf7,Vwf,Lgals3,Fcgr3
GO:0005576	extracellular region	24	2044	0.00082	Cfp,Mmp12,Ceacam16,Ctss,Cd5l,Ctsz,Cxcl16,Ccl6,Ccl9,Lgmn,Ctsl,Trem2,Gusb,Siglec1,C1qc,C1qb,C1qa,Lcn2,Pltp,Cemip,Lyz2,Il18bp,Vwf,Lgals3	Cfp,Mmp12,Ceacam16,Ctss,Cd5l,Ctsz,Cxcl16,Ccl6,Ccl9,Lgmn,Ctsl,Trem2,Gusb,Siglec1,C1qc,C1qb,C1qa,Lcn2,Pltp,Cemip,Lyz2,Il18bp,Vwf,Lgals3
