#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005488	binding	290	10884	5.970000000000001e-11	Itgb2,Kcnn3,Col1a1,Folh1,Ace,Spi1,Tbxas1,Hck,Man1a,Irf5,Clec11a,Cd33,Cd44,Nid1,Actn3,Saa3,Lrrk1,Aldh1a3,Cybb,Pcolce2,Ctsk,Ncf1,Lbp,Celsr1,Cd34,Stac2,C1qtnf1,Igfbp4,Rab11fip4,Cxcl16,Tnfaip3,Enpp3,Ntn4,Vsir,Egfr,Fgf18,Gfpt2,Jade2,Efemp1,Abca8b,Cygb,Abcc3,Pik3r5,Sptb,Sema4d,Ptch1,Dbn1,Hexb,Galnt15,Cacna2d3,Loxl2,Angpt1,Sdf2l1,Robo1,Adamts5,Runx1,Igfbp6,Smoc2,Abcg1,C2,Zfp521,Csf1r,Padi4,Clec3b,Gria4,Slc11a1,Igfbp5,Gpr39,Cd55,Sele,Fcgr2b,Myoc,Mrc1,Olfm1,Gsn,Entpd2,Fbn1,Lrp4,Siglec1,Cpxm1,Wnt2b,Il6ra,Tlr2,F3,Pdpn,Tnfrsf1b,Hgf,Fgr,Man2b2,Nsg1,Rasgef1b,Antxr2,Col1a2,Pcolce,Ctsc,Tyrobp,Nucb2,Atp2a1,Cpxm2,Was,Plat,Sfrp1,Man2b1,Mmp2,Cotl1,Mmp3,Dixdc1,Itga11,Acsbg1,Nt5e,Nckap1l,Plvap,Abca6,Col16a1,Abca9,Camk1d,H2-DMa,Prex1,Tgfbi,Gdf7,Qpct,Ptprf,Atp13a2,Cpz,Pcdha1,Adamts2,Dtx4,C1qb,Spon1,Cyth4,Bace2,Lrp1,Hpse,Inhbb,Hand2,Dennd2a,Nbl1,Svep1,Nceh1,Stab1,Plcl2,Apobec2,Ptpn13,Fbln2,Vat1,Lpcat2,Dclk1,Ackr2,Snai1,Sned1,Hk3,Zfpm2,Plekha4,Dact2,Nrip1,Ssc5d,Lpar1,Pik3ap1,S1pr2,Itga2,Fbln1,Egflam,Gldn,Adamts12,Trim56,Fzd1,Ugt1a7c,Olfml2a,Socs3,Pltp,Flrt2,Tgfbr2,Gdf6,Car8,Clec12a,C1ra,Adcyap1r1,Cx3cr1,Galnt10,Rab7b,Itgam,Smpd3,C4b,Cd248,Ptafr,Wdr6,Alox5ap,Mfap2,Nrap,Nfatc2,Cdh11,Cand2,Atrnl1,Xpnpep2,Pirb,Ctnnd2,Arnt2,Tlr9,Wbscr17,Icam1,Mtcl1,Emr1,Myo1f,Htra3,Col3a1,Mmp14,Masp1,Fyb,Myoz1,Dnm1,Adamtsl2,Cp,Lyz2,Lama2,Arhgef40,Folr2,Nfasc,Aff3,Cd74,Arrb1,Ccdc80,Abca8a,Clip2,P2rx7,Sirpa,Sema3b,Fmn1,Tnfaip2,Camk2a,Sox4,Dcn,Pik3cd,Ephb2,Csf3r,Hivep3,Itgb4,Cd300a,Arap1,Anpep,Pou2f2,Gas7,Sulf2,C1qtnf3,Cadm3,Dclk3,Cfh,Shisa5,Clec7a,Vwf,Steap3,Epb4.1l3,Kif1a,Naaa,Ugt1a6a,Rab3il1,Nrxn2,Tmsb10,Capg,Ephb6,C1qtnf5,Rasa3,Spock2,Ece2,Syk,Gprin1,Lcp1,Dact1,Ccbe1,Mmrn1,Heg1,Apod,Bicc1,Selp,Reln,Unc93b1,C1s1,Loxl4,Pdgfra,Rnase4,Slit2,Matn2,Gdf10,Naalad2,Shc2,Mybpc2,Glg1,H2-Q6,Prox1,Ryr1,Ccl21c	Itgb2,Kcnn3,Col1a1,Folh1,Ace,Spi1,Tbxas1,Hck,Man1a,Irf5,Clec11a,Cd33,Cd44,Nid1,Actn3,Saa3,Lrrk1,Aldh1a3,Cybb,Pcolce2,Ctsk,Ncf1,Lbp,Celsr1,Cd34,Stac2,C1qtnf1,Igfbp4,Rab11fip4,Cxcl16,Tnfaip3,Enpp3,Ntn4,Vsir,Egfr,Fgf18,Gfpt2,Jade2,Efemp1,Abca8b,Cygb,Abcc3,Pik3r5,Sptb,Sema4d,Ptch1,Dbn1,Hexb,Galnt15,Cacna2d3,Loxl2,Angpt1,Sdf2l1,Robo1,Adamts5,Runx1,Igfbp6,Smoc2,Abcg1,C2,Zfp521,Csf1r,Padi4,Clec3b,Gria4,Slc11a1,Igfbp5,Gpr39,Cd55,Sele,Fcgr2b,Myoc,Mrc1,Olfm1,Gsn,Entpd2,Fbn1,Lrp4,Siglec1,Cpxm1,Wnt2b,Il6ra,Tlr2,F3,Pdpn,Tnfrsf1b,Hgf,Fgr,Man2b2,Nsg1,Rasgef1b,Antxr2,Col1a2,Pcolce,Ctsc,Tyrobp,Nucb2,Atp2a1,Cpxm2,Was,Plat,Sfrp1,Man2b1,Mmp2,Cotl1,Mmp3,Dixdc1,Itga11,Acsbg1,Nt5e,Nckap1l,Plvap,Abca6,Col16a1,Abca9,Camk1d,H2-DMa,Prex1,Tgfbi,Gdf7,Qpct,Ptprf,Atp13a2,Cpz,Pcdhac2,Adamts2,Dtx4,C1qb,Spon1,Cyth4,Bace2,Lrp1,Hpse,Inhbb,Hand2,Dennd2a,Nbl1,Svep1,Nceh1,Stab1,Plcl2,Apobec2,Ptpn13,Fbln2,Vat1,Lpcat2,Dclk1,Ackr2,Snai1,Sned1,Hk3,Zfpm2,Plekha4,Dact2,Nrip1,Ssc5d,Lpar1,Pik3ap1,S1pr2,Itga2,Fbln1,Egflam,Gldn,Adamts12,Trim56,Fzd1,Ugt1a7c,Olfml2a,Socs3,Pltp,Flrt2,Tgfbr2,Gdf6,Car8,Clec12a,C1ra,Adcyap1r1,Cx3cr1,Galnt10,Rab7b,Itgam,Smpd3,C4b,Cd248,Ptafr,Wdr6,Alox5ap,Mfap2,Nrap,Nfatc2,Cdh11,Cand2,Atrnl1,Xpnpep2,Pirb,Ctnnd2,Arnt2,Tlr9,Wbscr17,Icam1,Mtcl1,Adgre1,Myo1f,Htra3,Col3a1,Mmp14,Masp1,Fyb,Myoz1,Dnm1,Adamtsl2,Cp,Lyz2,Lama2,Arhgef40,Folr2,Nfasc,Aff3,Cd74,Arrb1,Ccdc80,Abca8a,Clip2,P2rx7,Sirpa,Sema3b,Fmn1,Tnfaip2,Camk2a,Sox4,Dcn,Pik3cd,Ephb2,Csf3r,Hivep3,Itgb4,Cd300a,Arap1,Anpep,Pou2f2,Gas7,Sulf2,C1qtnf3,Cadm3,Dclk3,Cfh,Shisa5,Clec7a,Vwf,Steap3,Epb41l3,Kif1a,Naaa,Ugt1a6a,Rab3il1,Nrxn2,Tmsb10,Capg,Ephb6,C1qtnf5,Rasa3,Spock2,Ece2,Syk,Gprin1,Lcp1,Dact1,Ccbe1,Mmrn1,Heg1,Apod,Bicc1,Selp,Reln,Unc93b1,C1s1,Loxl4,Pdgfra,Rnase4,Slit2,Matn2,Gdf10,Naalad2,Shc2,Mybpc2,Glg1,H2-Q8,Prox1,Ryr1,Ccl21c
GO:0005509	calcium ion binding	43	594	3.71e-10	Man1a,Nid1,Actn3,Celsr1,Rab11fip4,Enpp3,Efemp1,Loxl2,Runx1,Smoc2,Padi4,Clec3b,Sele,Gsn,Fbn1,Lrp4,Nucb2,Atp2a1,Pcdha1,Lrp1,Svep1,Stab1,Fbln2,Lpcat2,Sned1,Fbln1,Egflam,C1ra,Cd248,Cdh11,Emr1,Masp1,Sulf2,Spock2,Lcp1,Ccbe1,Mmrn1,Heg1,Selp,C1s1,Slit2,Matn2,Ryr1	Man1a,Nid1,Actn3,Celsr1,Rab11fip4,Enpp3,Efemp1,Loxl2,Runx1,Smoc2,Padi4,Clec3b,Sele,Gsn,Fbn1,Lrp4,Nucb2,Atp2a1,Pcdhac2,Lrp1,Svep1,Stab1,Fbln2,Lpcat2,Sned1,Fbln1,Egflam,C1ra,Cd248,Cdh11,Adgre1,Masp1,Sulf2,Spock2,Lcp1,Ccbe1,Mmrn1,Heg1,Selp,C1s1,Slit2,Matn2,Ryr1
GO:0005515	protein binding	194	6456	1.62e-09	Itgb2,Kcnn3,Col1a1,Ace,Spi1,Hck,Irf5,Clec11a,Cd44,Nid1,Actn3,Saa3,Lrrk1,Aldh1a3,Cybb,Ctsk,Ncf1,Lbp,Celsr1,Cd34,Igfbp4,Rab11fip4,Cxcl16,Tnfaip3,Ntn4,Vsir,Egfr,Fgf18,Efemp1,Sptb,Sema4d,Ptch1,Dbn1,Hexb,Angpt1,Sdf2l1,Robo1,Runx1,Igfbp6,Abcg1,Zfp521,Csf1r,Padi4,Clec3b,Gria4,Slc11a1,Igfbp5,Sele,Myoc,Gsn,Entpd2,Fbn1,Lrp4,Wnt2b,Il6ra,Tlr2,F3,Pdpn,Tnfrsf1b,Hgf,Fgr,Nsg1,Rasgef1b,Col1a2,Ctsc,Tyrobp,Nucb2,Atp2a1,Was,Plat,Sfrp1,Mmp2,Cotl1,Dixdc1,Plvap,Col16a1,Camk1d,Prex1,Tgfbi,Gdf7,Ptprf,Pcdha1,C1qb,Cyth4,Lrp1,Hpse,Inhbb,Hand2,Dennd2a,Nbl1,Plcl2,Apobec2,Ptpn13,Ackr2,Snai1,Hk3,Zfpm2,Dact2,Nrip1,Ssc5d,Lpar1,Pik3ap1,S1pr2,Itga2,Fbln1,Gldn,Fzd1,Ugt1a7c,Olfml2a,Socs3,Flrt2,Tgfbr2,Gdf6,Clec12a,Adcyap1r1,Cx3cr1,Itgam,C4b,Ptafr,Wdr6,Alox5ap,Mfap2,Nrap,Nfatc2,Cand2,Pirb,Ctnnd2,Arnt2,Tlr9,Icam1,Mtcl1,Myo1f,Htra3,Col3a1,Mmp14,Masp1,Fyb,Myoz1,Dnm1,Cp,Lyz2,Lama2,Arhgef40,Nfasc,Cd74,Arrb1,Ccdc80,Clip2,Sirpa,Sema3b,Fmn1,Tnfaip2,Camk2a,Sox4,Dcn,Ephb2,Csf3r,Itgb4,Arap1,Pou2f2,Gas7,C1qtnf3,Cadm3,Cfh,Shisa5,Vwf,Steap3,Epb4.1l3,Kif1a,Naaa,Ugt1a6a,Rab3il1,Tmsb10,Capg,C1qtnf5,Syk,Gprin1,Lcp1,Dact1,Ccbe1,Selp,Reln,Unc93b1,C1s1,Pdgfra,Slit2,Gdf10,Shc2,Mybpc2,Glg1,H2-Q6,Prox1,Ryr1,Ccl21c	Itgb2,Kcnn3,Col1a1,Ace,Spi1,Hck,Irf5,Clec11a,Cd44,Nid1,Actn3,Saa3,Lrrk1,Aldh1a3,Cybb,Ctsk,Ncf1,Lbp,Celsr1,Cd34,Igfbp4,Rab11fip4,Cxcl16,Tnfaip3,Ntn4,Vsir,Egfr,Fgf18,Efemp1,Sptb,Sema4d,Ptch1,Dbn1,Hexb,Angpt1,Sdf2l1,Robo1,Runx1,Igfbp6,Abcg1,Zfp521,Csf1r,Padi4,Clec3b,Gria4,Slc11a1,Igfbp5,Sele,Myoc,Gsn,Entpd2,Fbn1,Lrp4,Wnt2b,Il6ra,Tlr2,F3,Pdpn,Tnfrsf1b,Hgf,Fgr,Nsg1,Rasgef1b,Col1a2,Ctsc,Tyrobp,Nucb2,Atp2a1,Was,Plat,Sfrp1,Mmp2,Cotl1,Dixdc1,Plvap,Col16a1,Camk1d,Prex1,Tgfbi,Gdf7,Ptprf,Pcdhac2,C1qb,Cyth4,Lrp1,Hpse,Inhbb,Hand2,Dennd2a,Nbl1,Plcl2,Apobec2,Ptpn13,Ackr2,Snai1,Hk3,Zfpm2,Dact2,Nrip1,Ssc5d,Lpar1,Pik3ap1,S1pr2,Itga2,Fbln1,Gldn,Fzd1,Ugt1a7c,Olfml2a,Socs3,Flrt2,Tgfbr2,Gdf6,Clec12a,Adcyap1r1,Cx3cr1,Itgam,C4b,Ptafr,Wdr6,Alox5ap,Mfap2,Nrap,Nfatc2,Cand2,Pirb,Ctnnd2,Arnt2,Tlr9,Icam1,Mtcl1,Myo1f,Htra3,Col3a1,Mmp14,Masp1,Fyb,Myoz1,Dnm1,Cp,Lyz2,Lama2,Arhgef40,Nfasc,Cd74,Arrb1,Ccdc80,Clip2,Sirpa,Sema3b,Fmn1,Tnfaip2,Camk2a,Sox4,Dcn,Ephb2,Csf3r,Itgb4,Arap1,Pou2f2,Gas7,C1qtnf3,Cadm3,Cfh,Shisa5,Vwf,Steap3,Epb41l3,Kif1a,Naaa,Ugt1a6a,Rab3il1,Tmsb10,Capg,C1qtnf5,Syk,Gprin1,Lcp1,Dact1,Ccbe1,Selp,Reln,Unc93b1,C1s1,Pdgfra,Slit2,Gdf10,Shc2,Mybpc2,Glg1,H2-Q8,Prox1,Ryr1,Ccl21c
GO:0005102	signaling receptor binding	70	1515	9.04e-09	Ace,Hck,Clec11a,Cd44,Saa3,Lbp,Cxcl16,Egfr,Fgf18,Efemp1,Sema4d,Ptch1,Angpt1,Myoc,Fbn1,Lrp4,Wnt2b,Il6ra,Tlr2,Pdpn,Hgf,Fgr,Nsg1,Tyrobp,Nucb2,Plat,Sfrp1,Col16a1,Tgfbi,Gdf7,Ptprf,Inhbb,Nbl1,Plcl2,Nrip1,S1pr2,Itga2,Fbln1,Fzd1,Flrt2,Tgfbr2,Gdf6,Arnt2,Tlr9,Icam1,Col3a1,Mmp14,Fyb,Dnm1,Lama2,Cd74,Arrb1,Sema3b,Camk2a,Ephb2,Itgb4,Arap1,Cadm3,Vwf,Syk,Lcp1,Reln,Unc93b1,Pdgfra,Slit2,Gdf10,Shc2,H2-Q6,Prox1,Ccl21c	Ace,Hck,Clec11a,Cd44,Saa3,Lbp,Cxcl16,Egfr,Fgf18,Efemp1,Sema4d,Ptch1,Angpt1,Myoc,Fbn1,Lrp4,Wnt2b,Il6ra,Tlr2,Pdpn,Hgf,Fgr,Nsg1,Tyrobp,Nucb2,Plat,Sfrp1,Col16a1,Tgfbi,Gdf7,Ptprf,Inhbb,Nbl1,Plcl2,Nrip1,S1pr2,Itga2,Fbln1,Fzd1,Flrt2,Tgfbr2,Gdf6,Arnt2,Tlr9,Icam1,Col3a1,Mmp14,Fyb,Dnm1,Lama2,Cd74,Arrb1,Sema3b,Camk2a,Ephb2,Itgb4,Arap1,Cadm3,Vwf,Syk,Lcp1,Reln,Unc93b1,Pdgfra,Slit2,Gdf10,Shc2,H2-Q8,Prox1,Ccl21c
GO:0004888	transmembrane signaling receptor activity	49	863	1.3600000000000001e-08	Itgb2,Plxna3,Celsr1,Egfr,Efemp1,Sema4d,Ptch1,Robo1,Csf1r,Gria4,Gpr39,Sele,Fcgr2b,Mrc1,Lrp4,Il6ra,F3,Tnfrsf1b,Sfrp1,Itga11,Cmklr1,Ptprf,Ackr2,Plxnb2,Lpar1,S1pr2,Itga2,Fzd1,Gpr133,Tgfbr2,Adcyap1r1,Cx3cr1,Ptafr,Tlr9,Emr1,Lpar5,Csf2rb2,Cd74,P2rx7,Gpr153,Ephb2,Csf3r,Nfam1,Ephb6,Plxna4,Ptgir,Gpr35,Pdgfra,Plxna1	Itgb2,Plxna3,Celsr1,Egfr,Efemp1,Sema4d,Ptch1,Robo1,Csf1r,Gria4,Gpr39,Sele,Fcgr2b,Mrc1,Lrp4,Il6ra,F3,Tnfrsf1b,Sfrp1,Itga11,Cmklr1,Ptprf,Ackr2,Plxnb2,Lpar1,S1pr2,Itga2,Fzd1,Adgrd1,Tgfbr2,Adcyap1r1,Cx3cr1,Ptafr,Tlr9,Adgre1,Lpar5,Csf2rb2,Cd74,P2rx7,Gpr153,Ephb2,Csf3r,Nfam1,Ephb6,Plxna4,Ptgir,Gpr35,Pdgfra,Plxna1
GO:0005539	glycosaminoglycan binding	21	184	6.79e-08	Cd44,Pcolce2,Ptch1,Adamts5,Smoc2,Clec3b,Fbn1,Tlr2,Pcolce,Sfrp1,Ptprf,Stab1,Egflam,Tgfbr2,Itgam,Ccdc80,Dcn,Cfh,Spock2,Selp,Slit2	Cd44,Pcolce2,Ptch1,Adamts5,Smoc2,Clec3b,Fbn1,Tlr2,Pcolce,Sfrp1,Ptprf,Stab1,Egflam,Tgfbr2,Itgam,Ccdc80,Dcn,Cfh,Spock2,Selp,Slit2
GO:0038023	signaling receptor activity	52	1020	9.359999999999999e-08	Itgb2,Plxna3,Celsr1,Egfr,Efemp1,Sema4d,Ptch1,Robo1,Csf1r,Gria4,Gpr39,Sele,Fcgr2b,Mrc1,Lrp4,Il6ra,Tlr2,F3,Tnfrsf1b,Antxr2,Sfrp1,Itga11,Cmklr1,Ptprf,Ackr2,Plxnb2,Lpar1,S1pr2,Itga2,Fzd1,Gpr133,Tgfbr2,Adcyap1r1,Cx3cr1,Ptafr,Tlr9,Emr1,Lpar5,Csf2rb2,Cd74,P2rx7,Gpr153,Ephb2,Csf3r,Cd300a,Nfam1,Ephb6,Plxna4,Ptgir,Gpr35,Pdgfra,Plxna1	Itgb2,Plxna3,Celsr1,Egfr,Efemp1,Sema4d,Ptch1,Robo1,Csf1r,Gria4,Gpr39,Sele,Fcgr2b,Mrc1,Lrp4,Il6ra,Tlr2,F3,Tnfrsf1b,Antxr2,Sfrp1,Itga11,Cmklr1,Ptprf,Ackr2,Plxnb2,Lpar1,S1pr2,Itga2,Fzd1,Adgrd1,Tgfbr2,Adcyap1r1,Cx3cr1,Ptafr,Tlr9,Adgre1,Lpar5,Csf2rb2,Cd74,P2rx7,Gpr153,Ephb2,Csf3r,Cd300a,Nfam1,Ephb6,Plxna4,Ptgir,Gpr35,Pdgfra,Plxna1
GO:0050840	extracellular matrix binding	12	56	5.31e-07	Nid1,Ntn4,Adamts5,Tgfbi,Fbln2,Ssc5d,Itga2,Olfml2a,Cd248,Dcn,Spock2,Slit2	Nid1,Ntn4,Adamts5,Tgfbi,Fbln2,Ssc5d,Itga2,Olfml2a,Cd248,Dcn,Spock2,Slit2
GO:0043167	ion binding	156	5302	1.32e-06	Itgb2,Col1a1,Folh1,Ace,Tbxas1,Hck,Man1a,Cd44,Nid1,Actn3,Lrrk1,Aldh1a3,Cybb,Pcolce2,Ncf1,Celsr1,Cd34,Stac2,Rab11fip4,Tnfaip3,Enpp3,Egfr,Jade2,Efemp1,Abca8b,Cygb,Abcc3,Ptch1,Galnt15,Cacna2d3,Loxl2,Adamts5,Runx1,Smoc2,Abcg1,C2,Zfp521,Csf1r,Padi4,Clec3b,Gpr39,Sele,Myoc,Gsn,Entpd2,Fbn1,Lrp4,Cpxm1,F3,Fgr,Man2b2,Antxr2,Col1a2,Pcolce,Ctsc,Nucb2,Atp2a1,Cpxm2,Sfrp1,Man2b1,Mmp2,Mmp3,Itga11,Acsbg1,Nt5e,Abca6,Abca9,Camk1d,Prex1,Qpct,Ptprf,Atp13a2,Cpz,Pcdha1,Adamts2,Dtx4,Spon1,Lrp1,Svep1,Nceh1,Stab1,Plcl2,Apobec2,Fbln2,Vat1,Lpcat2,Dclk1,Snai1,Sned1,Hk3,Zfpm2,Plekha4,Lpar1,Itga2,Fbln1,Egflam,Adamts12,Trim56,Pltp,Tgfbr2,Car8,C1ra,Galnt10,Rab7b,Itgam,Smpd3,Cd248,Ptafr,Alox5ap,Nrap,Cdh11,Xpnpep2,Wbscr17,Emr1,Myo1f,Col3a1,Mmp14,Masp1,Dnm1,Cp,Folr2,Ccdc80,Abca8a,P2rx7,Camk2a,Pik3cd,Ephb2,Hivep3,Cd300a,Arap1,Anpep,Sulf2,Dclk3,Cfh,Clec7a,Steap3,Kif1a,Nrxn2,Ephb6,Rasa3,Spock2,Ece2,Syk,Lcp1,Ccbe1,Mmrn1,Heg1,Selp,Reln,C1s1,Loxl4,Pdgfra,Slit2,Matn2,Naalad2,Ryr1	Itgb2,Col1a1,Folh1,Ace,Tbxas1,Hck,Man1a,Cd44,Nid1,Actn3,Lrrk1,Aldh1a3,Cybb,Pcolce2,Ncf1,Celsr1,Cd34,Stac2,Rab11fip4,Tnfaip3,Enpp3,Egfr,Jade2,Efemp1,Abca8b,Cygb,Abcc3,Ptch1,Galnt15,Cacna2d3,Loxl2,Adamts5,Runx1,Smoc2,Abcg1,C2,Zfp521,Csf1r,Padi4,Clec3b,Gpr39,Sele,Myoc,Gsn,Entpd2,Fbn1,Lrp4,Cpxm1,F3,Fgr,Man2b2,Antxr2,Col1a2,Pcolce,Ctsc,Nucb2,Atp2a1,Cpxm2,Sfrp1,Man2b1,Mmp2,Mmp3,Itga11,Acsbg1,Nt5e,Abca6,Abca9,Camk1d,Prex1,Qpct,Ptprf,Atp13a2,Cpz,Pcdhac2,Adamts2,Dtx4,Spon1,Lrp1,Svep1,Nceh1,Stab1,Plcl2,Apobec2,Fbln2,Vat1,Lpcat2,Dclk1,Snai1,Sned1,Hk3,Zfpm2,Plekha4,Lpar1,Itga2,Fbln1,Egflam,Adamts12,Trim56,Pltp,Tgfbr2,Car8,C1ra,Galnt10,Rab7b,Itgam,Smpd3,Cd248,Ptafr,Alox5ap,Nrap,Cdh11,Xpnpep2,Wbscr17,Adgre1,Myo1f,Col3a1,Mmp14,Masp1,Dnm1,Cp,Folr2,Ccdc80,Abca8a,P2rx7,Camk2a,Pik3cd,Ephb2,Hivep3,Cd300a,Arap1,Anpep,Sulf2,Dclk3,Cfh,Clec7a,Steap3,Kif1a,Nrxn2,Ephb6,Rasa3,Spock2,Ece2,Syk,Lcp1,Ccbe1,Mmrn1,Heg1,Selp,Reln,C1s1,Loxl4,Pdgfra,Slit2,Matn2,Naalad2,Ryr1
GO:0038024	cargo receptor activity	13	79	1.66e-06	Cxcl16,Enpp3,Scara5,Loxl2,Mrc1,Prss12,Lrp1,Stab1,Ackr2,Ssc5d,Folr2,Arrb1,Loxl4	Cxcl16,Enpp3,Scara5,Loxl2,Mrc1,Prss12,Lrp1,Stab1,Ackr2,Ssc5d,Folr2,Arrb1,Loxl4
