#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu05150	Staphylococcus aureus infection	15	50	2.7799999999999997e-10	Itgb2,Cfb,C2,C1qc,H2-DMa,C1qb,C1ra,Itgam,C4b,Ptafr,Icam1,Masp1,Cfh,Selp,C1s1	Itgb2,Cfb,C2,C1qc,H2-DMa,C1qb,C1ra,Itgam,C4b,Ptafr,Icam1,Masp1,Cfh,Selp,C1s1
mmu04610	Complement and coagulation cascades	16	88	1.69e-08	Itgb2,Serping1,Cfb,C2,Cd55,F3,Plat,C1qc,C1qb,C1ra,Itgam,C4b,Masp1,Cfh,Vwf,C1s1	Itgb2,Serping1,Cfb,C2,Cd55,F3,Plat,C1qc,C1qb,C1ra,Itgam,C4b,Masp1,Cfh,Vwf,C1s1
mmu04151	PI3K-Akt signaling pathway	26	349	1.54e-06	Col1a1,Egfr,Fgf18,Pik3r5,Angpt1,Csf1r,Il6ra,Tlr2,Hgf,Col1a2,Itga11,Lpar1,Pik3ap1,Itga2,Col4a4,Lpar5,Lama2,Col6a6,Pik3cd,Csf3r,Itgb4,Vwf,Syk,Reln,Pdgfra,Col6a5	Col1a1,Egfr,Fgf18,Pik3r5,Angpt1,Csf1r,Il6ra,Tlr2,Hgf,Col1a2,Itga11,Lpar1,Pik3ap1,Itga2,Col4a4,Lpar5,Lama2,Col6a6,Pik3cd,Csf3r,Itgb4,Vwf,Syk,Reln,Pdgfra,Col6a5
mmu04360	Axon guidance	17	174	1.05e-05	Plxna3,Ntn4,Sema4d,Ptch1,Boc,Robo1,Gdf7,Plxnb2,Nfatc2,Sema3b,Camk2a,Pik3cd,Ephb2,Ephb6,Plxna4,Slit2,Plxna1	Plxna3,Ntn4,Sema4d,Ptch1,Boc,Robo1,Gdf7,Plxnb2,Nfatc2,Sema3b,Camk2a,Pik3cd,Ephb2,Ephb6,Plxna4,Slit2,Plxna1
mmu04512	ECM-receptor interaction	12	81	1.05e-05	Col1a1,Cd44,Col1a2,Itga11,Itga2,Col4a4,Lama2,Col6a6,Itgb4,Vwf,Reln,Col6a5	Col1a1,Cd44,Col1a2,Itga11,Itga2,Col4a4,Lama2,Col6a6,Itgb4,Vwf,Reln,Col6a5
mmu04510	Focal adhesion	16	195	0.00013000000000000002	Col1a1,Egfr,Hgf,Col1a2,Itga11,Itga2,Col4a4,Lama2,Col6a6,Pik3cd,Itgb4,Vwf,Reln,Pdgfra,Shc2,Col6a5	Col1a1,Egfr,Hgf,Col1a2,Itga11,Itga2,Col4a4,Lama2,Col6a6,Pik3cd,Itgb4,Vwf,Reln,Pdgfra,Shc2,Col6a5
mmu04640	Hematopoietic cell lineage	11	90	0.00013000000000000002	Cd33,Cd44,Cd34,Csf1r,Cd55,Il6ra,H2-DMa,Itga2,Itgam,Csf3r,Anpep	Cd33,Cd44,Cd34,Csf1r,Cd55,Il6ra,H2-DMa,Itga2,Itgam,Csf3r,Anpep
mmu05205	Proteoglycans in cancer	16	199	0.00013000000000000002	Col1a1,Cd44,Egfr,Ptch1,Wnt2b,Tlr2,Hgf,Col1a2,Mmp2,Hpse,Itga2,Fzd1,Gpc3,Camk2a,Dcn,Pik3cd	Col1a1,Cd44,Egfr,Ptch1,Wnt2b,Tlr2,Hgf,Col1a2,Mmp2,Hpse,Itga2,Fzd1,Gpc3,Camk2a,Dcn,Pik3cd
mmu04514	Cell adhesion molecules (CAMs)	14	158	0.00016	Itgb2,Cd34,Sele,Siglec1,H2-DMa,Ptprf,Itgam,Icam1,Nfasc,Cadm3,Nrxn2,Selp,Glg1,H2-Q6	Itgb2,Cd34,Sele,Siglec1,H2-DMa,Ptprf,Itgam,Icam1,Nfasc,Cadm3,Nrxn2,Selp,Glg1,H2-Q8
mmu05144	Malaria	8	45	0.00016999999999999999	Itgb2,Sele,Tlr2,Hgf,Lrp1,Tlr9,Icam1,Selp	Itgb2,Sele,Tlr2,Hgf,Lrp1,Tlr9,Icam1,Selp
