#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu04610	Complement and coagulation cascades	16	88	8.580000000000001e-12	Itgb2,Serping1,Cfb,C2,Procr,F3,Itgax,Plat,C1qc,C1qb,C3ar1,C1ra,F10,C4b,Cfh,Vwf	Itgb2,Serping1,Cfb,C2,Procr,F3,Itgax,Plat,C1qc,C1qb,C3ar1,C1ra,F10,C4b,Cfh,Vwf
mmu05150	Staphylococcus aureus infection	13	50	2.01e-11	Itgb2,Cfb,C2,C1qc,C1qb,C3ar1,C1ra,C4b,Ptafr,Fcgr4,Icam1,Cfh,Selp	Itgb2,Cfb,C2,C1qc,C1qb,C3ar1,C1ra,C4b,Ptafr,Fcgr4,Icam1,Cfh,Selp
mmu04142	Lysosome	12	123	2.64e-06	Naglu,Sgsh,Galns,Ctsk,Lgmn,Hexb,Gusb,Slc11a1,Man2b1,Ctsh,Cd68,Laptm5	Naglu,Sgsh,Galns,Ctsk,Lgmn,Hexb,Gusb,Slc11a1,Man2b1,Ctsh,Cd68,Laptm5
mmu04933	AGE-RAGE signaling pathway in diabetic complications	11	100	2.64e-06	Col1a1,Cybb,Sele,Vcam1,F3,Col1a2,Mmp2,Tgfbr2,Icam1,Col4a4,Col3a1	Col1a1,Cybb,Sele,Vcam1,F3,Col1a2,Mmp2,Tgfbr2,Icam1,Col4a4,Col3a1
mmu05144	Malaria	8	45	4.71e-06	Itgb2,Sele,Vcam1,Tlr2,Lrp1,Tlr9,Icam1,Selp	Itgb2,Sele,Vcam1,Tlr2,Lrp1,Tlr9,Icam1,Selp
mmu04380	Osteoclast differentiation	11	122	1.01e-05	Spi1,Ctsk,Cyba,Csf1r,Tyrobp,Tgfbr2,Pirb,Fcgr4,Sirpa,Lilrb4,Syk	Spi1,Ctsk,Cyba,Csf1r,Tyrobp,Tgfbr2,Pirb,Fcgr4,Sirpa,Lilrb4a,Syk
mmu00531	Glycosaminoglycan degradation	6	21	1.17e-05	Naglu,Sgsh,Galns,Hexb,Gusb,Hpse	Naglu,Sgsh,Galns,Hexb,Gusb,Hpse
mmu04512	ECM-receptor interaction	9	81	1.8e-05	Col6a1,Col1a1,Cd44,Col1a2,Itga11,Col4a4,Lama2,Itgb4,Vwf	Col6a1,Col1a1,Cd44,Col1a2,Itga11,Col4a4,Lama2,Itgb4,Vwf
mmu05146	Amoebiasis	9	105	0.00011999999999999999	Itgb2,Col1a1,Tlr2,Col1a2,Rab7b,Col4a4,Col3a1,Lama2,Serpinb6b	Itgb2,Col1a1,Tlr2,Col1a2,Rab7b,Col4a4,Col3a1,Lama2,Serpinb6b
mmu04974	Protein digestion and absorption	8	90	0.00027	Col6a1,Col1a1,Col1a2,Col12a1,Col4a4,Col3a1,Col15a1,Col14a1	Col6a1,Col1a1,Col1a2,Col12a1,Col4a4,Col3a1,Col15a1,Col14a1
mmu04151	PI3K-Akt signaling pathway	15	349	0.0003	Col6a1,Col1a1,Pik3r5,Csf1r,Il6ra,Tlr2,Col1a2,Itga11,Pik3ap1,Col4a4,Lama2,Itgb4,Vwf,Syk,Pdgfra	Col6a1,Col1a1,Pik3r5,Csf1r,Il6ra,Tlr2,Col1a2,Itga11,Pik3ap1,Col4a4,Lama2,Itgb4,Vwf,Syk,Pdgfra
mmu05133	Pertussis	7	74	0.00053	Itgb2,Serping1,C2,C1qc,C1qb,C1ra,C4b	Itgb2,Serping1,C2,C1qc,C1qb,C1ra,C4b
mmu04510	Focal adhesion	9	195	0.0072	Col6a1,Col1a1,Col1a2,Itga11,Col4a4,Lama2,Itgb4,Vwf,Pdgfra	Col6a1,Col1a1,Col1a2,Itga11,Col4a4,Lama2,Itgb4,Vwf,Pdgfra
mmu04611	Platelet activation	7	122	0.0077	Col1a1,Tbxas1,Pik3r5,Col1a2,Col3a1,Vwf,Syk	Col1a1,Tbxas1,Pik3r5,Col1a2,Col3a1,Vwf,Syk
mmu05143	African trypanosomiasis	4	31	0.0077	Sele,Vcam1,Tlr9,Icam1	Sele,Vcam1,Tlr9,Icam1
