#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0002682	regulation of immune system process	61	1165	1.38e-19	Itgb2,Ace,Spi1,Cd44,Lbp,Cyba,Enpp3,Lgmn,Runx1,Serping1,Cfb,C2,Csf1r,Anxa1,Slc11a1,Sele,Fcgr2b,Gsn,Fbn1,Vcam1,Tlr2,Fgr,Cxcl1,Tyrobp,Sfrp1,Mmp2,Ctsh,Nckap1l,Plvap,Cmklr1,C1qc,C1qb,Tlr13,Nbl1,C3ar1,Pik3ap1,Tgfbr2,C1ra,Rab7b,Slamf8,C4b,Ptafr,Cd300lb,Fcgr4,Tlr9,Icam1,Myo1f,Col3a1,Tmem176a,Ccl19,Cd300a,Nfam1,Slamf7,Cfh,Syk,Lgals3,Cd84,Selp,Unc93b1,Tmem176b,Ccl21c	Itgb2,Ace,Spi1,Cd44,Lbp,Cyba,Enpp3,Lgmn,Runx1,Serping1,Cfb,C2,Csf1r,Anxa1,Slc11a1,Sele,Fcgr2b,Gsn,Fbn1,Vcam1,Tlr2,Fgr,Cxcl1,Tyrobp,Sfrp1,Mmp2,Ctsh,Nckap1l,Plvap,Cmklr1,C1qc,C1qb,Tlr13,Nbl1,C3ar1,Pik3ap1,Tgfbr2,C1ra,Rab7b,Slamf8,C4b,Ptafr,Cd300lb,Fcgr4,Tlr9,Icam1,Myo1f,Col3a1,Tmem176a,Ccl19,Cd300a,Nfam1,Slamf7,Cfh,Syk,Lgals3,Cd84,Selp,Unc93b1,Tmem176b,Ccl21c
GO:0051239	regulation of multicellular organismal process	94	2858	8.790000000000001e-19	Itgb2,Col1a1,Ace,Spi1,Sfrp4,Tbxas1,Cd44,Wisp1,Cybb,Lbp,C1qtnf1,Cyba,Wnt9b,Ntn4,Jade2,Lgmn,Dbn1,Loxl2,Runx1,Serping1,Smoc2,Csf1r,Anxa1,Slc11a1,Gpr39,Fcgr2b,Fbn1,Lrp4,Procr,Il6ra,Tlr2,F3,Pdpn,Tnfrsf1b,Fgr,Cxcl1,Hpgds,Tyrobp,Plat,Sfrp1,Mmp2,Ctsh,Nckap1l,Cmklr1,C1qc,Igsf10,Gdf7,Lrp1,Hpse,Nbl1,Stab1,C3ar1,Ssc5d,S1pr2,Fbln1,Flrt2,Tgfbr2,Gdf6,Gpc3,Rab7b,Slamf8,Ly9,Tmem119,Ptafr,Fcgr4,Tlr9,Icam1,Col3a1,AF251705,Lama2,Cd109,Scn1b,Tmem176a,Ccl19,Dcn,Ephb2,Anpep,Sulf2,Nfam1,Col14a1,Pi16,Syk,Lgals3,Ccbe1,Heg1,Cd84,Selp,Unc93b1,Gpr35,Pdgfra,Tmem176b,Glg1,Ccl21c,Sulf1	Itgb2,Col1a1,Ace,Spi1,Sfrp4,Tbxas1,Cd44,Wisp1,Cybb,Lbp,C1qtnf1,Cyba,Wnt9b,Ntn4,Jade2,Lgmn,Dbn1,Loxl2,Runx1,Serping1,Smoc2,Csf1r,Anxa1,Slc11a1,Gpr39,Fcgr2b,Fbn1,Lrp4,Procr,Il6ra,Tlr2,F3,Pdpn,Tnfrsf1b,Fgr,Cxcl1,Hpgds,Tyrobp,Plat,Sfrp1,Mmp2,Ctsh,Nckap1l,Cmklr1,C1qc,Igsf10,Gdf7,Lrp1,Hpse,Nbl1,Stab1,C3ar1,Ssc5d,S1pr2,Fbln1,Flrt2,Tgfbr2,Gdf6,Gpc3,Rab7b,Slamf8,Ly9,Tmem119,Ptafr,Fcgr4,Tlr9,Icam1,Col3a1,Cd300c2,Lama2,Cd109,Scn1b,Tmem176a,Ccl19,Dcn,Ephb2,Anpep,Sulf2,Nfam1,Col14a1,Pi16,Syk,Lgals3,Ccbe1,Heg1,Cd84,Selp,Unc93b1,Gpr35,Pdgfra,Tmem176b,Glg1,Ccl21c,Sulf1
GO:0002376	immune system process	71	1703	1.65e-18	Itgb2,Ace,Spi1,Hck,Cybb,Lbp,Cyba,Enpp3,Runx1,Serping1,Cfb,C2,Csf1r,Anxa1,Ifitm3,Slc11a1,Sele,Fcgr2b,Gsn,Vcam1,Tlr2,Pdpn,Tnfrsf1b,Fgr,Cxcl1,Tyrobp,Itgax,Sfrp1,Ctsh,Nckap1l,C1qc,C1qb,Tlr13,C3ar1,Ssc5d,Pik3ap1,Tgfbr2,C1ra,Gpc3,Rab7b,Slamf8,Ly9,C4b,Cd248,Ptafr,Cd300lb,Pirb,Fcgr4,Tlr9,Icam1,Myo1f,AF251705,Cd109,Sirpa,Ccl19,Lilrb4,Cd300a,Nfam1,Slamf7,Cfh,Clec7a,Capg,Syk,Lgals3,Lcp1,Cd84,Selp,Unc93b1,Gpr35,Pdgfra,Ccl21c	Itgb2,Ace,Spi1,Hck,Cybb,Lbp,Cyba,Enpp3,Runx1,Serping1,Cfb,C2,Csf1r,Anxa1,Ifitm3,Slc11a1,Sele,Fcgr2b,Gsn,Vcam1,Tlr2,Pdpn,Tnfrsf1b,Fgr,Cxcl1,Tyrobp,Itgax,Sfrp1,Ctsh,Nckap1l,C1qc,C1qb,Tlr13,C3ar1,Ssc5d,Pik3ap1,Tgfbr2,C1ra,Gpc3,Rab7b,Slamf8,Ly9,C4b,Cd248,Ptafr,Cd300lb,Pirb,Fcgr4,Tlr9,Icam1,Myo1f,Cd300c2,Cd109,Sirpa,Ccl19,Lilrb4a,Cd300a,Nfam1,Slamf7,Cfh,Clec7a,Capg,Syk,Lgals3,Lcp1,Cd84,Selp,Unc93b1,Gpr35,Pdgfra,Ccl21c
GO:0009605	response to external stimulus	75	2021	4.67e-17	Itgb2,Col1a1,Ace,Hck,Aldh1a3,Cybb,Lbp,Cyba,Wnt9b,Aldh3a1,Dbn1,Serping1,Cfb,C2,Csf1r,Anxa1,Ifitm3,Slc11a1,Gpr39,Fcgr2b,Gsn,Vcam1,Tlr2,Tnfrsf1b,Fgr,Cxcl1,Nucb2,Itgax,Sfrp1,Mmp2,Cotl1,Nckap1l,Cmklr1,C1qc,Gdf7,C1qb,Tlr13,Stab1,C3ar1,Ackr2,Ssc5d,Flrt2,Tgfbr2,C1ra,Rab7b,Slamf8,Ly9,C4b,Ptafr,Cd300lb,Plec,Fcgr4,Tlr9,Myo1f,Col3a1,Lyz2,Lama2,Folr2,Scn1b,Ccdc80,Ccl19,Dcn,Ephb2,Slamf7,Cfh,Clec7a,Capg,Syk,Lgals3,Cd84,Unc93b1,Gpr35,Pdgfra,Matn2,Ccl21c	Itgb2,Col1a1,Ace,Hck,Aldh1a3,Cybb,Lbp,Cyba,Wnt9b,Aldh3a1,Dbn1,Serping1,Cfb,C2,Csf1r,Anxa1,Ifitm3,Slc11a1,Gpr39,Fcgr2b,Gsn,Vcam1,Tlr2,Tnfrsf1b,Fgr,Cxcl1,Nucb2,Itgax,Sfrp1,Mmp2,Cotl1,Nckap1l,Cmklr1,C1qc,Gdf7,C1qb,Tlr13,Stab1,C3ar1,Ackr2,Ssc5d,Flrt2,Tgfbr2,C1ra,Rab7b,Slamf8,Ly9,C4b,Ptafr,Cd300lb,Plec,Fcgr4,Tlr9,Myo1f,Col3a1,Lyz2,Lama2,Folr2,Scn1b,Ccdc80,Ccl19,Dcn,Ephb2,Slamf7,Cfh,Clec7a,Capg,Syk,Lgals3,Cd84,Unc93b1,Gpr35,Pdgfra,Matn2,Ccl21c
GO:0006952	defense response	54	1079	9.93e-17	Itgb2,Hck,Cd44,Itih4,Cybb,Lbp,Cyba,Igfbp4,Serping1,Cfb,C2,Csf1r,Anxa1,Ifitm3,Slc11a1,Sele,Fcgr2b,Gsn,Tlr2,F3,Tnfrsf1b,Fgr,Cxcl1,Itgax,Cotl1,C1qc,C1qb,Tlr13,Stab1,C3ar1,Ackr2,Ssc5d,C1ra,Rab7b,Slamf8,Ly9,C4b,Ptafr,Tlr9,Icam1,Myo1f,Lyz2,Ccl19,Cd300a,Slamf7,Cfh,Clec7a,Capg,Syk,Lgals3,Cd84,Selp,Unc93b1,Ccl21c	Itgb2,Hck,Cd44,Itih4,Cybb,Lbp,Cyba,Igfbp4,Serping1,Cfb,C2,Csf1r,Anxa1,Ifitm3,Slc11a1,Sele,Fcgr2b,Gsn,Tlr2,F3,Tnfrsf1b,Fgr,Cxcl1,Itgax,Cotl1,C1qc,C1qb,Tlr13,Stab1,C3ar1,Ackr2,Ssc5d,C1ra,Rab7b,Slamf8,Ly9,C4b,Ptafr,Tlr9,Icam1,Myo1f,Lyz2,Ccl19,Cd300a,Slamf7,Cfh,Clec7a,Capg,Syk,Lgals3,Cd84,Selp,Unc93b1,Ccl21c
GO:0002684	positive regulation of immune system process	45	771	5.84e-16	Itgb2,Cd44,Lbp,Cyba,Enpp3,Lgmn,Runx1,Serping1,Cfb,C2,Csf1r,Anxa1,Slc11a1,Sele,Fcgr2b,Vcam1,Tlr2,Fgr,Cxcl1,Mmp2,Nckap1l,Plvap,Cmklr1,C1qc,C1qb,Tlr13,C3ar1,Pik3ap1,Tgfbr2,C1ra,Rab7b,C4b,Ptafr,Cd300lb,Tlr9,Icam1,Ccl19,Cd300a,Nfam1,Cfh,Syk,Lgals3,Cd84,Selp,Unc93b1	Itgb2,Cd44,Lbp,Cyba,Enpp3,Lgmn,Runx1,Serping1,Cfb,C2,Csf1r,Anxa1,Slc11a1,Sele,Fcgr2b,Vcam1,Tlr2,Fgr,Cxcl1,Mmp2,Nckap1l,Plvap,Cmklr1,C1qc,C1qb,Tlr13,C3ar1,Pik3ap1,Tgfbr2,C1ra,Rab7b,C4b,Ptafr,Cd300lb,Tlr9,Icam1,Ccl19,Cd300a,Nfam1,Cfh,Syk,Lgals3,Cd84,Selp,Unc93b1
GO:0048584	positive regulation of response to stimulus	70	1922	1.87e-15	Itgb2,S100a4,Col1a1,Ace,Sfrp4,Cd44,Aldh1a3,Lbp,C1qtnf1,Cyba,Igfbp4,Pik3r5,Lgmn,Dbn1,Runx1,Serping1,Smoc2,Cfb,C2,Csf1r,Anxa1,Slc11a1,Gpr39,Fcgr2b,Gsn,Il6ra,Tlr2,F3,Pdpn,Fgr,Cxcl1,Sfrp1,Mmp2,Ctsh,Nckap1l,Cmklr1,C1qc,Gdf7,C1qb,Tlr13,Hpse,Srpx,C3ar1,Pik3ap1,Tgfbr2,Gdf6,C1ra,Gpc3,F10,C4b,Ptafr,Tlr9,Icam1,Col3a1,Ccl19,Dcn,Ephb2,Sulf2,Nfam1,Cfh,Steap3,Syk,Ccbe1,Cd84,Selp,Unc93b1,Gpr35,Pdgfra,Ccl21c,Sulf1	Itgb2,S100a4,Col1a1,Ace,Sfrp4,Cd44,Aldh1a3,Lbp,C1qtnf1,Cyba,Igfbp4,Pik3r5,Lgmn,Dbn1,Runx1,Serping1,Smoc2,Cfb,C2,Csf1r,Anxa1,Slc11a1,Gpr39,Fcgr2b,Gsn,Il6ra,Tlr2,F3,Pdpn,Fgr,Cxcl1,Sfrp1,Mmp2,Ctsh,Nckap1l,Cmklr1,C1qc,Gdf7,C1qb,Tlr13,Hpse,Srpx,C3ar1,Pik3ap1,Tgfbr2,Gdf6,C1ra,Gpc3,F10,C4b,Ptafr,Tlr9,Icam1,Col3a1,Ccl19,Dcn,Ephb2,Sulf2,Nfam1,Cfh,Steap3,Syk,Ccbe1,Cd84,Selp,Unc93b1,Gpr35,Pdgfra,Ccl21c,Sulf1
GO:0048583	regulation of response to stimulus	98	3552	3.99e-15	Itgb2,S100a4,Col1a1,Ace,Sfrp4,Clec11a,Cd44,Wisp1,Aldh1a3,Lbp,C1qtnf1,Cyba,Igfbp4,Wnt9b,Enpp3,Pik3r5,Lgmn,Dbn1,Runx1,Serping1,Smoc2,Cfb,C2,Csf1r,Anxa1,Slc11a1,Gpr39,Fcgr2b,Gsn,Fbn1,Lrp4,Il6ra,Tlr2,F3,Pdpn,Tnfrsf1b,Fgr,Cxcl1,Nucb2,Sfrp1,Mmp2,Ctsh,Nckap1l,Cmklr1,Cilp,C1qc,Gdf7,C1qb,Tlr13,Lrp1,Hpse,Myof,Nbl1,Srpx,C3ar1,Hk3,Pik3ap1,S1pr2,Fbln1,Flrt2,Tgfbr2,Gdf6,C1ra,Gpc3,Rab7b,Slamf8,F10,C4b,Ptafr,Fcgr4,Tlr9,Icam1,Myo1f,Col3a1,Adamtsl2,Cd109,Ccl19,Dcn,Ephb2,Cd300a,Sulf2,Nfam1,Col14a1,Cfh,Steap3,Pi16,Syk,Lgals3,Ccbe1,Cd84,Bicc1,Selp,Unc93b1,Gpr35,Pdgfra,Glg1,Ccl21c,Sulf1	Itgb2,S100a4,Col1a1,Ace,Sfrp4,Clec11a,Cd44,Wisp1,Aldh1a3,Lbp,C1qtnf1,Cyba,Igfbp4,Wnt9b,Enpp3,Pik3r5,Lgmn,Dbn1,Runx1,Serping1,Smoc2,Cfb,C2,Csf1r,Anxa1,Slc11a1,Gpr39,Fcgr2b,Gsn,Fbn1,Lrp4,Il6ra,Tlr2,F3,Pdpn,Tnfrsf1b,Fgr,Cxcl1,Nucb2,Sfrp1,Mmp2,Ctsh,Nckap1l,Cmklr1,Cilp,C1qc,Gdf7,C1qb,Tlr13,Lrp1,Hpse,Myof,Nbl1,Srpx,C3ar1,Hk3,Pik3ap1,S1pr2,Fbln1,Flrt2,Tgfbr2,Gdf6,C1ra,Gpc3,Rab7b,Slamf8,F10,C4b,Ptafr,Fcgr4,Tlr9,Icam1,Myo1f,Col3a1,Adamtsl2,Cd109,Ccl19,Dcn,Ephb2,Cd300a,Sulf2,Nfam1,Col14a1,Cfh,Steap3,Pi16,Syk,Lgals3,Ccbe1,Cd84,Bicc1,Selp,Unc93b1,Gpr35,Pdgfra,Glg1,Ccl21c,Sulf1
GO:0050896	response to stimulus	142	6616	4.0600000000000005e-15	Itgb2,Col6a1,Col1a1,Ace,Spi1,Sfrp4,Tbxas1,Hck,Cd44,Wisp1,Itih4,Aldh1a3,Cybb,Pcolce2,Lbp,Stac2,Cyba,Igfbp4,Wnt9b,Aldh3a1,Enpp3,Jade2,Abcc3,Pik3r5,Lgmn,Dbn1,Scara5,Loxl2,Runx1,Serping1,Abcg1,Cfb,C2,Csf1r,Anxa1,Ifitm3,Slc11a1,Gpr39,Sele,Fcgr2b,Gsn,Entpd2,Fbn1,Lrp4,Procr,Il6ra,Vcam1,Tlr2,F3,Pdpn,Tnfrsf1b,Fgr,Cxcl1,Col1a2,Pcolce,Tyrobp,Nucb2,Itgax,Plat,Sfrp1,Mmp2,Cotl1,Itga11,Ctsh,Nckap1l,Plvap,Col16a1,Cmklr1,C1qc,Igsf10,Gdf7,C1qb,Tlr13,Lrp1,Hpse,Myof,Nceh1,Stab1,Srpx,C3ar1,Ackr2,Ssc5d,Pik3ap1,S1pr2,Fbln1,Gpr133,Flrt2,Tgfbr2,Gdf6,Car8,C1ra,Rab7b,Slamf8,F10,Ly9,C4b,Ptafr,Cd300lb,Plec,Atrnl1,Pirb,Fcgr4,Tlr9,Icam1,Myo1f,Col3a1,Lyz2,Lama2,Folr2,Aff3,Csf2rb2,Scn1b,Ccdc80,Ccl19,Dcn,Lilrb4,Gpr153,Ephb2,Itgb4,Cd300a,Anpep,Cd68,Sulf2,Nfam1,Slamf7,Ildr2,Cfh,Clec7a,Vwf,Capg,Syk,Lgals3,Lcp1,Laptm5,Cd84,Selp,Unc93b1,Gpr35,Pdgfra,Matn2,Ccl21c,Sulf1	Itgb2,Col6a1,Col1a1,Ace,Spi1,Sfrp4,Tbxas1,Hck,Cd44,Wisp1,Itih4,Aldh1a3,Cybb,Pcolce2,Lbp,Stac2,Cyba,Igfbp4,Wnt9b,Aldh3a1,Enpp3,Jade2,Abcc3,Pik3r5,Lgmn,Dbn1,Scara5,Loxl2,Runx1,Serping1,Abcg1,Cfb,C2,Csf1r,Anxa1,Ifitm3,Slc11a1,Gpr39,Sele,Fcgr2b,Gsn,Entpd2,Fbn1,Lrp4,Procr,Il6ra,Vcam1,Tlr2,F3,Pdpn,Tnfrsf1b,Fgr,Cxcl1,Col1a2,Pcolce,Tyrobp,Nucb2,Itgax,Plat,Sfrp1,Mmp2,Cotl1,Itga11,Ctsh,Nckap1l,Plvap,Col16a1,Cmklr1,C1qc,Igsf10,Gdf7,C1qb,Tlr13,Lrp1,Hpse,Myof,Nceh1,Stab1,Srpx,C3ar1,Ackr2,Ssc5d,Pik3ap1,S1pr2,Fbln1,Adgrd1,Flrt2,Tgfbr2,Gdf6,Car8,C1ra,Rab7b,Slamf8,F10,Ly9,C4b,Ptafr,Cd300lb,Plec,Atrnl1,Pirb,Fcgr4,Tlr9,Icam1,Myo1f,Col3a1,Lyz2,Lama2,Folr2,Aff3,Csf2rb2,Scn1b,Ccdc80,Ccl19,Dcn,Lilrb4a,Gpr153,Ephb2,Itgb4,Cd300a,Anpep,Cd68,Sulf2,Nfam1,Slamf7,Ildr2,Cfh,Clec7a,Vwf,Capg,Syk,Lgals3,Lcp1,Laptm5,Cd84,Selp,Unc93b1,Gpr35,Pdgfra,Matn2,Ccl21c,Sulf1
GO:0048518	positive regulation of biological process	124	5340	7.999999999999999e-15	Itgb2,S100a4,Col1a1,Ace,Spi1,Sfrp4,Tbxas1,Hck,Clec11a,Cd44,Wisp1,Aldh1a3,Cybb,Pcolce2,Lbp,Stac2,C1qtnf1,Cyba,Igfbp4,Aldh3a1,Enpp3,Jade2,Tns3,Pik3r5,Lgmn,Dbn1,Hexb,Loxl2,Runx1,Serping1,Smoc2,Abcg1,Cfb,C2,Csf1r,Anxa1,Clec3b,Slc11a1,Gpr39,Sele,Fcgr2b,Gsn,Fbn1,Lrp4,Il6ra,Vcam1,Tlr2,F3,Pdpn,Tnfrsf1b,Fgr,Cxcl1,Pcolce,Nucb2,Plat,Sfrp1,Mmp2,Ctsh,Nckap1l,Plvap,Col16a1,Cmklr1,C1qc,Gdf7,C1qb,Tlr13,Lrp1,Hpse,Nbl1,Srpx,C3ar1,Fbln2,Pik3ap1,S1pr2,Fbln1,Pltp,Flrt2,Lhfpl2,Tgfbr2,Gdf6,C1ra,Gpc3,Rab7b,F10,Ly9,C4b,Tmem119,Cd248,Ptafr,Cd300lb,Pirb,Fcgr4,Tlr9,Icam1,Myo1f,Col3a1,AF251705,Lama2,Medag,Folr2,Scn1b,Ccdc80,Sirpa,Ccl19,Dcn,Ephb2,Cd300a,Sulf2,Nfam1,Cfh,Steap3,Syk,Lgals3,Lcp1,Ccbe1,Heg1,Cd84,Selp,Unc93b1,Gpr35,Pdgfra,Ccl21c,Sulf1,Soat1	Itgb2,S100a4,Col1a1,Ace,Spi1,Sfrp4,Tbxas1,Hck,Clec11a,Cd44,Wisp1,Aldh1a3,Cybb,Pcolce2,Lbp,Stac2,C1qtnf1,Cyba,Igfbp4,Aldh3a1,Enpp3,Jade2,Tns3,Pik3r5,Lgmn,Dbn1,Hexb,Loxl2,Runx1,Serping1,Smoc2,Abcg1,Cfb,C2,Csf1r,Anxa1,Clec3b,Slc11a1,Gpr39,Sele,Fcgr2b,Gsn,Fbn1,Lrp4,Il6ra,Vcam1,Tlr2,F3,Pdpn,Tnfrsf1b,Fgr,Cxcl1,Pcolce,Nucb2,Plat,Sfrp1,Mmp2,Ctsh,Nckap1l,Plvap,Col16a1,Cmklr1,C1qc,Gdf7,C1qb,Tlr13,Lrp1,Hpse,Nbl1,Srpx,C3ar1,Fbln2,Pik3ap1,S1pr2,Fbln1,Pltp,Flrt2,Lhfpl2,Tgfbr2,Gdf6,C1ra,Gpc3,Rab7b,F10,Ly9,C4b,Tmem119,Cd248,Ptafr,Cd300lb,Pirb,Fcgr4,Tlr9,Icam1,Myo1f,Col3a1,Cd300c2,Lama2,Medag,Folr2,Scn1b,Ccdc80,Sirpa,Ccl19,Dcn,Ephb2,Cd300a,Sulf2,Nfam1,Cfh,Steap3,Syk,Lgals3,Lcp1,Ccbe1,Heg1,Cd84,Selp,Unc93b1,Gpr35,Pdgfra,Ccl21c,Sulf1,Soat1
