#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0034447	very-low-density lipoprotein particle clearance	2	3	0.0021	Apoc1,Apoe	Apoc1,Apoe
GO:0034382	chylomicron remnant clearance	2	5	0.0022	Apoc1,Apoe	Apoc1,Apoe
GO:0033700	phospholipid efflux	2	11	0.004	Apoc1,Apoe	Apoc1,Apoe
GO:0010984	regulation of lipoprotein particle clearance	2	18	0.0059	Gpihbp1,Apoc1	Gpihbp1,Apoc1
GO:0015711	organic anion transport	4	358	0.0059	Car4,Apoc1,Slc1a5,Apoe	Car4,Apoc1,Slc1a5,Apoe
GO:0033344	cholesterol efflux	2	25	0.0059	Apoc1,Apoe	Apoc1,Apoe
GO:0034369	plasma lipoprotein particle remodeling	2	20	0.0059	Apoc1,Apoe	Apoc1,Apoe
GO:0051004	regulation of lipoprotein lipase activity	2	16	0.0059	Gpihbp1,Apoc1	Gpihbp1,Apoc1
GO:0051043	regulation of membrane protein ectodomain proteolysis	2	22	0.0059	Timp4,Apoe	Timp4,Apoe
GO:0070328	triglyceride homeostasis	2	34	0.0081	Gpihbp1,Apoe	Gpihbp1,Apoe
GO:0006869	lipid transport	3	231	0.0098	Gpihbp1,Apoc1,Apoe	Gpihbp1,Apoc1,Apoe
GO:0032374	regulation of cholesterol transport	2	41	0.0098	Apoc1,Apoe	Apoc1,Apoe
GO:0051055	negative regulation of lipid biosynthetic process	2	56	0.013000000000000001	Apoc1,Apoe	Apoc1,Apoe
GO:0006641	triglyceride metabolic process	2	63	0.0157	Apoc1,Apoe	Apoc1,Apoe
GO:0042632	cholesterol homeostasis	2	78	0.0208	Gpihbp1,Apoe	Gpihbp1,Apoe
GO:0062014	negative regulation of small molecule metabolic process	2	100	0.0288	Apoc1,Apoe	Apoc1,Apoe
GO:0008203	cholesterol metabolic process	2	102	0.0291	Apoc1,Apoe	Apoc1,Apoe
GO:0042157	lipoprotein metabolic process	2	104	0.0294	Apoc1,Apoe	Apoc1,Apoe
GO:0071702	organic substance transport	5	1716	0.0336	Gpihbp1,Car4,Apoc1,Slc1a5,Apoe	Gpihbp1,Car4,Apoc1,Slc1a5,Apoe
GO:0015893	drug transport	2	148	0.0481	Car4,Slc1a5	Car4,Slc1a5
GO:0017038	protein import	2	148	0.0481	Gpihbp1,Apoe	Gpihbp1,Apoe
