#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu04142	Lysosome	48	123	1.64e-26	Gm2a,Naglu,Acp2,Dnase2a,Sgsh,Ctsb,Galns,Ctsk,Ctss,Ctsz,Atp6ap1,Gnptab,Lgmn,Ctsl,Hexb,Naga,Litaf,Igf2r,Atp6v0c,Npc1,Hexa,Gusb,Slc11a1,Manba,Atp6v0d2,Ppt1,Fuca1,Ctsc,Tpp1,Gla,Asah1,Man2b1,Pla2g15,Ctsh,Gns,Atp6v0a1,Lamp2,Lipa,Glb1,Ctsa,Cd63,Psap,Cd68,Ap1s2,Laptm5,Tcirg1,Ctsd,Gba	Gm2a,Naglu,Acp2,Dnase2a,Sgsh,Ctsb,Galns,Ctsk,Ctss,Ctsz,Atp6ap1,Gnptab,Lgmn,Ctsl,Hexb,Naga,Litaf,Igf2r,Atp6v0c,Npc1,Hexa,Gusb,Slc11a1,Manba,Atp6v0d2,Ppt1,Fuca1,Ctsc,Tpp1,Gla,Asah1,Man2b1,Pla2g15,Ctsh,Gns,Atp6v0a1,Lamp2,Lipa,Glb1,Ctsa,Cd63,Psap,Cd68,Ap1s2,Laptm5,Tcirg1,Ctsd,Gba
mmu04145	Phagosome	37	165	8.89e-14	Itgb2,Tubb6,Atp6v1b2,Cybb,Ctss,Ncf1,Cyba,Atp6ap1,Ctsl,Atp6v1c1,Itga5,Atp6v0c,Msr1,Itgav,Tlr2,Fcgr1,Atp6v0d2,Sec61a1,Olr1,Atp6v0a1,Thbs1,Tlr4,Tuba1c,Lamp2,Cd14,Rab7b,Itgam,Actg1,Fcgr4,Ncf4,Mrc2,Actb,Atp6v1a,Tcirg1,Thbs2,Fcgr3,Ncf2	Itgb2,Tubb6,Atp6v1b2,Cybb,Ctss,Ncf1,Cyba,Atp6ap1,Ctsl,Atp6v1c1,Itga5,Atp6v0c,Msr1,Itgav,Tlr2,Fcgr1,Atp6v0d2,Sec61a1,Olr1,Atp6v0a1,Thbs1,Tlr4,Tuba1c,Lamp2,Cd14,Rab7b,Itgam,Actg1,Fcgr4,Ncf4,Mrc2,Actb,Atp6v1a,Tcirg1,Thbs2,Fcgr3,Ncf2
mmu04380	Osteoclast differentiation	30	122	4.25e-12	Spi1,Tgfb1,Gab2,Tgfbr1,Ctsk,Ncf1,Cyba,Grb2,Ifngr2,Trem2,Csf1r,Tnfrsf11a,Il1a,Fcgr1,Pik3r3,Tyrobp,Tgfb2,Blnk,Socs3,Tec,Pirb,Fcgr4,Tnfrsf11b,Ncf4,Sirpa,Lilrb4,Pira2,Syk,Fcgr3,Ncf2	Spi1,Tgfb1,Gab2,Tgfbr1,Ctsk,Ncf1,Cyba,Grb2,Ifngr2,Trem2,Csf1r,Tnfrsf11a,Il1a,Fcgr1,Pik3r3,Tyrobp,Tgfb2,Blnk,Socs3,Tec,Pirb,Fcgr4,Tnfrsf11b,Ncf4,Sirpa,Lilrb4a,Pira2,Syk,Fcgr3,Ncf2
mmu05205	Proteoglycans in cancer	33	199	2.3399999999999998e-09	Col1a1,Plaur,Tgfb1,Cd44,Sdc1,Grb2,Hif1a,Ctsl,Plau,Sdc2,Itga5,Hcls1,Hbegf,Itgav,Src,Nras,Tlr2,Pik3r3,Hgf,Col1a2,Wnt16,Mmp2,Lum,Tgfb2,Hpse,Thbs1,Tlr4,Fn1,Actg1,Actb,Cd63,Msn,Iqgap1	Col1a1,Plaur,Tgfb1,Cd44,Sdc1,Grb2,Hif1a,Ctsl,Plau,Sdc2,Itga5,Hcls1,Hbegf,Itgav,Src,Nras,Tlr2,Pik3r3,Hgf,Col1a2,Wnt16,Mmp2,Lum,Tgfb2,Hpse,Thbs1,Tlr4,Fn1,Actg1,Actb,Cd63,Msn,Iqgap1
mmu04060	Cytokine-cytokine receptor interaction	37	252	2.85e-09	Ccl2,Acvr1b,Ccl3,Tgfb1,Il7r,Tgfbr1,Il12rb2,Tnfsf13,Cxcl16,Ccl6,Ccl4,Ccl7,Ifngr2,Il10rb,Csf1r,Tnfrsf11a,Il1a,Pdgfc,Tnfrsf1b,Hgf,Cxcl1,Il13ra1,Cx3cl1,Il10ra,Crlf2,Tgfb2,Inhbb,Inhba,Cx3cr1,Lif,Osm,Csf2ra,Pdgfa,Tnfrsf11b,Csf2rb,Csf2rb2,Ccr5	Ccl2,Acvr1b,Ccl3,Tgfb1,Il7r,Tgfbr1,Il12rb2,Tnfsf13,Cxcl16,Ccl6,Ccl4,Ccl7,Ifngr2,Il10rb,Csf1r,Tnfrsf11a,Il1a,Pdgfc,Tnfrsf1b,Hgf,Cxcl1,Il13ra1,Cx3cl1,Il10ra,Crlf2,Tgfb2,Inhbb,Inhba,Cx3cr1,Lif,Osm,Csf2ra,Pdgfa,Tnfrsf11b,Csf2rb,Csf2rb2,Ccr5
mmu05323	Rheumatoid arthritis	21	81	5.8099999999999996e-09	Ccl2,Itgb2,Ccl3,Tgfb1,Atp6v1b2,Ctsk,Tnfsf13,Atp6ap1,Ctsl,Atp6v1c1,Atp6v0c,Tnfrsf11a,Il1a,Tlr2,Atp6v0d2,Tgfb2,Atp6v0a1,Tlr4,Cd80,Atp6v1a,Tcirg1	Ccl2,Itgb2,Ccl3,Tgfb1,Atp6v1b2,Ctsk,Tnfsf13,Atp6ap1,Ctsl,Atp6v1c1,Atp6v0c,Tnfrsf11a,Il1a,Tlr2,Atp6v0d2,Tgfb2,Atp6v0a1,Tlr4,Cd80,Atp6v1a,Tcirg1
mmu05152	Tuberculosis	29	172	1.46e-08	Itgb2,Tgfb1,Bid,Ctss,Atp6ap1,Ifngr2,Il10rb,Atp6v0c,Il1a,Src,Tlr2,Fcgr1,Atp6v0d2,Itgax,Il10ra,Tgfb2,Atp6v0a1,Tlr4,Lamp2,Cd14,Itgam,Fcgr4,Fcer1g,Mrc2,Syk,Tcirg1,Ctsd,Sphk1,Fcgr3	Itgb2,Tgfb1,Bid,Ctss,Atp6ap1,Ifngr2,Il10rb,Atp6v0c,Il1a,Src,Tlr2,Fcgr1,Atp6v0d2,Itgax,Il10ra,Tgfb2,Atp6v0a1,Tlr4,Lamp2,Cd14,Itgam,Fcgr4,Fcer1g,Mrc2,Syk,Tcirg1,Ctsd,Sphk1,Fcgr3
mmu04810	Regulation of actin cytoskeleton	31	208	4.7000000000000004e-08	Itgb2,Vav1,Arpc2,Pip4k2a,Itga5,Itgav,Src,Nras,Pdgfc,Pik3r3,Itgax,Itga11,Nckap1l,Vav3,Fn1,Cd14,F2r,Itgam,Fgf7,Actg1,Iqgap3,Pdgfa,Arpc5,Arpc1b,Actb,Tmsb4x,Ssh3,Cfl1,Msn,Arpc4,Iqgap1	Itgb2,Vav1,Arpc2,Pip4k2a,Itga5,Itgav,Src,Nras,Pdgfc,Pik3r3,Itgax,Itga11,Nckap1l,Vav3,Fn1,Cd14,F2r,Itgam,Fgf7,Actg1,Iqgap3,Pdgfa,Arpc5,Arpc1b,Actb,Tmsb4x,Ssh3,Cfl1,Msn,Arpc4,Iqgap1
mmu05144	Malaria	15	45	9.93e-08	Ccl2,Itgb2,Tgfb1,Sdc1,Sdc2,Sele,Vcam1,Tlr2,Hgf,Tgfb2,Lrp1,Thbs1,Tlr4,Selp,Thbs2	Ccl2,Itgb2,Tgfb1,Sdc1,Sdc2,Sele,Vcam1,Tlr2,Hgf,Tgfb2,Lrp1,Thbs1,Tlr4,Selp,Thbs2
mmu05140	Leishmaniasis	17	65	1.7899999999999997e-07	Itgb2,Tgfb1,Cybb,Ncf1,Cyba,Ifngr2,Il1a,Tlr2,Fcgr1,Ptgs2,Tgfb2,Tlr4,Itgam,Fcgr4,Ncf4,Fcgr3,Ncf2	Itgb2,Tgfb1,Cybb,Ncf1,Cyba,Ifngr2,Il1a,Tlr2,Fcgr1,Ptgs2,Tgfb2,Tlr4,Itgam,Fcgr4,Ncf4,Fcgr3,Ncf2
mmu04666	Fc gamma R-mediated phagocytosis	18	83	7.22e-07	Hck,Gab2,Vav1,Arpc2,Ncf1,Fcgr1,Pik3r3,Vav3,Ppap2c,Pla2g4a,Arpc5,Arpc1b,Prkcd,Cfl1,Syk,Arpc4,Inpp5d,Sphk1	Hck,Gab2,Vav1,Arpc2,Ncf1,Fcgr1,Pik3r3,Vav3,Plpp2,Pla2g4a,Arpc5,Arpc1b,Prkcd,Cfl1,Syk,Arpc4,Inpp5d,Sphk1
mmu04062	Chemokine signaling pathway	26	179	1.04e-06	Ccl2,Ccl3,Hck,Vav1,Ncf1,Cxcl16,Ccl6,Ccl4,Ccl7,Grb2,Src,Nras,Pik3r3,Fgr,Cxcl1,Cx3cl1,Vav3,Prex1,Gngt2,Cx3cr1,Rap1b,Elmo1,Arrb2,Ccr5,Prkcd,Shc2	Ccl2,Ccl3,Hck,Vav1,Ncf1,Cxcl16,Ccl6,Ccl4,Ccl7,Grb2,Src,Nras,Pik3r3,Fgr,Cxcl1,Cx3cl1,Vav3,Prex1,Gngt2,Cx3cr1,Rap1b,Elmo1,Arrb2,Ccr5,Prkcd,Shc2
mmu04210	Apoptosis	22	135	1.74e-06	Bid,Ctsb,Gadd45b,Ctsk,Ctss,Ctsz,Ctsl,Nras,Lmna,Pik3r3,Ctsc,Ctsh,Gadd45a,Tuba1c,Bcl2a1b,Actg1,Csf2rb,Csf2rb2,Actb,Ngf,Bcl2l11,Ctsd	Bid,Ctsb,Gadd45b,Ctsk,Ctss,Ctsz,Ctsl,Nras,Lmna,Pik3r3,Ctsc,Ctsh,Gadd45a,Tuba1c,Bcl2a1b,Actg1,Csf2rb,Csf2rb2,Actb,Ngf,Bcl2l11,Ctsd
mmu04151	PI3K-Akt signaling pathway	37	349	2.77e-06	Col6a1,Col1a1,Il7r,Ywhah,Grb2,Pik3r5,Itga5,Csf1r,Itgav,Creb3l1,Nras,Tlr2,Pdgfc,Pik3r3,Hgf,Ibsp,Ereg,Col1a2,Itga11,Tnn,Thbs1,Tlr4,Gngt2,Pik3ap1,Fn1,Col6a3,Bdnf,F2r,Fgf7,Osm,Pdgfa,Ngf,Bcl2l11,Spp1,Syk,Cdk6,Thbs2	Col6a1,Col1a1,Il7r,Ywhah,Grb2,Pik3r5,Itga5,Csf1r,Itgav,Creb3l1,Nras,Tlr2,Pdgfc,Pik3r3,Hgf,Ibsp,Ereg,Col1a2,Itga11,Tnn,Thbs1,Tlr4,Gngt2,Pik3ap1,Fn1,Col6a3,Bdnf,F2r,Fgf7,Osm,Pdgfa,Ngf,Bcl2l11,Spp1,Syk,Cdk6,Thbs2
mmu00511	Other glycan degradation	9	18	5.7000000000000005e-06	Hexb,Hexa,Manba,Fuca1,Man2b2,Man2b1,Glb1,Fuca2,Gba	Hexb,Hexa,Manba,Fuca1,Man2b2,Man2b1,Glb1,Fuca2,Gba
mmu04933	AGE-RAGE signaling pathway in diabetic complications	18	100	5.7000000000000005e-06	Ccl2,Col1a1,Tgfb1,Tgfbr1,Cybb,Edn1,Sele,Il1a,Nras,Vcam1,Pik3r3,Col1a2,Mmp2,Serpine1,Tgfb2,Fn1,Col3a1,Prkcd	Ccl2,Col1a1,Tgfb1,Tgfbr1,Cybb,Edn1,Sele,Il1a,Nras,Vcam1,Pik3r3,Col1a2,Mmp2,Serpine1,Tgfb2,Fn1,Col3a1,Prkcd
mmu05132	Salmonella infection	16	78	5.7000000000000005e-06	Ccl3,Arpc2,Ccl4,Ifngr2,Il1a,Cxcl1,Tlr4,Cd14,Rab7b,Actg1,Arpc5,Plekhm2,Arpc1b,Rhog,Actb,Arpc4	Ccl3,Arpc2,Ccl4,Ifngr2,Il1a,Cxcl1,Tlr4,Cd14,Rab7b,Actg1,Arpc5,Plekhm2,Arpc1b,Rhog,Actb,Arpc4
mmu04510	Focal adhesion	25	195	1.04e-05	Col6a1,Col1a1,Vav1,Grb2,Itga5,Itgav,Src,Pdgfc,Pik3r3,Hgf,Ibsp,Col1a2,Itga11,Vav3,Tnn,Thbs1,Fn1,Col6a3,Rap1b,Actg1,Pdgfa,Actb,Spp1,Thbs2,Shc2	Col6a1,Col1a1,Vav1,Grb2,Itga5,Itgav,Src,Pdgfc,Pik3r3,Hgf,Ibsp,Col1a2,Itga11,Vav3,Tnn,Thbs1,Fn1,Col6a3,Rap1b,Actg1,Pdgfa,Actb,Spp1,Thbs2,Shc2
mmu00531	Glycosaminoglycan degradation	9	21	1.24e-05	Naglu,Sgsh,Galns,Hexb,Hexa,Gusb,Gns,Hpse,Glb1	Naglu,Sgsh,Galns,Hexb,Hexa,Gusb,Gns,Hpse,Glb1
mmu04974	Protein digestion and absorption	16	90	2.36e-05	Slc7a7,Col6a1,Col1a1,Eln,Col5a1,Col24a1,Col1a2,Col6a3,Col12a1,Prcp,Col5a2,Slc8a1,Col3a1,Col15a1,Col10a1,Col22a1	Slc7a7,Col6a1,Col1a1,Eln,Col5a1,Col24a1,Col1a2,Col6a3,Col12a1,Prcp,Col5a2,Slc8a1,Col3a1,Col15a1,Col10a1,Col22a1
mmu04512	ECM-receptor interaction	15	81	3.02e-05	Col6a1,Col1a1,Cd44,Sdc1,Itga5,Itgav,Ibsp,Col1a2,Itga11,Tnn,Thbs1,Fn1,Col6a3,Spp1,Thbs2	Col6a1,Col1a1,Cd44,Sdc1,Itga5,Itgav,Ibsp,Col1a2,Itga11,Tnn,Thbs1,Fn1,Col6a3,Spp1,Thbs2
mmu05150	Staphylococcus aureus infection	12	50	3.02e-05	Itgb2,Fcgr1,C1qc,C1qb,C3ar1,C1qa,Itgam,Ptafr,Cfi,Fcgr4,Selp,Fcgr3	Itgb2,Fcgr1,C1qc,C1qb,C3ar1,C1qa,Itgam,Ptafr,Cfi,Fcgr4,Selp,Fcgr3
mmu05100	Bacterial invasion of epithelial cells	14	74	4.7799999999999996e-05	Arpc2,Itga5,Hcls1,Src,Pik3r3,Fn1,Actg1,Elmo1,Arpc5,Arpc1b,Rhog,Actb,Arpc4,Shc2	Arpc2,Itga5,Hcls1,Src,Pik3r3,Fn1,Actg1,Elmo1,Arpc5,Arpc1b,Rhog,Actb,Arpc4,Shc2
mmu04610	Complement and coagulation cascades	15	88	6.49e-05	Itgb2,Plaur,Plau,Clu,Itgax,F7,C1qc,Serpine1,C1qb,C3ar1,C1qa,F2r,Itgam,Cfi,F5	Itgb2,Plaur,Plau,Clu,Itgax,F7,C1qc,Serpine1,C1qb,C3ar1,C1qa,F2r,Itgam,Cfi,F5
mmu05418	Fluid shear stress and atherosclerosis	19	140	7.609999999999999e-05	Ccl2,Hmox1,Ncf1,Cyba,Sdc1,Edn1,Ctsl,Sdc2,Sele,Itgav,Il1a,Src,Vcam1,Pik3r3,Mmp2,Actg1,Pdgfa,Actb,Ncf2	Ccl2,Hmox1,Ncf1,Cyba,Sdc1,Edn1,Ctsl,Sdc2,Sele,Itgav,Il1a,Src,Vcam1,Pik3r3,Mmp2,Actg1,Pdgfa,Actb,Ncf2
