#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-109582	Hemostasis	74	484	6.12e-20	Slc7a7,Tubb6,Col1a1,Plaur,Tgfb1,Cd244,Wdr1,Vav1,Itih3,Itih4,Timp1,Mertk,Serpinb6a,Sparc,Atp2b1,Sdc1,Pik3r5,Plau,Clu,Sdc2,Itga5,Pde1b,Maged2,Itgav,Ptpn1,Src,Pdpn,Pik3r3,Hgf,Fgr,Col1a2,Olr1,Cd9,Itgax,F7,Anxa2,Qsox1,Vav3,Fermt3,Daglb,Tgfb2,Gngt2,Tuba1c,Lamp2,Abhd12,Fn1,F2r,Lhfpl2,Cd48,Sdc3,Pla2g4a,Prcp,Fcer1g,F5,Cd109,Rhog,Mical1,P2rx7,Capzb,Plek,Cd63,Psap,Arrb2,Serpinb6b,Tagln2,Tmsb4x,Ecm1,Kif3a,Syk,Rab27b,Selp,Kif26b,Fam3c,Inpp5d	Slc7a7,Tubb6,Col1a1,Plaur,Tgfb1,Cd244,Wdr1,Vav1,Itih3,Itih4,Timp1,Mertk,Serpinb6a,Sparc,Atp2b1,Sdc1,Pik3r5,Plau,Clu,Sdc2,Itga5,Pde1b,Maged2,Itgav,Ptpn1,Src,Pdpn,Pik3r3,Hgf,Fgr,Col1a2,Olr1,Cd9,Itgax,F7,Anxa2,Qsox1,Vav3,Fermt3,Daglb,Tgfb2,Gngt2,Tuba1c,Lamp2,Abhd12,Fn1,F2r,Lhfpl2,Cd48,Sdc3,Pla2g4a,Prcp,Fcer1g,F5,Cd109,Rhog,Mical1,P2rx7,Capzb,Plek,Cd63,Psap,Arrb2,Serpinb6b,Tagln2,Tmsb4x,Ecm1,Kif3a,Syk,Rab27b,Selp,Kif26b,Fam3c,Inpp5d
MMU-168249	Innate Immune System	34	246	3.69e-08	Cnn2,Cstb,Ctsz,Dnase1l1,Igf2r,Casp4,Arl8a,Dpp7,S100a11,Fuca1,Clec4d,Atp6ap2,Cotl1,Cd53,Rap2b,Lat2,Vat1,Ckap4,Gpr97,Plekho2,Mefv,Gp49a,Lilrb4,Cap1,Anpep,Cd68,Nfam1,Creg1,Clec7a,Fuca2,Pld3,Myo5a,Clec5a,Glipr1	Cnn2,Cstb,Ctsz,Dnase1l1,Igf2r,Casp4,Arl8a,Dpp7,S100a11,Fuca1,Clec4d,Atp6ap2,Cotl1,Cd53,Rap2b,Lat2,Vat1,Ckap4,Adgrg3,Plekho2,Mefv,Lilr4b,Lilrb4a,Cap1,Anpep,Cd68,Nfam1,Creg1,Clec7a,Fuca2,Pld3,Myo5a,Clec5a,Glipr1
MMU-1222556	ROS, RNS production in phagocytes	13	29	3.95e-08	Atp6v1b2,Cybb,Ncf1,Cyba,Atp6v1c1,Atp6v0c,Slc11a1,Atp6v0d2,Atp6v0a1,Ncf4,Atp6v1a,Tcirg1,Ncf2	Atp6v1b2,Cybb,Ncf1,Cyba,Atp6v1c1,Atp6v0c,Slc11a1,Atp6v0d2,Atp6v0a1,Ncf4,Atp6v1a,Tcirg1,Ncf2
MMU-1474244	Extracellular matrix organization	15	83	4.34e-05	Loxl3,Fbln5,Loxl2,Col24a1,Ibsp,Ppib,Col16a1,Tnn,Colgalt1,Fbln2,Lepre1,Col23a1,Tnc,Col22a1,Lox	Loxl3,Fbln5,Loxl2,Col24a1,Ibsp,Ppib,Col16a1,Tnn,Colgalt1,Fbln2,P3h1,Col23a1,Tnc,Col22a1,Lox
MMU-1430728	Metabolism	84	1346	0.00021	Gm2a,Ckb,Naglu,Tbxas1,Sgsh,Hmox1,Elovl1,Aprt,Gltp,Tnfaip8l2,Galns,Slc25a13,Hexb,Parp8,Samd8,Esd,Lrp12,Agpat4,Aldh18a1,Hexa,Sat1,Gusb,Gatm,Fabp5,Ctps,Slc2a1,Ppt1,Akr1a1,Cd38,Man2b2,Srd5a3,Hpgds,Acan,Acer3,Bgn,Slc6a8,Asah1,Man2b1,Pla2g15,Ptgs2,Cerk,Dse,Akr1b8,Chst2,Lum,Blvrb,Gns,Hpse,Chst11,Chsy1,Degs1,Lpcat2,Ch25h,Hk3,Glb1,Aldh3b1,Pfkfb4,B3gnt2,Cemip,B4galt6,Gnpda1,Pi4k2a,Ppap2c,Alox5ap,Ext1,Chsy3,Dpep2,Gpx1,Hs6st2,Hs6st1,Sgms2,Folr2,Cyp4v3,Osbpl8,B4galt5,Cacna1d,B3gnt7,Xylt2,Chpf2,Ptplad2,Slc37a2,Cndp2,Gba,Sphk1	Gm2a,Ckb,Naglu,Tbxas1,Sgsh,Hmox1,Elovl1,Aprt,Gltp,Tnfaip8l2,Galns,Slc25a13,Hexb,Parp8,Samd8,Esd,Lrp12,Agpat4,Aldh18a1,Hexa,Sat1,Gusb,Gatm,Fabp5,Ctps,Slc2a1,Ppt1,Akr1a1,Cd38,Man2b2,Srd5a3,Hpgds,Acan,Acer3,Bgn,Slc6a8,Asah1,Man2b1,Pla2g15,Ptgs2,Cerk,Dse,Akr1b8,Chst2,Lum,Blvrb,Gns,Hpse,Chst11,Chsy1,Degs1,Lpcat2,Ch25h,Hk3,Glb1,Aldh3b1,Pfkfb4,B3gnt2,Cemip,B4galt6,Gnpda1,Pi4k2a,Plpp2,Alox5ap,Ext1,Chsy3,Dpep2,Gpx1,Hs6st2,Hs6st1,Sgms2,Folr2,Cyp4v3,Osbpl8,B4galt5,Cacna1d,B3gnt7,Xylt2,Chpf2,Hacd4,Slc37a2,Cndp2,Gba,Sphk1
MMU-1442490	Collagen degradation	7	23	0.0008300000000000001	Mmp12,Mmp13,Col12a1,Col8a1,Mmp14,Col15a1,Col10a1	Mmp12,Mmp13,Col12a1,Col8a1,Mmp14,Col15a1,Col10a1
MMU-174824	Plasma lipoprotein assembly, remodeling, and clearance	7	28	0.002	Npc1,Abca1,Apobr,Nceh1,Lipa,Pltp,Soat1	Npc1,Abca1,Apobr,Nceh1,Lipa,Pltp,Soat1
MMU-1280215	Cytokine Signaling in Immune system	19	194	0.0024	Hck,Crlf1,Il12rb2,Ifngr2,Csf1r,P4hb,Tnfrsf11a,Il1a,Tnfrsf1b,Il13ra1,Il10ra,Lif,Osm,Csf2ra,Tnfrsf11b,Il18bp,Csf2rb,Csf2rb2,Il1rn	Hck,Crlf1,Il12rb2,Ifngr2,Csf1r,P4hb,Tnfrsf11a,Il1a,Tnfrsf1b,Il13ra1,Il10ra,Lif,Osm,Csf2ra,Tnfrsf11b,Il18bp,Csf2rb,Csf2rb2,Il1rn
MMU-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	8	40	0.0024	Rcn1,Tmem132a,Fam20c,Cyr61,Mxra8,Mfge8,Igfbp2,Wfs1	Rcn1,Tmem132a,Fam20c,Cyr61,Mxra8,Mfge8,Igfbp2,Wfs1
MMU-1266738	Developmental Biology	26	340	0.006999999999999999	Actr2,Col6a1,Ephb3,Arpc2,Evl,Krt18,Trem2,Gfra1,Col5a1,Sdcbp,Cd72,Tyrobp,Mmp2,Col6a3,Actg1,Arpc5,Fes,Arpc1b,Col5a2,Col3a1,Dok1,Actb,Msn,Arpc4,Plxna1,Actr3	Actr2,Col6a1,Ephb3,Arpc2,Evl,Krt18,Trem2,Gfra1,Col5a1,Sdcbp,Cd72,Tyrobp,Mmp2,Col6a3,Actg1,Arpc5,Fes,Arpc1b,Col5a2,Col3a1,Dok1,Actb,Msn,Arpc4,Plxna1,Actr3
