#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0070469	respirasome	11	87	6.37e-07	Uqcr11,Ndufb9,Ndufa6,Ndufc1,Cox8a,Cox6a1,Atp5sl,Ndufs7,Ndufa13,Ndufb5,Cox7c	Uqcr11,Ndufb9,Ndufa6,Ndufc1,Cox8a,Cox6a1,Atp5sl,Ndufs7,Ndufa13,Ndufb5,Cox7c
GO:0005746	mitochondrial respirasome	10	79	1.57e-06	Ndufb9,Ndufa6,Ndufc1,Cox8a,Cox6a1,Atp5sl,Ndufs7,Ndufa13,Ndufb5,Cox7c	Ndufb9,Ndufa6,Ndufc1,Cox8a,Cox6a1,Atp5sl,Ndufs7,Ndufa13,Ndufb5,Cox7c
GO:0098803	respiratory chain complex	10	78	1.57e-06	Ndufb9,Ndufa6,Ndufc1,Cox8a,Cox6a1,Atp5sl,Ndufs7,Ndufa13,Ndufb5,Cox7c	Ndufb9,Ndufa6,Ndufc1,Cox8a,Cox6a1,Atp5sl,Ndufs7,Ndufa13,Ndufb5,Cox7c
GO:0098798	mitochondrial protein complex	15	255	3.17e-06	Ndufb9,Ndufa6,Ndufc1,Cox8a,Cox6a1,Mrps12,Mrpl42,Atp5sl,Ndufs7,Mrpl38,Ndufa13,Ndufb5,Cox7c,Mrps24,Bckdhb	Ndufb9,Ndufa6,Ndufc1,Cox8a,Cox6a1,Mrps12,Mrpl42,Atp5sl,Ndufs7,Mrpl38,Ndufa13,Ndufb5,Cox7c,Mrps24,Bckdhb
GO:0005739	mitochondrion	34	1312	6.22e-06	Hip1r,Prodh,Endog,Slc25a22,Uqcr11,Glrx5,Tppp,Ndufb9,Ndufa6,Higd2a,Hint2,H2-Ke6,Ndufc1,Maob,Cox8a,Mettl20,Cox6a1,Cox17,Suox,Mrps12,Mrpl42,Gimap8,Atp5sl,Gpx4,Fam73b,Ndufs7,Mrpl38,Ndufa13,Ndufb5,Cox7c,Bola3,Mrps24,Pde2a,Bckdhb	Hip1r,Prodh,Endog,Slc25a22,Uqcr11,Glrx5,Tppp,Ndufb9,Ndufa6,Higd2a,Hint2,H2-Ke6,Ndufc1,Maob,Cox8a,Mettl20,Cox6a1,Cox17,Suox,Mrps12,Mrpl42,Gimap8,Atp5sl,Gpx4,Fam73b,Ndufs7,Mrpl38,Ndufa13,Ndufb5,Cox7c,Bola3,Mrps24,Pde2a,Bckdhb
GO:0005623	cell	166	14044	6.52e-06	Hip1r,Ddt,Slc9a3r2,Nudt14,Mknk2,Prodh,Kifc2,Grap,Tmod4,Endog,Notch4,Ybx2,Slc25a22,Tysnd1,Eif4ebp2,Uqcr11,Cdc34,Flt4,Abca8b,Ubxn2a,Scn4a,Glrx5,Tppp,Galnt15,Rgcc,Ndufb9,Ndufa6,Gpihbp1,Igfbp6,Tmem204,Slc1a1,Map4k2,Vegfb,Pitx3,Dgka,Fam195a,Higd2a,Sell,Prkcq,Snta1,Hint2,Prkaa2,Pla2g2d,Map3k6,Rbp7,Dtx1,Klf15,Timp4,Lyve1,Eif4ebp1,Asb5,Egln1,Usp2,Apoc3,Apoa1,Fmo1,Lepr,H2-Ke6,Ndufc1,Hoxa5,Macrod1,Acer2,Kank3,Maob,Cox8a,Ablim3,Mettl20,Il22ra2,Pim3,Klf9,Myrip,Pygm,Cox6a1,Nudt19,Dock9,Faim3,Fzd4,Apba3,Axin2,Pgp,Cox17,Foxo1,Kcna5,Gldn,Suox,Bri3,Fbxo31,Rbpms2,Tdrp,Gimap6,Zfp366,Shb,Tob2,Mrps12,Rasip1,Chst1,Atl2,Ech1,Cebpb,St3gal5,H2-Q7,Cyp2b10,Sh2d3c,Jag2,Mrpl42,Gimap8,St6galnac2,Ebf1,Cr2,Ccdc88c,Atp5sl,Prkd2,Gimap4,Apcdd1,Gpx4,Rsph3a,Ttpa,Klhl41,Fam73b,Car4,Cyp4b1,Robo4,Cntfr,Gpr182,Ndufs7,Perm1,Myom3,Sult1a1,Mrpl38,Unc45b,Emc6,Tshz2,Shank3,Fitm2,Slc24a3,Ndufa13,Esrrb,Fam65b,Ppip5k1,Mcf2l,Cd163,Rasgrp2,Dsc3,Snrk,Hecw2,Afap1l1,Arl4a,Ndufb5,Cox7c,Sypl2,Bola3,Mrps24,Fam126b,Pitpnm2,Nxnl1,Vldlr,Syt7,Tecr,Mybpc2,Slc38a3,Pde2a,Rbm38,Cxcr5,Gpr56,Bckdhb,Anapc13	Hip1r,Ddt,Slc9a3r2,Nudt14,Mknk2,Prodh,Kifc2,Grap,Tmod4,Endog,Notch4,Ybx2,Slc25a22,Tysnd1,Eif4ebp2,Uqcr11,Cdc34,Flt4,Abca8b,Ubxn2a,Scn4a,Glrx5,Tppp,Galnt15,Rgcc,Ndufb9,Ndufa6,Gpihbp1,Igfbp6,Tmem204,Slc1a1,Map4k2,Vegfb,Pitx3,Dgka,Fam195a,Higd2a,Sell,Prkcq,Snta1,Hint2,Prkaa2,Pla2g2d,Map3k6,Rbp7,Dtx1,Klf15,Timp4,Lyve1,Eif4ebp1,Asb5,Egln1,Usp2,Apoc3,Apoa1,Fmo1,Lepr,H2-Ke6,Ndufc1,Hoxa5,Macrod1,Acer2,Kank3,Maob,Cox8a,Ablim3,Mettl20,Il22ra2,Pim3,Klf9,Myrip,Pygm,Cox6a1,Nudt19,Dock9,Fcmr,Fzd4,Apba3,Axin2,Pgp,Cox17,Foxo1,Kcna5,Gldn,Suox,Bri3,Fbxo31,Rbpms2,Tdrp,Gimap6,Zfp366,Shb,Tob2,Mrps12,Rasip1,Chst1,Atl2,Ech1,Cebpb,St3gal5,H2-Q7,Cyp2b10,Sh2d3c,Jag2,Mrpl42,Gimap8,St6galnac2,Ebf1,Cr2,Ccdc88c,Atp5sl,Prkd2,Gimap4,Apcdd1,Gpx4,Rsph3a,Ttpa,Klhl41,Fam73b,Car4,Cyp4b1,Robo4,Cntfr,Gpr182,Ndufs7,Perm1,Myom3,Sult1a1,Mrpl38,Unc45b,Emc6,Tshz2,Shank3,Fitm2,Slc24a3,Ndufa13,Esrrb,Fam65b,Ppip5k1,Mcf2l,Cd163,Rasgrp2,Dsc3,Snrk,Hecw2,Afap1l1,Arl4a,Ndufb5,Cox7c,Sypl2,Bola3,Mrps24,Fam126b,Pitpnm2,Nxnl1,Vldlr,Syt7,Tecr,Mybpc2,Slc38a3,Pde2a,Rbm38,Cxcr5,Adgrg1,Bckdhb,Anapc13
GO:0005737	cytoplasm	130	9909	6.91e-06	Hip1r,Ddt,Slc9a3r2,Nudt14,Mknk2,Prodh,Kifc2,Tmod4,Endog,Notch4,Ybx2,Slc25a22,Tysnd1,Eif4ebp2,Uqcr11,Cdc34,Flt4,Ubxn2a,Glrx5,Tppp,Galnt15,Rgcc,Ndufb9,Ndufa6,Igfbp6,Map4k2,Dgka,Fam195a,Higd2a,Prkcq,Snta1,Hint2,Prkaa2,Pla2g2d,Rbp7,Dtx1,Timp4,Eif4ebp1,Egln1,Usp2,Apoc3,Apoa1,Fmo1,H2-Ke6,Ndufc1,Acer2,Kank3,Maob,Cox8a,Ablim3,Mettl20,Il22ra2,Pim3,Klf9,Myrip,Pygm,Cox6a1,Nudt19,Apba3,Axin2,Pgp,Cox17,Foxo1,Kcna5,Suox,Bri3,Rbpms2,Tdrp,Gimap6,Shb,Tob2,Mrps12,Rasip1,Chst1,Atl2,Ech1,Cebpb,St3gal5,H2-Q7,Cyp2b10,Sh2d3c,Jag2,Mrpl42,Gimap8,St6galnac2,Ccdc88c,Atp5sl,Prkd2,Gimap4,Gpx4,Rsph3a,Ttpa,Klhl41,Fam73b,Car4,Cyp4b1,Ndufs7,Perm1,Myom3,Sult1a1,Mrpl38,Unc45b,Emc6,Shank3,Fitm2,Ndufa13,Esrrb,Fam65b,Ppip5k1,Mcf2l,Rasgrp2,Dsc3,Snrk,Hecw2,Afap1l1,Arl4a,Ndufb5,Cox7c,Sypl2,Bola3,Mrps24,Fam126b,Pitpnm2,Vldlr,Syt7,Tecr,Mybpc2,Pde2a,Rbm38,Bckdhb	Hip1r,Ddt,Slc9a3r2,Nudt14,Mknk2,Prodh,Kifc2,Tmod4,Endog,Notch4,Ybx2,Slc25a22,Tysnd1,Eif4ebp2,Uqcr11,Cdc34,Flt4,Ubxn2a,Glrx5,Tppp,Galnt15,Rgcc,Ndufb9,Ndufa6,Igfbp6,Map4k2,Dgka,Fam195a,Higd2a,Prkcq,Snta1,Hint2,Prkaa2,Pla2g2d,Rbp7,Dtx1,Timp4,Eif4ebp1,Egln1,Usp2,Apoc3,Apoa1,Fmo1,H2-Ke6,Ndufc1,Acer2,Kank3,Maob,Cox8a,Ablim3,Mettl20,Il22ra2,Pim3,Klf9,Myrip,Pygm,Cox6a1,Nudt19,Apba3,Axin2,Pgp,Cox17,Foxo1,Kcna5,Suox,Bri3,Rbpms2,Tdrp,Gimap6,Shb,Tob2,Mrps12,Rasip1,Chst1,Atl2,Ech1,Cebpb,St3gal5,H2-Q7,Cyp2b10,Sh2d3c,Jag2,Mrpl42,Gimap8,St6galnac2,Ccdc88c,Atp5sl,Prkd2,Gimap4,Gpx4,Rsph3a,Ttpa,Klhl41,Fam73b,Car4,Cyp4b1,Ndufs7,Perm1,Myom3,Sult1a1,Mrpl38,Unc45b,Emc6,Shank3,Fitm2,Ndufa13,Esrrb,Fam65b,Ppip5k1,Mcf2l,Rasgrp2,Dsc3,Snrk,Hecw2,Afap1l1,Arl4a,Ndufb5,Cox7c,Sypl2,Bola3,Mrps24,Fam126b,Pitpnm2,Vldlr,Syt7,Tecr,Mybpc2,Pde2a,Rbm38,Bckdhb
GO:0005747	mitochondrial respiratory chain complex I	7	46	2.48e-05	Ndufb9,Ndufa6,Ndufc1,Atp5sl,Ndufs7,Ndufa13,Ndufb5	Ndufb9,Ndufa6,Ndufc1,Atp5sl,Ndufs7,Ndufa13,Ndufb5
GO:0098800	inner mitochondrial membrane protein complex	10	131	2.55e-05	Ndufb9,Ndufa6,Ndufc1,Cox8a,Cox6a1,Atp5sl,Ndufs7,Ndufa13,Ndufb5,Cox7c	Ndufb9,Ndufa6,Ndufc1,Cox8a,Cox6a1,Atp5sl,Ndufs7,Ndufa13,Ndufb5,Cox7c
GO:0016020	membrane	102	7460	8.209999999999999e-05	Hip1r,Slc9a3r2,Grap,Notch4,Slc25a22,Uqcr11,Flt4,Abca8b,Scn4a,L2hgdh,Galnt15,Ndufb9,Ndufa6,Gpihbp1,Tmem204,Slc1a1,Map4k2,Vegfb,Dgka,Higd2a,Sell,Prkcq,Snta1,Tmem56,Prkaa2,Lyve1,Usp2,Fmo1,Lepr,H2-Ke6,Sidt1,Ndufc1,Acer2,Maob,Cox8a,ENSMUSG00000039349,Il22ra2,Klf9,Myrip,Cox6a1,Ppapdc2,Dock9,Faim3,Fzd4,Axin2,Kcna5,Gldn,Bri3,Shb,Chst1,Atl2,Btnl9,Timd4,St3gal5,H2-Q7,Cyp2b10,Sh2d3c,Jag2,Mrpl42,St6galnac2,Cr2,Atp5sl,Prkd2,Tmem94,Apcdd1,Klhl41,Fam73b,Car4,Cyp4b1,Robo4,Cntfr,Gpr182,Ndufs7,Emc6,Shank3,Fitm2,Slc24a3,Ndufa13,Fam65b,Ppip5k1,Mcf2l,Trp53i11,Cd163,Rasgrp2,Cyyr1,Dsc3,Arl4a,Ndufb5,Cox7c,Sypl2,Fam126b,Pitpnm2,Nxnl1,Vldlr,Syt7,Tecr,Slc38a3,Pde2a,Cxcr5,Gpr56,Cacng6,Bckdhb	Hip1r,Slc9a3r2,Grap,Notch4,Slc25a22,Uqcr11,Flt4,Abca8b,Scn4a,L2hgdh,Galnt15,Ndufb9,Ndufa6,Gpihbp1,Tmem204,Slc1a1,Map4k2,Vegfb,Dgka,Higd2a,Sell,Prkcq,Snta1,Tmem56,Prkaa2,Lyve1,Usp2,Fmo1,Lepr,H2-Ke6,Sidt1,Ndufc1,Acer2,Maob,Cox8a,C130074G19Rik,Il22ra2,Klf9,Myrip,Cox6a1,Plpp6,Dock9,Fcmr,Fzd4,Axin2,Kcna5,Gldn,Bri3,Shb,Chst1,Atl2,Btnl9,Timd4,St3gal5,H2-Q7,Cyp2b10,Sh2d3c,Jag2,Mrpl42,St6galnac2,Cr2,Atp5sl,Prkd2,Tmem94,Apcdd1,Klhl41,Fam73b,Car4,Cyp4b1,Robo4,Cntfr,Gpr182,Ndufs7,Emc6,Shank3,Fitm2,Slc24a3,Ndufa13,Fam65b,Ppip5k1,Mcf2l,Trp53i11,Cd163,Rasgrp2,Cyyr1,Dsc3,Arl4a,Ndufb5,Cox7c,Sypl2,Fam126b,Pitpnm2,Nxnl1,Vldlr,Syt7,Tecr,Slc38a3,Pde2a,Cxcr5,Adgrg1,Cacng6,Bckdhb
