#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0055114	oxidation-reduction process	29	904	3.24e-05	Prodh,Uqcr11,L2hgdh,Glrx5,Ndufb9,Ndufa6,C1qtnf9,Higd2a,Egln1,Apoa1,Fmo1,H2-Ke6,Ndufc1,Maob,Cox8a,Pygm,Cox6a1,Suox,Ech1,Cyp2b10,Gpx4,Cyp4b1,Ndufs7,Ndufa13,Ndufb5,Cox7c,Nxnl1,Tecr,Bckdhb	Prodh,Uqcr11,L2hgdh,Glrx5,Ndufb9,Ndufa6,C1qtnf9,Higd2a,Egln1,Apoa1,Fmo1,H2-Ke6,Ndufc1,Maob,Cox8a,Pygm,Cox6a1,Suox,Ech1,Cyp2b10,Gpx4,Cyp4b1,Ndufs7,Ndufa13,Ndufb5,Cox7c,Nxnl1,Tecr,Bckdhb
GO:0032981	mitochondrial respiratory chain complex I assembly	6	41	0.0067	Ndufb9,Ndufc1,Atp5sl,Ndufs7,Ndufa13,Ndufb5	Ndufb9,Ndufc1,Atp5sl,Ndufs7,Ndufa13,Ndufb5
GO:0033108	mitochondrial respiratory chain complex assembly	7	74	0.0075	Ndufb9,Ndufc1,Cox17,Atp5sl,Ndufs7,Ndufa13,Ndufb5	Ndufb9,Ndufc1,Cox17,Atp5sl,Ndufs7,Ndufa13,Ndufb5
GO:0009987	cellular process	146	12459	0.0098	Hip1r,Ddt,Mknk2,Prodh,Kifc2,Grap,Tmod4,Endog,Notch4,Ybx2,Fmc1,Tysnd1,Eif4ebp2,Uqcr11,Cdc34,Flt4,Ubxn2a,Scn4a,L2hgdh,Glrx5,Tppp,Galnt15,Rgcc,Ndufb9,Tmem204,Slc1a1,Map4k2,Vegfb,C1qtnf9,Pitx3,Dgka,Higd2a,Sell,Prkcq,Snta1,Hint2,Prkaa2,Pla2g2d,Map3k6,Dtx1,Klf15,Timp4,Fah,Lyve1,Eif4ebp1,Asb5,Egln1,Usp2,Apoc3,Apoa1,Fmo1,Lepr,H2-Ke6,Ndufc1,Hoxa5,Macrod1,Acer2,Maob,Cox8a,Ablim3,Mettl20,Il22ra2,Pim3,Klf9,Myrip,Pygm,Cox6a1,Ppapdc2,Dock9,Fzd4,Apba3,Axin2,Dact2,Pgp,Cox17,Foxo1,Kcna5,Gldn,Suox,Fbxo31,Dusp28,Zfp366,Shb,Mrps12,Rasip1,Chst1,Atl2,Ech1,Cebpb,St3gal5,H2-Q7,Cyp2b10,Sh2d3c,Jag2,St6galnac2,Ebf1,Cr2,Ccdc88c,Atp5sl,Prkd2,Apcdd1,Gpx4,Ttpa,Klhl41,Fam73b,Cyp4b1,Robo4,Cntfr,Gpr182,Ndufs7,Perm1,Igf2,Sult1a1,Unc45b,Emc6,Tshz2,Shank3,Fitm2,Slc24a3,Ndufa13,Esrrb,Fam65b,Ppip5k1,Mcf2l,Rasgrp2,Snrk,Hecw2,Arl4a,Ndufb5,Cox7c,Sypl2,Ganc,Mrps24,Pitpnm2,Nxnl1,Vldlr,Syt7,Tecr,Mybpc2,Slc38a3,Pde2a,Rbm38,Cxcr5,Gpr56,Bckdhb,Anapc13	Hip1r,Ddt,Mknk2,Prodh,Kifc2,Grap,Tmod4,Endog,Notch4,Ybx2,1110001J03Rik,Tysnd1,Eif4ebp2,Uqcr11,Cdc34,Flt4,Ubxn2a,Scn4a,L2hgdh,Glrx5,Tppp,Galnt15,Rgcc,Ndufb9,Tmem204,Slc1a1,Map4k2,Vegfb,C1qtnf9,Pitx3,Dgka,Higd2a,Sell,Prkcq,Snta1,Hint2,Prkaa2,Pla2g2d,Map3k6,Dtx1,Klf15,Timp4,Fah,Lyve1,Eif4ebp1,Asb5,Egln1,Usp2,Apoc3,Apoa1,Fmo1,Lepr,H2-Ke6,Ndufc1,Hoxa5,Macrod1,Acer2,Maob,Cox8a,Ablim3,Mettl20,Il22ra2,Pim3,Klf9,Myrip,Pygm,Cox6a1,Plpp6,Dock9,Fzd4,Apba3,Axin2,Dact2,Pgp,Cox17,Foxo1,Kcna5,Gldn,Suox,Fbxo31,Dusp28,Zfp366,Shb,Mrps12,Rasip1,Chst1,Atl2,Ech1,Cebpb,St3gal5,H2-Q7,Cyp2b10,Sh2d3c,Jag2,St6galnac2,Ebf1,Cr2,Ccdc88c,Atp5sl,Prkd2,Apcdd1,Gpx4,Ttpa,Klhl41,Fam73b,Cyp4b1,Robo4,Cntfr,Gpr182,Ndufs7,Perm1,Igf2,Sult1a1,Unc45b,Emc6,Tshz2,Shank3,Fitm2,Slc24a3,Ndufa13,Esrrb,Fam65b,Ppip5k1,Mcf2l,Rasgrp2,Snrk,Hecw2,Arl4a,Ndufb5,Cox7c,Sypl2,Ganc,Mrps24,Pitpnm2,Nxnl1,Vldlr,Syt7,Tecr,Mybpc2,Slc38a3,Pde2a,Rbm38,Cxcr5,Adgrg1,Bckdhb,Anapc13
GO:0008202	steroid metabolic process	10	206	0.0171	Hint2,Prkaa2,Apoc3,Apoa1,Lepr,H2-Ke6,Cyp2b10,Sult1a1,Vldlr,Tecr	Hint2,Prkaa2,Apoc3,Apoa1,Lepr,H2-Ke6,Cyp2b10,Sult1a1,Vldlr,Tecr
GO:0010876	lipid localization	11	256	0.0174	Abca8b,Gpihbp1,Pla2g2d,Apoc3,Apoa1,Fzd4,Ttpa,Fitm2,Pitpnm2,Vldlr,Syt7	Abca8b,Gpihbp1,Pla2g2d,Apoc3,Apoa1,Fzd4,Ttpa,Fitm2,Pitpnm2,Vldlr,Syt7
GO:0043467	regulation of generation of precursor metabolites and energy	7	100	0.0229	Prkaa2,Apoc3,Mettl20,Cox17,Igf2,Esrrb,Pde2a	Prkaa2,Apoc3,Mettl20,Cox17,Igf2,Esrrb,Pde2a
GO:0006869	lipid transport	10	231	0.0285	Abca8b,Gpihbp1,Pla2g2d,Apoc3,Apoa1,Fzd4,Ttpa,Pitpnm2,Vldlr,Syt7	Abca8b,Gpihbp1,Pla2g2d,Apoc3,Apoa1,Fzd4,Ttpa,Pitpnm2,Vldlr,Syt7
GO:0048523	negative regulation of cellular process	63	4336	0.0399	Hip1r,Ddt,Slc9a3r2,Tmod4,Notch4,Ybx2,Eif4ebp2,Cdc34,Flt4,Rgcc,Vegfb,Pitx3,Higd2a,Prkcq,Snta1,Hint2,Prkaa2,Pla2g2d,Dtx1,Klf15,Timp4,Eif4ebp1,Egln1,Usp2,Apoc3,Apoa1,Lepr,Hoxa5,Acer2,Kank3,Maob,Mettl20,Pim3,Klf9,Faim3,Fzd4,Axin2,Dact2,Pgp,Foxo1,Fbxo31,Rbpms2,Zfp366,Shb,Tob2,Rasip1,Cebpb,Apcdd1,Gpx4,Ttpa,Robo4,Cntfr,Igf2,Tshz2,Shank3,Ccm2l,Ndufa13,Esrrb,Fam65b,Vldlr,Pde2a,Rbm38,Gpr56	Hip1r,Ddt,Slc9a3r2,Tmod4,Notch4,Ybx2,Eif4ebp2,Cdc34,Flt4,Rgcc,Vegfb,Pitx3,Higd2a,Prkcq,Snta1,Hint2,Prkaa2,Pla2g2d,Dtx1,Klf15,Timp4,Eif4ebp1,Egln1,Usp2,Apoc3,Apoa1,Lepr,Hoxa5,Acer2,Kank3,Maob,Mettl20,Pim3,Klf9,Fcmr,Fzd4,Axin2,Dact2,Pgp,Foxo1,Fbxo31,Rbpms2,Zfp366,Shb,Tob2,Rasip1,Cebpb,Apcdd1,Gpx4,Ttpa,Robo4,Cntfr,Igf2,Tshz2,Shank3,Ccm2l,Ndufa13,Esrrb,Fam65b,Vldlr,Pde2a,Rbm38,Adgrg1
GO:0044281	small molecule metabolic process	29	1489	0.0432	Prodh,Ndufb9,C1qtnf9,Prkaa2,Fah,Egln1,Apoc3,Apoa1,Fmo1,Lepr,H2-Ke6,Macrod1,Acer2,Cox8a,Cox6a1,Pgp,Suox,Chst1,Ech1,Cyp2b10,Ttpa,Igf2,Ppip5k1,Cox7c,Ganc,Vldlr,Tecr,Pde2a,Bckdhb	Prodh,Ndufb9,C1qtnf9,Prkaa2,Fah,Egln1,Apoc3,Apoa1,Fmo1,Lepr,H2-Ke6,Macrod1,Acer2,Cox8a,Cox6a1,Pgp,Suox,Chst1,Ech1,Cyp2b10,Ttpa,Igf2,Ppip5k1,Cox7c,Ganc,Vldlr,Tecr,Pde2a,Bckdhb
