#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005488	binding	309	10884	1.34e-11	Ncs1,Cnn1,Stk38l,Ltbp1,Srpk3,Pnck,Fkbp7,Bcam,Tgfb3,Ssbp2,Cnn2,Ephb3,Ddah2,Tgfbr1,Kdelr3,Rnd3,Jph2,Arhgef25,Hey2,Tube1,Nuak1,Csrp2,Wif1,Id2,Sntg2,Actn1,Galnt16,Id4,Thrb,Vcl,Samd4,Nkx3-1,Fam118a,Endou,Mpv17l,Mylk,Krt18,Twsg1,Bambi,Dpysl3,Pcsk5,Pip5k1b,Bbs4,Prdx4,Prps2,Rassf3,Serpine2,Efhd1,Rab17,Csrp1,Xpr1,Mark1,Rgs4,Itga8,Grb14,Itgav,Tyro3,Pkia,Smad9,Gpsm2,Gucy1b3,Arhgef2,F3,Ptbp2,Bmpr1b,B4galt2,Dock7,Sema3c,Sema3d,Prdm16,Ift81,Foxp2,Wnt16,Arhgef5,Lmcd1,Tub,Fgf13,Pls3,Sh3bgrl,Flna,Dctn6,Rbpms,Pdlim3,Rrad,Jam3,Tagln,Bace1,Tbx18,Mlh1,Arpp21,Bmpr1a,Pgm5,Lpp,Syt15,Cdh6,Nexn,Gipc2,Eml2,Tgfbi,Sh3bgr,Rag2,Scube3,Creb5,Cspg4,Rbm3,Cpq,Syne1,Rcan2,Plekhh2,Dzip1,Cpz,Csgalnact2,Pmepa1,Npnt,Zfp704,Chd6,Brip1,Colec12,Ank2,Hdac11,Tgfb2,Itga9,Lgalsl,Zfhx3,Antxr1,Cobl,Fgf1,Ndp,Pdlim7,Atp1b2,Wbp5,Kcnab1,Chsy1,Kcnh2,Acta2,Cpe,Garem,Gucy1a3,Tulp1,Cacna2d1,C1qtnf2,Akap17b,Nfib,Nov,Eif3j2,Napepld,Zc2hc1a,Osr1,Glb1,Tceal8,Pam,Sc5d,Sorl1,Tceal3,Camk2n1,Ecm2,Hmgn1,Ppm1e,Fat4,Dntt,Ngfrap1,Asap2,Map6,Astn2,Epha3,Ngef,Cdc42ep3,Wls,Map1b,Pde5a,Sema5a,Kcnip1,Fam212b,Ppp1r12a,Rock1,Wdr6,Camk2g,Plxnb1,Postn,Myom1,Epha1,Prkg1,Actg2,Pitpnm3,Cav3,Efna5,St5,Asph,Emp2,Rag1,Enah,Hhip,Phex,Synj2,Oat,Tacc2,Dnajb5,Morf4l1,Rasl12,Mtus2,Slc8a1,Dlg3,Myl9,Dgkg,Itgb1,Myh11,Ptprz1,Zak,Aopep,Msrb3,Nt5c3b,Camkk1,Map1a,Zfyve28,Trabd2b,Pawr,Fgf14,Ramp1,Lrrfip1,Dst,Il11ra1,Kcnd3,Mbnl1,Pak6,Mical1,Abcc1,Esyt2,Ids,Mgat5b,Dstn,Hmgn2,Myh10,Cirbp,Ctnna3,Fblim1,Synpo2,Hdgfrp3,Klc3,Dact3,Zfp354c,Cbx6,Eml1,Hdac9,Igsf9,Rbms3,Tmsb4x,Ntf3,Cacna1d,Cacna1c,Col4a3,Arhgef9,Dmd,Fzd7,Osbpl3,Cacnb2,Ephb6,Fstl1,Fhl1,Tnk2,Sept6,Dtna,Bex4,Fgfr2,Ttc3,Cbx5,Phtf2,Rab27b,Mgat4a,Dsp,Svil,Satb1,Igsf9b,Dact1,Fbxo30,Slmap,Lphn1,Atp2b4,Haghl,Gnb4,Myo9a,Hmgn3,Setbp1,Sphkap,Tnik,Nos1ap,Endod1,Nfat5,Ihh,Thbs2,Pdgfd,Myl6,Slc8a2,Pnldc1,Eid1,Cd200,Ncam1,Rbfox2,Ppp1r12b,Carns1,Wwp2,Mef2c,Tet1,Apoe,Gprasp2,Kcnip4,Pbx1,Dynlt1b,Meis1,Kcnma1	Ncs1,Cnn1,Stk38l,Ltbp1,Srpk3,Pnck,Fkbp7,Bcam,Tgfb3,Ssbp2,Cnn2,Ephb3,Ddah2,Tgfbr1,Kdelr3,Rnd3,Jph2,Arhgef25,Hey2,Tube1,Nuak1,Csrp2,Wif1,Id2,Sntg2,Actn1,Galnt16,Id4,Thrb,Vcl,Samd4,Nkx3-1,Fam118a,Endou,Mpv17l,Mylk,Krt18,Twsg1,Bambi,Dpysl3,Pcsk5,Pip5k1b,Bbs4,Prdx4,Prps2,Rassf3,Serpine2,Efhd1,Rab17,Csrp1,Xpr1,Mark1,Rgs4,Itga8,Grb14,Itgav,Tyro3,Pkia,Smad9,Gpsm2,Gucy1b3,Arhgef2,F3,Ptbp2,Bmpr1b,B4galt2,Dock7,Sema3c,Sema3d,Prdm16,Ift81,Foxp2,Wnt16,Arhgef5,Lmcd1,Tub,Fgf13,Pls3,Sh3bgrl,Flna,Dctn6,Rbpms,Pdlim3,Rrad,Jam3,Tagln,Bace1,Tbx18,Mlh1,Arpp21,Bmpr1a,Pgm5,Lpp,Syt15,Cdh6,Nexn,Gipc2,Eml2,Tgfbi,Sh3bgr,Rag2,Scube3,Creb5,Cspg4,Rbm3,Cpq,Syne1,Rcan2,Plekhh2,Dzip1,Cpz,Csgalnact2,Pmepa1,Npnt,Zfp704,Chd6,Brip1,Colec12,Ank2,Hdac11,Tgfb2,Itga9,Lgalsl,Zfhx3,Antxr1,Cobl,Fgf1,Ndp,Pdlim7,Atp1b2,Wbp5,Kcnab1,Chsy1,Kcnh2,Acta2,Cpe,Garem,Gucy1a3,Tulp1,Cacna2d1,C1qtnf2,Akap17b,Nfib,Nov,Eif3j2,Napepld,Zc2hc1a,Osr1,Glb1,Tceal8,Pam,Sc5d,Sorl1,Tceal3,Camk2n1,Ecm2,Hmgn1,Ppm1e,Fat4,Dntt,Ngfrap1,Asap2,Map6,Astn2,Epha3,Ngef,Cdc42ep3,Wls,Map1b,Pde5a,Sema5a,Kcnip1,Fam212b,Ppp1r12a,Rock1,Wdr6,Camk2g,Plxnb1,Postn,Myom1,Epha1,Prkg1,Actg2,Pitpnm3,Cav3,Efna5,St5,Asph,Emp2,Rag1,Enah,Hhip,Phex,Synj2,Oat,Tacc2,Dnajb5,Morf4l1,Rasl12,Mtus2,Slc8a1,Dlg3,Myl9,Dgkg,Itgb1,Myh11,Ptprz1,Zak,2010111I01Rik,Msrb3,Nt5c3b,Camkk1,Map1a,Zfyve28,Trabd2b,Pawr,Fgf14,Ramp1,Lrrfip1,Dst,Il11ra1,Kcnd3,Mbnl1,Pak6,Mical1,Abcc1,Esyt2,Ids,Mgat5b,Dstn,Hmgn2,Myh10,Cirbp,Ctnna3,Fblim1,Synpo2,Hdgfrp3,Klc3,Dact3,Zfp354c,Cbx6,Eml1,Hdac9,Igsf9,Rbms3,Tmsb4x,Ntf3,Cacna1d,Cacna1c,Col4a3,Arhgef9,Dmd,Fzd7,Osbpl3,Cacnb2,Ephb6,Fstl1,Fhl1,Tnk2,Sept6,Dtna,Bex4,Fgfr2,Ttc3,Cbx5,Phtf2,Rab27b,Mgat4a,Dsp,Svil,Satb1,Igsf9b,Dact1,Fbxo30,Slmap,Adgrl1,Atp2b4,Haghl,Gnb4,Myo9a,Hmgn3,Setbp1,Sphkap,Tnik,Gm7694,Endod1,Nfat5,Ihh,Thbs2,Pdgfd,Myl6,Slc8a2,Pnldc1,Eid1,Cd200,Ncam1,Rbfox2,Ppp1r12b,Carns1,Wwp2,Mef2c,Tet1,Apoe,Gprasp2,Kcnip4,Pbx1,Dynlt1b,Meis1,Kcnma1
GO:0008092	cytoskeletal protein binding	57	877	6.44e-11	Cnn1,Stk38l,Cnn2,Sntg2,Actn1,Vcl,Mylk,Dpysl3,Bbs4,Arhgef2,Ift81,Fgf13,Pls3,Flna,Pdlim3,Tagln,Nexn,Eml2,Syne1,Plekhh2,Ank2,Antxr1,Cobl,Tulp1,Map6,Map1b,Myom1,Cav3,Enah,Mtus2,Slc8a1,Myl9,Itgb1,Myh11,Map1a,Pawr,Dst,Mical1,Dstn,Myh10,Ctnna3,Fblim1,Synpo2,Hdgfrp3,Klc3,Eml1,Tmsb4x,Cacna1d,Cacna1c,Dmd,Cacnb2,Bex4,Rab27b,Svil,Myo9a,Apoe,Kcnma1	Cnn1,Stk38l,Cnn2,Sntg2,Actn1,Vcl,Mylk,Dpysl3,Bbs4,Arhgef2,Ift81,Fgf13,Pls3,Flna,Pdlim3,Tagln,Nexn,Eml2,Syne1,Plekhh2,Ank2,Antxr1,Cobl,Tulp1,Map6,Map1b,Myom1,Cav3,Enah,Mtus2,Slc8a1,Myl9,Itgb1,Myh11,Map1a,Pawr,Dst,Mical1,Dstn,Myh10,Ctnna3,Fblim1,Synpo2,Hdgfrp3,Klc3,Eml1,Tmsb4x,Cacna1d,Cacna1c,Dmd,Cacnb2,Bex4,Rab27b,Svil,Myo9a,Apoe,Kcnma1
GO:0005515	protein binding	207	6456	3.4700000000000004e-10	Ncs1,Cnn1,Stk38l,Ltbp1,Pnck,Bcam,Tgfb3,Cnn2,Tgfbr1,Arhgef25,Hey2,Nuak1,Wif1,Id2,Sntg2,Actn1,Id4,Thrb,Vcl,Nkx3-1,Fam118a,Mpv17l,Mylk,Krt18,Twsg1,Bambi,Dpysl3,Bbs4,Prdx4,Prps2,Rassf3,Serpine2,Rgs4,Grb14,Itgav,Tyro3,Pkia,Gpsm2,Gucy1b3,Arhgef2,F3,Bmpr1b,Dock7,Sema3c,Sema3d,Prdm16,Ift81,Foxp2,Wnt16,Arhgef5,Fgf13,Pls3,Sh3bgrl,Flna,Rbpms,Pdlim3,Rrad,Jam3,Tagln,Bace1,Tbx18,Arpp21,Bmpr1a,Syt15,Nexn,Gipc2,Eml2,Tgfbi,Sh3bgr,Rag2,Cspg4,Cpq,Syne1,Plekhh2,Pmepa1,Npnt,Chd6,Ank2,Hdac11,Tgfb2,Itga9,Zfhx3,Antxr1,Cobl,Fgf1,Ndp,Atp1b2,Wbp5,Kcnab1,Kcnh2,Acta2,Cpe,Garem,Gucy1a3,Tulp1,C1qtnf2,Nov,Napepld,Osr1,Glb1,Tceal8,Pam,Sorl1,Tceal3,Camk2n1,Ngfrap1,Map6,Ngef,Cdc42ep3,Wls,Map1b,Sema5a,Kcnip1,Fam212b,Ppp1r12a,Rock1,Wdr6,Camk2g,Plxnb1,Myom1,Epha1,Prkg1,Pitpnm3,Cav3,Efna5,St5,Emp2,Rag1,Enah,Hhip,Synj2,Oat,Tacc2,Dnajb5,Morf4l1,Mtus2,Slc8a1,Dlg3,Myl9,Itgb1,Myh11,Ptprz1,Camkk1,Map1a,Trabd2b,Pawr,Fgf14,Lrrfip1,Dst,Il11ra1,Kcnd3,Pak6,Mical1,Esyt2,Dstn,Myh10,Ctnna3,Fblim1,Synpo2,Hdgfrp3,Klc3,Dact3,Eml1,Hdac9,Igsf9,Tmsb4x,Ntf3,Cacna1d,Cacna1c,Col4a3,Arhgef9,Dmd,Fzd7,Cacnb2,Fhl1,Tnk2,Dtna,Bex4,Fgfr2,Cbx5,Rab27b,Dsp,Svil,Igsf9b,Dact1,Slmap,Lphn1,Atp2b4,Myo9a,Sphkap,Nos1ap,Ihh,Pdgfd,Slc8a2,Eid1,Cd200,Ncam1,Rbfox2,Ppp1r12b,Wwp2,Mef2c,Apoe,Gprasp2,Pbx1,Dynlt1b,Meis1,Kcnma1	Ncs1,Cnn1,Stk38l,Ltbp1,Pnck,Bcam,Tgfb3,Cnn2,Tgfbr1,Arhgef25,Hey2,Nuak1,Wif1,Id2,Sntg2,Actn1,Id4,Thrb,Vcl,Nkx3-1,Fam118a,Mpv17l,Mylk,Krt18,Twsg1,Bambi,Dpysl3,Bbs4,Prdx4,Prps2,Rassf3,Serpine2,Rgs4,Grb14,Itgav,Tyro3,Pkia,Gpsm2,Gucy1b3,Arhgef2,F3,Bmpr1b,Dock7,Sema3c,Sema3d,Prdm16,Ift81,Foxp2,Wnt16,Arhgef5,Fgf13,Pls3,Sh3bgrl,Flna,Rbpms,Pdlim3,Rrad,Jam3,Tagln,Bace1,Tbx18,Arpp21,Bmpr1a,Syt15,Nexn,Gipc2,Eml2,Tgfbi,Sh3bgr,Rag2,Cspg4,Cpq,Syne1,Plekhh2,Pmepa1,Npnt,Chd6,Ank2,Hdac11,Tgfb2,Itga9,Zfhx3,Antxr1,Cobl,Fgf1,Ndp,Atp1b2,Wbp5,Kcnab1,Kcnh2,Acta2,Cpe,Garem,Gucy1a3,Tulp1,C1qtnf2,Nov,Napepld,Osr1,Glb1,Tceal8,Pam,Sorl1,Tceal3,Camk2n1,Ngfrap1,Map6,Ngef,Cdc42ep3,Wls,Map1b,Sema5a,Kcnip1,Fam212b,Ppp1r12a,Rock1,Wdr6,Camk2g,Plxnb1,Myom1,Epha1,Prkg1,Pitpnm3,Cav3,Efna5,St5,Emp2,Rag1,Enah,Hhip,Synj2,Oat,Tacc2,Dnajb5,Morf4l1,Mtus2,Slc8a1,Dlg3,Myl9,Itgb1,Myh11,Ptprz1,Camkk1,Map1a,Trabd2b,Pawr,Fgf14,Lrrfip1,Dst,Il11ra1,Kcnd3,Pak6,Mical1,Esyt2,Dstn,Myh10,Ctnna3,Fblim1,Synpo2,Hdgfrp3,Klc3,Dact3,Eml1,Hdac9,Igsf9,Tmsb4x,Ntf3,Cacna1d,Cacna1c,Col4a3,Arhgef9,Dmd,Fzd7,Cacnb2,Fhl1,Tnk2,Dtna,Bex4,Fgfr2,Cbx5,Rab27b,Dsp,Svil,Igsf9b,Dact1,Slmap,Adgrl1,Atp2b4,Myo9a,Sphkap,Gm7694,Ihh,Pdgfd,Slc8a2,Eid1,Cd200,Ncam1,Rbfox2,Ppp1r12b,Wwp2,Mef2c,Apoe,Gprasp2,Pbx1,Dynlt1b,Meis1,Kcnma1
GO:0003779	actin binding	35	397	1e-09	Cnn1,Stk38l,Cnn2,Sntg2,Actn1,Vcl,Mylk,Pls3,Flna,Tagln,Nexn,Syne1,Plekhh2,Antxr1,Cobl,Tulp1,Map1b,Myom1,Enah,Itgb1,Myh11,Map1a,Pawr,Dst,Mical1,Dstn,Myh10,Ctnna3,Synpo2,Tmsb4x,Dmd,Cacnb2,Svil,Myo9a,Kcnma1	Cnn1,Stk38l,Cnn2,Sntg2,Actn1,Vcl,Mylk,Pls3,Flna,Tagln,Nexn,Syne1,Plekhh2,Antxr1,Cobl,Tulp1,Map1b,Myom1,Enah,Itgb1,Myh11,Map1a,Pawr,Dst,Mical1,Dstn,Myh10,Ctnna3,Synpo2,Tmsb4x,Dmd,Cacnb2,Svil,Myo9a,Kcnma1
GO:0043167	ion binding	160	5302	3.3e-05	Ncs1,Stk38l,Ltbp1,Srpk3,Pnck,Fkbp7,Ephb3,Ddah2,Tgfbr1,Rnd3,Jph2,Tube1,Nuak1,Csrp2,Actn1,Galnt16,Thrb,Endou,Mylk,Dpysl3,Pip5k1b,Prps2,Serpine2,Efhd1,Rab17,Csrp1,Xpr1,Mark1,Itga8,Itgav,Tyro3,Smad9,Gucy1b3,Arhgef2,F3,Bmpr1b,B4galt2,Prdm16,Foxp2,Lmcd1,Tub,Pls3,Pdlim3,Rrad,Mlh1,Bmpr1a,Pgm5,Lpp,Syt15,Cdh6,Rag2,Scube3,Cpq,Dzip1,Cpz,Csgalnact2,Npnt,Zfp704,Chd6,Brip1,Colec12,Itga9,Zfhx3,Antxr1,Fgf1,Pdlim7,Kcnab1,Chsy1,Acta2,Cpe,Gucy1a3,Tulp1,Cacna2d1,Nov,Napepld,Zc2hc1a,Osr1,Pam,Sc5d,Ecm2,Ppm1e,Fat4,Dntt,Ngfrap1,Asap2,Astn2,Epha3,Map1b,Pde5a,Sema5a,Kcnip1,Rock1,Camk2g,Postn,Epha1,Prkg1,Actg2,Pitpnm3,Asph,Rag1,Hhip,Phex,Oat,Rasl12,Slc8a1,Myl9,Dgkg,Itgb1,Myh11,Zak,Aopep,Msrb3,Nt5c3b,Camkk1,Zfyve28,Trabd2b,Fgf14,Dst,Kcnd3,Mbnl1,Pak6,Mical1,Abcc1,Esyt2,Ids,Mgat5b,Myh10,Fblim1,Zfp354c,Cacna1d,Cacna1c,Dmd,Fzd7,Ephb6,Fstl1,Fhl1,Tnk2,Sept6,Dtna,Fgfr2,Ttc3,Rab27b,Mgat4a,Fbxo30,Atp2b4,Haghl,Myo9a,Tnik,Endod1,Ihh,Thbs2,Myl6,Slc8a2,Pnldc1,Ncam1,Carns1,Tet1,Apoe,Kcnip4,Kcnma1	Ncs1,Stk38l,Ltbp1,Srpk3,Pnck,Fkbp7,Ephb3,Ddah2,Tgfbr1,Rnd3,Jph2,Tube1,Nuak1,Csrp2,Actn1,Galnt16,Thrb,Endou,Mylk,Dpysl3,Pip5k1b,Prps2,Serpine2,Efhd1,Rab17,Csrp1,Xpr1,Mark1,Itga8,Itgav,Tyro3,Smad9,Gucy1b3,Arhgef2,F3,Bmpr1b,B4galt2,Prdm16,Foxp2,Lmcd1,Tub,Pls3,Pdlim3,Rrad,Mlh1,Bmpr1a,Pgm5,Lpp,Syt15,Cdh6,Rag2,Scube3,Cpq,Dzip1,Cpz,Csgalnact2,Npnt,Zfp704,Chd6,Brip1,Colec12,Itga9,Zfhx3,Antxr1,Fgf1,Pdlim7,Kcnab1,Chsy1,Acta2,Cpe,Gucy1a3,Tulp1,Cacna2d1,Nov,Napepld,Zc2hc1a,Osr1,Pam,Sc5d,Ecm2,Ppm1e,Fat4,Dntt,Ngfrap1,Asap2,Astn2,Epha3,Map1b,Pde5a,Sema5a,Kcnip1,Rock1,Camk2g,Postn,Epha1,Prkg1,Actg2,Pitpnm3,Asph,Rag1,Hhip,Phex,Oat,Rasl12,Slc8a1,Myl9,Dgkg,Itgb1,Myh11,Zak,2010111I01Rik,Msrb3,Nt5c3b,Camkk1,Zfyve28,Trabd2b,Fgf14,Dst,Kcnd3,Mbnl1,Pak6,Mical1,Abcc1,Esyt2,Ids,Mgat5b,Myh10,Fblim1,Zfp354c,Cacna1d,Cacna1c,Dmd,Fzd7,Ephb6,Fstl1,Fhl1,Tnk2,Sept6,Dtna,Fgfr2,Ttc3,Rab27b,Mgat4a,Fbxo30,Atp2b4,Haghl,Myo9a,Tnik,Endod1,Ihh,Thbs2,Myl6,Slc8a2,Pnldc1,Ncam1,Carns1,Tet1,Apoe,Kcnip4,Kcnma1
GO:0046872	metal ion binding	112	3430	0.00011999999999999999	Ncs1,Stk38l,Ltbp1,Fkbp7,Tgfbr1,Csrp2,Actn1,Galnt16,Thrb,Endou,Mylk,Prps2,Efhd1,Csrp1,Mark1,Itga8,Itgav,Smad9,Gucy1b3,Arhgef2,Bmpr1b,B4galt2,Prdm16,Foxp2,Lmcd1,Pls3,Pdlim3,Bmpr1a,Pgm5,Lpp,Syt15,Cdh6,Rag2,Scube3,Cpq,Dzip1,Cpz,Csgalnact2,Npnt,Zfp704,Brip1,Colec12,Itga9,Zfhx3,Antxr1,Pdlim7,Chsy1,Cpe,Cacna2d1,Napepld,Zc2hc1a,Osr1,Pam,Sc5d,Ppm1e,Fat4,Dntt,Ngfrap1,Asap2,Astn2,Pde5a,Kcnip1,Rock1,Postn,Pitpnm3,Asph,Rag1,Hhip,Phex,Slc8a1,Myl9,Dgkg,Itgb1,Zak,Aopep,Msrb3,Nt5c3b,Zfyve28,Trabd2b,Dst,Kcnd3,Mbnl1,Mical1,Esyt2,Ids,Mgat5b,Fblim1,Zfp354c,Cacna1d,Cacna1c,Dmd,Fstl1,Fhl1,Tnk2,Dtna,Ttc3,Mgat4a,Fbxo30,Atp2b4,Haghl,Myo9a,Endod1,Ihh,Thbs2,Myl6,Slc8a2,Pnldc1,Carns1,Tet1,Apoe,Kcnip4,Kcnma1	Ncs1,Stk38l,Ltbp1,Fkbp7,Tgfbr1,Csrp2,Actn1,Galnt16,Thrb,Endou,Mylk,Prps2,Efhd1,Csrp1,Mark1,Itga8,Itgav,Smad9,Gucy1b3,Arhgef2,Bmpr1b,B4galt2,Prdm16,Foxp2,Lmcd1,Pls3,Pdlim3,Bmpr1a,Pgm5,Lpp,Syt15,Cdh6,Rag2,Scube3,Cpq,Dzip1,Cpz,Csgalnact2,Npnt,Zfp704,Brip1,Colec12,Itga9,Zfhx3,Antxr1,Pdlim7,Chsy1,Cpe,Cacna2d1,Napepld,Zc2hc1a,Osr1,Pam,Sc5d,Ppm1e,Fat4,Dntt,Ngfrap1,Asap2,Astn2,Pde5a,Kcnip1,Rock1,Postn,Pitpnm3,Asph,Rag1,Hhip,Phex,Slc8a1,Myl9,Dgkg,Itgb1,Zak,2010111I01Rik,Msrb3,Nt5c3b,Zfyve28,Trabd2b,Dst,Kcnd3,Mbnl1,Mical1,Esyt2,Ids,Mgat5b,Fblim1,Zfp354c,Cacna1d,Cacna1c,Dmd,Fstl1,Fhl1,Tnk2,Dtna,Ttc3,Mgat4a,Fbxo30,Atp2b4,Haghl,Myo9a,Endod1,Ihh,Thbs2,Myl6,Slc8a2,Pnldc1,Carns1,Tet1,Apoe,Kcnip4,Kcnma1
GO:0051015	actin filament binding	16	163	0.00011999999999999999	Actn1,Vcl,Pls3,Flna,Tagln,Nexn,Syne1,Antxr1,Tulp1,Myom1,Myh11,Dstn,Myh10,Ctnna3,Cacnb2,Svil	Actn1,Vcl,Pls3,Flna,Tagln,Nexn,Syne1,Antxr1,Tulp1,Myom1,Myh11,Dstn,Myh10,Ctnna3,Cacnb2,Svil
GO:0044877	protein-containing complex binding	47	1094	0.00037999999999999997	Tgfbr1,Actn1,Vcl,Itgav,Gpsm2,Tub,Pls3,Flna,Dctn6,Jam3,Tagln,Mlh1,Nexn,Tgfbi,Cspg4,Rbm3,Syne1,Npnt,Colec12,Itga9,Antxr1,Fgf1,Tulp1,Nov,Sorl1,Ecm2,Hmgn1,Map1b,Myom1,Cav3,Emp2,Itgb1,Myh11,Map1a,Dstn,Hmgn2,Myh10,Ctnna3,Col4a3,Dmd,Cacnb2,Cbx5,Svil,Gnb4,Hmgn3,Apoe,Kcnma1	Tgfbr1,Actn1,Vcl,Itgav,Gpsm2,Tub,Pls3,Flna,Dctn6,Jam3,Tagln,Mlh1,Nexn,Tgfbi,Cspg4,Rbm3,Syne1,Npnt,Colec12,Itga9,Antxr1,Fgf1,Tulp1,Nov,Sorl1,Ecm2,Hmgn1,Map1b,Myom1,Cav3,Emp2,Itgb1,Myh11,Map1a,Dstn,Hmgn2,Myh10,Ctnna3,Col4a3,Dmd,Cacnb2,Cbx5,Svil,Gnb4,Hmgn3,Apoe,Kcnma1
GO:0086007	voltage-gated calcium channel activity involved in cardiac muscle cell action potential	4	4	0.00091	Cacna2d1,Cacna1d,Cacna1c,Cacnb2	Cacna2d1,Cacna1d,Cacna1c,Cacnb2
GO:0005516	calmodulin binding	15	183	0.0011	Cnn1,Pnck,Cnn2,Mylk,Rrad,Arpp21,Map6,Camk2g,Slc8a1,Myh11,Camkk1,Myh10,Cacna1c,Atp2b4,Slc8a2	Cnn1,Pnck,Cnn2,Mylk,Rrad,Arpp21,Map6,Camk2g,Slc8a1,Myh11,Camkk1,Myh10,Cacna1c,Atp2b4,Slc8a2
