#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu04270	Vascular smooth muscle contraction	19	125	2.58e-08	Kcnmb1,Mylk,Gucy1b3,Acta2,Gucy1a3,Ppp1r12a,Rock1,Prkg1,Actg2,Myl9,Myh11,Ramp1,Cacna1d,Cacna1c,Cald1,Mrvi1,Myl6,Ppp1r12b,Kcnma1	Kcnmb1,Mylk,Gucy1b3,Acta2,Gucy1a3,Ppp1r12a,Rock1,Prkg1,Actg2,Myl9,Myh11,Ramp1,Cacna1d,Cacna1c,Cald1,Mrvi1,Myl6,Ppp1r12b,Kcnma1
mmu04510	Focal adhesion	21	195	4.1299999999999995e-07	Actn1,Vcl,Mylk,Itga8,Itgav,Flna,Itga9,Ppp1r12a,Rock1,Cav3,Col4a4,Myl9,Itgb1,Col6a6,Pak6,Col4a6,Col4a5,Col4a3,Thbs2,Pdgfd,Ppp1r12b	Actn1,Vcl,Mylk,Itga8,Itgav,Flna,Itga9,Ppp1r12a,Rock1,Cav3,Col4a4,Myl9,Itgb1,Col6a6,Pak6,Col4a6,Col4a5,Col4a3,Thbs2,Pdgfd,Ppp1r12b
mmu04022	cGMP-PKG signaling pathway	19	164	5.17e-07	Kcnmb1,Mylk,Gucy1b3,Creb5,Atp1b2,Gucy1a3,Pde5a,Ppp1r12a,Rock1,Prkg1,Slc8a1,Myl9,Cacna1d,Cacna1c,Mrvi1,Atp2b4,Slc8a2,Mef2c,Kcnma1	Kcnmb1,Mylk,Gucy1b3,Creb5,Atp1b2,Gucy1a3,Pde5a,Ppp1r12a,Rock1,Prkg1,Slc8a1,Myl9,Cacna1d,Cacna1c,Mrvi1,Atp2b4,Slc8a2,Mef2c,Kcnma1
mmu05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	13	71	7.83e-07	Itga8,Itgav,Itga9,Cacna2d1,Sgcg,Slc8a1,Itgb1,Ctnna3,Cacna1d,Cacna1c,Dmd,Cacnb2,Dsp	Itga8,Itgav,Itga9,Cacna2d1,Sgcg,Slc8a1,Itgb1,Ctnna3,Cacna1d,Cacna1c,Dmd,Cacnb2,Dsp
mmu05410	Hypertrophic cardiomyopathy (HCM)	13	82	2.85e-06	Tgfb3,Itga8,Itgav,Tgfb2,Itga9,Cacna2d1,Sgcg,Slc8a1,Itgb1,Cacna1d,Cacna1c,Dmd,Cacnb2	Tgfb3,Itga8,Itgav,Tgfb2,Itga9,Cacna2d1,Sgcg,Slc8a1,Itgb1,Cacna1d,Cacna1c,Dmd,Cacnb2
mmu04360	Axon guidance	18	174	3.12e-06	Ephb3,Bmpr1b,Sema3c,Sema3d,Epha3,Ngef,Sema5a,Rock1,Camk2g,Plxnb1,Epha1,Efna5,Enah,Itgb1,Pak6,Unc5c,Ephb6,Unc5d	Ephb3,Bmpr1b,Sema3c,Sema3d,Epha3,Ngef,Sema5a,Rock1,Camk2g,Plxnb1,Epha1,Efna5,Enah,Itgb1,Pak6,Unc5c,Ephb6,Unc5d
mmu05414	Dilated cardiomyopathy (DCM)	13	86	3.35e-06	Tgfb3,Itga8,Itgav,Tgfb2,Itga9,Cacna2d1,Sgcg,Slc8a1,Itgb1,Cacna1d,Cacna1c,Dmd,Cacnb2	Tgfb3,Itga8,Itgav,Tgfb2,Itga9,Cacna2d1,Sgcg,Slc8a1,Itgb1,Cacna1d,Cacna1c,Dmd,Cacnb2
mmu04810	Regulation of actin cytoskeleton	19	208	6.17e-06	Actn1,Vcl,Mylk,Pip5k1b,Itga8,Itgav,Itga9,Fgf1,Ppp1r12a,Rock1,Enah,Myl9,Itgb1,Pak6,Myh10,Tmsb4x,Fgfr2,Pdgfd,Ppp1r12b	Actn1,Vcl,Mylk,Pip5k1b,Itga8,Itgav,Itga9,Fgf1,Ppp1r12a,Rock1,Enah,Myl9,Itgb1,Pak6,Myh10,Tmsb4x,Fgfr2,Pdgfd,Ppp1r12b
mmu04512	ECM-receptor interaction	11	81	6.34e-05	Itga8,Itgav,Npnt,Itga9,Col4a4,Itgb1,Col6a6,Col4a6,Col4a5,Col4a3,Thbs2	Itga8,Itgav,Npnt,Itga9,Col4a4,Itgb1,Col6a6,Col4a6,Col4a5,Col4a3,Thbs2
mmu04350	TGF-beta signaling pathway	11	84	7.85e-05	Ltbp1,Tgfb3,Tgfbr1,Id2,Id4,Bambi,Smad9,Bmpr1b,Bmpr1a,Tgfb2,Rock1	Ltbp1,Tgfb3,Tgfbr1,Id2,Id4,Bambi,Smad9,Bmpr1b,Bmpr1a,Tgfb2,Rock1
