#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-109582	Hemostasis	30	484	0.00011999999999999999	Slc7a10,Esam,Sh2b2,Nos2,Prkch,Fgr,Itgax,Lgals3bp,Itpr3,Lyn,Abcc4,Dagla,Gngt2,Cfd,Sdc3,Bsg,Fcer1g,Plcg2,Cd74,Ceacam1,Nos1,Plek,Syk,Serpina3f,Rapgef3,Stxbp2,Srgn,Inpp5d,Slc3a2,Pde2a	Slc7a10,Esam,Sh2b2,Nos2,Prkch,Fgr,Itgax,Lgals3bp,Itpr3,Lyn,Abcc4,Dagla,Gngt2,Cfd,Sdc3,Bsg,Fcer1g,Plcg2,Cd74,Ceacam1,Nos1,Plek,Syk,Serpina3f,Rapgef3,Stxbp2,Srgn,Inpp5d,Slc3a2,Pde2a
MMU-1280215	Cytokine Signaling in Immune system	17	194	0.00011999999999999999	Hck,Csf1r,Il1r2,Il1b,Tnfrsf1b,Tnfrsf9,Il4ra,Il10ra,Il22ra2,Csf2ra,Csf2rb,Csf2rb2,Cntfr,Csf3r,Ptk2b,Nfkb2,Irf9	Hck,Csf1r,Il1r2,Il1b,Tnfrsf1b,Tnfrsf9,Il4ra,Il10ra,Il22ra2,Csf2ra,Csf2rb,Csf2rb2,Cntfr,Csf3r,Ptk2b,Nfkb2,Irf9
MMU-168249	Innate Immune System	20	246	0.00011999999999999999	Mnda,Ctsz,Plac8,Pglyrp1,Cotl1,Cd53,Lrg1,Dok3,Bst2,Ifi205,S100a8,Mettl7a1,Mefv,Trpm2,Cd68,Nfam1,Ifi204,Tmem173,S100a9,Mndal	Mnda,Ctsz,Plac8,Pglyrp1,Cotl1,Cd53,Lrg1,Dok3,Bst2,Ifi205,S100a8,Mettl7a1,Mefv,Trpm2,Cd68,Nfam1,Ifi204,Tmem173,S100a9,Mndal
MMU-174824	Plasma lipoprotein assembly, remodeling, and clearance	6	28	0.0013	Abca1,Apobr,Pltp,Lipg,Scarb1,Nr1h3	Abca1,Apobr,Pltp,Lipg,Scarb1,Nr1h3
MMU-1222556	ROS, RNS production in phagocytes	5	29	0.0096	Cybb,Ncf1,Slc11a1,Ncf4,Ncf2	Cybb,Ncf1,Slc11a1,Ncf4,Ncf2
MMU-166658	Complement cascade	5	32	0.0118	Cfp,C1qc,C1qb,C1qa,C4b	Cfp,C1qc,C1qb,C1qa,C4b
MMU-1430728	Metabolism	48	1346	0.0172	Cyp4f18,Prodh,Lpcat3,Hyal2,Ppa1,Upp1,Gpihbp1,Ehhadh,Cyp2e1,Hdc,Mfsd2a,Cd38,Fah,Lyve1,Bcat2,Car5b,Gpt2,B3gnt3,Pgls,Cyp1a1,Elovl5,Nt5e,Hsd3b7,Parp14,Acer2,Acss3,Ch25h,Slc27a2,Acsm5,Chst1,Pld4,Alox5ap,Hmbs,Dio2,Gda,St3gal1,Helz2,Ttpa,Acsf2,Cyp4b1,B4galt5,Fitm2,Tcn2,Sgpl1,Sgms1,Agpat6,Adssl1,Bckdhb	Cyp4f18,Prodh,Lpcat3,Hyal2,Ppa1,Upp1,Gpihbp1,Ehhadh,Cyp2e1,Hdc,Mfsd2a,Cd38,Fah,Lyve1,Bcat2,Car5b,Gpt2,B3gnt3,Pgls,Cyp1a1,Elovl5,Nt5e,Hsd3b7,Parp14,Acer2,Acss3,Ch25h,Slc27a2,Acsm5,Chst1,Pld4,Alox5ap,Hmbs,Dio2,Gda,St3gal1,Helz2,Ttpa,Acsf2,Cyp4b1,B4galt5,Fitm2,Tcn2,Sgpl1,Sgms1,Gpat4,Adssl1,Bckdhb
MMU-166016	Toll Like Receptor 4 (TLR4) Cascade	3	10	0.0178	Lbp,Ly86,Irf7	Lbp,Ly86,Irf7
MMU-1280218	Adaptive Immune System	18	376	0.0222	Cdc34,Xdh,C3,Ifitm1,Btk,H2-Ab1,H2-Aa,Mylip,Blnk,Btnl9,Pvrl2,Icam1,Lair1,AF251705,Cd300lf,Cd300a,Cd300lg,Treml4	Cdc34,Xdh,C3,Ifitm1,Btk,H2-Ab1,H2-Aa,Mylip,Blnk,Btnl9,Nectin2,Icam1,Lair1,Cd300c2,Cd300lf,Cd300a,Cd300lg,Treml4
MMU-1679131	Trafficking and processing of endosomal TLR	2	4	0.0372	Tlr7,Tlr8	Tlr7,Tlr8
