#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-109582	Hemostasis	92	484	6.43e-20	Slc7a7,Tubb6,Col1a1,Plaur,Tgfb1,Cd244,Vav1,Itih4,Timp1,Apbb1ip,Mertk,Serpinb6a,Nos2,Atp2b1,Sdc1,Gna13,Pik3r5,Prkch,Plau,Clu,Slc7a8,Pde1b,Itga6,Kif3b,Ptpn1,Procr,Pdpn,Hgf,Fgr,Clec1b,Olr1,Itgax,F7,Anxa2,Csk,Pik3cb,Trf,Lgals3bp,Fermt3,Itpr3,Trem1,Lyn,Daglb,Gpc1,Gngt2,Gna15,Tuba1c,Lamp2,Abhd12,Fn1,Igf1,Cfd,Sirpb1c,F2r,Lhfpl2,Vav2,Pik3cg,Cd48,Sdc3,Fam49b,F10,Slc16a3,Prcp,Fcer1g,Plcg2,Tor4a,F5,Sirpb1b,Dock2,Cd109,Cd74,Rhog,Arrb1,Sirpb1a,P2rx7,Nos1,Cd47,Plek,Cd63,Psap,Arrb2,Serpinb6b,Syk,Selp,Kif26b,Stxbp2,Srgn,Inpp5d,Ptpn6,Slc3a2,Serpina3m,Mag	Slc7a7,Tubb6,Col1a1,Plaur,Tgfb1,Cd244,Vav1,Itih4,Timp1,Apbb1ip,Mertk,Serpinb6a,Nos2,Atp2b1,Sdc1,Gna13,Pik3r5,Prkch,Plau,Clu,Slc7a8,Pde1b,Itga6,Kif3b,Ptpn1,Procr,Pdpn,Hgf,Fgr,Clec1b,Olr1,Itgax,F7,Anxa2,Csk,Pik3cb,Trf,Lgals3bp,Fermt3,Itpr3,Trem1,Lyn,Daglb,Gpc1,Gngt2,Gna15,Tuba1c,Lamp2,Abhd12,Fn1,Igf1,Cfd,LOC100038947,F2r,Lhfpl2,Vav2,Pik3cg,Cd48,Sdc3,Fam49b,F10,Slc16a3,Prcp,Fcer1g,Plcg2,Tor4a,F5,Sirpb1b,Dock2,Cd109,Cd74,Rhog,Arrb1,Sirpb1a,P2rx7,Nos1,Cd47,Plek,Cd63,Psap,Arrb2,Serpinb6b,Syk,Selp,Kif26b,Stxbp2,Srgn,Inpp5d,Ptpn6,Slc3a2,Serpina3m,Mag
MMU-168249	Innate Immune System	58	246	3.12e-16	Cstb,Mnda,Ctsz,Dnase1l1,Npc2,Igf2r,Ostf1,Casp4,Arl8a,Dpp7,Fuca1,Padi2,Plac8,Slc15a4,Clec4d,Atp6ap2,Lamp1,Cotl1,Tspan14,Cd53,Lrg1,Rap2b,Dok3,Lat2,Atp8b4,Vat1,Gpr97,Bst2,Nhlrc3,Ifi205,Plekho2,Tnfaip6,Ear2,Chil1,Atp11a,Cd93,Mefv,Card9,Nlrp3,Stk10,Gp49a,Trpm2,Lilrb4,Anpep,Nlrp1b,Cd68,Atox1,Nfam1,Ifi204,Creg1,Clec7a,Tmem173,Fuca2,Pld3,Myo5a,Aim2,Clec5a,Glipr1	Cstb,Mnda,Ctsz,Dnase1l1,Npc2,Igf2r,Ostf1,Casp4,Arl8a,Dpp7,Fuca1,Padi2,Plac8,Slc15a4,Clec4d,Atp6ap2,Lamp1,Cotl1,Tspan14,Cd53,Lrg1,Rap2b,Dok3,Lat2,Atp8b4,Vat1,Adgrg3,Bst2,Nhlrc3,Ifi205,Plekho2,Tnfaip6,Ear2,Chil1,Atp11a,Cd93,Mefv,Card9,Nlrp3,Stk10,Lilr4b,Trpm2,Lilrb4a,Anpep,Nlrp1b,Cd68,Atox1,Nfam1,Ifi204,Creg1,Clec7a,Tmem173,Fuca2,Pld3,Myo5a,Aim2,Clec5a,Glipr1
MMU-1222556	ROS, RNS production in phagocytes	17	29	1.4300000000000002e-09	Atp6v1b2,Atp6v0d1,Cybb,Ncf1,Cyba,Atp6v1e1,Atp6v1c1,Atp6v0c,Slc11a1,Atp6v0d2,Atp6v0a1,Atp6v0b,Ncf4,Atp6v1a,Tcirg1,Atp6v0e,Ncf2	Atp6v1b2,Atp6v0d1,Cybb,Ncf1,Cyba,Atp6v1e1,Atp6v1c1,Atp6v0c,Slc11a1,Atp6v0d2,Atp6v0a1,Atp6v0b,Ncf4,Atp6v1a,Tcirg1,Atp6v0e,Ncf2
MMU-1280215	Cytokine Signaling in Immune system	33	194	1.95e-06	Hck,Crlf1,Cd40,Tnf,Csf1r,Casp1,Il1r2,Il1b,Il1a,Tnfsf8,Tnfrsf1b,Tnfrsf9,Tnfrsf1a,Il4ra,Il13ra1,Il10ra,Mapkapk3,Nod1,Lif,Stx3,Osm,Csf2ra,Tnfrsf11b,Il3ra,Il18bp,Il1rl2,Csf2rb,Csf2rb2,Csf3r,Ptk2b,Nfkb2,Il1rn,Irf9	Hck,Crlf1,Cd40,Tnf,Csf1r,Casp1,Il1r2,Il1b,Il1a,Tnfsf8,Tnfrsf1b,Tnfrsf9,Tnfrsf1a,Il4ra,Il13ra1,Il10ra,Mapkapk3,Nod1,Lif,Stx3,Osm,Csf2ra,Tnfrsf11b,Il3ra,Il18bp,Il1rl2,Csf2rb,Csf2rb2,Csf3r,Ptk2b,Nfkb2,Il1rn,Irf9
MMU-174824	Plasma lipoprotein assembly, remodeling, and clearance	11	28	4.4200000000000004e-05	Npc1,Abca1,Ldlrap1,Apobr,Nceh1,Lipa,Pltp,Lipg,Scarb1,Nr1h3,Soat1	Npc1,Abca1,Ldlrap1,Apobr,Nceh1,Lipa,Pltp,Lipg,Scarb1,Nr1h3,Soat1
MMU-1280218	Adaptive Immune System	41	376	0.001	Ctsb,Cd209a,Ctsk,Ctss,Lgmn,Ctsl,Xdh,C3,Ifitm1,Ifitm3,Vcam1,Rnf19b,Pianp,Ctsc,Was,Btk,Ctsh,H2-Ab1,H2-Aa,Cd300ld,Mylip,Pilra,Cd200r1,Blnk,Spsb4,Hcst,Icam1,Lair1,Fyb,AF251705,Gm11710,Ctsa,Cd300lf,Cd300a,Ap1s2,Cblb,Treml4,Ctsd,Sh2d1b2,Cd200r4,Ulbp1	Ctsb,Cd209a,Ctsk,Ctss,Lgmn,Ctsl,Xdh,C3,Ifitm1,Ifitm3,Vcam1,Rnf19b,Pianp,Ctsc,Was,Btk,Ctsh,H2-Ab1,H2-Aa,Cd300ld,Mylip,Pilra,Cd200r1,Blnk,Spsb4,Hcst,Icam1,Lair1,Fyb,Cd300c2,Cd300ld5,Ctsa,Cd300lf,Cd300a,Ap1s2,Cblb,Treml4,Ctsd,Sh2d1b1,Cd200r4,Ulbp1
MMU-1474244	Extracellular matrix organization	15	83	0.0016	Lamb1,Plod3,P4ha1,Plod1,Loxl2,Emilin2,Col24a1,Ibsp,Tnn,Colgalt1,Fbln2,Itga2,Itgb4,Tnc,Col22a1	Lamb1,Plod3,P4ha1,Plod1,Loxl2,Emilin2,Col24a1,Ibsp,Tnn,Colgalt1,Fbln2,Itga2,Itgb4,Tnc,Col22a1
MMU-166658	Complement cascade	9	32	0.0018	Cfp,Cfb,C1qc,C1qb,C1qa,C1ra,C4b,Cfi,C6	Cfp,Cfb,C1qc,C1qb,C1qa,C1ra,C4b,Cfi,C6
MMU-1430728	Metabolism	106	1346	0.0028	Gm2a,Naglu,Pla1a,Tbxas1,Cyp4f18,Has1,Hmox1,Elovl1,Aprt,B4galnt1,Neu1,Gltp,Tnfaip8l2,Galns,Slc25a13,Txnrd1,Upp1,Galc,Sptlc2,Degs2,Hexb,Samd8,Esd,Lrp12,Vdr,Hexa,Sat1,Esyt1,Cyp2e1,Gusb,Cers6,Gatm,Fabp5,Ddah1,Txn1,Ctps,Cd38,Man2b2,Hsd17b11,Hpgds,Acan,Acer3,Acsl4,Slc6a8,Gsr,Asah1,Man2b1,B3gnt3,Pla2g15,Nt5e,Ptgs2,Hsd3b7,Cyp7b1,Parp14,Cerk,Pdxk,Dse,Ndst2,Chst2,Lum,Aldh1b1,Blvrb,Gns,Hpse,Chst11,Acat3,Lpcat2,Ch25h,Hk3,Glb1,Aldh3b1,Pfkfb4,Ugt1a7c,Cemip,Acox3,Mocos,B4galt6,Pld4,Gnpda1,Pi4k2a,Ppap2c,Alox5ap,Dpep2,Gpx1,Arnt2,Pgm1,Gda,Hs6st2,Hs6st1,St3gal1,Folr2,Ass1,Osbpl8,Serinc2,B4galt5,Tcn2,Mthfsl,B3gnt7,Xylt2,Chpf2,Sgpl1,Slc37a2,Acp5,Cndp2,Gba,Sphk1	Gm2a,Naglu,Pla1a,Tbxas1,Cyp4f18,Has1,Hmox1,Elovl1,Aprt,B4galnt1,Neu1,Gltp,Tnfaip8l2,Galns,Slc25a13,Txnrd1,Upp1,Galc,Sptlc2,Degs2,Hexb,Samd8,Esd,Lrp12,Vdr,Hexa,Sat1,Esyt1,Cyp2e1,Gusb,Cers6,Gatm,Fabp5,Ddah1,Txn1,Ctps,Cd38,Man2b2,Hsd17b11,Hpgds,Acan,Acer3,Acsl4,Slc6a8,Gsr,Asah1,Man2b1,B3gnt3,Pla2g15,Nt5e,Ptgs2,Hsd3b7,Cyp7b1,Parp14,Cerk,Pdxk,Dse,Ndst2,Chst2,Lum,Aldh1b1,Blvrb,Gns,Hpse,Chst11,Acat3,Lpcat2,Ch25h,Hk3,Glb1,Aldh3b1,Pfkfb4,Ugt1a7c,Cemip,Acox3,Mocos,B4galt6,Pld4,Gnpda1,Pi4k2a,Plpp2,Alox5ap,Dpep2,Gpx1,Arnt2,Pgm1,Gda,Hs6st2,Hs6st1,St3gal1,Folr2,Ass1,Osbpl8,Serinc2,B4galt5,Tcn2,Mthfsl,B3gnt7,Xylt2,Chpf2,Sgpl1,Slc37a2,Acp5,Cndp2,Gba,Sphk1
MMU-1442490	Collagen degradation	7	23	0.0048	Mmp12,Mmp13,Mmp8,Col12a1,Col8a1,Mmp14,Col10a1	Mmp12,Mmp13,Mmp8,Col12a1,Col8a1,Mmp14,Col10a1
