#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0071944	cell periphery	152	4443	1.0000000000000001e-11	Nalcn,Cdh4,Bcam,Casq1,Stx1a,Tmem110,Vipr2,Ppp1cb,Noxo1,Perp,Abca8b,Sntg2,Cap2,Slc38a4,Mylk,Slc22a1,Lims2,Slc6a7,Pcsk5,Map4k2,Dgka,Tmem47,Rftn2,Rab17,Rgs4,Itga8,Gsn,Grb14,Capn3,Ltk,Gfra4,Nbea,Tspan2,Gpsm2,Npr1,Gucy1b3,F3,Bmpr1b,Prkaa2,Kcnq4,Itpr1,Sspn,Rtn2,Dmpk,Tub,Mst4,Fgf13,Itm2a,Nkd1,Jam3,Mcam,Lgr6,Bmpr1a,Cdh6,Lepr,Dgkb,Ntrk3,Sntb1,Cldn22,Ank2,Hdac11,Vstm2b,Npy1r,Cobl,Fgf1,Lgr4,Atp1b2,Kcnab1,Cd59a,Gucy1a3,Fzd4,Axin2,Rltpr,Ar,Vstm4,Gldn,Camk2n1,Kcns3,Fat4,Gabra3,Asap2,Pgr,Gpc3,Lancl3,Sytl5,Astn2,Rgs7bp,Cdc42ep3,Cd8a,Kcnip1,Gja6,Rock1,Epha1,Sgcd,Sgcg,Gng8,Enah,Hhip,Whrn,Tacc2,Fry,Ptprz1,Slc16a5,Lama2,Filip1,Ramp1,Svip,Kcnd3,Abca8a,Dstn,Myh10,Slc4a10,Pkp4,Mpdz,Tmprss9,Unc5c,Gjc1,Sema6c,Tmem8b,Slc1a5,Slc24a3,Colq,Cacna1c,Rasgrp2,Arhgef9,Dmd,Cacnb2,Fhl1,Tnk2,Sept6,Dtna,Btc,Rab4a,Erbb4,Paqr6,Svil,Igsf9b,Slmap,Lrch2,Prrt2,Tnik,Ccr9,Ihh,Unc5d,Slc8a2,Apoe,Arhgap32,Kcnip4,Gpr161,Smim1,Tenm3,Kcnma1	Nalcn,Cdh4,Bcam,Casq1,Stx1a,Tmem110,Vipr2,Ppp1cb,Noxo1,Perp,Abca8b,Sntg2,Cap2,Slc38a4,Mylk,Slc22a1,Lims2,Slc6a7,Pcsk5,Map4k2,Dgka,Tmem47,Rftn2,Rab17,Rgs4,Itga8,Gsn,Grb14,Capn3,Ltk,Gfra4,Nbea,Tspan2,Gpsm2,Npr1,Gucy1b3,F3,Bmpr1b,Prkaa2,Kcnq4,Itpr1,Sspn,Rtn2,Dmpk,Tub,Stk26,Fgf13,Itm2a,Nkd1,Jam3,Mcam,Lgr6,Bmpr1a,Cdh6,Lepr,Dgkb,Ntrk3,Sntb1,Cldn22,Ank2,Hdac11,Vstm2b,Npy1r,Cobl,Fgf1,Lgr4,Atp1b2,Kcnab1,Cd59a,Gucy1a3,Fzd4,Axin2,Rltpr,Ar,Vstm4,Gldn,Camk2n1,Kcns3,Fat4,Gabra3,Asap2,Pgr,Gpc3,Lancl3,Sytl5,Astn2,Rgs7bp,Cdc42ep3,Cd8a,Kcnip1,Gja6,Rock1,Epha1,Sgcd,Sgcg,Gng8,Enah,Hhip,Whrn,Tacc2,Fry,Ptprz1,Slc16a5,Lama2,Filip1,Ramp1,Svip,Kcnd3,Abca8a,Dstn,Myh10,Slc4a10,Pkp4,Mpdz,Tmprss9,Unc5c,Gjc1,Sema6c,Tmem8b,Slc1a5,Slc24a3,Colq,Cacna1c,Rasgrp2,Arhgef9,Dmd,Cacnb2,Fhl1,Tnk2,Sept6,Dtna,Btc,Rab4a,Erbb4,Paqr6,Svil,Igsf9b,Slmap,Lrch2,Prrt2,Tnik,Ccr9,Ihh,Unc5d,Slc8a2,Apoe,Arhgap32,Kcnip4,Gpr161,Smim1,Tenm3,Kcnma1
GO:0005886	plasma membrane	147	4328	3.2100000000000004e-11	Nalcn,Cdh4,Bcam,Casq1,Stx1a,Vipr2,Ppp1cb,Noxo1,Perp,Abca8b,Sntg2,Cap2,Slc38a4,Mylk,Slc22a1,Lims2,Slc6a7,Pcsk5,Map4k2,Dgka,Tmem47,Rftn2,Rab17,Rgs4,Itga8,Gsn,Grb14,Capn3,Ltk,Gfra4,Nbea,Tspan2,Gpsm2,Npr1,Gucy1b3,F3,Bmpr1b,Prkaa2,Kcnq4,Itpr1,Sspn,Rtn2,Dmpk,Tub,Mst4,Fgf13,Itm2a,Nkd1,Jam3,Mcam,Lgr6,Bmpr1a,Cdh6,Lepr,Dgkb,Ntrk3,Sntb1,Cldn22,Ank2,Hdac11,Vstm2b,Npy1r,Cobl,Lgr4,Atp1b2,Kcnab1,Cd59a,Gucy1a3,Fzd4,Axin2,Rltpr,Ar,Vstm4,Gldn,Camk2n1,Kcns3,Fat4,Gabra3,Asap2,Pgr,Gpc3,Lancl3,Sytl5,Rgs7bp,Cdc42ep3,Cd8a,Kcnip1,Gja6,Rock1,Epha1,Sgcd,Sgcg,Gng8,Enah,Hhip,Whrn,Tacc2,Ptprz1,Slc16a5,Lama2,Filip1,Ramp1,Svip,Kcnd3,Abca8a,Myh10,Slc4a10,Pkp4,Mpdz,Tmprss9,Unc5c,Gjc1,Sema6c,Tmem8b,Slc1a5,Slc24a3,Colq,Cacna1c,Rasgrp2,Arhgef9,Dmd,Cacnb2,Fhl1,Tnk2,Sept6,Dtna,Btc,Rab4a,Erbb4,Paqr6,Svil,Igsf9b,Slmap,Lrch2,Prrt2,Tnik,Ccr9,Ihh,Unc5d,Slc8a2,Apoe,Arhgap32,Kcnip4,Gpr161,Smim1,Tenm3,Kcnma1	Nalcn,Cdh4,Bcam,Casq1,Stx1a,Vipr2,Ppp1cb,Noxo1,Perp,Abca8b,Sntg2,Cap2,Slc38a4,Mylk,Slc22a1,Lims2,Slc6a7,Pcsk5,Map4k2,Dgka,Tmem47,Rftn2,Rab17,Rgs4,Itga8,Gsn,Grb14,Capn3,Ltk,Gfra4,Nbea,Tspan2,Gpsm2,Npr1,Gucy1b3,F3,Bmpr1b,Prkaa2,Kcnq4,Itpr1,Sspn,Rtn2,Dmpk,Tub,Stk26,Fgf13,Itm2a,Nkd1,Jam3,Mcam,Lgr6,Bmpr1a,Cdh6,Lepr,Dgkb,Ntrk3,Sntb1,Cldn22,Ank2,Hdac11,Vstm2b,Npy1r,Cobl,Lgr4,Atp1b2,Kcnab1,Cd59a,Gucy1a3,Fzd4,Axin2,Rltpr,Ar,Vstm4,Gldn,Camk2n1,Kcns3,Fat4,Gabra3,Asap2,Pgr,Gpc3,Lancl3,Sytl5,Rgs7bp,Cdc42ep3,Cd8a,Kcnip1,Gja6,Rock1,Epha1,Sgcd,Sgcg,Gng8,Enah,Hhip,Whrn,Tacc2,Ptprz1,Slc16a5,Lama2,Filip1,Ramp1,Svip,Kcnd3,Abca8a,Myh10,Slc4a10,Pkp4,Mpdz,Tmprss9,Unc5c,Gjc1,Sema6c,Tmem8b,Slc1a5,Slc24a3,Colq,Cacna1c,Rasgrp2,Arhgef9,Dmd,Cacnb2,Fhl1,Tnk2,Sept6,Dtna,Btc,Rab4a,Erbb4,Paqr6,Svil,Igsf9b,Slmap,Lrch2,Prrt2,Tnik,Ccr9,Ihh,Unc5d,Slc8a2,Apoe,Arhgap32,Kcnip4,Gpr161,Smim1,Tenm3,Kcnma1
GO:0043292	contractile fiber	22	230	3.7600000000000003e-07	Casq1,Capn3,Tpm2,Pdlim3,Ky,Nexn,Npnt,Ank2,Fbxl22,Lmod1,Ppp1r12a,Myom1,Myl9,Myh11,Synpo2,Cacna1c,Dmd,Svil,Slmap,Sphkap,Ppp1r12b,Mef2c	Casq1,Capn3,Tpm2,Pdlim3,Ky,Nexn,Npnt,Ank2,Fbxl22,Lmod1,Ppp1r12a,Myom1,Myl9,Myh11,Synpo2,Cacna1c,Dmd,Svil,Slmap,Sphkap,Ppp1r12b,Mef2c
GO:0030016	myofibril	21	220	6.790000000000001e-07	Casq1,Capn3,Tpm2,Pdlim3,Ky,Nexn,Ank2,Fbxl22,Lmod1,Ppp1r12a,Myom1,Myl9,Myh11,Synpo2,Cacna1c,Dmd,Svil,Slmap,Sphkap,Ppp1r12b,Mef2c	Casq1,Capn3,Tpm2,Pdlim3,Ky,Nexn,Ank2,Fbxl22,Lmod1,Ppp1r12a,Myom1,Myl9,Myh11,Synpo2,Cacna1c,Dmd,Svil,Slmap,Sphkap,Ppp1r12b,Mef2c
GO:0005623	cell	320	14044	8.559999999999999e-07	Nalcn,Cdh4,Serpinf1,Sost,Srpk3,Pnck,Bcam,Casq1,Ssbp2,Ndrg2,Stx1a,Sh2d1a,Tmem110,Vipr2,Ppp1cb,Xk,Noxo1,Nrbp2,Perp,Tmpo,Myb,Nudt4,Glt8d2,Abca8b,Sntg2,Asb2,Cap2,Thrb,Nkx3-1,Khdrbs3,Dmc1,Slc38a4,Endou,Cep97,Mpv17l,Mylk,Rsph3b,Slc22a1,Hcfc1r1,Lims2,Slc6a7,Pcsk5,Pip5k1b,Map4k2,Dgka,Gli1,Tmem47,Rftn2,Chst10,Igfbp5,Efhd1,Rab17,Ccdc3,Rgs4,Itga8,Gsn,Grb14,Capn3,Ltk,Gfra4,Mylk2,Pkia,Chmp4c,Bche,Smad9,Nbea,Tspan2,Gpsm2,Npr1,Lef1,Gucy1b3,F3,Ptbp2,Trp53inp1,Bmpr1b,Tpm2,Gne,Psip1,Prkaa2,Kcnq4,Sema3a,Smarcd3,Ift81,Foxp2,Aass,Itpr1,Sspn,Vamp1,Rtn2,Dmpk,Nr2f2,Tub,Mst4,Fgf13,Itm2a,Asb5,Rbpms,Pdlim3,Nkd1,Setd6,Emc8,Jam3,Mcam,Arpp21,Klhdc8b,Lgr6,Pnmt,Pygb,Bmpr1a,Ky,Tbata,Cdh6,Nexn,Lepr,Dgkb,Ntrk3,Sh3bgr,Rag2,Rcan2,Npnt,Slc25a23,Fam198a,Sntb1,Cldn22,Chd6,Rbm24,Ank2,Hdac11,Vstm2b,Tmem35,Npy1r,Cobl,Fgf1,Camk4,Ndp,Lgr4,Atp1b2,Bpgm,Kcnab1,Nudt19,Cd59a,Gucy1a3,Upb1,Fzd4,Klhl23,Axin2,Rltpr,Ar,Nfib,Napepld,Vstm4,Osr1,Egflam,Gldn,Ric3,Rbpms2,Spo11,Tceal3,Themis,Fbxl22,Mylk4,Camk2n1,Kcns3,Ppm1e,Gal3st3,Lmod1,Fat4,Dntt,Gabra3,Asap2,Pgr,Gpc3,Rimklb,Lancl3,Sytl5,Wnt5a,Eml5,Astn2,Rgs7bp,Npr3,Lrrc15,Lep,Cdc42ep3,Cd8a,Pde5a,Kcnip1,Gja6,Fam212b,Ppp1r12a,Glcci1,Nr1d1,Rock1,Sh3rf2,Myom1,Epha1,Gulp1,Fam19a1,Pitpnm3,Pard3b,Abtb2,Sgcd,Sgcg,Gng8,Rag1,Enah,Hhip,Phex,Whrn,Tacc2,Aqp11,Fry,Myl9,Pla2g4e,Myh11,Ptprz1,Zak,Msrb3,Slc16a5,Lama2,Filip1,Aff3,Fgf14,Klf12,Ramp1,Pm20d2,Svip,Kcnd3,Fibin,B3galnt2,Abca8a,Limch1,Mgat5b,Thra,Dstn,Tcea3,Myh10,Slc4a10,Pkp4,Kank4,Mpdz,Tmprss9,Ctnna3,Unc5c,Sept1,Synpo2,Wdr78,Gjc1,Sema6c,Tmem8b,Pex5l,Apoc1,Dact3,Slc1a5,Zfp354c,Prickle1,Cbx7,Slc24a3,Hdac9,Rbms3,Colq,Ntf3,B3galt1,Map7d2,Cacna1c,Gprasp1,Col4a3,Rasgrp2,Wdfy1,Arhgef9,Dmd,BC029214,Cacnb2,Fhl1,Tnk2,Sept6,Dtna,Bex4,Btc,Nyap1,Rab4a,Phtf2,Erbb4,Paqr6,Mrvi1,Svil,Phactr1,Satb1,Igsf9b,Dact1,Slmap,Lrch2,Prrt2,Sphkap,Tnik,Ccr9,Vldlr,Ihh,Tfdp2,Unc5d,Slc8a2,Ttll7,Pnldc1,Ppp1r12b,Mef2c,Spats2l,Tet1,Apoe,Arhgap32,Gprasp2,Kcnip4,Mterf1b,Gfi1,Gpr161,Kbtbd13,Tdrd5,Cxxc4,Smim1,Meis1,Tenm3,Kcnma1	Nalcn,Cdh4,Serpinf1,Sost,Srpk3,Pnck,Bcam,Casq1,Ssbp2,Ndrg2,Stx1a,Sh2d1a,Tmem110,Vipr2,Ppp1cb,Xk,Noxo1,Nrbp2,Perp,Tmpo,Myb,Nudt4,Glt8d2,Abca8b,Sntg2,Asb2,Cap2,Thrb,Nkx3-1,Khdrbs3,Dmc1,Slc38a4,Endou,Cep97,Mpv17l,Mylk,Rsph3b,Slc22a1,Hcfc1r1,Lims2,Slc6a7,Pcsk5,Pip5k1b,Map4k2,Dgka,Gli1,Tmem47,Rftn2,Chst10,Igfbp5,Efhd1,Rab17,Ccdc3,Rgs4,Itga8,Gsn,Grb14,Capn3,Ltk,Gfra4,Mylk2,Pkia,Chmp4c,Bche,Smad9,Nbea,Tspan2,Gpsm2,Npr1,Lef1,Gucy1b3,F3,Ptbp2,Trp53inp1,Bmpr1b,Tpm2,Gne,Psip1,Prkaa2,Kcnq4,Sema3a,Smarcd3,Ift81,Foxp2,Aass,Itpr1,Sspn,Vamp1,Rtn2,Dmpk,Nr2f2,Tub,Stk26,Fgf13,Itm2a,Asb5,Rbpms,Pdlim3,Nkd1,Setd6,Emc8,Jam3,Mcam,Arpp21,Klhdc8b,Lgr6,Pnmt,Pygb,Bmpr1a,Ky,Tbata,Cdh6,Nexn,Lepr,Dgkb,Ntrk3,Sh3bgr,Rag2,Rcan2,Npnt,Slc25a23,Fam198a,Sntb1,Cldn22,Chd6,Rbm24,Ank2,Hdac11,Vstm2b,Tmem35,Npy1r,Cobl,Fgf1,Camk4,Ndp,Lgr4,Atp1b2,Bpgm,Kcnab1,Nudt19,Cd59a,Gucy1a3,Upb1,Fzd4,Klhl23,Axin2,Rltpr,Ar,Nfib,Napepld,Vstm4,Osr1,Egflam,Gldn,Ric3,Rbpms2,Spo11,Tceal3,Themis,Fbxl22,Mylk4,Camk2n1,Kcns3,Ppm1e,Gal3st3,Lmod1,Fat4,Dntt,Gabra3,Asap2,Pgr,Gpc3,Rimklb,Lancl3,Sytl5,Wnt5a,Eml5,Astn2,Rgs7bp,Npr3,Lrrc15,Lep,Cdc42ep3,Cd8a,Pde5a,Kcnip1,Gja6,Fam212b,Ppp1r12a,Glcci1,Nr1d1,Rock1,Sh3rf2,Myom1,Epha1,Gulp1,Fam19a1,Pitpnm3,Pard3b,Abtb2,Sgcd,Sgcg,Gng8,Rag1,Enah,Hhip,Phex,Whrn,Tacc2,Aqp11,Fry,Myl9,Pla2g4e,Myh11,Ptprz1,Zak,Msrb3,Slc16a5,Lama2,Filip1,Aff3,Fgf14,Klf12,Ramp1,Pm20d2,Svip,Kcnd3,Fibin,B3galnt2,Abca8a,Limch1,Mgat5b,Thra,Dstn,Tcea3,Myh10,Slc4a10,Pkp4,Kank4,Mpdz,Tmprss9,Ctnna3,Unc5c,Sept1,Synpo2,Wdr78,Gjc1,Sema6c,Tmem8b,Pex5l,Apoc1,Dact3,Slc1a5,Zfp354c,Prickle1,Cbx7,Slc24a3,Hdac9,Rbms3,Colq,Ntf3,B3galt1,Map7d2,Cacna1c,Gprasp1,Col4a3,Rasgrp2,Wdfy1,Arhgef9,Dmd,BC029214,Cacnb2,Fhl1,Tnk2,Sept6,Dtna,Bex4,Btc,Nyap1,Rab4a,Phtf2,Erbb4,Paqr6,Mrvi1,Svil,Phactr1,Satb1,Igsf9b,Dact1,Slmap,Lrch2,Prrt2,Sphkap,Tnik,Ccr9,Vldlr,Ihh,Tfdp2,Unc5d,Slc8a2,Ttll7,Pnldc1,Ppp1r12b,Mef2c,Spats2l,Tet1,Apoe,Arhgap32,Gprasp2,Kcnip4,Mterf1b,Gfi1,Gpr161,Kbtbd13,Tdrd5,Cxxc4,Smim1,Meis1,Tenm3,Kcnma1
GO:0016020	membrane	198	7460	8.559999999999999e-07	Nalcn,Cdh4,Bcam,Casq1,Stx1a,Tmem110,Vipr2,Ppp1cb,Xk,Noxo1,Perp,Tmpo,Glt8d2,Abca8b,Sntg2,Cap2,Fam118a,Slc38a4,Mpv17l,Mylk,Slc22a1,Lims2,Slc6a7,Pcsk5,Pip5k1b,Map4k2,Dgka,Tmem47,Rftn2,Chst10,Efhd1,Rab17,Rgs4,Itga8,Gsn,Grb14,Capn3,Ltk,Gfra4,Chmp4c,Bche,Nbea,Tspan2,Gpsm2,Npr1,Gucy1b3,F3,Bmpr1b,Ccdc107,Prkaa2,Kcnq4,Itpr1,Sspn,Vamp1,Rtn2,Dmpk,Tub,Mst4,Fgf13,Itm2a,Nkd1,Emc8,Jam3,Mcam,Lgr6,Bmpr1a,ENSMUSG00000036242,Cdh6,Lepr,Dgkb,Ntrk3,Prrg3,Npnt,Slc25a23,Sntb1,Cldn22,Ank2,Hdac11,Vstm2b,Atp6v0e2,Tmem35,Npy1r,Cobl,Lgr4,Atp1b2,Kcnab1,Cd59a,Gucy1a3,Fzd4,Axin2,Tmem136,Rltpr,Ar,Napepld,Vstm4,Osr1,Gldn,Ric3,Camk2n1,Kcns3,Gal3st3,Fat4,Gabra3,Asap2,Pgr,Gpc3,Lancl3,Sytl5,Astn2,Rgs7bp,Npr3,Lrrc15,Cdc42ep3,Cd8a,Sema5a,Kcnip1,Gja6,Rock1,Car12,Epha1,Pitpnm3,Pard3b,Sgcd,Sgcg,Gng8,Enah,Hhip,Phex,Whrn,Tacc2,Aqp11,Rasl12,Pla2g4e,Ptprz1,Slc16a5,Lama2,Filip1,Ramp1,Svip,Kcnd3,Nnt,B3galnt2,Abca8a,Mgat5b,Myh10,Slc4a10,Pkp4,Mpdz,Ptprd,Tmprss9,Unc5c,Gjc1,Sema6c,Tmem8b,Pex5l,Slc1a5,Zfp354c,Prickle1,Slc24a3,Adam33,Colq,B3galt1,Cacna1c,Rasgrp2,Arhgef9,Dmd,Cacnb2,Fhl1,Tnk2,Sept6,Dtna,Btc,Rab4a,Erbb4,Paqr6,Mrvi1,Svil,Igsf9b,Slmap,Stum,Lrch2,Prrt2,Tnik,Ccr9,Vldlr,Ihh,Pdgfd,Unc5d,Slc8a2,Pnldc1,Apoe,Arhgap32,Kcnip4,Gpr161,Smim1,Smim5,Tenm3,Kcnma1	Nalcn,Cdh4,Bcam,Casq1,Stx1a,Tmem110,Vipr2,Ppp1cb,Xk,Noxo1,Perp,Tmpo,Glt8d2,Abca8b,Sntg2,Cap2,Fam118a,Slc38a4,Mpv17l,Mylk,Slc22a1,Lims2,Slc6a7,Pcsk5,Pip5k1b,Map4k2,Dgka,Tmem47,Rftn2,Chst10,Efhd1,Rab17,Rgs4,Itga8,Gsn,Grb14,Capn3,Ltk,Gfra4,Chmp4c,Bche,Nbea,Tspan2,Gpsm2,Npr1,Gucy1b3,F3,Bmpr1b,Ccdc107,Prkaa2,Kcnq4,Itpr1,Sspn,Vamp1,Rtn2,Dmpk,Tub,Stk26,Fgf13,Itm2a,Nkd1,Emc8,Jam3,Mcam,Lgr6,Bmpr1a,3632451O06Rik,Cdh6,Lepr,Dgkb,Ntrk3,Prrg3,Npnt,Slc25a23,Sntb1,Cldn22,Ank2,Hdac11,Vstm2b,Atp6v0e2,Tmem35,Npy1r,Cobl,Lgr4,Atp1b2,Kcnab1,Cd59a,Gucy1a3,Fzd4,Axin2,Tmem136,Rltpr,Ar,Napepld,Vstm4,Osr1,Gldn,Ric3,Camk2n1,Kcns3,Gal3st3,Fat4,Gabra3,Asap2,Pgr,Gpc3,Lancl3,Sytl5,Astn2,Rgs7bp,Npr3,Lrrc15,Cdc42ep3,Cd8a,Sema5a,Kcnip1,Gja6,Rock1,Car12,Epha1,Pitpnm3,Pard3b,Sgcd,Sgcg,Gng8,Enah,Hhip,Phex,Whrn,Tacc2,Aqp11,Rasl12,Pla2g4e,Ptprz1,Slc16a5,Lama2,Filip1,Ramp1,Svip,Kcnd3,Nnt,B3galnt2,Abca8a,Mgat5b,Myh10,Slc4a10,Pkp4,Mpdz,Ptprd,Tmprss9,Unc5c,Gjc1,Sema6c,Tmem8b,Pex5l,Slc1a5,Zfp354c,Prickle1,Slc24a3,Adam33,Colq,B3galt1,Cacna1c,Rasgrp2,Arhgef9,Dmd,Cacnb2,Fhl1,Tnk2,Sept6,Dtna,Btc,Rab4a,Erbb4,Paqr6,Mrvi1,Svil,Igsf9b,Slmap,Stum,Lrch2,Prrt2,Tnik,Ccr9,Vldlr,Ihh,Pdgfd,Unc5d,Slc8a2,Pnldc1,Apoe,Arhgap32,Kcnip4,Gpr161,Smim1,Smim5,Tenm3,Kcnma1
GO:0030425	dendrite	38	694	9.63e-07	Pcsk5,Rab17,Itga8,Mylk2,Bmpr1b,Prkaa2,Sema3a,Itpr1,Fgf13,Pnmt,Bmpr1a,Cobl,Kcnab1,Fzd4,Ar,Camk2n1,Pgr,Kcnip1,Nr1d1,Whrn,Aqp11,Ptprz1,Lama2,Kcnd3,Myh10,Slc4a10,Mpdz,Pex5l,Cacna1c,Tnk2,Igsf9b,Prrt2,Slc8a2,Ttll7,Apoe,Arhgap32,Kcnip4,Kcnma1	Pcsk5,Rab17,Itga8,Mylk2,Bmpr1b,Prkaa2,Sema3a,Itpr1,Fgf13,Pnmt,Bmpr1a,Cobl,Kcnab1,Fzd4,Ar,Camk2n1,Pgr,Kcnip1,Nr1d1,Whrn,Aqp11,Ptprz1,Lama2,Kcnd3,Myh10,Slc4a10,Mpdz,Pex5l,Cacna1c,Tnk2,Igsf9b,Prrt2,Slc8a2,Ttll7,Apoe,Arhgap32,Kcnip4,Kcnma1
GO:0030017	sarcomere	19	199	1.62e-06	Casq1,Capn3,Tpm2,Pdlim3,Ky,Nexn,Ank2,Fbxl22,Lmod1,Ppp1r12a,Myom1,Myl9,Synpo2,Cacna1c,Dmd,Slmap,Sphkap,Ppp1r12b,Mef2c	Casq1,Capn3,Tpm2,Pdlim3,Ky,Nexn,Ank2,Fbxl22,Lmod1,Ppp1r12a,Myom1,Myl9,Synpo2,Cacna1c,Dmd,Slmap,Sphkap,Ppp1r12b,Mef2c
GO:0031674	I band	16	142	2.27e-06	Casq1,Capn3,Pdlim3,Ky,Nexn,Ank2,Fbxl22,Ppp1r12a,Myom1,Myl9,Synpo2,Cacna1c,Dmd,Slmap,Sphkap,Ppp1r12b	Casq1,Capn3,Pdlim3,Ky,Nexn,Ank2,Fbxl22,Ppp1r12a,Myom1,Myl9,Synpo2,Cacna1c,Dmd,Slmap,Sphkap,Ppp1r12b
GO:0030018	Z disc	15	127	3.11e-06	Capn3,Pdlim3,Ky,Nexn,Ank2,Fbxl22,Ppp1r12a,Myom1,Myl9,Synpo2,Cacna1c,Dmd,Slmap,Sphkap,Ppp1r12b	Capn3,Pdlim3,Ky,Nexn,Ank2,Fbxl22,Ppp1r12a,Myom1,Myl9,Synpo2,Cacna1c,Dmd,Slmap,Sphkap,Ppp1r12b
