#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005515	protein binding	185	6456	5.99e-08	Sost,Pnck,Bcam,Casq1,Ccl24,Stx1a,Sh2d1a,Ppp1cb,Noxo1,Tmpo,Myb,Sntg2,Cap2,Ogn,Thrb,Nkx3-1,Khdrbs3,Fam118a,Mpv17l,Mylk,Slc22a1,Map4k2,Rbp4,Gli1,Igfbp5,Angptl1,Rgs4,Gsn,Grb14,Capn3,Mylk2,Pkia,Chmp4c,Bche,Nbea,Gpsm2,Npr1,Lef1,Gucy1b3,F3,Bmpr1b,Tpm2,Psip1,Prkaa2,Sema3c,Sema3a,Smarcd3,Sema3d,Ift81,Foxp2,Itpr1,Vamp1,Dmpk,Nr2f2,Mst4,Fgf13,Rbpms,Pdlim3,Nkd1,Setd6,Jam3,Arpp21,Pygb,Bmpr1a,Nexn,Lepr,Ntrk3,Sh3bgr,Rag2,Npnt,Sntb1,Cldn22,Chd6,Rcsd1,Ank2,Hdac11,Cobl,Fgf1,Camk4,Ndp,Atp1b2,Kcnab1,Nudt19,Cd59a,Garem,Gucy1a3,Fzd4,Axin2,C1qtnf2,Ar,Napepld,Osr1,Gldn,Ric3,Rbpms2,Tceal3,Camk2n1,Lmod1,Pgr,Sytl5,Wnt5a,Eml5,Npr3,Lrrc15,Lep,Cdc42ep3,Cd8a,Sema5a,Kcnip1,Fam212b,Ppp1r12a,Nr1d1,Rock1,Sh3rf2,Myom1,Epha1,Pitpnm3,Abtb2,St5,Rag1,Enah,Hhip,Whrn,Tacc2,Myl9,Myh11,Ptprz1,Lama2,Fgf14,Svip,Kcnd3,Fibin,Limch1,Thra,Dstn,Myh10,Mpdz,Ptprd,Ctnna3,Sept1,Synpo2,Wdr78,Sema6c,Pex5l,Dact3,Prickle1,Cbx7,Hdac9,Ntf3,Cacna1c,Col4a3,Rasgrp2,Arhgef9,Dmd,BC029214,Cacnb2,Fhl1,Tnk2,Dtna,Bex4,Btc,Rab4a,Erbb4,Svil,Phactr1,Igsf9b,Dact1,Slmap,Prrt2,Sphkap,Vldlr,Ihh,Tfdp2,Pdgfd,Gdf10,Slc8a2,Ttll7,Ppp1r12b,Mef2c,Apoe,Gprasp2,Cxxc4,Meis1,Tenm3,Kcnma1	Sost,Pnck,Bcam,Casq1,Ccl24,Stx1a,Sh2d1a,Ppp1cb,Noxo1,Tmpo,Myb,Sntg2,Cap2,Ogn,Thrb,Nkx3-1,Khdrbs3,Fam118a,Mpv17l,Mylk,Slc22a1,Map4k2,Rbp4,Gli1,Igfbp5,Angptl1,Rgs4,Gsn,Grb14,Capn3,Mylk2,Pkia,Chmp4c,Bche,Nbea,Gpsm2,Npr1,Lef1,Gucy1b3,F3,Bmpr1b,Tpm2,Psip1,Prkaa2,Sema3c,Sema3a,Smarcd3,Sema3d,Ift81,Foxp2,Itpr1,Vamp1,Dmpk,Nr2f2,Stk26,Fgf13,Rbpms,Pdlim3,Nkd1,Setd6,Jam3,Arpp21,Pygb,Bmpr1a,Nexn,Lepr,Ntrk3,Sh3bgr,Rag2,Npnt,Sntb1,Cldn22,Chd6,Rcsd1,Ank2,Hdac11,Cobl,Fgf1,Camk4,Ndp,Atp1b2,Kcnab1,Nudt19,Cd59a,Garem,Gucy1a3,Fzd4,Axin2,C1qtnf2,Ar,Napepld,Osr1,Gldn,Ric3,Rbpms2,Tceal3,Camk2n1,Lmod1,Pgr,Sytl5,Wnt5a,Eml5,Npr3,Lrrc15,Lep,Cdc42ep3,Cd8a,Sema5a,Kcnip1,Fam212b,Ppp1r12a,Nr1d1,Rock1,Sh3rf2,Myom1,Epha1,Pitpnm3,Abtb2,St5,Rag1,Enah,Hhip,Whrn,Tacc2,Myl9,Myh11,Ptprz1,Lama2,Fgf14,Svip,Kcnd3,Fibin,Limch1,Thra,Dstn,Myh10,Mpdz,Ptprd,Ctnna3,Sept1,Synpo2,Wdr78,Sema6c,Pex5l,Dact3,Prickle1,Cbx7,Hdac9,Ntf3,Cacna1c,Col4a3,Rasgrp2,Arhgef9,Dmd,BC029214,Cacnb2,Fhl1,Tnk2,Dtna,Bex4,Btc,Rab4a,Erbb4,Svil,Phactr1,Igsf9b,Dact1,Slmap,Prrt2,Sphkap,Vldlr,Ihh,Tfdp2,Pdgfd,Gdf10,Slc8a2,Ttll7,Ppp1r12b,Mef2c,Apoe,Gprasp2,Cxxc4,Meis1,Tenm3,Kcnma1
GO:0005488	binding	263	10884	6.51e-06	Cdh4,Sost,Srpk3,Pnck,Bcam,Casq1,Ssbp2,Ccl24,Stx1a,Sh2d1a,Ppp1cb,Noxo1,Nrbp2,Tmpo,Myb,Nudt4,Abca8b,Sntg2,Cap2,Ogn,Thrb,Nkx3-1,Khdrbs3,Dmc1,Fam118a,Endou,Mpv17l,Mylk,Slc22a1,Lims2,Pcsk5,Pip5k1b,Map4k2,Rbp4,Dgka,Gli1,Igfbp5,Efhd1,Rab17,Angptl1,Rgs4,Itga8,Gsn,Grb14,Capn3,Ltk,Mylk2,Pkia,Chmp4c,Bche,Smad9,Nbea,Gpsm2,Npr1,Lef1,Gucy1b3,F3,Ptbp2,Bmpr1b,Tpm2,Gne,Psip1,Prkaa2,Sema3c,Sema3a,Smarcd3,Sema3d,Sparcl1,Ift81,Foxp2,Itpr1,Vamp1,Dmpk,Nr2f2,Tub,Mst4,Fgf13,Itm2a,Rbpms,Pdlim3,Nkd1,Setd6,Jam3,Arpp21,Pygb,Bmpr1a,Cdh6,Nexn,Lepr,Dgkb,Ntrk3,Sh3bgr,Rag2,Prrg3,Rcan2,Cpz,Npnt,Slc25a23,Sntb1,Cldn22,Chd6,Rbm24,Rcsd1,Ank2,Hdac11,Cobl,Fgf1,Camk4,Ndp,Atp1b2,Kcnab1,Nudt19,Cd59a,Garem,Gucy1a3,Upb1,Fzd4,Axin2,C1qtnf2,Rltpr,Ar,Nfib,Napepld,Osr1,Egflam,Gldn,Ric3,Rbpms2,Spo11,Tceal3,Mylk4,Camk2n1,Ecm2,Ppm1e,Lmod1,Fat4,Dntt,Asap2,Tpsb2,Pgr,Rimklb,Sytl5,Wnt5a,Eml5,Astn2,Lgals4,Npr3,Lrrc15,Hspa12a,Lep,Cdc42ep3,Cd8a,Pde5a,Sema5a,Kcnip1,Fam212b,Ppp1r12a,Nr1d1,Rock1,Car12,Sh3rf2,Myom1,Epha1,Pitpnm3,Abtb2,St5,Rag1,Enah,Hhip,Phex,Whrn,Tacc2,Rasl12,Myl9,Pla2g4e,Myh11,Ptprz1,Zak,Msrb3,Lama2,Aff3,Fgf14,Klf12,Ramp1,Svip,Kcnd3,Nnt,Fibin,Abca8a,Limch1,Mgat5b,Thra,Dstn,Tcea3,Myh10,Mpdz,Ptprd,Ctnna3,Sept1,Synpo2,Wdr78,Sema6c,Pex5l,Apoc1,Dact3,Zfp354c,Prickle1,Cbx7,Slc24a3,Adam33,Hdac9,Rbms3,Ntf3,Cacna1c,Col4a3,Rasgrp2,Wdfy1,Arhgef9,Dmd,BC029214,Cacnb2,Fhl1,Tnk2,Sept6,Dtna,Bex4,Btc,Rab4a,Phtf2,Erbb4,Paqr6,Svil,Phactr1,Satb1,Igsf9b,Dact1,Fbxo30,Slmap,Prrt2,Sphkap,Tnik,Vldlr,Ihh,Tfdp2,Pdgfd,Gdf10,Slc8a2,Ttll7,Pnldc1,Ppp1r12b,Carns1,Mef2c,Tet1,Apoe,Arhgap32,Gprasp2,Kcnip4,Mterf1b,Gfi1,Cxxc4,Meis1,Tenm3,Kcnma1	Cdh4,Sost,Srpk3,Pnck,Bcam,Casq1,Ssbp2,Ccl24,Stx1a,Sh2d1a,Ppp1cb,Noxo1,Nrbp2,Tmpo,Myb,Nudt4,Abca8b,Sntg2,Cap2,Ogn,Thrb,Nkx3-1,Khdrbs3,Dmc1,Fam118a,Endou,Mpv17l,Mylk,Slc22a1,Lims2,Pcsk5,Pip5k1b,Map4k2,Rbp4,Dgka,Gli1,Igfbp5,Efhd1,Rab17,Angptl1,Rgs4,Itga8,Gsn,Grb14,Capn3,Ltk,Mylk2,Pkia,Chmp4c,Bche,Smad9,Nbea,Gpsm2,Npr1,Lef1,Gucy1b3,F3,Ptbp2,Bmpr1b,Tpm2,Gne,Psip1,Prkaa2,Sema3c,Sema3a,Smarcd3,Sema3d,Sparcl1,Ift81,Foxp2,Itpr1,Vamp1,Dmpk,Nr2f2,Tub,Stk26,Fgf13,Itm2a,Rbpms,Pdlim3,Nkd1,Setd6,Jam3,Arpp21,Pygb,Bmpr1a,Cdh6,Nexn,Lepr,Dgkb,Ntrk3,Sh3bgr,Rag2,Prrg3,Rcan2,Cpz,Npnt,Slc25a23,Sntb1,Cldn22,Chd6,Rbm24,Rcsd1,Ank2,Hdac11,Cobl,Fgf1,Camk4,Ndp,Atp1b2,Kcnab1,Nudt19,Cd59a,Garem,Gucy1a3,Upb1,Fzd4,Axin2,C1qtnf2,Rltpr,Ar,Nfib,Napepld,Osr1,Egflam,Gldn,Ric3,Rbpms2,Spo11,Tceal3,Mylk4,Camk2n1,Ecm2,Ppm1e,Lmod1,Fat4,Dntt,Asap2,Tpsb2,Pgr,Rimklb,Sytl5,Wnt5a,Eml5,Astn2,Lgals4,Npr3,Lrrc15,Hspa12a,Lep,Cdc42ep3,Cd8a,Pde5a,Sema5a,Kcnip1,Fam212b,Ppp1r12a,Nr1d1,Rock1,Car12,Sh3rf2,Myom1,Epha1,Pitpnm3,Abtb2,St5,Rag1,Enah,Hhip,Phex,Whrn,Tacc2,Rasl12,Myl9,Pla2g4e,Myh11,Ptprz1,Zak,Msrb3,Lama2,Aff3,Fgf14,Klf12,Ramp1,Svip,Kcnd3,Nnt,Fibin,Abca8a,Limch1,Mgat5b,Thra,Dstn,Tcea3,Myh10,Mpdz,Ptprd,Ctnna3,Sept1,Synpo2,Wdr78,Sema6c,Pex5l,Apoc1,Dact3,Zfp354c,Prickle1,Cbx7,Slc24a3,Adam33,Hdac9,Rbms3,Ntf3,Cacna1c,Col4a3,Rasgrp2,Wdfy1,Arhgef9,Dmd,BC029214,Cacnb2,Fhl1,Tnk2,Sept6,Dtna,Bex4,Btc,Rab4a,Phtf2,Erbb4,Paqr6,Svil,Phactr1,Satb1,Igsf9b,Dact1,Fbxo30,Slmap,Prrt2,Sphkap,Tnik,Vldlr,Ihh,Tfdp2,Pdgfd,Gdf10,Slc8a2,Ttll7,Pnldc1,Ppp1r12b,Carns1,Mef2c,Tet1,Apoe,Arhgap32,Gprasp2,Kcnip4,Mterf1b,Gfi1,Cxxc4,Meis1,Tenm3,Kcnma1
GO:0008307	structural constituent of muscle	7	26	0.00053	Capn3,Tpm2,Pdlim3,Nexn,Myom1,Myh11,Dmd	Capn3,Tpm2,Pdlim3,Nexn,Myom1,Myh11,Dmd
GO:0003707	steroid hormone receptor activity	9	58	0.00078	Thrb,Nkx3-1,Lef1,Nr2f2,Ar,Pgr,Nr1d1,Thra,Paqr6	Thrb,Nkx3-1,Lef1,Nr2f2,Ar,Pgr,Nr1d1,Thra,Paqr6
GO:0003779	actin binding	23	397	0.00078	Sntg2,Cap2,Mylk,Gsn,Tpm2,Nexn,Sntb1,Rcsd1,Cobl,Lmod1,Myom1,Enah,Myh11,Limch1,Dstn,Myh10,Ctnna3,Synpo2,Dmd,Cacnb2,Svil,Phactr1,Kcnma1	Sntg2,Cap2,Mylk,Gsn,Tpm2,Nexn,Sntb1,Rcsd1,Cobl,Lmod1,Myom1,Enah,Myh11,Limch1,Dstn,Myh10,Ctnna3,Synpo2,Dmd,Cacnb2,Svil,Phactr1,Kcnma1
GO:0008092	cytoskeletal protein binding	37	877	0.0011	Stx1a,Sntg2,Cap2,Mylk,Gli1,Gsn,Capn3,Mylk2,Tpm2,Ift81,Fgf13,Pdlim3,Nexn,Sntb1,Rcsd1,Ank2,Cobl,Lmod1,Eml5,Myom1,Enah,Myl9,Myh11,Limch1,Dstn,Myh10,Ctnna3,Synpo2,Cacna1c,Dmd,Cacnb2,Bex4,Svil,Phactr1,Ttll7,Apoe,Kcnma1	Stx1a,Sntg2,Cap2,Mylk,Gli1,Gsn,Capn3,Mylk2,Tpm2,Ift81,Fgf13,Pdlim3,Nexn,Sntb1,Rcsd1,Ank2,Cobl,Lmod1,Eml5,Myom1,Enah,Myl9,Myh11,Limch1,Dstn,Myh10,Ctnna3,Synpo2,Cacna1c,Dmd,Cacnb2,Bex4,Svil,Phactr1,Ttll7,Apoe,Kcnma1
GO:0043167	ion binding	137	5302	0.004	Cdh4,Sost,Srpk3,Pnck,Casq1,Ppp1cb,Noxo1,Nrbp2,Nudt4,Abca8b,Thrb,Dmc1,Endou,Mylk,Lims2,Pip5k1b,Map4k2,Dgka,Gli1,Efhd1,Rab17,Itga8,Gsn,Capn3,Ltk,Mylk2,Bche,Smad9,Npr1,Gucy1b3,F3,Bmpr1b,Gne,Prkaa2,Sparcl1,Foxp2,Itpr1,Dmpk,Nr2f2,Tub,Mst4,Pdlim3,Nkd1,Pygb,Bmpr1a,Cdh6,Dgkb,Ntrk3,Rag2,Prrg3,Cpz,Npnt,Slc25a23,Chd6,Fgf1,Camk4,Kcnab1,Nudt19,Gucy1a3,Upb1,Rltpr,Ar,Napepld,Osr1,Egflam,Spo11,Mylk4,Ecm2,Ppm1e,Fat4,Dntt,Asap2,Tpsb2,Pgr,Rimklb,Sytl5,Astn2,Npr3,Hspa12a,Pde5a,Sema5a,Kcnip1,Nr1d1,Rock1,Car12,Sh3rf2,Epha1,Pitpnm3,Rag1,Hhip,Phex,Rasl12,Myl9,Pla2g4e,Myh11,Zak,Msrb3,Fgf14,Klf12,Kcnd3,Abca8a,Limch1,Mgat5b,Thra,Tcea3,Myh10,Sept1,Apoc1,Zfp354c,Prickle1,Slc24a3,Adam33,Cacna1c,Rasgrp2,Wdfy1,Dmd,Fhl1,Tnk2,Sept6,Dtna,Rab4a,Erbb4,Fbxo30,Tnik,Vldlr,Ihh,Slc8a2,Ttll7,Pnldc1,Carns1,Tet1,Apoe,Arhgap32,Kcnip4,Gfi1,Cxxc4,Kcnma1	Cdh4,Sost,Srpk3,Pnck,Casq1,Ppp1cb,Noxo1,Nrbp2,Nudt4,Abca8b,Thrb,Dmc1,Endou,Mylk,Lims2,Pip5k1b,Map4k2,Dgka,Gli1,Efhd1,Rab17,Itga8,Gsn,Capn3,Ltk,Mylk2,Bche,Smad9,Npr1,Gucy1b3,F3,Bmpr1b,Gne,Prkaa2,Sparcl1,Foxp2,Itpr1,Dmpk,Nr2f2,Tub,Stk26,Pdlim3,Nkd1,Pygb,Bmpr1a,Cdh6,Dgkb,Ntrk3,Rag2,Prrg3,Cpz,Npnt,Slc25a23,Chd6,Fgf1,Camk4,Kcnab1,Nudt19,Gucy1a3,Upb1,Rltpr,Ar,Napepld,Osr1,Egflam,Spo11,Mylk4,Ecm2,Ppm1e,Fat4,Dntt,Asap2,Tpsb2,Pgr,Rimklb,Sytl5,Astn2,Npr3,Hspa12a,Pde5a,Sema5a,Kcnip1,Nr1d1,Rock1,Car12,Sh3rf2,Epha1,Pitpnm3,Rag1,Hhip,Phex,Rasl12,Myl9,Pla2g4e,Myh11,Zak,Msrb3,Fgf14,Klf12,Kcnd3,Abca8a,Limch1,Mgat5b,Thra,Tcea3,Myh10,Sept1,Apoc1,Zfp354c,Prickle1,Slc24a3,Adam33,Cacna1c,Rasgrp2,Wdfy1,Dmd,Fhl1,Tnk2,Sept6,Dtna,Rab4a,Erbb4,Fbxo30,Tnik,Vldlr,Ihh,Slc8a2,Ttll7,Pnldc1,Carns1,Tet1,Apoe,Arhgap32,Kcnip4,Gfi1,Cxxc4,Kcnma1
GO:0005509	calcium ion binding	26	594	0.0105	Cdh4,Casq1,Dgka,Efhd1,Gsn,Capn3,Sparcl1,Itpr1,Nkd1,Cdh6,Dgkb,Prrg3,Npnt,Slc25a23,Egflam,Fat4,Sytl5,Astn2,Kcnip1,Pitpnm3,Myl9,Slc24a3,Rasgrp2,Vldlr,Ihh,Kcnip4	Cdh4,Casq1,Dgka,Efhd1,Gsn,Capn3,Sparcl1,Itpr1,Nkd1,Cdh6,Dgkb,Prrg3,Npnt,Slc25a23,Egflam,Fat4,Sytl5,Astn2,Kcnip1,Pitpnm3,Myl9,Slc24a3,Rasgrp2,Vldlr,Ihh,Kcnip4
GO:0030215	semaphorin receptor binding	4	12	0.013999999999999999	Sema3c,Sema3a,Sema5a,Sema6c	Sema3c,Sema3a,Sema5a,Sema6c
GO:0098772	molecular function regulator	51	1573	0.013999999999999999	Serpinf1,Ccl24,Stx1a,Tmem110,Noxo1,Ogn,Nkx3-1,Rgs4,Capn3,Pkia,Gpsm2,Lef1,Sema3a,Itpr1,Dmpk,Fgf13,Rcan2,Ank2,Fgf1,Ndp,Atp1b2,Kcnab1,Axin2,Camk2n1,Asap2,Gpc3,Wnt5a,Lrrc15,Lep,Cdc42ep3,Kcnip1,Fam212b,Ppp1r12a,Sh3rf2,St5,Fry,Fgf14,Apoc1,Ntf3,Rasgrp2,Arhgef9,Cacnb2,Btc,Rab4a,Phactr1,Pdgfd,Gdf10,Ppp1r12b,Apoe,Arhgap32,Kcnip4	Serpinf1,Ccl24,Stx1a,Tmem110,Noxo1,Ogn,Nkx3-1,Rgs4,Capn3,Pkia,Gpsm2,Lef1,Sema3a,Itpr1,Dmpk,Fgf13,Rcan2,Ank2,Fgf1,Ndp,Atp1b2,Kcnab1,Axin2,Camk2n1,Asap2,Gpc3,Wnt5a,Lrrc15,Lep,Cdc42ep3,Kcnip1,Fam212b,Ppp1r12a,Sh3rf2,St5,Fry,Fgf14,Apoc1,Ntf3,Rasgrp2,Arhgef9,Cacnb2,Btc,Rab4a,Phactr1,Pdgfd,Gdf10,Ppp1r12b,Apoe,Arhgap32,Kcnip4
