#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu04270	Vascular smooth muscle contraction	20	125	6.130000000000001e-10	Ppp1cb,Mylk,Mylk2,Npr1,Gucy1b3,Itpr1,Gucy1a3,Mylk4,Ppp1r12a,Rock1,Myl9,Pla2g4e,Myh11,Ramp1,Adra1d,Plcb4,Cacna1c,Mrvi1,Ppp1r12b,Kcnma1	Ppp1cb,Mylk,Mylk2,Npr1,Gucy1b3,Itpr1,Gucy1a3,Mylk4,Ppp1r12a,Rock1,Myl9,Pla2g4e,Myh11,Ramp1,Adra1d,Plcb4,Cacna1c,Mrvi1,Ppp1r12b,Kcnma1
mmu04022	cGMP-PKG signaling pathway	20	164	2.5099999999999996e-08	Ppp1cb,Mylk,Mylk2,Npr1,Gucy1b3,Itpr1,Atp1b2,Gucy1a3,Mylk4,Pde5a,Ppp1r12a,Rock1,Myl9,Adra1d,Plcb4,Cacna1c,Mrvi1,Slc8a2,Mef2c,Kcnma1	Ppp1cb,Mylk,Mylk2,Npr1,Gucy1b3,Itpr1,Atp1b2,Gucy1a3,Mylk4,Pde5a,Ppp1r12a,Rock1,Myl9,Adra1d,Plcb4,Cacna1c,Mrvi1,Slc8a2,Mef2c,Kcnma1
mmu04921	Oxytocin signaling pathway	19	149	2.5099999999999996e-08	Ppp1cb,Mylk,Mylk2,Npr1,Gucy1b3,Prkaa2,Itpr1,Camk4,Gucy1a3,Mylk4,Ppp1r12a,Rock1,Myl9,Pla2g4e,Plcb4,Cacna1c,Cacnb2,Ppp1r12b,Mef2c	Ppp1cb,Mylk,Mylk2,Npr1,Gucy1b3,Prkaa2,Itpr1,Camk4,Gucy1a3,Mylk4,Ppp1r12a,Rock1,Myl9,Pla2g4e,Plcb4,Cacna1c,Cacnb2,Ppp1r12b,Mef2c
mmu04510	Focal adhesion	16	195	0.00011	Ppp1cb,Mylk,Itga8,Mylk2,Mylk4,Ppp1r12a,Rock1,Col4a4,Myl9,Lama2,Col6a6,Col4a6,Col4a5,Col4a3,Pdgfd,Ppp1r12b	Ppp1cb,Mylk,Itga8,Mylk2,Mylk4,Ppp1r12a,Rock1,Col4a4,Myl9,Lama2,Col6a6,Col4a6,Col4a5,Col4a3,Pdgfd,Ppp1r12b
mmu04611	Platelet activation	12	122	0.00031	Ppp1cb,Mylk,Mylk2,Gucy1b3,Itpr1,Gucy1a3,Mylk4,Ppp1r12a,Rock1,Pla2g4e,Plcb4,Rasgrp2	Ppp1cb,Mylk,Mylk2,Gucy1b3,Itpr1,Gucy1a3,Mylk4,Ppp1r12a,Rock1,Pla2g4e,Plcb4,Rasgrp2
mmu04810	Regulation of actin cytoskeleton	15	208	0.00056	Ppp1cb,Mylk,Pip5k1b,Itga8,Gsn,Mylk2,Fgf1,Mylk4,Ppp1r12a,Rock1,Enah,Myl9,Myh10,Pdgfd,Ppp1r12b	Ppp1cb,Mylk,Pip5k1b,Itga8,Gsn,Mylk2,Fgf1,Mylk4,Ppp1r12a,Rock1,Enah,Myl9,Myh10,Pdgfd,Ppp1r12b
mmu05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	9	71	0.00056	Itga8,Lef1,Sgcd,Sgcg,Lama2,Ctnna3,Cacna1c,Dmd,Cacnb2	Itga8,Lef1,Sgcd,Sgcg,Lama2,Ctnna3,Cacna1c,Dmd,Cacnb2
mmu05410	Hypertrophic cardiomyopathy (HCM)	9	82	0.0012	Itga8,Tpm2,Prkaa2,Sgcd,Sgcg,Lama2,Cacna1c,Dmd,Cacnb2	Itga8,Tpm2,Prkaa2,Sgcd,Sgcg,Lama2,Cacna1c,Dmd,Cacnb2
mmu04512	ECM-receptor interaction	8	81	0.0054	Itga8,Npnt,Col4a4,Lama2,Col6a6,Col4a6,Col4a5,Col4a3	Itga8,Npnt,Col4a4,Lama2,Col6a6,Col4a6,Col4a5,Col4a3
mmu04371	Apelin signaling pathway	10	134	0.0071	Mylk,Mylk2,Prkaa2,Itpr1,Camk4,Mylk4,Gng8,Plcb4,Slc8a2,Mef2c	Mylk,Mylk2,Prkaa2,Itpr1,Camk4,Mylk4,Gng8,Plcb4,Slc8a2,Mef2c
