gene,WD_t0_KO_VS_wWD_t0_wt_FC
Fmod,1.8724874415580401
Naaa,0.8976005840591129
Nt5e,2.65897771530538
Mmp3,1.6941287389133501
Rab9,-0.9603490800958109
Ugt1a7c,1.84485505481967
Nbl1,1.08318398251778
Hivep3,1.46512551034118
C1qtnf1,0.8403807296244471
Mfsd12,1.3623192015202799
Dixdc1,1.18120800893025
Cdon,1.24996955646313
Lgi2,1.76061908135067
Lrtm1,4.2110019699739905
Smpd3,1.57722470420939
Krt80,1.38369904842478
Srpx,1.26274778936423
Plekha4,0.8894945442167591
Dnm1,1.59420125785864
Cx3cr1,1.46453066933272
Ahsa1,-0.8250532461158859
Ptcd3,-0.870003263946631
Dclk1,1.8624956415778797
Prss12,2.06529485605382
Shc2,0.972079278772806
Ugp2,-1.0083463415568
Itgb4,0.9165539495549649
Apoe,-5.813059464575269
Gprin1,3.84475529179528
Gm3002,-1.25936355548728
Scoc,-0.765995173801119
Adcyap1r1,1.9104734259490999
Cd74,1.48466548014227
Nrip1,1.1512689173287
Pik3cd,1.30534945289453
Angptl7,1.9004713346681201
Pdgfrl,1.58552367575634
Ube2f,-0.883180980433802
Ctnnd2,3.5240082761326
Dpt,1.47562788637217
Aldh1a3,1.2447162925417
Ryr1,6.943057222540901
Sulf2,1.08621687901889
Plxnb2,1.01820392083031
Naa20,-1.0232338039009499
Tmem33,-0.77890655991238
Plcl2,1.46756064008849
Nt5dc2,1.80845726142427
Cd55,1.04792487165729
Alox5ap,1.20655840834635
Dgat1,-1.15107333499401
Hgf,1.6953242051558401
Cyth4,1.3648847001729099
Igsf10,1.89464926730371
Acsbg1,2.5766607753138597
Rab3il1,1.05600853558961
Col6a6,1.8941324758200602
Phlda1,1.1931201250246
Mcc,-0.9694290331918959
Gdpd5,1.09009696318841
Prox1,2.7299443531034497
Slc1a5,-0.9521202603176959
Nsg1,2.0224595559132
Itgb2,1.7757336559158998
Adamts9,-1.14322316119976
Shisa3,1.81972697821528
Matn2,1.22228739580055
Wdfy4,1.75257145249199
Cd59a,-0.903410542121342
Gk,-2.24264307754864
Vwf,1.8266880160095302
Pirb,1.7139383918583602
Cd33,1.71304818374176
Clec4a1,1.8682476621755002
Gmpr,-3.3756249864325
Cadm3,2.24773703006743
Gxylt2,1.8378408153633299
Pld3,1.13272466342927
Gm13304,3.27521559077838
Bst1,1.7673216873430202
Tgfbi,1.33991201111496
Coq10b,-1.3247297714129198
Mterf3,-0.959520422006393
Gdf6,2.9332399511992997
Tnfaip2,1.45924210986193
Adamtsl2,2.38595461131833
Evi2a,1.5195130368979402
Abca9,1.5488757681608603
Tbxas1,1.71475076079285
Pdpn,1.4985547008643503
Lcp1,1.56225408505182
Pid1,0.8487473608472009
Nnmt,-2.91928324178747
Cd44,0.976259319968909
Glg1,1.04364989323835
Rtn2,1.2870383459323702
Col8a2,1.95068610423715
Apmap,-1.32362177694023
Ptpn13,1.2558619861846698
Mpeg1,2.06048683481057
C1ra,1.48669890602299
Sgsh,0.8391986526602679
Actn3,5.9439848348785596
Myoz1,4.76756964575429
Laptm5,1.54367485322952
C1qb,1.49463238401935
Serpina1a,-2.62079835254225
Nfatc2,1.4452968830217499
Reln,1.6119730068421
C1qtnf7,1.36967951464787
4930453N24Rik,-0.9789782300218259
Zfand6,-0.915590778656687
Ptgfrn,1.4031032993979902
Glt8d2,1.78592100094983
Mmp2,1.9889539664253602
Clec4a3,1.7093290852387801
Timp4,-2.0014733051824
Lpar1,1.08310651711562
Plxna1,1.0026180095163102
Gsn,1.3565645154971497
Cxcl16,1.19598752993612
G3bp2,-0.9541844284358929
Epb41l3,1.91250344764827
Nfasc,2.50137319065773
Morf4l1b,2.58083276419879
Mpdu1,-0.791639877212738
Gpr35,1.8830218549520201
Plvap,1.3621571782503799
C1qtnf3,1.59805189975718
Gpr39,2.23121478211308
Ctsk,1.4345193031426
Gm21541,3.27521559077838
Sema4d,1.9565912242396297
Slc37a2,1.7447322007760702
Ube2b,-0.799734461190422
Bicc1,2.40192295319834
Jade2,0.8674901815097271
Naa50,-0.7742079832866751
Ntn4,1.34502570318728
Tmem132e,2.56545968650648
Mrpl20,-0.985786752337795
Svep1,1.77375536243972
Tmem161b,-1.01636106224216
Capn5,1.46101691653328
Tnfrsf1b,1.49827305126863
Lsamp,2.16772969346723
Mkks,-0.844390269141053
Tmsb10,0.849473015323308
Kremen1,0.842309377342222
Arnt2,2.0606172313209097
Adgrd1,1.62787866060197
Folr2,1.51904230657594
Nceh1,1.40256693447034
Cygb,1.16353211239979
Cybb,2.1005579906778
Nxpe4,-2.40907605322698
Mrc1,1.40210008405018
Atrnl1,1.08829277109736
Tmeff2,1.19537922624331
Stac2,2.5907164370734
Cpxm2,1.85468188269815
Sorcs2,1.67773946003526
Kif1a,3.09933661453264
Itga11,1.4596732776409
Gpr153,1.57217073381208
Rasa3,0.777938628415175
Atp5l,-1.07819225709193
Ccdc80,1.06096861015148
Mmrn1,1.87870148161064
Pi16,1.42732293324029
Pik3ap1,1.89924740916793
Hspe1,-1.17980677681924
Rbp4,-0.8433125074570359
Scn1b,0.960573010210775
Gpihbp1,-1.5437785584752899
Camk2a,2.4722492839311
Chkb,-0.84129721624684
Loxl2,0.84457598727679
Rmnd1,-0.76735178636153
Tgfbr2,0.904180602961587
Celsr1,1.82810081272309
St8sia2,2.5691472083200297
Olfm1,1.1849976723959499
Naalad2,0.977653009771161
Vwa7,3.72743587566412
Tmed5,-1.7042315115776399
Nrxn2,1.60260547418549
Igsf3,1.31470531334271
Nckap1l,1.5201508187025201
Zfpm2,1.20660187092602
Sptb,1.97080446979944
Car8,1.20192933105936
Pigz,1.76133084538635
Siglec1,1.92387764156255
Cpxm1,1.7954364167315
C4b,1.59821162021835
Man2b1,0.817781749993674
Ephb6,1.19697650833528
Col16a1,1.2063370681135501
Ildr2,1.4832856015536002
Dact2,1.3734003557117
Mybpc2,3.7399706996941298
Slit2,1.62847324960876
Gas7,1.24290894407398
Pld4,1.48266769037201
Fmn1,1.56926101320222
Tnxb,1.01541835621384
March5,-0.9146153908946809
Boc,1.55859784812818
Lgmn,1.09537695444759
Cacna2d3,1.7773390692845903
Naglu,0.854768503036048
Dtx4,1.20432466738928
Medag,0.9771365385381658
Sfrp1,1.5292157808854399
Tspan11,1.25057225720601
Hk3,1.85434495719651
Fbn1,1.47387796747931
Col6a5,2.8398708448379097
Mapkapk2,-0.9793026543402751
Rsph3b,-0.8536967235033509
Lrrk1,0.831147411599766
Fgr,1.99881726309728
Socs3,1.27783083288101
Clec12a,1.63911740804557
Nfam1,2.04347442015993
Nid1,0.8373766856547809
Slc9a9,1.5714074718126
Abca6,1.2695993309251399
Atp2a1,7.13896871049616
Adgre1,1.96867361026617
Tyrobp,1.60220266509047
Gm20594,-2.20101205470532
Bud31,-0.78647164492565
Cand2,1.64053079592626
Slc2a6,2.5138204103617703
