gene,WD_t1_KO_VS_WD_t1_wt_FC
Tysnd1,1.1451645448060301
Dtna,-1.5835927418835902
Mfsd2a,4.571368790990269
Tppp,1.3769399647973501
Cercam,-1.21560928505333
Havcr2,1.9851583229203897
Nt5e,1.57757959090175
Retnlg,4.98043318519586
2310022B05Rik,-1.2214020955509
Xdh,1.29399578576437
Eml2,-0.939824734582947
Lpcat3,1.03209894375295
Sh3bgr,-1.6324641623196101
Scube3,-1.65115077853273
Camk2g,-1.05956612832165
Mr1,-1.08897334389259
Tube1,-2.70878060634449
Ddah2,-0.7575373228067259
Gpr161,-1.30391354264456
Tnik,-1.15252038094722
Ms4a6d,1.80960473761121
Gm7694,-1.01040471864146
Ms4a4a,1.93230967650814
Arhgap31,0.887703266349762
Hmgn1,-0.728414359255756
Fcgr4,2.12679140157789
Adgrl1,-1.1334089891591999
Sel1l3,-1.75215482417925
Tbata,-5.04676816433592
Cnn2,-0.80633512150345
Plek,1.26892060863277
Efhd1,-1.4358414560665602
Trim30a,0.9254662047054821
Hdac11,-1.34733209247424
Ephb3,-1.18785007939603
Cxcl13,3.83231164850941
Irf7,1.6701412947924
Cacnb2,-1.60618296739382
Ifitm1,2.34955023793602
Cdk18,1.5681741897329797
Pip5k1b,-1.5333490045930902
Zbtb7b,0.790683796611133
Pex14,0.766038785318485
C1qtnf2,-1.69682683956395
Napepld,-1.16326586497398
Fbxl22,-1.94078200437951
Itgb4,0.886263147557673
Apoe,-5.48094061653171
Ptger1,0.740800134571942
Arpp21,-5.5055476633961495
Fgd2,1.6871324748836398
Lyz1,1.5031752205488997
Csrp1,-1.22434480688272
Tmem35,-1.3558371414299
Taf10,0.841680869856378
Podxl2,-1.28932046691238
Adgrf5,1.1381144306784
Pou2af1,3.6490025436835003
Hcls1,1.05479355497816
Ssbp2,-1.03090031857182
Dmd,-1.51976378441471
Cd74,2.01669518646997
Acsf2,1.34127706298705
Igsf9,-1.6754472758394099
Myo9a,-0.8575966160912192
Pim3,0.9696964630897091
Cobl,-1.01721429329015
Sorl1,-1.20417542746852
Rasl12,-1.19995454238462
Tmem8,1.31570444295802
Gngt2,1.24059994232504
Sync,-1.57429082654161
Pkp4,-0.909823182086889
Dcun1d3,1.12908287341401
Mpv17l,-1.5000489566034698
Igkv5-39,7.2546454023872196
Klhdc8b,-0.8661721545459581
Rps6ka1,1.15924593904563
Pitpnm3,-1.1046698244285802
Grina,0.807129066111359
Chd6,-0.824639047076537
Tnk2,-0.9117225197216159
Alox5ap,1.39128879258742
Plac8,1.78795319196542
Neurl3,1.1225462521293799
Dyrk2,0.9425708739079108
Ikbip,-1.0345373770673199
Vcl,-1.1296431295903
Arl11,1.69029720345395
Rgcc,1.18540693626942
Cyth4,1.24806495618784
Ramp1,-1.9342382225585801
Ctnna3,-1.62796716893441
Mtus2,-1.67157975201799
Ihh,-2.71397632344808
Tie1,0.8938507922175329
Bst2,1.0557585155970202
Col6a6,-1.25342181008785
Spats2l,-1.3802101287221202
Tceal3,-1.72355435695274
Bambi,-1.48873265824902
Nipal2,-1.44821805498755
Scarf1,0.7583098308055011
Sspn,-0.995847032590905
Srgn,0.797479517946778
Fgf14,-1.55957883146445
Glb1,-0.999847987086766
Slc1a3,1.6673350053651201
Itgb2,1.43361985114378
Kdelr3,-1.3298930070000299
Wdfy4,2.19746245602384
Antxr1,-0.977338560606379
Stk38l,-1.20713240709313
Sipa1,1.0177017070972
Tdrd5,-4.947467739261651
Wnt16,-1.684016726315
Myom1,-1.28513676491887
Pirb,1.99551507284157
Slc7a10,2.62873675464859
St3gal1,1.30643305703565
Brip1,-1.3468101118766103
Flt1,1.1632769793917
Svil,-1.02902873357255
Nxpe5,1.75761131440244
Mesdc1,1.12635628782147
Nalcn,-1.4978532545628203
Ehhadh,2.21043684043316
Nuak2,1.64602584277985
Napsa,2.5834664862852903
Krba1,-0.905018004353133
Aldh1l2,-1.48483929173854
Dkk3,-1.4617441876998702
Optc,-2.08016089540661
Cd38,1.27306004862346
Bst1,1.5575570325008001
Sema6b,1.90894594074808
Cd72,2.48428081022075
Tgfbi,-0.9701601795406101
Tnfaip2,1.4098600373730799
Synj2,-0.9740313005225079
Syde2,-0.950487933547395
Zfp354c,-1.5090082878448603
Pcsk5,-0.97471596080187
Ankrd35,-1.1709442670218
Ccl6,1.9380621823701798
Cyp2b10,5.21445738964732
Fcer1g,1.2488889521831201
Gprasp1,-0.9477964702512209
