gene,ctrl_t0_KO_VS_ctrl_t0_wt_FC
Mrpl15,-1.02921225882983
Ms4a4d,1.38505758317513
Fmod,2.8821071798260296
Nt5e,2.5189745345723598
C1qtnf1,1.30645811639203
Cdon,1.1938755516066102
Lgi2,1.90712074504342
Tmem147,-1.04473698027214
Gm10052,1.18885377854434
Srpx,1.95750171360812
Prss12,1.64997036175217
Itgb4,1.1600364006917199
Apoe,-5.78505863447987
Nrip1,1.6104734401427099
Angptl7,2.49554047207144
Pdgfrl,2.18946015478106
Ube2f,-1.08796250715818
Aldh1a3,1.8905815347419899
Cyp1b1,1.38751521067794
Naa20,-0.989553481004249
Igsf10,2.09476027508369
Col6a6,1.7064520393253602
Shisa3,2.01089669877009
Matn2,1.29064068733649
Cd59a,-1.02369735438062
Vwf,2.20305985689787
Ccl11,1.1361715253057
Gmpr,-4.03241790181304
Gxylt2,1.7336903549042402
Tgfbi,1.8611759542745598
Vegfd,2.0533680484403702
Abca9,1.6421942545078798
Procr,1.03606865743743
Txndc16,0.995072578706935
Nnmt,-2.41172389200761
Cars2,-1.2393336799573
Glg1,1.3238820453182398
Col8a2,2.36156078206689
Ptpn13,1.60431563912128
C1ra,1.51865682018857
Fst,1.43964927197184
Reln,2.0255650423263
C1qtnf7,1.4037228292041901
Ptgfrn,1.28756715664687
Glt8d2,2.2386211142932098
Mmp2,1.67091086132151
Timp4,-1.44611371522412
Morf4l1b,2.0650864081751497
Plvap,1.3242443185253898
C1qtnf3,2.78256174423572
Ctsk,1.5779762394132701
Bicc1,2.2546813341619
Ntn4,1.6364013323574498
Mrpl20,-1.08225871009422
Svep1,2.39848832665538
Plce1,0.941514275222848
Hhip,2.7883515791077698
Adgrd1,1.43083090796487
Nxpe4,-1.93013624893838
Atrnl1,1.01644017141425
Cpxm2,2.2221269801942998
Sorcs2,1.59709519549545
Itga11,1.49722047714517
Atp5l,-1.25746593100102
Prrx1,0.9987805504859429
1110008P14Rik,-1.1945333997527101
Tanc2,1.05936046092459
Loxl2,1.03539747526685
Rmnd1,-1.04326774188544
Naalad2,1.33049092429822
Vipr2,1.8393808652864998
Fbln7,1.97774314917483
Adamtsl3,1.34213384911054
Siglec1,2.09760323160546
Cpxm1,1.86943984683105
Col16a1,1.13038303881292
Ildr2,1.38584632760569
Slit2,1.69306047865941
Cd209b,3.78976648806812
Kcnt2,1.85740616955001
Boc,1.46582369601392
Sfrp1,1.5702106037446002
Tspan11,1.49129208807108
Fbn1,1.32173930852478
Col6a5,3.23683395676376
Mapkapk2,-1.05029495284916
Lrrk1,0.941932907217823
Ern1,1.10491802340942
Nid1,1.1493661063483702
Abca6,1.64811166063122
Gm20594,-2.9765765778864903
Dact1,1.07708875925038
Icam1,0.9974749502673091
Abca8a,1.6010652328973702
Lbp,1.8719393006196001
Piezo2,1.79222636982653
Col14a1,1.51445473187808
Tbx3,-1.82630832443593
Emilin2,1.5975626601829498
Sfrp2,2.09910050130584
Cp,1.12569073512738
Unc45b,-1.3435606766113501
Lrp1,1.1932111262620502
Smoc2,1.9168374617658601
Btbd7,1.02655549076344
Loxl4,1.5006195723196203
Stab1,1.39172084273325
Angptl2,1.14212313841513
Egflam,1.64017108198906
Rbp7,-2.5844345126627704
Folh1,1.8819089076564601
Ephb2,1.29191091749934
Timm8a1,-1.3514286725134999
Aff2,1.9682440706354098
Gdf7,4.60299693121155
Fndc1,1.9786565939499798
Gpc3,1.6335423532498201
Ccbe1,2.458821890975
Plac9a,1.61737631377498
Perm1,-2.28591995575196
Plac9b,1.60851896985062
Slc4a10,2.46240468879423
Cldn10,2.81614581139651
Heg1,1.4601703399352601
Flrt2,1.43709719504713
Pcolce,1.72123178245551
Hccs,-1.5001395461171498
Adamts12,2.0264496048721
Podn,1.51606054637907
Csf1r,1.33223296340298
BC003965,-0.9980564197200319
Mpp6,-1.7385462612406901
Ndufaf4,-1.52243408647943
Mmrn2,0.931093304348675
Adamts2,1.70202455397072
Clec11a,1.4725957088913
Adamtsl1,2.09908946699899
Fbln1,2.00899972253656
Gria4,1.58599739582591
Tiam1,1.05932969246095
Olfml1,1.65761566836867
Cfh,1.8234795942302902
Tm7sf3,0.925966920152586
Dcn,1.60045148649729
3632451O06Rik,1.59017739361291
Fzd4,1.1224904232414399
Entpd2,1.23991455637592
Ahsa2,-0.9570911253177281
Cd248,1.46734127862995
Prss35,2.46728764167711
2310030G06Rik,-3.07484499717085
Apoc1,-3.9692612311705697
Plxna4,1.7083660586506
Wdr6,1.07545678454617
Htr2b,2.5756769034569
Pdgfra,1.8756225178483399
Serping1,1.62626681704726
Slc25a17,-1.10369336396558
Gdf10,2.4674142078314
Col1a1,1.68212308156346
Lrrn4cl,1.33846637823384
Scara5,2.0088223810900603
Abca8b,1.5718096418826801
Ppl,1.29918443429312
Zfp521,1.6054546246843702
Serpinf1,1.7524590824678898
Igfbp6,1.4513939755864298
Col4a4,1.77560262043995
Uqcrh,-1.2925881336210001
Ptch1,1.6079215240924098
Rnase4,0.985081957568136
Tomm5,-1.0281326468921401
Lama2,1.6010537593681398
Tsfm,-1.23957219525773
Trappc4,-1.03723816591184
Rnf128,-3.8973965069121497
Pou2f2,2.77779589863952
Olfml3,2.03036251927821
Man1a,1.2402992791904
Olfml2a,1.50624421151371
Tmem254b,1.25569483831677
Col12a1,1.6961987900084998
Tmem176a,1.44745053419018
Calml4,1.83565060992098
Lrp4,1.5475286361462701
Chchd4,-1.2602404734093202
Igfbp4,1.32776102365926
Man2b2,1.57388917069294
Cpz,1.90737591782108
Cc2d2a,0.9917865788539721
Dchs1,1.0517600284297801
Hacd4,1.52662045511875
Nudt14,-1.97930772632148
Cfb,1.6726817181676001
Steap3,0.9646305909075269
Man1c1,1.02058459908245
Qpct,1.2413402808426799
Rhox8,-4.01175876388703
Ldlrad4,1.40741241761342
Ces2g,1.21282590509141
Abi3bp,1.13205659579692
Atp6v0e2,1.55849686168058
C1s1,1.294163716094
Fbln2,1.39348530779385
Fam46c,1.61454587853079
Gas1,1.12155924181774
Wnt2b,1.71270645677955
Enpp3,1.82933319471533
Mrpl12,-1.23973008282843
C2,1.93627023947949
Epha3,1.70659477611104
Gm6548,1.84369901246442
Egfr,1.2770575167048301
Bace2,1.8412850913995502
Pcolce2,1.2147903582328201
F3,1.45148930708209
Gm12250,2.45705703200052
Anpep,1.33884222029852
Fam198a,1.6367242460149198
Hpse,1.4920289471741297
