gene,ctrl_t1_KO_VS_ctrl_t1_DKO_FC
Nt5e,2.06905392780431
Lgals3,-2.54530240003599
Mmp12,-4.6894523793577
Stra6l,-5.4506049673752495
Isg20,-1.5339615257651698
Morf4l1b,3.10518545183189
Nxpe4,-2.16496707567422
Cemip,-4.53594552563857
Hk3,-2.19658698406225
Hbb-bt,-2.99902025921656
Cd5l,-6.19552966273501
Ube2l6,-1.7062777977635
Gm2897,7.2124284863693795
Adam8,-2.53553138222171
Entpd4,-1.68403172241451
Trim10,-3.66977083583412
Hbb-bs,-2.8228252939657597
Clec7a,-2.6717635154660297
Atp6v0d2,-4.40081485896616
Gm8580,3.74106213114087
Mkrn1,-0.9896980729455799
Gm6548,2.03287296147912
Hba-a2,-3.93961764185429
