gene,ctrl_t1_wt_VS_ctrl_t1_DKO_FC
Ctss,-2.9874247488594103
Mfsd12,-1.5031594753617001
Ms4a6d,-2.28431046760929
Gusb,-0.938101324622886
Fcgr4,-3.00851638120542
Lgals3,-3.05868330378648
Nnt,1.9272646756443101
Apoe,6.02188014958105
Ptges,-1.6875460475211799
Il18bp,-1.7106946453524097
Mmp12,-5.59467211694898
Bcl2a1b,-2.6792305085218797
Itgb2,-2.1021047224524096
Vwf,-1.58642296164608
Pirb,-2.06117487526548
Tm4sf19,-4.97337209316067
Pld3,-1.3015817195098403
Cd72,-2.44594045681308
Tnfaip2,-1.9209064057068201
Ccl6,-2.2671450021232005
Fcer1g,-1.5246248609758601
B430306N03Rik,-3.803510026716
Stra6l,-6.767282191850951
Tbxas1,-1.7237975005925
Lcp1,-1.67698816475683
Wfdc17,-2.8173116432285
Lcn2,-3.7458017306010496
Mpeg1,-2.78303871708455
Laptm5,-1.7257681869392498
C1qb,-2.03812224115668
Slc15a3,-3.1303653639164706
Tlr13,-2.40466136592033
Cxcl16,-1.47085086113468
C3ar1,-2.29015373315973
Gpr35,-2.11734471346663
Plvap,-1.3271640846785402
Lgals4,1.6621384098498202
H2-M2,-2.8154946081814702
Slc37a2,-2.33731194433339
B4galt5,-0.9789733735970519
Pgp,-0.9658128154532399
Tnfrsf1b,-1.2536164851057598
Lgals3bp,-1.3231225183768602
Cybb,-1.81284669274973
Stac2,-2.9408957329851497
Apobec1,-1.0511137689285999
Ctsl,-1.2910040282560902
Pik3ap1,-2.25158214529608
Snurf,-3.1134368846658997
Itgax,-3.49691069578753
Bpgm,2.2367014653790696
Hmox1,-1.56698696013365
Gpnmb,-4.72974127016071
Siglec1,-2.0978114368474903
Ceacam16,-4.63409843152188
Pld4,-1.35902057423488
Cyp4f18,-2.72959443403201
Cemip,-4.94847056662313
Lgmn,-1.3051374957811102
Prpf39,0.8772059707086758
Wdfy1,1.14150821100519
Hk3,-2.68320400427929
Fgr,-1.9680993827030102
Clec12a,-1.67514612707083
Nfam1,-1.6949004761031399
Adgre1,-1.6957191652129298
Tyrobp,-1.8171306690434799
Cd300lf,-3.56624696660159
Csf2rb,-1.35269302425107
Myo1f,-1.9509697971416597
Gm44504,-2.74118116389386
Vsir,-0.870461984659602
Clec4n,-2.8166559032062595
Fcgr1,-2.2987502889802203
Pltp,-1.15020701757453
Ddx26b,1.04119910112466
Adamts6,1.21167512161496
Synj2bp-cox16,-1.4958283025051
Ctsz,-1.02230371853153
Ncf2,-1.3367646531327
Cd5l,-7.36584001096086
Plac9a,-2.31336957817039
Plac9b,-2.33960825817925
Irf5,-1.35632067890266
Slc11a1,-1.4131864514945802
Gm2897,7.72517954094328
Adam8,-3.1436313290136497
Mir8114,-5.610975871179451
Il10ra,-1.6212484994001202
Sirpa,-1.0731831656100799
Spi1,-1.72152139141759
Entpd4,-1.13150920230931
1700112E06Rik,-2.9421179209116204
Ccl9,-1.4440266179763301
Trem2,-3.47370707053244
Apoc1,3.08148582883896
C1qc,-1.77883375531979
Cd300lb,-2.3734853751045497
Csf3r,-1.8379020536779902
Hck,-2.11980896323423
Cd300c2,-2.48302331693891
Tmem181b-ps,1.1184652688186698
Lrrc25,-2.09679057463822
Cd68,-2.55418005033346
Tmem254b,-1.82251906430897
Clec7a,-3.38187452672514
Lyz2,-2.1927852905768703
Sdf2l1,-2.02230249903963
Atp6v0d2,-5.249094818820129
Slamf7,-2.9525780059867994
Csf2rb2,-1.7587586729903897
Cfp,-1.3443643569990102
Abcg1,-2.66477570114451
Unc93b1,-1.17866406184048
Sdc3,-1.45960956577719
Gpr137b,-1.19902948641684
Abcc3,-2.7158255589529996
C1qa,-1.5705326902468202
Fcgr3,-1.4478905203127599
Cotl1,-1.8670830168976498
Col19a1,1.7546034544996298
