gene,WD_t1_KO_VS_WD_t1_DKO_FC
Tysnd1,1.08792668215755
Mrpl42,0.8202202834484291
Tppp,1.41295411278696
Ctss,-3.44414712245445
Fgf7,-1.17678803339397
Havcr2,-2.82557470750975
Tmem181a,-0.762293368318441
Camk1,-0.941469093753938
Specc1,-1.38910879685504
Nek6,-1.48713268410495
Hivep3,-1.5250693468778798
Mr1,-0.786302568457053
Mfsd12,-2.08027424789085
Cx3cl1,-2.2037126058965297
Acp2,-0.864196108249083
Fxyd5,-1.7417194745348898
Ms4a6d,-2.7639284186024504
Pla2g2d,1.8881676373357499
Tagln2,-1.10159771970574
Gltp,-1.09041711182427
Gdf3,-3.38924090734338
Chpf2,-0.9337817183853191
Il1a,-3.2968563978349
Trp53i11,0.9529627953374459
Spcs3,-1.08182596057718
Rftn1,-1.20070874862568
Gusb,-2.4796225680185295
Spsb2,-1.1360753702705
Milr1,-2.18298963451688
Fcgr4,-2.27144876072465
Sel1l3,-2.3706039693945
Lgals3,-3.9202059936543594
Gpr88,-2.4323077865486002
Cnn2,-0.814098722714001
Plek,-3.2798516372347497
Uqcr11,1.1325292128067
Nans,-0.958842731220696
4933430I17Rik,-3.04055727533992
Vav3,-1.15761655874798
Tpm3,-0.783509489261443
Cx3cr1,-1.24869917189218
H2-Q7,1.79425044567193
Rbm38,1.39055321168082
Alcam,-1.8036403276314699
Dclk1,-1.84702927881219
Ephb3,-0.93811668359611
Sepn1,-0.9304694229423679
Cdk18,-2.9020929837762797
Fam83f,-3.57609363218168
Arf2,-0.772741094959953
Prdx1,-0.7947584162132729
Shc2,-1.0688939974201301
Gas2l3,-2.05869295219841
Wsb1,-0.8172139035515891
Fn1,-2.51053890041911
Lipa,-1.55572478693331
Lum,-2.6048825543938396
Klf9,0.853505331070057
Cyba,-2.09783133511298
Kif3a,-1.15002730546305
Plekhm2,-0.734875147537191
Pik3r3,-0.8470933159395291
Lyz1,-1.91893837791215
Aph1c,-2.30584127953633
Ctsb,-1.9855812072485801
Col22a1,-3.5744991583741497
Il18bp,-2.5390136837848902
Tmem106a,-1.1098011524507299
Sell,3.00178212241017
Slc7a7,-1.9167137969078
Mmp12,-4.91942721496999
Cpd,-0.8328584803040859
Hcls1,-0.8986128412436691
Pim3,0.9949288241106999
Abr,-0.9703717816382951
Higd2a,0.781233560876063
